Rank,Song,Artist,Year,Lyrics
1,"When Doves Cry",Prince,1984,b"Dig if you will the picture\nOf you and I engaged in a kiss\nThe sweat of your body covers me\nCan you my darling?\nCan you picture this?\nDream if you can a courtyard\nAn ocean of violets in bloom\nAnimals strike curious poses\nThey feel the heat\nThe heat between me and you\nHow can you just leave me standing\nAlone in a world that's so cold?\nMaybe I'm just too demanding\nMaybe I'm just like my father: too bold\nMaybe you're just like my mother\nShe's never satisfied\nWhy do we scream at each other?\nThis is what it sounds like\nWhen doves cry\nTouch if you will my stomach\nFeel how it trembles inside\nYou've got the butterflies all tied up\nDon't make me chase you\nEven doves have pride\nHow can you just leave me standing\nAlone in a world that's so cold?\nMaybe I'm just too demanding\nMaybe I'm just like my father: too bold\nMaybe you're just like my mother\nShe's never satisfied\nWhy do we scream at each other?\nThis is what it sounds like\nWhen doves cry\nHow can you just leave me standing\nAlone in a world that's so cold?\nMaybe I'm just too demanding\nMaybe I'm just like my father: too bold\nMaybe you're just like my mother\nShe's never satisfied\nWhy do we scream at each other?\nThis is what it sounds like\nWhen doves cry\nWhen doves cry \nWhen doves cry \nWhen doves cry\nWhen doves cry\nWhen doves cry\nWhen doves cry don't cry\nDarling don't cry\nDon't cry don't cry don't don't cry"
2,"What's Love Got to Do with It",Tina Turner,1984,b"You must understand though the touch of your hand\nMakes my pulse react\nThat it's only the thrill of boy meeting girl\nOpposites attract\nIt's physical\nOnly logical\nYou must try to ignore that it means more than that\nWhat's love got to do got to do with it?\nWhat's love but a second-hand emotion?\nWhat's love got to do got to do with it?\nWho needs a heart when a heart can be broken?\nIt may seem to you that I'm acting confused\nWhen you're close to me\nIf I tend to look dazed I've read it someplace\nI've got cause to be\nThere's a name for it\nThere's a phrase that fits\nBut whatever the reason you do it for me\nWhat's love got to do got to do with it?\nWhat's love but a second-hand emotion?\nWhat's love got to do got to do with it?\nWho needs a heart when a heart can be broken?\nI've been taking on a new direction\nBut I have to say\nI've been thinking about my own protection\nIt scares me to feel this way\nWhat's love got to do got to do with it?\nWhat's love but a second-hand emotion?\nWhat's love got to do got to do with it?\nWho needs a heart when a heart can be broken?\nWhat's love got to do got to do with it?\nWhat's love but a sweet old-fashioned notion?\nWhat's love got to do got to do with it?\nWho needs a heart when a heart can be broken?\nWhat's love got to do got to do with it?\nWhat's love but a second-hand emotion?\nWhat's love got to do got to do with it?\nWho needs a heart when a heart can be broken?\nWhat's love?\nGot to do it\nGot to do it\nWhat's love?"
3,"Say Say Say",Paul McCartney,1984,b"Say say say what you want\nBut don't play games with my affection\nTake take take what you need\nBut don't leave me with no direction\nAll alone I sit home by the phone\nWaiting for you baby \nThrough the years how can you stand to hear\nMy pleading for you you know I'm crying\nOo oo oo oo oo\nYeah yeah\nNow go go go where you want\nBut don't leave me here forever\nYou you you stay away\nSo long girl I see you never\nWhat can I do girl to get through to you?\nCause I love you baby\nStanding here baptized in all my tears\nBaby through the years you know I'm crying\nOo oo oo oo oo\n(You've got to say say say\nYou've got to say say say...)\nYou never ever worry\nAnd you never shed a tear\nYou're saying that my love ain't real\nJust look at my face these tears ain't drying\nYou you you can never say\nThat I'm not the one who really loves you\nI pray pray pray everyday\nThat you'll see things girl like I do\nWhat can I do girl to get through to you\nCause I love you baby \nStanding here baptized in all my tears\nBaby through the years you know I'm crying\nOo oo oo oo oo\nOo oo oo oo oo \nOo oo oo oo oo\nOh baby\nOo oo oo oo oo\nOh baby\nOh baby\nOh baby\nOh baby\nOh baby\nSay say say \nOo oo oo say say say Oo oo oo say say say...\nCome on\nCome on\nOo oo oo say say say Oo oo oo say say say\nOo oo oo yeah yeah yeah Oo oo oo yeah yeah yeah\nOo oo oo say say say Oo oo oo say say say...\nOo oo oo\nSay say say\nOo oo oo "
4,"Footloose",Kenny Loggins,1984,b"Been working so hard\nI'm punching my card\nEight hours for what?\nOh tell me what I got\nI've got this feeling\nThat time's just holding me down\nI'll hit the ceiling\nOr else I'll tear up this town\nSo now I gotta cut loose\nFootloose\nKick off the Sunday shoes\nPlease Louise\nPull me off of my knees\nJack get back\nCome on before we crack\nLose your blues\nEverybody cut footloose\nYou're playing so cool\nObeying every rule\nDeep way down in your heart\nYou're burning yearning for some\nSomebody to tell you\nThat life ain't passing you by\nI'm trying to tell you\nIt will if you don't even try\nYou'll get by if you'd only\nCut loose\nFootloose\nKick off the Sunday shoes\nOoh-wee Marie\nShake it shake it for me\nWoah Milo\nCome on come on let's go\nLose your blues\nEverybody cut footloose\nYeah ooh-oh-oh\nYeah ooh-oh-oh\nYeah ooh-oh-oh\nOoh\nYou've got to turn me around\nAnd put your feet on the ground\nGotta take the hold of all\nAhhhhh\nAhhhhh\nAhhhhh\nI'm turning it loose\nFootloose\nKick off the Sunday shoes\nPlease Louise\nPull me off of my knees\nJack get back\nCome on before we crack\nLose your blues\nEverybody cut footloose\nFootloose\nKick off the Sunday shoes \nPlease Louise\nPull me off of my knees\nJack get back\nCome on before we crack\nLose your blues\nEverybody cut everybody cut\nEverybody cut everybody cut\nEverybody cut everybody cut\nEverybody cut footloose!"
5,"Against All Odds (Take a Look at Me Now)",Phil Collins,1984,b"How can I just let you walk away\nJust let you leave without a trace\nWhen I stand here taking every breath\nWith you ooh ooh\nYou're the only one who really knew me at all\nHow can you just walk away from me\nWhen all I can do is watch you leave\nCause we've shared the laughter and the pain\nAnd even shared the tears\nYou're the only one who really knew me at all\nSo take a look at me now\nOh there's just an empty space\nAnd there's nothing left here to remind me\nJust the memory of your face\nOoh take a look at me now\nWell there's just an empty space\nAnd you coming back to me is against the odds\nAnd that's what I've got to face\nI wish I could just make you turn around\nTurn around and see me cry\nThere's so much I need to say to you\nSo many reasons why\nYou're the only one who really knew me at all\nSo take a look at me now\nWell there's just an empty space\nAnd there's nothing left here to remind me\nJust the memory of your face\nNow take a look at me now\nCause there's just an empty space\nBut to wait for you is all I can do\nAnd that's what I've got to face\nTake a good look at me now\nCause I'll still be standing here\nAnd you coming back to me is against all odds\nIt's the chance I've gotta take\nTake a look at me now"
6,"Jump",Van Halen,1984,b"I get up and nothing gets me down\nYou got it tough. I've seen the toughest around\nAnd I know baby just how you feel\nYou've got to roll with the punches to get to what's real\nOh can't you see me standing here?\nI've got my back against the record machine\nI ain't the worst that you've seen\nOh can't you see what I mean?\nMight as well jump \nMight as well jump\nGo ahead jump \nGo ahead jump\nHey you! Who said that?\nBaby how you been?\nYou say you don't know\nYou won't know until we begin\nWell can't you see me standing here?\nI've got my back against the record machine\nI ain't the worst that you've seen\nOh can't you see what I mean?\nMight as well jump \nGo ahead jump\nMight as well jump \nGo ahead Jump!\nJump!\nMight as well jump \nGo ahead jump\nGet it and jump \nGo ahead jump\nJump!\nJump!\nJump!\nJump!"
7,"Hello",Lionel Richie,1984,b"I've been alone with you inside my mind\nAnd in my dreams I've kissed your lips a thousand times\nI sometimes see you pass outside my door\nHello is it me you're looking for?\nI can see it in your eyes\nI can see it in your smile\nYou're all I've ever wanted\nAnd my arms are open wide\n'Cause you know just what to say\nAnd you know just what to do\nAnd I want to tell you so much\nI love you\nI long to see the sunlight in your hair\nAnd tell you time and time again how much I care\nSometimes I feel my heart will overflow\nHello I've just got to let you know\n'Cause I wonder where you are\nAnd I wonder what you do\nAre you somewhere feeling lonely?\nOr is someone loving you?\nTell me how to win your heart\nFor I haven't got a clue\nBut let me start by saying\nI love you\nHello is it me you're looking for?\n'Cause I wonder where you are\nAnd I wonder what you do\nAre you somewhere feeling lonely?\nOr is someone loving you?\nTell me how to win your heart\nFor I haven't got a clue\nBut let me start by saying\nI love you"
8,"Owner of a Lonely Heart",Yes,1984,b"\xe2\x80\x8b\nMove yourself\nYou always live your life\nNever thinking of the future\nProve yourself\nYou are the move you make\nTake your chances win or loser\nSee yourself\nYou are the steps you take\nYou and you and that's the only way\nShake shake yourself\nYou're every move you make\nSo the story goes\nOwner of a lonely heart\nOwner of a lonely heart\nOwner of a broken heart\nOwner of a lonely heart\nI know \nMaybe there's another way to do this\n{\xe2\x80\x8bMusic Video - Break}\xe2\x80\x8b\nSay - you don't want to chance it\nYou've been hurt so before\nWatch it now\nThe eagle in the sky\nHow he dancin' one and only\nYou lose yourself\nNo not for pity's sake\nThere's no real reason to be lonely\nBe yourself\nGive your free will a chance\nYou've got to want to succeed\nOwner of a lonely heart\nOwner of a lonely heart\nOwner of a broken heart\nOwner of a lonely heart\nOwner of a lonely heart\nAfter my own indecision\nThey confused me so\nOwner of a lonely heart\nMy love said never question your will at all\nIn the end you've got to go\nLook before you leap\nOwner of a lonely heart\nAnd don't you hesitate at all - no no\nYow!\nYeah Yeah Yeah Yeah Yeah Yeah!\n{\xe2\x80\x8bInstrumental}\xe2\x80\x8b\nOwner of a lonely heart\nOwner of a lonely heart\nOwner of a broken heart\nOwner of a lonely heart\nOwner of a lonely heart\nOwner of a lonely heart\nOwner of a broken heart\nOwner of a lonely heart\nOwner of a lonely heart\nSooner or later each conclusion\nWill decide the lonely heart\nOwner of a lonely heart\nIt will excite it will delight\nIt will give a better start\nOwner of a lonely heart\nDon't deceive your free will at all\nDon't deceive your free will at all\nOwner of a lonely heart\nDon't deceive your free will at all\nJust receive it\nJust receive it"
9,"Ghostbusters",Ray Parker Jr.,1984,b"Ghostbusters!\nIf there's something strange\nIn your neighborhood\nWho you gonna call?\nGhostbusters!\nIf there's something weird\nAnd it don't look good\nWho you gonna call?\nGhostbusters!\nI ain't 'fraid of no ghost\nI ain't 'fraid of no ghost\nIf you're seeing things\nRunning through your head\nWho can you call?\nGhostbusters!\nAn invisible man\nSleepin' in your bed\nOw who you gonna call?\nGhostbusters!\nI ain't 'fraid of no ghost\nI ain't 'fraid of no ghost\nWho you gonna call?\nGhostbusters!\nIf you're all alone\nPick up the phone\nAnd call\nGhostbusters!\nI ain't 'fraid of no ghost\nOoh I hear it likes the girls\nHm I ain't 'fraid of no ghost\nYeah yeah yeah yeah\nWho you gonna call?\nGhostbusters!\nMmm if you've had a dose of a\nFreaky ghost baby\nYou better call\nGhostbusters!\nOw!\nLemme tell ya something\nBustin' makes me feel good!\nI ain't 'fraid of no ghost\nI ain't 'fraid of no ghost\nDon't get caught alone oh no\nGhostbusters!\nWhen it comes through your door\nUnless you just a-want some more\nI think you better call\nGhostbusters!\nOw! Who you gonna call?\nGhostbusters!\nWho you gonna call?\nGhostbusters!\nUh think you better call\nGhostbusters!\nHa ha who you gonna call?\nGhostbusters!\nI can't hear you\nWho you gonna call?\nGhostbusters!\nLouder\nGhostbusters!\nWho you gonna call?\nGhostbusters!\nWho can you call?\nGhostbusters!\nWho you gonna call?\nGhostbusters!\nUh it likes the girls too\nGhostbusters!"
10,"Karma Chameleon",Culture Club,1984,b"Desert loving in your eyes all the way\nIf I listened to your lies would you say\nI'm a man without conviction\nI'm a man who doesn't know?\nHow to sell a contradiction\nYou come and go you come and go\nKarma karma karma karma karma chameleon\nYou come and go you come and go\nLoving would be easy if your colors were like my dreams\nRed gold and green red gold and green\nDidn't hear your wicked words every day\nAnd you used to be so sweet I heard you say\nThat my love was an addiction\nWhen we cling our love is strong\nWhen you go you're gone forever\nYou string along you string along\nKarma karma karma karma karma chameleon\nYou come and go you come and go\nLoving would be easy if your colors were like my dreams\nRed gold and green red gold and green\nEvery day is like survival\nYou're my lover not my rival\nEvery day is like survival\nYou're my lover not my rival\nI'm a man  without conviction\nI'm a man  who doesn't know\nHow to sell  a contradiction\nYou come and go you come and go\nKarma karma karma karma karma chameleon\nYou come and go you come and go\nLoving would be easy if your colors were like my dreams\nRed gold and green red gold and green\nKarma karma karma karma karma chameleon\nYou come and go you come and go\nLoving would be easy if your colors were like my dreams\nRed gold and green red gold and green"
