Rank,Song,Artist,Year,Lyrics
1,"Rolling in the Deep",Adele,2011,b' There s a fire starting in my heart Reaching a fever pitch and it s bringing me out the dark Finally I can see you crystal clear Go ahead and sell me out and then I ll lay your ship bare See how I ll leave with every piece of you Don t underestimate the things that I will do There s a fire starting in my heart Reaching a fever pitch and it s bringing me out the dark The scars of your love remind me of us They keep me thinkin that we almost had it all The scars of your love they leave me breathless I can t help feeling We could have had it all Rolling in the deep You had my heart inside of your hand And you played it to the beat Baby I have no story to be told But I ve heard one on you Now I m gonna make your head burn Think of me in the depths of your despair Make a home down there As mine sure won t be shared The scars of your love remind me of us They keep me thinkin that we almost had it all The scars of your love they leave me breathless I can t help feeling We could have had it all Rolling in the deep You had my heart inside of your hand And you played it to the beat Could have had it all Rolling in the deep You had my heart inside of your hand But you played it with a beating Throw your soul through every open door Count your blessings to find what you look for Turn my sorrow into treasured gold You ll pay me back in kind and reap just what you sow We could have had it all We could have had it all It all it all it all We could have had it all Rolling in the deep You had my heart inside of your hand And you played it to the beat We could have had it all Rolling in the deep You had my heart inside of your hand But you played it you played it you played it You played it to the beat'
2,"Party Rock Anthem",LMFAO,2011,b' Party Rock Yeah Whoo Let s go Party rockers in the house tonight Everybody just have a good time And we gon make you lose your mind Everybody just have a good time Party rockers in the house tonight Everybody just have a good time And we gon make you lose your mind We just wanna see you Shake that In the club Party rock Looking for your girl She on my jock Non stop when we in the spot Booty moving weight like she on the block Where the drank I gots to know Tight jeans tattoo cause I m rock and roll Half black half white domino Gainin money Oprah dough Yo I m running through these hoes like Drano I got that devilish flow rock and roll no halo we party rock Yeah that s the crew that I m reppin On the rise to the top no lead in our zeppelin Party rockers in the house tonight Everybody just have a good time And we gon make you lose your mind Everybody just have a good time Party rockers in the house tonight Everybody just have a good time And we gon make you lose your mind We just wanna see you Shake that Every day I m shufflin Shufflin shufflin Step up fast and be the first girl to make me throw this cash We get money don t be mad now stop hatin is bad One more shot for us Please fill up my cup We just wanna see Now you wanna be Get up get down put your hands up to the sound Get up get down put your hands up to the sound Get up get down put your hands up to the sound Put your hands up to the sound Put your hands up to the sound Get up get up get up Get up get up get up Get up get up get up Put your hands up to the sound To the sound Put your hands up Put your hands up Put your hands up Put your hands up Party rockers in the house tonight Everybody just have a good time And we gon make you lose your mind Everybody just have a good good good time Oh oh oh oh oh Oh oh oh oh oh Oh oh oh oh oh Oh oh oh oh oh Shake that Every day I m shu shufflin Put yo Put yo Put yo Put yo Put yo Put yo Hands up Put yo Put yo Put your hands up Put your hands up Put your hands up'
3,"Firework",Katy Perry,2011,b' Do you ever feel like a plastic bag Drifting through the wind wanting to start again Do you ever feel feel so paper thin Like a house of cards one blow from caving in Do you ever feel already buried deep Six feet under screams but no one seems to hear a thing Do you know that there s still a chance for you Cause there s a spark in you You just gotta ignite the light And let it shine Just own the night Like the Fourth of July Cause baby you re a firework C mon show em what you re worth Make em go Aah aah aah As you shoot across the sky y y Baby you re a firework C mon let your colors burst Make em go Aah aah aah You re gonna leave them all in awe awe awe You don t have to feel like a waste of space You re original cannot be replaced If you only knew what the future holds After a hurricane comes a rainbow Maybe a reason why all the doors are closed So you could open one that leads you to the perfect road Like a lightning bolt your heart will blow And when it s time you ll know You just gotta ignite the light And let it shine Just own the night Like the Fourth of July Cause baby you re a firework C mon show em what you re worth Make em go Aah aah aah As you shoot across the sky y y Baby you re a firework C mon let your colors burst Make em go Aah aah aah You re gonna leave them all in awe awe awe Boom boom boom Even brighter than the moon moon moon It s always been inside of you you you And now it s time to let it through Cause baby you re a firework C mon show em what you re worth Make em go Aah aah aah As you shoot across the sky y y Baby you re a firework C mon let your colors burst Make em go Aah aah aah You re gonna leave them all in awe awe awe Boom boom boom Even brighter than the moon moon moon Boom boom boom Even brighter than the moon moon moon'
4,"E.T.",Katy Perry,2011,b' You re so hypnotizing Could you be the devil Could you be an angel Your touch magnetizing Feels like I am floating Leaves my body glowing They say be afraid You re not like the others Futuristic lover Different DNA They don t understand you You re from a whole nother world A different dimension You open my eyes And I m ready to go lead me into the light Kiss me ki ki kiss me Infect me with your lovin Fill me with your poison Take me ta ta take me Wanna be your victim Ready for abduction Boy you re an alien Your touch so foreign It s supernatural Extraterrestrial You re so supersonic Wanna feel your powers Stun me with your lasers Your kiss is cosmic Every move is magic You re from a whole nother world A different dimension You open my eyes And I m ready to go lead me into the light Kiss me ki ki kiss me Infect me with your lovin Fill me with your poison Take me ta ta take me Wanna be your victim Ready for abduction Boy you re an alien Your touch so foreign It s supernatural Extraterrestrial This is transcendental On another level Boy you re my lucky star I wanna walk on your wavelength And be there when you vibrate For you I ll risk it all all Kiss me ki ki kiss me Infect me with your lovin Fill me with your poison Take me ta ta take me Wanna be your victim Ready for abduction Boy you re an alien Your touch so foreign It s supernatural Extraterrestrial Extraterrestrial Extraterrestrial Boy you re an alien Your touch so foreign It s supernatural Extraterrestrial'
5,"Give Me Everything",Pitbull,2011,b' Me not working hard Yeah right Picture that with a Kodak Or better yet go to Times Square Take a picture of me with a Kodak Took my life from negative to positive I just want y all know that And tonight let s enjoy life Pitbull Nayer Ne Yo tell us right Tonight I want all of you tonight Give me everything tonight For all we know we might not get tomorrow Let s do it tonight Don t care what they say Or what games they play Nothing is enough Till they handle love Let s do it tonight I want you tonight I want you to stay I want you tonight Grab somebody sexy tell em hey Give me everything tonight Give me everything tonight Give me everything tonight Give me everything tonight Take advantage of tonight Cause tomorrow I m off to Dubai to perform for a princess But tonight I can make you my queen And make love to you endless This is insane the way the name growin Money keep flowin hustlers move aside So I m tiptoein to keep flowin I got it locked up like Lindsay Lohan Put it on my life baby I ll make you feel right baby Can t promise tomorrow but I promise tonight Excuse me And I might drink a little more than I should tonight And I might take you home with me if I could tonight And baby I ma make you feel so good tonight Cause we might not get tomorrow Tonight I want all of you tonight Give me everything tonight For all we know we might not get tomorrow Let s do it tonight Don t care what they say Or what games they play Nothing is enough Till they handle love Let s do it tonight I want you tonight I want you to stay I want you tonight Grab somebody sexy tell em hey Give me everything tonight Give me everything tonight Give me everything tonight Give me everything tonight Reach for the stars and if you don t grab them At least you ll fall on top of the world Think about it cause if you slip I m gon fall on top your girl What I m involved with is deeper than the Masons baby baby and it ain t no secret My granny s from Cuba but I m an American Idol Getting money like Seacrest Put it on my life baby I ll make you feel right baby Can t promise tomorrow but I promise tonight Excuse me And I might drink a little more than I should tonight And I might take you home with me if I could tonight And baby I ma make you feel so good tonight Cause we might not get tomorrow Tonight I want all of you tonight Give me everything tonight For all we know we might not get tomorrow Let s do it tonight Don t care what they say All the games they play Nothing is enough Till they handle love Let s do it tonight I want you tonight I want you to stay I want you tonight Grab somebody sexy tell em hey Give me everything tonight Give me everything tonight Give me everything tonight Give me everything tonight Excuse me But I might drink a little bit more than I should tonight And I might take you home with me if I could tonight And I think you should let me cause I look good tonight Cause we might not get tomorrow '
6,"Grenade",Bruno Mars,2011,b' Easy come easy go that s just how you live oh Take take take it all but you never give Shoulda known you was trouble from the first kiss Had your eyes wide open why were they open Gave you all I had and you tossed it in the trash You tossed it in the trash you did To give me all your love is all I ever ask Cause what you don t understand is I d catch a grenade for ya Throw my hand on a blade for ya I d jump in front of a train for ya You know I d do anything for ya Oh oh oh oh oh I would go through all this pain Take a bullet straight through my brain Yes I would die for ya baby But you won t do the same No no no no oh oh oh Black black black and blue beat me til I m numb Tell the devil I said Hey when you get back to where you re from Mad woman bad woman that s just what you are Yeah you ll smile in my face then rip the brakes out my car Gave you all I had and you tossed it in the trash You tossed it in the trash yes you did To give me all your love is all I ever ask Cause what you don t understand is I d catch a grenade for ya Throw my hand on a blade for ya I d jump in front of a train for ya You know I d do anything for ya Oh oh oh oh oh I would go through all this pain Take a bullet straight through my brain Yes I would die for ya baby But you won t do the same If my body was on fire Ooh you d watch me burn down in flames You said you loved me you re a liar Cause you never ever ever did baby But darlin I d still catch a grenade for ya Throw my hand on a blade for ya I d jump in front of a train for ya You know I d do anything for ya Oh oh oh oh oh I would go through all this pain Take a bullet straight through my brain Yes I would die for ya baby But you won t do the same No you won t do the same You wouldn t do the same Ooh you d never do the same No no no no oh oh oh'
7,"Fuck You",CeeLo Green,2011,b' I see you driving around town with the girl I love And I m like Fuck you I guess the change in my pocket wasn t enough I m like Fuck you and fuck her too Said if I was richer I d still be with ya Hah now ain t that some shit And although there s pain in my chest I still wish you the best With a fuck you Yeah I m sorry I can t afford a Ferrari But that don t mean I can t get you there I guess he s an Xbox and I m more Atari But the way you play your game ain t fair I pity the fool that falls in love with you Well I ve got some news for you I see you driving around town with the girl I love And I m like Fuck you I guess the change in my pocket wasn t enough I m like Fuck you and fuck her too Said if I was richer I d still be with ya Hah now ain t that some shit And although there s pain in my chest I still wish you the best With a fuck you Now I know that I had to borrow Beg and steal and lie and cheat Tryna keep ya tryna please ya Cause being in love with your ass ain t cheap I pity the fool that falls in love with you Well I ve got some news for you I see you driving around town with the girl I love And I m like Fuck you I guess the change in my pocket wasn t enough I m like Fuck you and fuck her too Said if I was richer I d still be with ya Hah now ain t that some shit And although there s pain in my chest I still wish you the best With a fuck you Now baby baby baby why d you wanna wanna hurt me so bad I tried to tell my momma but she told me This is one for your dad Yes she did Why Uh Why Uh Why lady Oh I love you Oh I still love you ooh I see you driving around town with the girl I love Fuck you I guess the change in my pocket wasn t enough I m like Fuck you and fuck her too Said if I was richer I d still be with ya Hah now ain t that some shit And although there s pain in my chest I still wish you the best With a fuck you '
8,"Super Bass",Nicki Minaj,2011,b' This one is for the boys with the booming system Top down AC with the cooler system When he come up in the club he be blazin up Got stacks on deck like he savin up And he ill he real he might gotta deal He pop bottles and he got the right kind of build He cold he dope he might sell coke He always in the air but he never fly coach He a muthafuckin trip trip sailor of the ship ship When he make it drip drip kiss him on the lip lip That s the kinda dude I was lookin for And yes you ll get slapped if you re lookin ho I said excuse me you re a hell of a guy I mean my my my my you re like pelican fly I mean you re so shy and I m loving your tie You re like slicker than the guy with the thing on his eye oh Yes I did yes I did Somebody please tell em who the eff I is I am Nicki Minaj I mack them dudes up back coupes up and chuck the deuce up Boy you got my heartbeat running away Beating like a drum and it s coming your way Can t you hear that boom badoom boom boom badoom boom bass He got that super bass Boom badoom boom boom badoom boom bass Yeah that s that super bass Boom boom boom boom Boom badoom boom boom badoom boom bass he got that super bass Boom badoom boom boom badoom boom bass he got that super bass Yo yo This one is for the boys in the polos Entrepreneur niggas and the moguls He could ball with the crew he could solo But I think I like him better when he dolo And I think I like him better with the fitted cap on He ain t even gotta try to put the mack on He just gotta give me that look when he give me that look Then the panties comin off off uh Excuse me you re a hell of a guy You know I really got a thing for American guys I mean sigh sickenin eyes I can tell that you re in touch with your feminine side uh Yes I did yes I did Somebody please tell him who the eff I is I am Nicki Minaj I mack them dudes up back coupes up and chuck the deuce up Boy you got my heartbeat running away Beating like a drum and it s coming your way Can t you hear that boom badoom boom boom badoom boom bass He got that super bass Boom badoom boom boom badoom boom bass Yeah that s that super bass Boom boom boom boom Boom badoom boom boom badoom boom bass he got that super bass Boom badoom boom boom badoom boom bass he got that super bass See I need you in my life for me to stay No no no no no I know you ll stay No no no no no don t go away Boy you got my heartbeat runnin away Don t you hear that heartbeat comin your way Oh it be like boom badoom boom boom badoom boom bass Can t you hear that boom badoom boom boom badoom boom bass Boy you got my heartbeat running away Beating like a drum and it s coming your way Can t you hear that boom badoom boom boom badoom boom bass He got that super bass Boom badoom boom boom badoom boom bass Yeah that s that super bass Boom boom boom boom Boom badoom boom boom badoom boom bass he got that super bass Boom badoom boom boom badoom boom bass he got that super bass'
9,"Moves like Jagger",Maroon 5,2011,b' Oh Oh Just shoot for the stars If it feels right then aim for my heart If you feel like And take me away And make it okay I swear I ll behave You wanted control so we waited I put on a show now I make it You say I m a kid My ego is big I don t give a shit And it goes like this Take me by the tongue and I ll know you Kiss me till you re drunk and I ll show you Want the moves like Jagger I ve got them moves like Jagger I ve got them moves like Jagger I don t need to try to control you Look into my eyes and I ll own you With them the moves like Jagger I ve got them moves like Jagger I ve got them moves like Jagger Baby it s hard and it feels like You re broken and scarred nothing feels right But when you re with me I ll make you believe That I ve got the key Oh so get in the car we can ride it Wherever you want get inside it And you wanna steer But I m shifting gears I ll take it from here And it goes like this Take me by the tongue and I ll know you Kiss me till you re drunk and I ll show you Want the moves like Jagger I ve got them moves like Jagger I ve got them moves like Jagger I don t need to try to control you Look into my eyes and I ll own you With them the moves like Jagger I ve got them moves like Jagger I ve got them moves like Jagger You wanna know how to make me smile Take control own me just for the night And if I share my secret You re gonna have to keep it Nobody else can see this So watch and learn I won t show you twice Head to toe oh baby rub me right And if I share my secret You re gonna have to keep it Nobody else can see this Hey hey hey yeah And it goes like this Take me by the tongue and I ll know you Kiss me till you re drunk and I ll show you You want the moves like Jagger I ve got them moves like Jagger I ve got them moves like Jagger I don t need a try to control you Look into my eyes and I ll own you With them the moves like Jagger I ve got them moves like Jagger I ve got them moves like Jagger'
10,"Just Can't Get Enough",The Black Eyed Peas,2011,b' Boy I think about it every night and day I m addicted wanna jam inside your love I wouldn t wanna have it any other way I m addicted and I just can t get enough I just can t get enough I just can t get enough I just can t get enough I just can t get enough Honey got her sexy on steaming She s give my hotness a new meaning Perfection mami you gleaming Inception you got a brother dreaming dreaming Damn baby I m fiendin I m tryna holla at you I m screaming Let me love you down this evening Girl we can form a team and I could be the King you could be the Queen and My mind s dirty and it don t need cleaning Oh baby I can t come down so please come help me out You got me feeling high and I can t step off the cloud And I just can t get enough Boy I think about it every night and day I m addicted wanna jam inside your love I wouldn t wanna have it any other way I m addicted and I just can t get enough I just can t get enough I just can t get enough I just can t get enough I just can t get enough Honey got me runnin like I m Flo Jo Signs her name on my heart with an XO Love so sweet got me vexed though I wanna wish it right back like Presto yes Meantime I wait for the next time She come around for a toast to the best time We LOL back and forth on the text line She got me fishin for her love I confess I m Something bout her smile and the convo Got me high and I ain t comin down yo My heart s pumpin out louder than electro She got me feelin like Mr Roboto Oh baby I can t come down so please come help me out You got me feeling high and I can t step off the cloud And I just can t get enough Boy I think about it every night and day I m addicted wanna jam inside your love I wouldn t wanna have it any other way I m addicted and I just can t get enough This is mega switch up Switch up switch up I just can t switch up Locked sunk in your bedrock Heart pumpin your love shot Knocked out by your cold shot I m stuck in your headlock Can t stop won t quit Makin me fiend give it to me I want it all you know what I mean Your love is a dose of ecstasy Addicted I can t get away from you Afflicted I need it I miss it I want your lovin right next to me And I can t erase you out of my memory I just can t switch up'
