Rank,Song,Artist,Year,Lyrics
1,Walk Like an Egyptian,The Bangles,1987,"b""All the old paintings on the tomb\nThey do the sand dance don't you know?\nIf they move too quick \nThey're falling down like a domino\nAll the bazaar men by the Nile\nThey got the money on a bet\nGold crocodiles \nThey snap their teeth on your cigarette\nForeign types with the hookah pipes say\nWalk like an Egyptian\nThe blonde waitresses take their trays\nThey spin around and they cross the floor\nThey've got the moves \nYou drop your drink then they bring you more\nAll the school kids so sick of books\nThey like the punk and the metal band\nWhen the buzzer rings \nThey're walking like an Egyptian\nAll the kids in the marketplace say\nWalk like an Egyptian\nSlide your feet up the street bend your back\nShift your arm then you pull it back\nLife is hard you know \nSo strike a pose on a Cadillac\nIf you want to find all the cops\nThey're hanging out in the donut shop\nThey sing and dance \nThey spin the clubs cruise down the block\nAll the Japanese with their yen\nThe party boys call the Kremlin\nAnd the Chinese know \nThey walk the line like Egyptian\nAll the cops in the donut shop say\nWalk like an Egyptian\nWalk like an Egyptian"""
2,Alone,Heart,1987,"b""I hear the ticking of the clock\nI'm lying here the room's pitch dark\nI wonder where you are tonight\nNo answer on the telephone\nAnd the night goes by so very slow\nOh I hope that it won't end though\nAlone\nTill now I always got by on my own\nI never really cared until I met you\nAnd now it chills me to the bone\nHow do I get you alone?\nHow do I get you alone?\nYou don't know how long I have wanted\nTo touch your lips and hold you tight oh\nYou don't know how long I have waited\nAnd I was gonna tell you tonight\nBut the secret is still my own\nAnd my love for you is still unknown\nAlone\nTill now I always got by on my own\nI never really cared until I met you\nAnd now it chills me to the bone\nHow do I get you alone?\nHow do I get you alone?\nHow do I get you alone?\nHow do I get you alone?\nAlone alone"""
3,Shake You Down,Gregory Abbott,1987,"b""Girl I\xe2\x80\x99ve been watching you\nFrom so far across the floor now baby\nThat\xe2\x80\x99s nothing new I\xe2\x80\x99ve watched you\nSo many times before now baby\nI see that look in your eyes \nAnd what it\xe2\x80\x99s telling me\nAnd you know ooh girl that I\xe2\x80\x99m not shy\nI\xe2\x80\x99m glad you picked up on my telepathy now baby\nYou read my mind \nGirl I wanna shake you down \nI can give you all the lovin\xe2\x80\x99 you need\nCome on let me take you down \nWe\xe2\x80\x99ll go all the way to heaven\nOoooh I been missing you\nAnd the way you make me feel inside\nWhat can I do? I can tell you\xe2\x80\x99ve got your pride now baby\nCome to me \nLet me ease your mind \nI\xe2\x80\x99ve got the remedy yes I do\nNow give me just a little time\nI wanna rock you down\nI\xe2\x80\x99m gonna love you\nOh well or well\nGirl I\xe2\x80\x99ve been missing you\nAnd you know it\xe2\x80\x99s funny\nEvery time I get to feelin' this way\nI wish I had you near me\nI wanna reach out and touch you\xe2\x80\xa6\nI can\xe2\x80\x99t stop thinking of the things we do\nThe way you call me baby when I\xe2\x80\x99m holding you\nI shake and I shiver when I know you\xe2\x80\x99re near\nThen you whisper in my ear \nChorus\nEeny-meeny-miny-mo \nCome on girl let\xe2\x80\x99s shock the show \nRoses are red and violets are blue\nI\xe2\x80\x99m gonna rock this world for you\nHey Baby\n(We\xe2\x80\x99ll go all the way to heaven\nYou read my mind)\nGirl I wanna shake you down\nI can give you all the lovin\xe2\x80\x99 you need\nCome on let me take you down\nWe\xe2\x80\x99ll go all the way to heaven"""
4,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,"b""I want to dance\nClocks strikes upon the hour\nAnd the sun begins to fade\nStill enough time to figure out\nHow to chase my blues away\nI've done alright up 'til now\nIt's the light of day that shows me how\nAnd when the night falls\nLoneliness calls\nOh! I want to dance with somebody\nI want to feel the heat with somebody\nYeah! I want to dance with somebody\nWith somebody who loves me\nOh! I want to dance with somebody\nI want to feel the heat with somebody\nYeah! I want to dance with somebody\nWith somebody who loves me\nI've been in love and lost my senses\nSpinning through the town\nSooner or later the fever ends\nAnd I wind up feeling down\nI need a man who'll take a chance\nOn a love that burns hot enough to last\nSo when the night falls\nMy lonely heart calls\nOh! I want to dance with somebody\nI want to feel the heat with somebody\nYeah! I want to dance with somebody\nWith somebody who loves me\nOh! I want to dance with somebody\nI want to feel the heat\nWith somebody\nYeah! I want to dance with somebody\nWith somebody who loves me\nSomebody who somebody who\nSomebody who loves me\nSomebody who somebody who\nTo hold me in his arms\nI need a man who'll take a chance\nOn a love that burns hot enough to last\nSo when the night falls\nMy lonely heart calls\nOh! I want to dance with somebody\nI want to feel the heat with somebody\nYeah! I want to dance with somebody\nWith somebody who loves me\nOh! I want to dance with somebody\nI want to feel the heat with somebody\nYeah! I want to dance with somebody\nWith somebody who loves me\nDance\nC'mon baby\nDance\nDance\nGet with this boy\nDance\nDon't you want to dance\nDance\nWith me baby\nDon't you want to dance\nDance\nWith me boy\nHey don't you want to dance\nDance\nWith me baby\nWith somebody who loves me\nDon't you want to dance say you want to dance\nDon't you want to dance\nDance\nDon't you want to dance say you want to dance\nDon't you want to dance\nDance\nDon't you want to dance say you want to dance\nDance\nWith somebody who loves me\nDance\nDance\nHey baby\nDance"""
5,Nothing's Gonna Stop Us Now,Starship,1987,"b""Lookin' in your eyes\nI see a paradise\nThis world that I found\nIs too good to be true\nStandin' here beside you\nWant so much to give you\nThis love in my heart\nThat I'm feelin' for you\nLet 'em say we're crazy\nI don't care 'bout that\nPut your hand in my hand\nBaby don't ever look back\nLet the world around us\nJust fall apart\nBaby we can make it\nIf we're heart to heart\nAnd we can build this dream together\nStanding strong forever\nNothing's gonna stop us now\nAnd if this world runs out of lovers\nWe'll still have each other\nNothing's gonna stop us\nNothing's gonna stop us now\nOh whoa\nI'm so glad I found you\nI'm not gonna lose you\nWhatever it takes\nI will stay here with you\nTake it to the good times\nSee it through the bad times\nWhatever it takes\nIs what I'm gonna do\nLet 'em say we're crazy\nWhat do they know\nPut your arms around me\nBaby don't ever let go\nLet the world around us\nJust fall apart\nBaby we can make it\nIf we're heart to heart\nAnd we can build this dream together\nStanding strong forever\nNothing's gonna stop us now\nAnd if this world runs out of lovers\nWe'll still have each other\nNothing's gonna stop us\nNothing's gonna stop us\nOoh all that I need is you\nAll that I ever need\nAnd all that I want to do\nIs hold you forever and ever and ever hey\nAnd we can build this dream together\nStanding strong forever\nNothing's gonna stop us now\nAnd if this world runs out of lovers\nWe'll still have each other\nNothing's gonna stop us\nNothing's gonna stop us\nBuild this dream together\nStanding strong forever\nNothing's gonna stop us now \nThis world runs out of lovers\nWe'll still have each other\nNothing's gonna stop us \nAnd we can build this dream together \nStanding strong forever \nNothing's gonna stop us now \nThis world runs out of lovers \nWe'll still have each other\nNothing's gonna stop us \nAnd we can build this dream together\nStanding strong forever\nNothing's gonna stop us now..."""
6,C'est La Vie,Robbie Nevil,1987,"b""Got a job\nThat's O.K\nBut they've got me\nWorking night and day\nPunching in\nPunching out\nIs this really what life's all about?\nWhat'cha gonna do?\nWhat'cha gonna feel?\nI don't know\nWhat'cha gonna feel?\nWhat'cha gonna do?\nOoh\nWon't someone tell me\nWhat'cha wanna say?\nWhat'cha wanna do?\nThere's only one thing left to say\nWhat'cha wanna say?\nWhat'cha wanna say?\nOoh\nC'est la vie\nC'est la vie\nThat's just the way it goes\nOh yeah\nC'est la vie\nC'est la vie\nThat's just the way it goes\nBaby's gone\nAll alone\nAre you sad\nBecause you're on your own?\nGet that girl\nParty down\nThere's so many good ones still around\nWhat'cha gonna do?\nWhat'cha gonna feel?\nI don't know\nWhat'cha gonna feel?\nWhat'cha gonna do?\nOoh\nWon't someone tell me\nWhat'cha wanna say?\nWhat'cha wanna do?\nThere's only one thing left to say\nWhat'cha wanna say?\nWhat'cha wanna say?\nOoh\nC'est la vie\nC'est la vie\nThat's just the way it goes\nOh yeah\nC'est la vie\nC'est la vie\nThat's just the way it goes\nHey J.J\nWhat you been doing?\nYou say your car broke down\nThe thing just isn't moving\nJ.J.J\nDon't you know?\nWhen you're down\nThere's just one way to go\nNow sing it\nC'est la vie\nC'est la vie\nThat's just the way it goes\nOh yeah\nC'est la vie\nC'est la vie\nThat's just the way it goes\nC'est la vie\nC'est la vie\nThat's just the way it goes\nOh yeah\nC'est la vie\nC'est la vie\nThat's just the way it goes\nC'est la vie\nC'est la vie\nThat's just the way it goes\nOh yeah\nC'est la vie\nC'est la vie\nThat's just the way it goes\nC'est la vie\nC'est la vie\nThat's just the way it goes\nOh yeah\nC'est la vie\nC'est la vie\nThat's just the way it goes"""
7,Here I Go Again,Whitesnake,1987,"b""I don't know where I'm going\nBut I sure know where I've been\nHanging on the promises in songs of yesterday\nAnd I've made up my mind\nI ain't wasting no more time\nBut here I go again\nHere I go again\nThough I keep searching for an answer\nI never seem to find what I'm looking for\nOh Lord I pray you give me strength to carry on\nCause I know what it means\nTo walk along the lonely street of dreams\nHere I go again on my own\nGoing down the only road I've ever known\nLike a drifter I was born to walk alone\nAnd I've made up my mind\nI ain't wasting no more time\nI'm just another heart in need of rescue\nWaiting on love's sweet charity\nAn' I'm gonna hold on for the rest of my days\nCause I know what it means\nTo walk along the lonely street of dreams\nHere I go again on my own\nGoing down the only road I've ever known\nLike a drifter I was born to walk alone\nAnd I've made up my mind\nI ain't wasting no more time\nBut here I go again\nHere I go again\nHere I go again\nHere I go\nAnd I've made up my mind\nI ain't wasting no more time\nHere I go again on my own\nGoing down the only road I've ever known\nLike a drifter I was born to walk alone\nCause I know what it means\nTo walk along the lonely street of dreams\nHere I go again on my own\nGoing down the only road I've ever known\nLike a drifter I was born to walk alone\nAnd I've made up my mind\nI ain't wasting no more time\nBut here I go again\nHere I go again\nHere I go again\nHere I go\nHere I go again\nCause I know what it means\nTo walk along the lonely street of dreams\nHere I go again on my own\nGoing down the only road I've ever known\nLike a drifter I was born to walk alone\nAnd I've made up my mind\nI ain't wasting no more time"""
8,The Way It Is,Bruce Hornsby,1987,"b'Standin\' in line marking time\nWaiting for the welfare dime\n\'Cause they can\'t buy a job\nThe man in the silk suit hurries by\nAs he catches the poor old lady\'s eyes\nJust for fun he says ""Get a job""\nThat\'s just the way it is\nSome things\'ll never change\nThat\'s just the way it is\nHa but don\'t you believe them\nSaid ""Hey little boy you can\'t go where the others go\n\'Cause you don\'t look like they do""\nSaid ""Hey old man how can you stand to think that way?\nDid you really think about it before you made the rules?""\nHe said\nThat\'s just the way it is\nSome things\'ll never change\nThat\'s just the way it is\nHa but don\'t you believe them\nThat\'s just the way it is\nThat\'s just the way it is\nWell they passed a law in \'64\nTo give those who ain\'t got a little more\nBut it only goes so far\n\'Cause the law don\'t change another\'s mind\nWhen all it sees at the hiring time\nIs the line on the color bar\nBut who knows\nThat\'s just the way it is\nSome things\'ll never change\nThat\'s just the way it is\nThat\'s just the way it is it is it is it is'"
9,Shakedown,Bob Seger,1987,"b""No matter what you think you pulled\nYou'll find it's not enough\nNo matter who you think you know\nYou won't get through\nIt's a given L.A. law\nSomeone's faster on the draw\nNo matter where you hide\nI'm coming after you you\nNo matter how the race is run\nIt always ends the same\nAnother room without a view\nAwaits downtown\nYou can shake me for a while\nLive it up in style\nNo matter what you do\nI'm going to take you down\nShakedown breakdown take down\nEverybody wants into the crowded line\nBreakdown take down\nYou're busted\nLet down your guard honey\nJust about the time you're thinkin' it's alright\nBreakdown take down\nYou're busted \nThis is a town where everyone\nIs reaching for the top\nThis is a place where\nSecond best will never do\nIt's okay you want to shine\nBut once you step across that line\nNo matter where you hide\nI'm coming after you\nShakedown breakdown take down\nEverybody wants into the crowded line\nBreakdown take down\nYou're busted\nShakedown breakdown honey\nJust about the time you're thinking it's alright\nBreakdown take down\nYou're busted\nOh busted\nOh oh\nShakedown  breakdown  takedown\nEverybody wants into the crowded line\nBreakdown  takedown \nYou're busted \nShakedown  breakdown  honey\nJust about the time you're thinking it's alright\nBreakdown  takedown \nYou're busted\nShakedown breakdown take down\nEverybody wants into the crowded line\nBreakdown take down\nYou're busted\nLet down your guard honey\nJust about the time you're thinking it's alright\nBreakdown take down\nOh you're busted\nShakedown breakdown take down\nEverybody wants into the crowded line\nBreakdown take down\nYou're busted\nLet down your guard honey\nJust about the time you're thinking it's alright"""
10,Livin' on a Prayer,Bon Jovi,1987,"b'Once upon a time not so long ago\nTommy used to work on the docks union\'s been on strike\nHe\'s down on his luck it\'s tough so tough\nGina works the diner all day working for her man\nShe brings home her pay for love mmm for love\nShe says ""We\'ve got to hold on to what we\'ve got\nIt doesn\'t make a difference if we make it or not\nWe\'ve got each other and that\'s a lot for love\nWe\'ll give it a shot""\nWoah we\'re halfway there\nWoah-oh livin\' on a prayer\nTake my hand we\'ll make it I swear\nWoah-oh livin\' on a prayer\nTommy\'s got his six-string in hock now he\'s holding in\nWhat he used to make it talk so tough ooh it\'s tough\nGina dreams of running away when she cries in the night\nTommy whispers ""Baby it\'s okay someday\nWe\'ve got to hold on to what we\'ve got\nIt doesn\'t make a difference if we make it or not\nWe\'ve got each other and that\'s a lot for love\nWe\'ll give it a shot""\nWoah we\'re halfway there\nWoah-oh livin\' on a prayer\nTake my hand we\'ll make it I swear\nWoah-oh livin\' on a prayer livin\' on a prayer\nOoh we\'ve got to hold on ready or not\nYou live for the fight when it\'s all that you\'ve got\nWoah we\'re halfway there\nWoah-oh livin\' on a prayer\nTake my hand and we\'ll make it I swear\nWoah-oh livin\' on a prayer\nWoah we\'re halfway there\nWoah-oh livin\' on a prayer\nTake my hand and we\'ll make it I swear\nWoah-oh livin\' on a prayer\nWoah we\'re halfway there\nWoah-oh livin\' on a prayer\nTake my hand and we\'ll make it I swear...\n(Woah we\'re halfway there\nWoah-oh livin\' on a prayer)'"
