Rank,Song,Artist,Year,Lyrics
1,Bette Davis Eyes,Kim Carnes,1981,"b""Her hair is Harlow gold\nHer lips sweet surprise\nHer hands are never cold\nShe's got Bette Davis eyes\nShe'll turn her music on you\nYou won't have to think twice\nShe's pure as New York snow\nShe's got Bette Davis eyes\nAnd she'll tease you\nShe'll unease you\nAll the better just to please you\nShe's precocious and she knows just\nWhat it takes to make a pro blush\nShe got Greta Garbo stand off sighs\nShe's got Bette Davis eyes\nShe'll let you take her home\nIt whets her appetite\nShe'll lay you on her throne\nShe's got Bette Davis eyes\nShe'll take a tumble on you\nRoll you like you were dice\nUntil you come out blue\nShe's got Bette Davis eyes\nShe'll expose you\nWhen she snows you\nOff your feet with the crumbs she throws you\nShe's ferocious and she knows just\nWhat it takes to make a pro blush\nAll the boys think she's a spy\nShe's got Bette Davis eyes\nAnd she'll tease you\nShe'll unease you\nAll the better just to please you\nShe's precocious and she knows just\nWhat it takes to make a pro blush\nAll the boys think she's a spy\nShe's got Bette Davis eyes\nShe'll tease you\nShe'll unease you\nJust to please ya\nShe's got Bette Davis eyes\nShe'll expose you\nWhen she snows you\nShe knows ya\nShe's got Bette Davis eyes"""
2,Endless Love,Diana Ross,1981,"b""My love\nThere's only you in my life\nThe only thing that's bright\nMy first love\nYou're every breath that I take\nYou're every step I make\nAnd I\nI want to share\nAll my love with you\nNo one else will do\nAnd your eyes\nYour eyes your eyes\nThey tell me how much you care\nOoh yes you will always be\nMy endless love\nTwo hearts\nTwo hearts that beat as one\nOur lives have just begun\nForever\nI'll hold you close in my arms\nI can't resist your charms\nAnd love\nOh love\nI'll be a fool\nFor you\nI'm sure\nYou know I don't mind\nOh you know I don't mind\nCause you\nYou mean the world to me\nOh\nI know\nI know\nI've found in you\nMy endless love\nOooh-woow\nBoom boom \nAnd yes\nYou'll be the only one\nCause no one can deny\nThis love I have inside\nAnd I'll give it all to you\nMy love\nMy love my love\nMy endless love"""
3,Lady,Kenny Rogers,1981,"b""Lady I'm your knight in shining armor\nAnd I love you\nYou have made me what I am and I am yours\nMy love there's so many ways\nI want to say I love you\nLet me hold you in my arms forever more\nYou have gone and made me such a fool\nI'm so lost in your love\nAnd oh we belong together\nWon't you believe in my song\nLady for so many years\nI thought I'd never find you\nYou have come into my life\nAnd made me whole\nForever let me wake to see you each and every morning\nLet me hear you whisper softly in my ear\nIn my eyes I see no one else but you\nThere's no other love like our love\nAnd yes oh yes\nI'll always want you near me\nI've waited for you for so long\nLady your love's the only love I need\nAnd beside me is where I want you to be\n'Cause my love\nThere's something I want you to know\nYou're the love of my life\nYou're my lady"""
4,(Just Like) Starting Over,John Lennon,1981,"b""Our life together is so precious together\nWe have grown - we have grown\nAlthough our love is still special\nLet's take our chance and fly away somewhere alone\nIt's been so long since we took the time\nNo-one is to blame\nI know time flies so quickly\nBut when I see you darling\nIt's like we both are falling in love again\nIt'll be just like starting over - starting over\nEveryday we used to make it love\nWhy can't we be making love nice and easy\nIt's time to spread our wings and fly\nDon't let another day go by my love\nIt'll be just like starting over - starting over\nWhy don't we take off alone\nTake a trip somewhere far far away\nWe'll be together all alone again\nLike we used to in the early days\nWell well well darling\nIt's been so long since we took the time\nNo-one is to blame\nI know time flies so quickly\nBut when I see you darling\nIt's like we both are falling in love again\nIt'll be just like starting over - starting over\nEveryday we used to make it love\nWhy can't we be making love nice and easy\nIt's time to spread our wings and fly\nDon't let another day go by my love\nIt'll be just like starting over - starting over\nOur life together is so precious together\nWe have grown - we have grown\nAlthough our love is still special\nLet's take our chance and fly away somewhere...\nStarting over"""
5,Jessie's Girl,Rick Springfield,1981,"b""Jessie is a friend\nYeah I know he's been a good friend of mine\nBut lately something's changed that ain't hard to define\nJessie's got himself a girl and I wanna make her mine\nAnd she's watching him with those eyes\nAnd she's lovin' him with that body\nI just know it\nAnd he's holding her in his arms late late at night\nYou know I wish that I had Jessie's girl\nI wish that I had Jessie's girl\nWhere can I find a woman like that?\nI'll play along with this charade\nThat doesn't seem to be a reason to change\nYou know I feel so dirty when they start talking cute\nI wanna tell her that I love her but the point is probably moot\nCause she's watching him with those eyes\nAnd she's lovin' him with that body\nI just know it\nAnd he's holding her in his arms late late at night\nYou know I wish that I had Jessie's girl\nI wish that I had Jessie's girl\nWhere can I find a woman like that?\nLike Jessie's girl\nI wish that I had Jessie's girl\nWhere can I find a woman...\nWhere can I find a woman like that?\nAnd I'm lookin' in the mirror all the time\nWonderin' what she don't see in me\nI've been funny; I've been cool with the lines\nAin't that the way love's supposed to be?\nTell me where can I find a woman like that?\nYou know I wish that I had Jessie's girl\nI wish that I had Jessie's girl\nI want Jessie's girl\nWhere can I find a woman like that?\nLike Jessie's girl\nI wish that I had Jessie's girl\nI want I want Jessie's girl"""
6,Celebration,Kool,1981,"b""Celebrate good times come on \nCelebrate good times come on \nThere's a party goin' on right here\nA celebration to last throughout the years\nSo bring your good times and your laughter too\nWe gonna celebrate your party with you\nCome on now\n Let's all celebrate and have a good time\n We gon' celebrate and have a good time\nIt's time to come together\nIt's up to you what's your pleasure?\n It's a celebration\nCelebrate good times come on \nCelebrate good times come on \nThere's a party goin' on right here\nA dedication to last throughout the years\nSo bring your good times and your laughter too\nWe gonna celebrate and party with you\nCome on now\n Let's all celebrate and have a good time\n We gon' celebrate and have a good time\nIt's time to come together\nIt's up to you what's your pleasure?\n It's a celebration\n It's a celebration\nCelebrate good times come on \nCelebrate good times come on \nWe're gonna have a good time tonight\nLet's celebrate it's all right\nWe're gonna have a good time tonight\nLet's celebrate it's all right baby\nWe're gonna have a good time tonight \nLet's celebrate it's all right\nWe're gonna have a good time tonight \nLet's celebrate it's all right\nCelebrate good times come on \nCelebrate good times come on \nCelebrate good times come on \nCelebrate good times come on \nCelebrate good times come on\nCelebrate good times come on \nCelebrate good times come on"""
7,Kiss on My List,Hall,1981,"b""My friends wonder why I call you all the time what can I say?\nI don't feel the need to give such secrets away\nYou think maybe I need help though I know I'm right all right\nI'm just better off not listening to friends' advice\nWhen they insist on knowing my bliss\nI tell them this\nWhen they want to know what the reason is\nI only smile when I lie then I tell them why\nBecause your kiss your kiss is on my list\nBecause your kiss your kiss is on my list\nBecause your kiss is on my list of the best things in life\nBecause your kiss your kiss is on my list\nBecause your kiss your kiss I can't resist\nBecause your kiss is what I miss when I turn out the light\nI go crazy wondering what there is to really see\nDid the night just take up your time 'cause it means more to me\nSometimes I forget what I'm doing I don't forget what I want I want\nRegret what I've done regret you? I couldn't go on\nBut if you insist on knowing my bliss\nI'll tell you this\nIf you want to know what the reason is\nI only smile when I lie then I'll tell you why\nBecause your kiss your kiss is on my list\nBecause your kiss your kiss is on my list\nBecause your kiss is on my list of the best things in life\nBecause your kiss your kiss is on my list\nBecause your kiss your kiss I can't resist\nBecause your kiss is what I miss when I turn out the light\nI really miss you babe\nBecause your kiss your kiss is on my list\nBecause your kiss your kiss is on my list\nBecause your kiss is on my list of the best things in life\nOh babe because your kiss your kiss is on my list\nBecause your kiss your kiss I can't resist\nBecause your kiss is what I miss when I turn out the light\nBecause your kiss your kiss is on my list\nBecause your kiss your kiss I can't resist\nBecause your kiss is on my list of the best things in life\nOhh because your kiss your kiss is on my list..."""
8,I Love a Rainy Night,Eddie Rabbitt,1981,"b""Well I love a rainy night\nI love a rainy night\nI love to hear the thunder\nWatch the lightning\nWhen it lights up the sky\nYou know it makes me feel good\nWell I love a rainy night\nIt's such a beautiful sight\nI love to feel the rain\nOn my face\nTaste the rain on my lips\nIn the moonlight shadow\nShowers washed\nAll my cares away\nI wake up to a sunny day\n'Cause I love a rainy night\nYeah I love a rainy night\nWell I love a rainy night\nWell I love a rainy night\nOoh-ooh\nI love a rainy night\nI love a rainy night\nI love to hear the thunder\nWatch the lightning\nWhen it lights up the sky\nYou know it makes me feel good\nWell I love a rainy night\nIt's such a beautiful sight\nI love to feel the rain\nOn my face\nTo taste the rain on my lips\nIn the moonlight shadows\nPuts a song\nIn this heart of mine\nPuts a smile on my face every time\n'Cause I love a rainy night\nYeah I love a rainy night\nOoh I love a rainy night\nYeah I love a rainy night\nOoh-ooh\nShowers washed\nAll my cares away\nI wake up to a sunny day\n'Cause I love a rainy night\nYeah I love a rainy night\nWell I love a rainy night\nI love a rainy night\nWell I love a rainy night\nYou can see it in my eyes\nYeah I love a rainy night\nWell it makes me high\nOoh I love a rainy night\nYou know I do yeah yeah\nI love a rainy night\nI love a rainy night\nYou can see it in my eyes.."""
9,9 To 5,Dolly Parton,1981,"b""Tumble outta bed\nAnd stumble to the kitchen\nPour myself a cup of ambition\nYawnin' and stretchin' and try to come to life\nJump in the shower\nAnd the blood starts pumpin'\nOut on the streets\nThe traffic starts jumpin'\nWith folks like me on the job from 9 to 5\nWorking 9 to 5\nWhat a way to make a living\nBarely gettin' by\nIt's all taking\nAnd no giving\nThey just use your mind\nAnd they never give you credit\nIt's enough to drive you\nCrazy if you let it\n9 to 5 for service and devotion\nYou would think that I\nWould deserve a fair promotion\nWant to move ahead\nBut the boss won't seem to let me\nI swear sometimes that man is out to get me\nMmmmm...\nThey let you dream\nJust to watch them shatter\nYou're just a step\nOn the boss man's ladder\nBut you got dreams he'll never take away\nIn the same boat\nWith a lot of your friends\nWaiting for the day\nYour ship will come in\nAnd the tide's gonna turn\nAn' it's all gonna roll you away\nWorking 9 to 5\nWhat a way to make a living\nBarely gettin' by\nIt's all taking\nAnd no giving\nThey just use your mind\nAnd you never get the credit\nIt's enough to drive you\nCrazy if you let it\n9 to 5 yeah they got you where they want you\nThere's a better life\nAnd you think about it don't you\nIt's a rich man's game\nNo matter what they call it\nAnd you spend your life\nPutting money in his wallet\nWorking 9 to 5\nWhat a way to make a living\nBarely gettin' by\nIt's all taking\nAnd no giving\nThey just use your mind\nAnd they never give you credit\nIt's enough to drive you\nCrazy if you let it\n9 to 5 yeah they got you where they want you\nThere's a better life\nAnd you think about it don't you\nIt's a rich man's game\nNo matter what they call it\nAnd you spend your life\nPutting money in his wallet"""
10,Keep on Loving You,REO Speedwagon,1981,"b""You should've seen by the look in my eyes baby\nThere was something missing\nYou should've known by the tone of my voice maybe\nBut you didn't listen\nYou played dead\nBut you never bled\nInstead you lay still in the grass\nAll coiled up and hissing\nAnd though I know all about those men\nStill I don't remember\nCause it was us baby way before then\nAnd we're still together\nAnd I meant every word I said\nWhen I said that I love you I meant\nThat I love you forever\nAnd I'm gonna keep on loving you\nCause it's the only thing I wanna do\nI don't wanna sleep\nI just wanna keep on loving you\nAnd I meant every word I said\nWhen I said that I love you I meant\nThat I love you forever\nAnd I'm gonna keep on loving you\nCause it's the only thing I wanna do\nI don't wanna sleep\nI just wanna keep on loving you"""
