Rank,Song,Artist,Year,Lyrics
1,Careless Whisper,Wham!,1985,"b""Time can never mend\nThe careless whispers of a good friend\nTo the heart and mind ignorance is kind\nThere's no comfort in the truth pain is all that you'll find\nShould have known better yeah\nI feel so unsure\nAs I take your hand and lead you to the dance floor\nAs the music dies something in your eyes\nCalls to mind a silver screen and all its sad goodbyes\nI'm never gonna dance again guilty feet have got no rhythm\nThough it's easy to pretend I know you're not a fool\nI should have known better than to cheat a friend\nAnd waste a chance that I'd been given\nSo I'm never gonna dance again the way I danced with you\nTime can never mend\nThe careless whispers of a good friend\nTo the heart and mind ignorance is kind\nThere's no comfort in the truth pain is all that you'll find\nI'm never gonna dance again guilty feet have got no rhythm\nThough it's easy to pretend I know you're not a fool\nI should have known better than to cheat a friend\nAnd waste a chance that I'd been given\nSo I'm never gonna dance again the way I danced with you\nNever without your love\nTonight the music seems so loud\nI wish that we could lose this crowd\nMaybe it's better this way\nWe'd hurt each other with the things we want to say\nWe could have been so good together\nWe could have lived this dance forever\nBut now who's gonna dance with me?\nPlease stay and...\nI'm never gonna dance again guilty feet have got no rhythm\nThough it's easy to pretend I know you're not a fool\nI should have known better than to cheat a friend\nAnd waste a chance that I'd been given\nSo I'm never gonna dance again the way I danced with you\nNow that you're gone now that you're gone\nNow that you're gone was what I did so wrong so wrong\nThat you had to leave me alone?"""
2,Like a Virgin,Madonna,1985,"b""I made it through the wilderness\nSomehow I made it through\nDidn't know how lost I was until I found you\nI was beat incomplete I'd been had\nI was sad and blue but you made me feel\nYeah you made me feel shiny and new\nLike a virgin\nTouched for the very first time\nLike a virgin\nWhen your heart beats next to mine\nGonna give you all my love boy\nMy fear is fading fast\nBeen saving it all for you 'cause only love can last\nYou're so fine and you're mine\nMake me strong yeah you make me bold\nOh your love thawed out\nYeah your love thawed out what was scared and cold\nLike a virgin \nTouched for the very first time\nLike a virgin\nWith your heartbeat next to mine\nYou're so fine and you're mine\nI'll be yours 'til the end of time\n'Cause you made me feel\nYeah you made me feel I've nothing to hide\nLike a virgin \nTouched for the very first time\nLike a virgin\nWith your heartbeat next to mine\nLike a virgin\nLike a virgin\nFeels so good inside\nWhen you hold me and your heart beats and you love me\nOoh baby yeah\nCan't you hear my heart beat for the very first time?"""
3,Wake Me Up Before You Go-Go,Wham!,1985,"b""Jitterbug\nJitterbug\nJitterbug\nJitterbug\nYou put the boom boom into my heart\nYou send my soul sky high when your lovin' starts\nJitterbug into my brain\nGoes a bang-bang-bang 'til my feet do the same\nBut something's bugging me\nSomething ain't right\nMy best friend told me what you did last night\nLeft me sleepin' in my bed\nI was dreaming but I should have been with you instead\nWake me up before you go-go\nDon't leave me hanging on like a yo-yo\nWake me up before you go-go\nI don't want to miss it when you hit that high\nWake me up before you go-go\nCause I'm not plannin' on going solo\nWake me up before you go-go\nTake me dancing tonight\nI wanna hit that high \nYou take the grey skies out of my way\nYou make the sun shine brighter than Doris Day\nTurned a bright spark into a flame\nMy beats per minute never been the same\nCause you're my lady I'm your fool\nIt makes me crazy when you act so cruel\nCome on baby let's not fight\nWe'll go dancing everything will be all right\nJitterbug\nJitterbug\nCuddle up baby move in tight\nWe'll go dancing tomorrow night\nIt's cold out there but it's warm in bed\nThey can dance we'll stay home instead\nJitterbug"""
4,I Want to Know What Love Is,Foreigner,1985,"b""I've gotta take a little time\nA little time to think things over\nI better read between the lines\nIn case I need it when I'm older\nNow this mountain I must climb\nFeels like a world upon my shoulders\nThrough the clouds I see love shine\nIt keeps me warm as life grows colder\nIn my life there's been heartache and pain\nI don't know if I can face it again\nCan't stop now I've traveled so far\nTo change this lonely life\nI wanna know what love is\nI want you to show me\nI wanna feel what love is\nI know you can show me\nI'm gonna take a little time\nA little time to look around me\nI've got nowhere left to hide\nIt looks like love has finally found me\nIn my life there's been heartache and pain\nI don't know if I can face it again\nCan't stop now I've traveled so far\nTo change this lonely life\nI wanna know what love is\nI want you to show me\nI wanna feel what love is\nI know you can show me\nI wanna know what love is\nI want you to show me\n I wanna feel what love is\n I know you can show me\nLet's talk about love\nI wanna know what love is \nI want you to show me \nI wanna feel what love is \nI know you can show me \nI wanna know what love is \nI want you can show me \nI wanna feel what love is \nI know you can show me \nI wanna know what love is \nI want you to show me\nI wanna feel what love is \nI know you can show me"""
5,I Feel for You,Chaka Khan,1985,"b""MELLE MEL:\nChaka Chaka Chaka Chaka Khan\nChaka Khan Chaka Khan Chaka Khan\nChaka Khan let me rock you\nLet me rock you Chaka Khan\nLet me rock you that's all I wanna do\nChaka Khan let me rock you\nLet me rock you Chaka Khan\nLet me rock you let me feel for you\nChaka Khan let me tell you what I wanna do\nDo you feel for me the way I feel for you\nChaka Khan let me tell you what I wanna do\nI wanna love you wanna hug you wanna squeeze you too\nLet me take you in my arms\nLet me fill you with my charms Chaka\nCause you know that I'm the one to keep you warm\nChaka I'll make you more than just a physical dream\nI wanna rock you Chaka\nBaby cause you make me wanna scream\nLet me rock you rock you\nBaby baby when I look at you\nI get a warm feeling inside\nThere's something about the things you do\nThat keeps me satisfied\nI wouldn't lie to you baby\nIt's mainly a physical thing\nThis feeling that i got for you baby\nMakes me wanna sing\nCHORUS:\nI feel for you\nI think I love you\nI feel for you\nI think I love you\nMELLE MEL:\nChaka Khan let me rock you\nLet me rock you Chaka Khan\nLet me rock you that's all I wanna do\nChaka Khan let me rock you\nLet me rock you Chaka Khan\nLet me rock you let me feel for you\nFeel for you\nBaby baby when I lay with you\nThere's no place I'd rather be\nI can't believe can't believe it's true\nThe things that you do to me\nI wouldn't lie to you baby\nI'm physically attracted to you\nThis feeling that I got for you baby\nThere's nothing that I wouldn't do\nCHORUS\nYes sir one more time\nSay yeah\nI feel for you \nI feel for you \nMELLE MEL:\nChaka Khan let me rock you\nLet me rock you Chaka Khan\nLet me rock you that's all I wanna do\nChaka Khan let me rock you\nLet me rock you Chaka Khan\nLet me rock you let me feel for you\nChaka Khan won't you tell me what you wanna do\nDo you feel for me the way I feel for you\nChaka Khan let me tell you what I wanna do\nI wanna love you wanna hug you wanna squeeze you too\nLet me take you in my arms\nLet me fill you with my charms Chaka\nCause you know that I'm the one to keep you warm\nChaka I'll make you more than just a physical dream\nI wanna rock you Chaka\nBaby cause you make me wanna scream\nFeel for you\nI feel for you \nI feel it too \nI feel for you \nCHORUS"""
6,Out of Touch,Hall,1985,"b""Shake it up is all that we know\nUsing the bodies up as we go\nI'm waking up to fantasy\nThe shades all around aren't the colors we used to see\nBroken ice still melts in the sun\nAnd times that are broken can often be one again\nWe're soul alone\nAnd soul really matters to me\nTake a look around\nYou're out of touch\nI'm out of time\nBut I'm out of my head\nWhen you're not around\nYou're out of touch\nI'm out of time\nBut I'm out of my head\nWhen you're not around\nReaching out for something to hold\nLooking for a love where the climate is cold\nManic moves and drowsy dreams\nOr living in the middle between the two extremes\nSmoking guns hot to the touch\nWould cool down if we didn't\nUse them so much yeah\nWe're soul alone\nAnd soul really matters to me\nToo much\nYou're out of touch\nI'm out of time\nBut I'm out of my head\nWhen you're not around\nYou're out of touch\nI'm out of time\nBut I'm out of my head\nWhen you're not around\nYou're out of touch\nI'm out of time\nBut I'm out of my head\nWhen you're not around\nYou're out of touch \nI'm out of time\nBut I'm out of my head\nWhen you're not around"""
7,Everybody Wants to Rule the World,Tears for Fears,1985,"b""Welcome to your life\nThere's no turning back\nEven while we sleep\nWe will find you\nActing on your best behaviour\nTurn your back on mother nature\nEverybody wants to rule the world\nIt's my own design\nIt's my own remorse\nHelp me to decide\nHelp me make the most\nOf freedom and of pleasure\nNothing ever lasts forever\nEverybody wants to rule the world\nThere's a room where the light won't find you\nHolding hands while the walls come tumbling down\nWhen they do I'll be right behind you\nSo glad we've almost made it\nSo sad they had to fade it\nEverybody wants to rule the world\nI can't stand this indecision\nMarried with a lack of vision\nEverybody wants to rule the world\nSay that you'll never never never never need it\nOne headline - why believe it?\nEverybody wants to rule the world\nAll for freedom and for pleasure\nNothing ever lasts forever\nEverybody wants to rule the world"""
8,Money for Nothing,Dire Straits,1985,"b""I want my MTV\nNow look at them yo-yo's that's the way you do it\nYou play the guitar on the MTV\nThat ain't workin' that's the way you do it\nMoney for nothin' and chicks for free\nNow that ain't workin' that's the way you do it\nLemme tell ya them guys ain't dumb\nMaybe get a blister on your little finger\nMaybe get a blister on your thumb\nWe got to install microwave ovens\nCustom kitchen deliveries\nWe got to move these refrigerators\nWe got to move these color TV's\nSee the little faggot with the earring and the makeup?\nYeah buddy that's his own hair\nThat little faggot got his own jet airplane\nThat little faggot he's a millionaire\nWe got to install microwave ovens\nCustom kitchen deliveries\nWe got to move these refrigerators\nWe got to move these color TV's\nMover mover\nWe got to install microwave ovens\nCustom kitchen deliveries\nWe got to move these refrigerators\nWe got to move these color TV's\nLooky here look out\nI shoulda learned to play the guitar\nI shoulda learned to play them drums\nLook at that mama she got it stickin' in the camera man\nWe could have some\nAnd he's up there what's that? Hawaiian noises?\nBangin' on the bongos like a chimpanzee\nThat ain't workin' that's the way you do it\nGet your money for nothin' get your chicks for free\nWe got to install microwave ovens\nCustom kitchen deliveries\nWe got to move these refrigerators\nWe got to move these color TV's\nListen here now that ain't workin' that's the way you do it\nYou play the guitar on the MTV\nThat ain't workin' that's the way you do it\nMoney for nothin' and your chicks for free\nMoney for nothin'  and chicks for free\nMoney for nothin'\nAnd your chicks for free\nMoney for nothin'\nAnd your chicks for free\nMoney for nothin'\nAnd your chicks for free\nMoney for nothin' \nAnd your chicks for free\nMoney for nothin'\nAnd your chicks for free\nMoney for nothin'\nAnd your chicks for free\nMoney for nothin'\nAnd your chicks for free\nLook at that look at that\nMoney for nothin' \nAnd your chicks for free \nMoney for nothin' \nAnd your chicks for free \nMoney for nothin' \nAnd your chicks for free \nMoney for nothin' \nAnd your chicks for free \nEasy easy money for nothin' \nEasy easy chicks for free \nEasy easy money for nothin' \nChicks for free \nThat ain't workin'\nMoney for nothing\nChicks for free\nMoney for nothing\nChicks for free"""
9,Crazy for You,Madonna,1985,"b""Swaying room as the music starts\nStrangers making the most of the dark\nTwo by two their bodies become one\nI see you through the smokey air\nCan't you feel the weight of my stare\nYou're so close but still a world away\nWhat I'm dying to say is that\nI'm crazy for you\nTouch me once and you'll know it's true\nI never wanted anyone like this\nIt's all brand new\nYou'll feel it in my kiss\nI'm crazy for you crazy for you\nTrying hard to control my heart\nI walk over to where you are\nEye to eye we need no words at all\nSlowly now we begin to move\nEvery breath I'm deeper into you\nSoon we two are standing still in time\nIf you read my mind you'll see\nI'm crazy for you\nTouch me once and you'll know it's true\nI never wanted anyone like this\nIt's all brand new\nYou'll feel it in my kiss\nYou'll feel it in my kiss\nBecause I'm crazy for you\nTouch me once and you'll know it's true\nI never wanted anyone like this\nIt's all brand new\nYou'll feel it in my kiss\nI'm crazy for you\nCrazy for you\nCrazy for you\nIt's all brand new I'm crazy for you\nAnd you know it's true\nI'm crazy crazy for you\nIt's all brand new I'm crazy for you\nAnd you know it's true\nYeah I'm crazy for you\nCrazy for you baby\nI'm crazy for you\nCrazy for you baby"""
10,Take on Me,a-ha,1985,"b""We're talking away\nI don't know what I'm to say\nI'll say it anyway\nToday's another day to find you\nShying away\nI'll be coming for your love OK?\nTake on me \nTake me on \nI'll be gone\nIn a day or two\nSo needless to say\nI'm odds and ends\nBut I'll be stumbling away\nSlowly learning that life is ok\nSay after me\nIt's no better to be safe than sorry\nTake on me \nTake me on \nI'll be gone\nIn a day or two\nOh things that you say\nIs it a life or just to play my worries away\nYou're all the things I've got to remember\nYou're shying away\nI'll be coming for you anyway\nTake on me \nTake me on \nI'll be gone\nIn a day\nTake on me \nTake me on \nI'll be gone\nIn a day"""
