Rank,Song,Artist,Year,Lyrics
1,"Yeah!",Usher,2004,b' Peace up A Town down Yeah Okay Usher Lil Jon Yeah yeah yeah yeah yeah yeah Yeah yeah yeah yeah yeah yeah Let s go I was up in the club with my homies trying to get a lil V I Keep it down on the low key You should know how it feels I seen shorty she was checking up on me From the game she was spitting in my ear You would think that she know me I decided to chill Conversation got heavy She had me feeling like she s ready to blow Ohh She s saying come get me So I got up and followed her to the floor She said baby let s go When I told her I said Yeah Shorty got down low said come and get me Yeah I got so caught up I forgot she told me Yeah Her and my girl they used to be the best of homies Yeah Next thing I knew she was all up on me screaming Yeah yeah yeah yeah Yeah yeah yeah yeah She s all up in my head now got me thinking That it might be a good idea to take her with me Cause she s ready to leave ready to leave now And I got to keep it real now Cause on a one to ten she s a certified twenty But that just ain t me Cause I don t know if I take that chance Just where s it gonna lead But what I do know is the way she dance Make shorty alright with me The way she get low I m like yeah just work that out for me She asks for one more dance and I m like yeah How the hell am I supposed to leave And I say Yeah Shorty got down low said come and get me Yeah I got so caught up I forgot she told me Yeah Her and my girl they used to be the best of homies Yeah Next thing I knew she was all up on me screaming Yeah yeah yeah yeah Yeah yeah yeah yeah Watch out my outfit s ridiculous In the club looking so conspicuous And roar these women all on the prowl If you hold the head steady I ma milk the cow And forget about game I ma spit the truth I won t stop till I get em in their birthday suit So gimme the rhythm and it ll be off with their clothes Then bend over to the front and touch your toes I left the Jag and I took the Rolls If they ain t cutting then I put em on foot patrol How you like me now When my pinky s valued over three hundred thousand Let s drink you the one to please Ludacris fill cups like double D s Me and Ursh once more and we leaves em dead We want a lady in the street but a freak in the bed that say Yeah Shorty got down low said come and get me Yeah I got so caught up I forgot she told me Yeah Her and my girl they used to be the best of homies Yeah Next thing I knew she was all up on me screaming Yeah yeah yeah yeah Yeah yeah yeah yeah Take that and rewind it back Lil Jon got the beat that make your booty go Take that rewind it back Ursher got the voice make your booty go Take that rewind it back Ludacris got the flow to make your booty go Take that rewind it back Lil Jon got the beat that make your booty go Let me see you do the A town stomp Do the A town stomp Now do the muscle do the muscle Do the muscle do the muscle A thunder clap hey A thunder clap hey A thunder clap hey A thunder clap hey Rock a way rock a way rock a way rock a way and cut '
2,"Burn",Usher,2004,b' Girl I understand why See it s burning me to hold onto this I know this is something I gotta do But that don t mean I want to What I m trying to say is that I love you I just I feel like this is coming to an end And its better for me to let it go now Than hold on and hurt you I gotta let it burn It s gonna burn for me to say this but it s coming from my heart It s been a long time coming but we done been fell apart Really wanna work this out but I don t think you re gonna change I do but you don t think it s best we go our separate ways Tell me why I should stay in this relationship When I m hurting baby I ain t happy baby Plus there s so many other things I gotta deal with I think that you should let it burn When your feeling ain t the same and your body don t want to But you know gotta let it go cause the party ain t Jumping like it used to even though this might bruise you Let it burn let it burn gotta let it burn Deep down you know it s best for yourself but you Hate the thought of her being with someone else But you know that it s over we knew it was through Let it burn let it burn gotta let it burn Sending pages I ain t supposed to Got somebody here but I want you Cause the feeling ain t the same Find myself calling her your name Ladies tell me do you understand Now all my fellas do you feel my pain It s the way I feel I know I made a mistake now it s too late I know she ain t coming back What I gotta do now to get my shorty back Oh oh oh oh Man I don t know what I m gonna do without my boo You ve been gone for too long It s been fifty leven days umpteen hours I ma be burning til you return When your feeling ain t the same and your body don t want to But you know gotta let it go cause the party ain t Jumping like it used to even though this might bruise you Let it burn Let it burn gotta let it burn Deep down you know it s best for yourself but you Hate the thought of her being with someone else But you know that it s over we knew it was through Let it burn let it burn gotta let it burn I m twisted cause one side of me is telling me that I need to move on On the other side I wanna break down and cry oooh I m twisted cause one side of me is telling me that I need to move on On the other side I wanna break down and cry yeah Ooh ooh ooh ooh ooh ooh Ooh ooh ooh Ooh ooh ooh ooh ooh ooh So many days so many hours I m still burning til you return When your feeling ain t the same and your body don t want to But you know gotta let it go cause the party ain t Jumping like it used to even though this might bruise you Let it burn let it burn gotta let it burn Deep down you know it s best for yourself but you Hate the thought of her being with someone else But you know that it s over we knew it was through Let it burn Let it burn gotta let it burn'
3,"If I Ain't Got You",Alicia Keys,2004,b' Some people live for the fortune Some people live just for the fame Some people live for the power yeah Some people live just to play the game Some people think That the physical things Define what s within And I ve been there before That life s a bore So full of the superficial Some people want it all But I don t want nothing at all If it ain t you baby If I ain t got you baby Some people want diamond rings Some just want everything But everything means nothing If I ain t got you yeah Some people search for a fountain Promises forever young Some people need three dozen roses And that s the only way to prove you love them Hand me the world on a silver platter And what good would it be With no one to share With no one who truly cares for me Some people want it all But I don t want nothing at all If it ain t you baby If I ain t got you baby Some people want diamond rings Some just want everything But everything means nothing If I ain t got you you you Some people want it all But I don t want nothing at all If it ain t you baby If I ain t got you baby Some people want diamond rings Some just want everything But everything means nothing If I ain t got you yeah If I ain t got you with me baby oh ooh Said nothing in this whole wide world don t mean a thing If I ain t got you with me baby'
4,"This Love",Maroon 5,2004,b' I was so high I did not recognize The fire burning in her eyes The chaos that controlled my mind Whispered goodbye as she got on a plane Never to return again But always in my heart This love has taken its toll on me She said goodbye too many times before And her heart is breaking in front of me And I have no choice cause I won t say goodbye anymore I tried my best to feed her appetite Keep her coming every night So hard to keep her satisfied Keep playing love like it was just a game Pretending to feel the same Then turn around and leave again This love has taken its toll on me She said goodbye too many times before And her heart is breaking in front of me And I have no choice cause I won t say goodbye anymore I ll fix these broken things Repair your broken wings And make sure everything s alright My pressure on your hips Sinking my fingertips Into every inch of you Cause I know that s what you want me to do This love has taken its toll on me She said goodbye too many times before And her heart is breaking in front of me And I have no choice cause I won t say goodbye anymore This love has taken its toll on me She said goodbye too many times before And my heart is breaking in front of me She said goodbye too many times before This love has taken its toll on me She said goodbye too many times before And her heart is breaking in front of me I have no choice cause I won t say goodbye anymore'
5,"The Way You Move",OutKast,2004,b' Ready for action nip it in the bud We never relaxing OutKast is everlasting Not clashing not at all But see my nigga went to do a little acting Now that s for anyone asking give me one pass em Drip drip drop there goes an eargasm Now you cumming out the side of your face We tapping right into your memory banks thanks So click it or ticket let s see your seat belt fastened Trunk rattling like two midgets in the backseat rassling Speakerboxxx vibrate the tag Make it sound like aluminum cans in a bag But I know y all wanted that 808 Can you feel that B A S S bass But I know y all wanted that 808 Can you feel that B A S S bass I like the way you move I like the way you move wooo I love the way you move I love the way I love the way I love the way you move I love the way you move wooo I love the way you move I love the way I love the way The whole room fell silent the girls all paused with glee Turning left turning right are they looking at me Well I was looking at them there there on the dancefloor Now they got me in the middle feeling like a man whore Especially the big girl Big girls need love too no discrimination here squirrel So keep your hands off my cheeks Let me study how you ride the beat you big freak Skinny slim women got the cameltoe within them You can hump them lift them bend them give them Something to remember yell out Timber when you fall through the chop shop Take a deep breath and exhale Your ex male friend boyfriend s boring as hell But let me listen to the story you tell And we can make moves like a person in jail On the low ho I like the way you move I like the way you move wooo I love the way you move I love the way I love the way I love the way you move I love the way you move wooo I love the way you move I love the way I love the way Hey baby girl don t you stop it Come on lady dance all around me You look so fine look so fine You driving me out my mind Out my mind ooooh baby If I could I would just be with you baby Oooh cause you light me and excite me And you know you got me baby whoo I like the way you move I like the way you move wooo I love the way you move I love the way I love the way I love the way you move I love the way you move wooo I love the way you move I love the way I love the way'
6,"The Reason",Hoobastank,2004,b' I m not a perfect person There s many things I wish I didn t do But I continue learning I never meant to do those things to you And so I have to say before I go That I just want you to know I ve found a reason for me To change who I used to be A reason to start over new And the reason is you I m sorry that I hurt you It s something I must live with every day And all the pain I put you through I wish that I could take it all away And be the one who catches all your tears That s why I need you to hear I ve found a reason for me To change who I used to be A reason to start over new And the reason is you And the reason is you And the reason is you And the reason is you I m not a perfect person I never meant to do those things to you And so I have to say before I go That I just want you to know I ve found a reason for me To change who I used to be A reason to start over new And the reason is you I ve found a reason to show A side of me you didn t know A reason for all that I do And the reason is you'
7,"I Don't Wanna Know",Mario Winans,2004,b' Hold up let me answer my phone Some bitch callin me about some bullshit probably I mma call you right back I m doin this mixtape right now Now back to what I was sayin Somebody said they saw you The person you were kissing wasn t me And I would never ask you I just kept it to myself I don t wanna know If you re playin me keep it on the low Cause my heart can t take it anymore And if you re creepin please don t let it show Oh baby I don t wanna know Oh baby I think about it when I hold you When lookin in your eyes I can t believe I don t need to know the truth Baby keep it to yourself I don t wanna know If you re playin me keep it on the low Cause my heart can t take it anymore And if you re creepin please don t let it show Oh baby I don t wanna know Did he touch you better than me Did he watch you fall asleep Did you show him all those things you used to do to me If you re better off that way There ain t more that I can say Just go on and do your thing and don t come back to me I don t wanna know where your whereabouts or how you movin I know when you in the house or when you cruisin It s been proven my love you abusin I can t understand how a man got you choosin Undecided I came and provided ma My undivided you came and denied it Don t even try it I know when you lyin Don t even do that I know why you cryin I m not applyin no pressure just wanna let you know That I don t wanna let you go And I don t wanna let you leave Can t say I didn t let you breathe Gave you extra cheese put you in the SUV You wanted ice so I made you freeze Made you hot like the West Indies Now it s time you invest in me Cause if not then it s best you leave Holla yeah I don t wanna know If you re playin me keep it on the low Cause my heart can t take it anymore And if you re creepin please don t let it show Oh baby I don t wanna know If you re playin me keep it on the low Cause my heart can t take it anymore And if you re creepin please don t let it show Oh baby I don t wanna know If you re playin me keep it on the low Cause my heart can t take it anymore And if you re creepin please don t let it show Oh baby I don t wanna know'
8,"Hey Ya!",OutKast,2004,b' 1 2 3 uh My baby don t mess around Because she loves me so and this I know for sure But does she really wanna But can t stand to see me walk out the door Don t try to fight the feeling Cause the thought alone is killing me right now Thank God for Mom and Dad For sticking to together cause we don t know how Hey ya Hey ya Hey ya Hey ya Hey ya Hey ya Hey ya Hey ya You think you ve got it oh you think you ve got it But got it just don t get it til there s nothing at all We get together oh we get together But separate s always better when there s feelings involved If what they say is Nothing is forever Then what makes then what makes then what makes Then what makes what makes what makes love the exception So why oh why oh why oh why oh why oh Are we so in denial when we know we re not happy here Y all don t want to hear me you just want to dance Hey ya Hey ya Don t want to meet your daddy Hey ya Just want you in my Caddy Hey ya Don t want to meet your mama Hey ya Uh oh Just want to make you cumma Hey ya Uh oh I m I m I m I m just being honest Hey ya I m just being honest Hey alright now alright now fellas Now what s cooler than being cool I can t hear ya I say what s what s cooler than being cool Alright alright alright alright alright alright alright alright Alright alright alright alright alright alright Okay now ladies Now we gon break this thing down in just a few seconds Now don t have me break this thing down for nothing Now I want to see y all on your baddest behavior Lend me some sugar I am your neighbor Ah here we go Shake it sh shake it shake it sh shake it Shake it sh shake it Shake it shake it sh shake it Shake it like a Polaroid picture hey ya Shake it sh shake it shake it sh shake it Shake it shake it shake it sugar Shake it like a Polaroid picture Now all the Beyonc s and Lucy Lius And baby dolls get on the floor You know what to do oh you know what to do You know what to do Hey ya Hey ya Hey ya Hey ya Hey ya Hey ya Hey ya Hey ya '
9,"Goodies",Ciara,2004,b' My goodies my goodies my goodies Not my goodies I got a sick reputation for handling broads All I need is me a few seconds or more And it s my rap Tell valet to bring my Lac And I ain t comin back So you can put the car right there I m the truth I ain t got nothin to prove And you can ask anybody Cause they seen me do it Barricades I run right through em I m used to em Throw all the dirt you want it s no use You still won t have a pinup in a fabulous room On her back picking out baskets of fruit I love you boo Yeah Freaky Petey loves you too You know how I do You may look at me and think that I m just a young girl But I m not just a young girl Baby this is what I m looking for Sexy independent down to spend it type that s gettin his dough I m not being too dramatic That s the way I gotta have it I bet you want the goodies Bet you thought about it Got you all hot and bothered Mad cause I talk around it If you re looking for the goodies Keep on looking cause they stay in the jar Oh oh oh oh oh oh oh oh yeah Just because you drive a Benz I m not goin home with you You won t get no nookie or the cookies I m no rookie And still I m sexy independent I ain t wit it so you already know I m not bein too dramatic That s the way I gotta have it You think you re slick Tryn a hit but I m not dumb I m not bein too dramatic It s just how I gotta have it I bet you want the goodies Bet you thought about it Got you all hot and bothered Mad cause I talk around it If you re looking for the goodies Keep on looking cause they stay in the jar Oh oh oh oh oh oh oh oh yeah So damn hot but so young Still got milk on ya tongue Slow down lil one And you ain t got it all Hey shorty You think you bad but you ain t bad I ll show you what bad is Bad is when you re capable of beatin the baddest I been workin at it since I came to this planet And I ain t quite there yet but I m gettin better at it Matter of fact Lemme tell it to you one mo gain All I got to do is tell a girl who I am Ain t ne er chick in here that I can t have Bada boom bada bam da bam You re insinuating that I m hot But these goodies boy are not Just for any of the many men that s tryna get on top No you can t call me later And I don t want your number I m not changin stories Just respect the play I m callin I bet you want the goodies Bet you thought about it Got you all hot and bothered Mad cause I talk around it If you re looking for the goodies Keep on looking cause they stay in the jar Oh oh oh oh oh oh oh oh yeah I bet you want the goodies Bet you thought about it Got you all hot and bothered Mad cause I talk around it If you re looking for the goodies Keep on looking cause they stay in the jar Oh oh oh oh oh oh oh oh yeah Uh yeah uh yeah uh uh uh Bada boom bada bam da bam'
10,"Lean Back",Terror Squad,2004,b' Owwwwww Yeah My niggas ahah Throw your hands in the air right now man Feel this shit right here Scott Storch nigga Yeah Khaled I see you nigga show Big Pun love Uh yeah uh yo I don t give a fuck about your faults or mishappens Nigga we from the Bronx New York shit happens Kids clappin love to spark the place Half the niggas in the Squad got a scar on their face It s a cold world and this is ice Half a mil for the charm nigga this is life Got the Phantom in front of the building Trinity Ave Ten years been legit they still figure me bad As a youngin was too much to cope with Why you think muh fuckers nicknamed me Cook Coke shit Should ve been called Armed Robbery Extortion or maybe Grand Larceny I did it all I put the pieces to the puzzle Just as long I knew me and my peoples was gon bubble Came out the gate on some Flo Jo shit Fat nigga with the shotty was the logo kid I said my niggas don t dance We just pull up our pants and do the rockaway Now lean back lean back Lean back lean back I said my niggas don t dance We just pull up our pants and do the rockaway Now lean back lean back Lean back lean back R to the Ezzy M to the Yzzy My arms stay breezy the Don stay flizzy Got a date at 8 I m in the 7 4 fizzive And I just bought a bike so I can ride til I die With a matchin jacket bout to cop me a mansion My niggas in the club but you know they not dancin We gangsta and gangstas don t dance we boogie So never mind how we got in here with burners and hoodies Listen we don t pay admission and the bouncers don t check us And we walk around the metal detectors And there really ain t a need for a V I P section In the middle of the dance floor reckless check it Said he liked my necklace started relaxin Now that s what the fuck I call a chain reaction See money ain t a thang nigga we still the same niggas Flows just changed now we bout to change the game nigga I said my niggas don t dance We just pull up our pants and do the rockaway Now lean back lean back Lean back lean back I said my niggas don t dance We just pull up our pants and do the rockaway Now lean back lean back Lean back lean back Now we living better now Coogi sweater now And that G4 can fly through any weather now See niggas get tight when you worth some millions This is why I sport the chinchilla to hurt they feelings You can find Joe Crack at all type of shit Out in Vegas front row to all the fights and shit If 5 0 boy come then they d proudly squeal Cause half these rappers they blow like Derek Foreal If you cross the line damn right I m gon hurt you These faggot niggas even made gang signs commercial Even Lil Bow Wow throwin it up B2K Crip walkin like That s what s up Kay keep tellin me to speak about the Rucker Matter of fact I don t wanna speak about the Rucker Not even Pee Wee Kirkland could imagine this My niggas didn t have to play to win the championship I said my niggas don t dance We just pull up our pants and do the rockaway Now lean back lean back Lean back lean back I said my niggas don t dance We just pull up our pants and do the rockaway Now lean back lean back Lean back lean back '
