Rank,Song,Artist,Year,Lyrics
1,"Happy",Pharrell Williams,2014,b' It might seem crazy what I m bout to say Sunshine she s here you can take a break I m a hot air balloon that could go to space With the air like I don t care baby by the way Clap along if you feel like a room without a roof Clap along if you feel like happiness is the truth Clap along if you know what happiness is to you Clap along if you feel like that s what you wanna do Here come bad news talking this and that Well give me all you got don t hold it back Well I should probably warn ya I ll be just fine No offense to you don t waste your time here s why Clap along if you feel like a room without a roof Clap along if you feel like happiness is the truth Clap along if you know what happiness is to you Clap along if you feel like that s what you wanna do Bring me down Can t nothing bring me down My level s too high to bring me down Can t nothing bring me down I said Bring me down Can t nothing bring me down My level s too high to bring me down Can t nothing bring me down I said Clap along if you feel like a room without a roof Clap along if you feel like happiness is the truth Clap along if you know what happiness is to you Clap along if you feel like that s what you wanna do Clap along if you feel like a room without a roof Clap along if you feel like happiness is the truth Clap along if you know what happiness is to you Clap along if you feel like that s what you wanna do Bring me down Can t nothing bring me down My level s too high to bring me down Can t nothing bring me down I said Clap along if you feel like a room without a roof Clap along if you feel like happiness is the truth Clap along if you know what happiness is to you Clap along if you feel like that s what you wanna do Clap along if you feel like a room without a roof Clap along if you feel like happiness is the truth Clap along if you know what happiness is to you Clap along if you feel like that s what you wanna do'
2,"Dark Horse",Katy Perry,2014,b' Yeah ya ll know what it is Katy Perry Juicy J Uh huh let s rage I knew you were you were gonna come to me And here you are but you better choose carefully Cause I I m capable of anything Of anything and everything Make me your Aphrodite Make me your one and only But don t make me your enemy Your enemy your enemy So you wanna play with magic Boy you should know what you re fallin for Baby do you dare to do this Cause I m coming at you like a dark horse Are you ready for ready for A perfect storm perfect storm Cause once you re mine once you re mine There s no going back Mark my words this love will make you levitate Like a bird like a bird without a cage We re down to earth if you choose to walk away Don t walk away It s in the palm of your hand now baby It s a yes or a no no maybe So just be sure before you give it all to me All to me give it all to me So you wanna play with magic Boy you should know what you re fallin for Baby do you dare to do this Cause I m coming at you like a dark horse Are you ready for ready for A perfect storm perfect storm Cause once you re mine once you re mine There s no going back She s a beast I call her Karma She eat your heart out like Jeffrey Dahmer Be careful try not to lead her on Shawty s heart is on steroids cause her love is so strong You may fall in love when you meet her If you get the chance you better keep her She s sweet as pie but if you break her heart She turn cold as a freezer That fairy tale ending with a knight in shining armor She can be my sleeping beauty I m gon put her in a coma Damn I think I love her shawty s so bad I m sprung and I don t care She ride me like a roller coaster turn the bedroom into a fair Her love is like a drug I was tryna hit it and quit it But lil mama so dope I messed around and got addicted So you wanna play with magic Boy you should know what you re fallin for Baby do you dare to do this Cause I m coming at you like a dark horse Are you ready for ready for A perfect storm perfect storm Cause once you re mine once you re mine There s no going back '
3,"All of Me",John Legend,2014,b' What would I do without your smart mouth Drawin me in and you kickin me out You ve got my head spinnin no kiddin I can t pin you down What s goin on in that beautiful mind I m on your magical mystery ride And I m so dizzy don t know what hit me But I ll be alright My head s under water but I m breathing fine You re crazy and I m out of my mind Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I ll give my all to you You re my end and my beginnin Even when I lose I m winnin Cause I give you all of me And you give me all of you oh oh How many times do I have to tell you Even when you re crying you re beautiful too The world is beating you down I m around Through every mood You re my downfall you re my muse My worst distraction my rhythm and blues I can t stop singing it s ringing In my head for you My head s under water but I m breathin fine You re crazy and I m out of my mind Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I ll give my all to you You re my end and my beginnin Even when I lose I m winnin Cause I give you all of me And you give me all of you oh oh Give me all of you oh Cards on the table we re both showing hearts Risking it all though it s hard Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I ll give my all to you You re my end and my beginnin Even when I lose I m winnin Cause I give you all of me And you give me all of you I give you all of me And you give me all of you oh oh'
4,"Fancy",Iggy Azalea,2014,b' First things first I m the realest Drop this and let the whole world feel it And I m still in the Murda Bizness I can hold you down like I m giving lessons in physics You should want a bad bitch like this Drop it low and pick it up just like this Cup of Ace cup of Goose cup of Cris High heels something worth a half a ticket on my wrist Taking all the liquor straight never chase that Rooftop like we bringing 88 back Bring the hooks in where the bass at Champagne spilling you should taste that I m so fancy you already know I m in the fast lane from L A to Tokyo I m so fancy can t you taste this gold Remember my name bout to blow oh oh oh I said baby I do this I thought that you knew this Can t stand no haters and honest the truth is That my flow retarded each beat dear departed Swagger on stupid I can t shop in no department And get my money on time if they got money decline And swear I meant that there so much that I give that line a rewind Said I get my money on time if they got money decline I just can t worry bout no haters gotta stay on my grind Now tell me who that who that That do that do that Put that paper over all I thought you knew that knew that I be that I G G Y put my name in bold I been working I m up in here with some change to throw I m so fancy you already know I m in the fast lane from L A to Tokyo I m so fancy can t you taste this gold Remember my name bout to blow oh oh oh Trash the hotel let s get drunk on the minibar Make the phone call feels so good getting what I want Yeah keep on turning it up Chandelier swinging we don t give a fuck Film star yeah I m deluxe Classic expensive you don t get to touch ow Still stunting how you love that Got the whole world asking how I does that Hot girl hands off don t touch that Look at it I bet you wishing you could clutch that That s just the way you like it huh It s so good he just wishing he could bite it huh Never turn down nothing Slayin these hoes gold trigger on the gun like I m so fancy you already know I m in the fast lane from L A to Tokyo I m so fancy can t you taste this gold Remember my name bout to blow oh oh oh Who that who that I G G Y That do that do that I G G Y Who that who that I G G Y Who that who that I G G Y That do that do that I G G Y Who that who that I G G Y '
5,"Counting Stars",OneRepublic,2014,b' Lately I ve been I ve been losing sleep Dreaming about the things that we could be But baby I ve been I ve been praying hard Said no more counting dollars We ll be counting stars Yeah we ll be counting stars I see this life like a swinging vine Swing my heart across the line And in my face is flashing signs Seek it out and ye shall find Old but I m not that old Young but I m not that bold And I don t think the world is sold On just doing what we re told I I I I feel something so right Doing the wrong thing I I I I feel something so wrong Doing the right thing I couldn t lie couldn t lie couldn t lie Everything that kills me makes me feel alive Lately I ve been I ve been losing sleep Dreaming about the things that we could be But baby I ve been I ve been praying hard Said no more counting dollars We ll be counting stars Lately I ve been I ve been losing sleep Dreaming about the things that we could be But baby I ve been I ve been praying hard Said no more counting dollars We ll be we ll be counting stars I feel the love and I feel it burn Down this river every turn Hope is our four letter word Make that money watch it burn Old but I m not that old Young but I m not that bold And I don t think the world is sold On just doing what we re told I I I I feel something so wrong Doing the right thing I couldn t lie couldn t lie couldn t lie Everything that drowns me makes me wanna fly Lately I ve been I ve been losing sleep Dreaming about the things that we could be But baby I ve been I ve been praying hard Said no more counting dollars We ll be counting stars Lately I ve been I ve been losing sleep Dreaming about the things that we could be But baby I ve been I ve been praying hard Said no more counting dollars We ll be we ll be counting stars Take that money Watch it burn Sink in the river The lessons I learned Take that money Watch it burn Sink in the river The lessons I learned Take that money Watch it burn Sink in the river The lessons I learned Take that money Watch it burn Sink in the river The lessons I learned Everything that kills me Makes me feel alive Lately I ve been I ve been losing sleep Dreaming about the things that we could be But baby I ve been I ve been praying hard Said no more counting dollars We ll be counting stars Lately I ve been I ve been losing sleep Dreaming about the things that we could be But baby I ve been I ve been praying hard Said no more counting dollars We ll be we ll be counting stars Take that money Watch it burn Sink in the river The lessons I ve learned Take that money Watch it burn Sink in the river The lessons I ve learned Take that money Watch it burn Sink in the river The lessons I ve learned Take that money Watch it burn Sink in the river The lessons I ve learned'
6,"Talk Dirty",Jason Derulo,2014,b' Jason haha Jason Derulo Haha get Jazzy on em I m that flight that you get on international First class seat on my lap girl riding comfortable Ha cause I know what da girl dem need New York to Haiti I got lipstick stamps on my passport you make it hard to leave Been around the world don t speak the language But your booty don t need explaining All I really need to understand is when you Talk dirty to me Talk dirty to me Talk dirty to me Talk dirty to me Get Jazzy on em You know the words to my songs no habla ingl s Our conversations ain t long but you know what is I know what the girl dem want London to Taiwan I got lipstick stamps on my passport I think I need a new one Been around the world don t speak the language But your booty don t need explaining All I really need to understand is when you Talk dirty to me Talk dirty to me Talk dirty to me Talk dirty to me Uno met a friend in Rio Dos she was all on me o Tres we could m nage three o Cuatro oh yeah Dos Cadenas close to genius Sold out arenas you can suck my penis Gilbert Arenas guns on deck Chest to chest tongue on neck International oral sex Every picture I take I pose a threat Bought a jet what do you expect Her pussy so good I bought her a pet Anyway every day I m trying to get to it Got her saved in my phone under Big Booty Anyway every day I m trying to get to it Got her saved in my phone under Big Booty Been around the world don t speak the language But your booty don t need explaining All I really need to understand is when you Talk dirty to me You do Talk dirty to me Yeah yeah Talk dirty to me Talk to me Talk dirty to me Ooh oh yeah Get Jazzy on em What I don t understand'
7,"Rude",Magic!,2014,b' Saturday mornin jumped outta bed and put on my best suit Got in my car and raced like a jet all the way to you Knocked on your door with heart in my hand to ask you a question Cause I know that you re an old fashioned man yeah Can I have your daughter for the rest of my life Say yes say yes cause I need to know You say I ll never get your blessin till the day I die Tough luck my friend but the answer is no Why you gotta be so rude Don t you know I m human too Why you gotta be so rude I m gonna marry her anyway Marry her anyway Yeah no matter what you say And we ll be a family Why you gotta be so rude I hate to do this you leave no choice can t live without her Love me or hate me we will be boys standin at that altar Or we will run away to another galaxy you know You know she s in love with me she will go anywhere I go Can I have your daughter for the rest of my life Say yes say yes cause I need to know You say I ll never get your blessin till the day I die Tough luck my friend cause the answer s still no Why you gotta be so rude Don t you know I m human too Why you gotta be so rude I m gonna marry her anyway Marry her anyway Yeah no matter what you say And we ll be a family Why you gotta be so rude Yeah Can I have your daughter for the rest of my life Say yes say yes cause I need to know You say I ll never get your blessin till the day I die Tough luck my friend but no still means no Why you gotta be so rude Don t you know I m human too Why you gotta be so rude I m gonna marry her anyway Marry her anyway Yeah no matter what you say And we ll be a family Why you gotta be so rude Why why why why Say why you gotta be so rude '
8,"All About That Bass",Meghan Trainor,2014,b' Because you know I m all about that bass Bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass Yeah it s pretty clear I ain t no size two But I can shake it shake it like I m supposed to do Cause I got that boom boom that all the boys chase And all the right junk in all the right places I see the magazines working that Photoshop We know that shit ain t real come on now make it stop If you got beauty beauty just raise em up Cause every inch of you is perfect from the bottom to the top Yeah my momma she told me don t worry about your size She says boys like a little more booty to hold at night You know I won t be no stick figure silicone Barbie doll So if that s what s you re into then go ahead and move along Because you know I m all about that bass Bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass Hey I m bringing booty back Go ahead and tell them skinny bitches that No I m just playing I know you think you re fat But I m here to tell you Every inch of you is perfect from the bottom to the top Yeah my momma she told me don t worry about your size She says boys like a little more booty to hold at night You know I won t be no stick figure silicone Barbie doll So if that s what s you re into then go ahead and move along Because you know I m all about that bass Bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass Because you know I m all about that bass Bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass Because you know I m all about that bass Bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass no treble I m all bout that bass bout that bass '
9,"Problem",Ariana Grande,2014,b' Uh huh It s Iggy Iggs I got one more problem with you girl hey Hey baby even though I hate ya I wanna love ya And even though I can t forgive ya I really want to Tell me tell me baby why can t you leave me Cause even though I shouldn t want it I gotta have it Head in the clouds Got no weight on my shoulders I should be wiser and realize that I ve got One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem I know you re never gonna wake up I gotta give up I know I shouldn t ever call back or let you come back Every time you touch me and say you love me I get a little bit breathless I shouldn t want it Head in the clouds Got no weight on my shoulders I should be wiser and realize that I ve got One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem It s Iggy Iggs Uh what you got Smart money bettin I ll be better off without you In no time I ll be forgettin all about you You sayin that you know but I really really doubt you Understand my life is easy when I ain t around you Iggy Iggy too biggie to be here stressin I m thinkin I love the thought of you more than I love your presence And the best thing now is probably for you to exit I let you go let you back I finally learned my lesson No half steppin either you want it or you just playin I m listenin to you knowin I can t believe what you sayin There s a million you s baby boo so don t be dumb I got 99 problems but you won t be one like what One less one less problem One less one less problem Head in the clouds Got no weight on my shoulders I should be wiser and realize that I ve got One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem problem baby One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem'
10,"Stay with Me",Sam Smith,2014,b' Guess it s true I m not good at a one night stand But I still need love cause I m just a man These nights never seem to go to plan I don t want you to leave will you hold my hand Oh won t you stay with me Cause you re all I need This ain t love it s clear to see But darling stay with me Why am I so emotional No it s not a good look gain some self control And deep down I know this never works But you can lay with me so it doesn t hurt Oh won t you stay with me Cause you re all I need This ain t love it s clear to see But darling stay with me Oooh oooh Oooh oooh Oh won t you stay with me Cause you re all I need This ain t love it s clear to see But darling stay with me Oh won t you stay with me Cause you re all I need This ain t love it s clear to see But darling stay with me'
