Rank,Song,Artist,Year,Lyrics
1,I Will Always Love You,Whitney Houston,1993,b' If I should stay I would only be in your way So I ll go but I know I ll think of you every step of the way And I will always love you I will always love you You My darling you Bittersweet memories That is all I m taking with me So good bye Please don t cry We both know I m not what you you need And I will always love you I will always love you You I hope life treats you kind And I hope you have all you ve dreamed of And I wish you joy and happiness But above all this I wish you love And I will always love you I will always love you I will always love you I will always love you I will always love you I I will always love you You Darling I love you I ll always I ll always love you'
2,Whoomp! (There It Is),Tag Team,1993,b' Party people Yeah Tag Team music in full effect That s me DC the Brain Supreme and my man Steve Roll n We re kickin the flow And it goes a little something like this Tag Team back again Check it to wreck it let s begin Party on party people let me hear some noise DC s in the house jump jump rejoice Says there s a party over here a party over there Wave your hands in the air shake the derriere These three words mean you re gettin busy Whoomp there it is Hit me Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Upside down and inside out I m bout to show all you folks what it s all about Now it s time for a nigga to get on the mic And make this motherfuckin party hype I m takin it back to the old school Cause I m an old fool who s so cool If you wanna get down I mma show you the way Whoomp there it is Let me hear you say Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp Shaka laka shaka laka shaka laka shaka Whoomp Shaka laka shaka laka shaka laka shaka Whoomp Shaka laka shaka laka shaka laka shaka Whoomp Shaka laka shaka laka shaka laka shaka Point blank gin and juice I drink And then invent as I puff on dank Rock the mic uh oh I crave skin Rip shit find a honey dip to dip it in Slam dunk it stick it flip it and ride That B double O T Y oh my Ooh that s it come on come on Whoomp there it is I m done Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Heyy Babyy Whoomp there it is Heyy Babyy Whoomp there it is Some say I m crazy cause I m pushing up dasies The underground sound that you niggas have found Amazing outstanding demanding Commanding you people dancing Shit That s a breathtaker Our producer a k a the undertaker You wanna come down to the underground old school Here s a shovel can you dig it fool Can you dig it We can dig it Can y all dig it We can dig it Can you dig it We can dig it Can y all dig it We can dig it Can you dig it We can dig it Can y all dig it We can dig it Can you dig it We can dig it Can y all dig it We can dig it W H double O M P as I flow To the fly shit from the school of old Hard core keep the folklore wrecked 3 to the 2 and 1 mic check Mad skill flow ill on the mess of steel That s the grille of the microphone I just killed Party people there s your party Tag Team is through Whoomp there it is I thought you knew Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Yeahh Tag Team music comin straight at cha That s me DC the Brain Supreme and my man Steve Roll n Bring it back y all bring it back y all bring it back here we go Whoomp there it is Whoomp there it is Whoomp there it is Whoomp there it is Hahaha Have you heard that new song by Tag Team What s that You go girl he is singing that to me You don t even know him Haha that song is for all the ladies Well the whole album is dope For real Damn Really though'
3,Can't Help Falling in Love,UB40,1993,b' Wise men say Only fools rush in But I can t help Falling in love with you Wise men say Only fools rush in But I can t help Falling in love with you Shall I stay Would it be a sin I can t help Falling in love with you As a river flows Gently to the sea Darling so it goes Some things were meant to be Take my hand Take my whole life too But I can t help Falling in love with you As a river flows Surely to the sea Darling so it goes Some things were meant to be Take my hand Take my whole life too I can t help Falling in love with you I can t help falling in love with you I can t help falling in love with you I can t help falling in love with you'
4,That's the Way Love Goes,Janet Jackson,1993,b' Like a moth to a flame burned by the fire My love is blind can t you see my desire That s the way love goes Like a moth to a flame burned by the fire My love is blind can t you see my desire Like a moth to a flame burned by the fire My love is blind can t you see my desire That s the way love goes Like a moth to a flame burned by the fire That s the way love goes My love is blind can t you see my desire Come with me don t you worry I m gonna make you crazy I ll give you the time of your life I m gonna take you places You ve never been before and You ll be so happy that you came Ooh I m gonna take you there oooh That s the way love goes that s the way love goes That s the way love goes That s the way love goes Don t mind if I light candles I like to watch us play and Baby I ve got on what you like Come closer baby closer Reach out and feel my body I m gonna give you all my love Ooh sugar don t you hurry You ve got me here all night Just close your eyes and hold on tight Ooh baby don t stop don t stop Go deeper baby deeper You feel so good I m gonna cry Ooh I m gonna take your there That s the way love goes that s the way love goes That s the way love goes that s the way love goes That s the way love goes That s the way love goes that s the way love goes Don t you know it goes That s the way Like a moth to a flame burned by the fire My love is blind can t you see my desire Like a moth to a flame burned by the fire My love is blind can t you see my desire That s the way that s the way that s the way that s the way That s the way that s the way that s the way love goes That s the way love goes That s the way love goes it goes it goes That s the way love goes That s the way love goes that s the way love goes That s the way love goes That s the way love that s the way love that s the way love That s the way love that s the way love that s the way love That s the way love goes'
5,Freak Me,Silk,1993,b' Freak me baby Freak me baby Freak me baby Freak me baby Let me lick you up and down till you say stop Let me play with your body baby make you real hot Let me do all the things you want me to do Cause tonight baby I wanna get freaky with you Baby don t you understand I wanna be your nasty man I wanna make your body scream And you will know just what I mean 24 carat gold To warm the nights when you get cold I wanna lick you up and down And then I wanna lay you down come on Silk sing Let me lick you up and down till you say stop Let me play with your body baby make you real hot Let me do all the things you want me to do Cause tonight baby I wanna get freaky with you I love the taste of whipped cream Spread it on don t be mean You know I can t resist you girl I ll fly you all around the world I wanna see your body drip Come on let me take a sip Take off what you cherish most Cause when I brag I like to brag and boast Let me lick you up and down till you say stop Let me play with your body baby make you real hot Let me do all the things you want me to do Cause tonight baby I wanna get freaky with you You you you you You you you you You you you you Yeah come on come on You you you you You you you you Cause tonight baby I wanna get freaky with you Let me lick you up and down till you say stop Let me play with your body baby make you real hot Let me do all the things you want me to do Cause tonight baby I wanna get freaky with you Let me lick you up and down till you say stop Let me play with your body baby make you real hot Let me do all the things you want me to do Cause tonight baby I wanna get freaky freaky Let me lick you up and down till you say stop Let me play with your body baby make you real hot Let me do all the things you want me to do Cause tonight baby I wanna get freaky with you'
6,Weak,SWV,1993,b' I don t know what it is that you ve done to me But it s caused me to act in such a crazy way Whatever it is that you do when you do what you re doing It s a feeling that I want to stay Cause my heart starts beating triple time With thoughts of loving you on my mind I can t figure out just what to do When the cause and cure is you I get so weak in the knees I can hardly speak I lose all control and something takes over me In a daze and it s so amazing It s not a phase I want you to stay with me By my side I swallow my pride Your love is so sweet It knocks me right off of my feet Can t explain why your love it makes me weak Time after time after time I try to fight it But your love is strong it keeps on holding on Resistance is down When you re around cries fading In my condition I don t want to be alone Cause my heart starts beating triple time With thoughts of loving you on my mind I can t figure out just what to do When the cause and cure is you ohh I get so weak in the knees I can hardly speak I lose all control and something takes over me In a daze and it s so amazing It s not a phase I want you to stay with me By my side I swallow my pride Your love is so sweet It knocks me right off of my feet Can t explain why your love it makes me weak I try hard to fight it No way can I deny it You re love s so sweet Knocks me off my feet I get so weak in the knees I can hardly speak I lose all control and something takes over me In a daze and it s so amazing It s not a phase I want you to stay with me By my side I swallow my pride Your love is so sweet It knocks me right off of my feet Can t explain why your love it makes me weak Blood starts racing through my veins Boy it s something I can t explain Something bout the way you do The things you do ooo ooo it Ohh off my feet I Can t explain why your lovin makes me weak I get so weak in the knees I can hardly speak I lose all control and something takes over me In a daze and it s so amazing It s not a phase I want you to stay with me By my side I swallow my pride Your love is so sweet It knocks me right off of my feet Can t explain why your love it makes me weak'
7,If I Ever Fall in Love,Shai,1993,b' Shai Coming right back at you baby Part two The remix If I ever fall in love again Next time the lady will be just like you The very first time that I saw your brown eyes Your lips said Hello and I said Hi I knew right then you were the one But I was caught up in physical attraction But to my satisfaction Baby you were more than just a face And if I ever In love again I will be sure that the lady is a friend And if I ever In love so true I will be sure that the lady s just like you Oh Yeah baby yeah My my my my my my I swear the next time she ll be my friend If I say that I could be your one and only Promise that you ll never leave me lonely I just wanna be the one you need Oh baby I just wanna be the one to serve you Sometimes I feel as if I don t deserve you I cherish every moment that we share And if I ever In love again I will be sure that the lady is a friend And if I ever In love so true I will be sure that the lady s just like you Hey baby I made a promise The next time I fell in love That my love would also be my friend Somebody who ll be there for me through thick and thin To love me to hold me comfort me Somebody who would be there with me all through the night Somebody just like you My friend The very next time she will be my friend Someone who I can believe in My friend The very next time she will be my friend And if I ever In love again I will be sure that the lady is a friend And if I ever In love so true I will be sure that the lady s just like you'
8,Dreamlover,Mariah Carey,1993,b' Ooh baby baby Ooh baby oh yeah I need a lover to give me The kind of love that will last always I need somebody uplifting To take me away babe oh yeah yeah I want a lover who knows me yeah Who understands how I feel inside Someone to comfort and hold me Through the long lonely nights till the dawn Why don t you take me away Dreamlover come rescue me Take me up take me down Take me anywhere you want to baby now I need you so desperately Won t you please come around Cause I wanna share forever with you baby With you baby I don t want another pretender no To disillusion me one more time Whispering words of forever Playing with my mind no no No no no no no baby I need someone to hold on to The kind of love that won t fly away I just want someone to belong to Everyday of my life always So come and take me away Dreamlover come rescue me Take me up take me down Take me anywhere you want to baby now I need you so desperately Won t you please come around Cause I wanna share forever with you Baby come and take me away Dreamlover come rescue me Take me up take me down Take me anywhere you want to baby now I need you so desperately Won t you please come around Cause I wanna share forever with you baby Dreamlover come rescue me Take me up take me down Take me anywhere you want to baby now I need you so desperately Won t you please come around Cause I wanna share forever with you baby'
9,Rump Shaker,Wreckx-n-Effect,1993,b' You are listening to the sound of WNE posse Yeah rump shaker Rump shaker yeah All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump Check baby check baby one two three four Check baby check baby one two three Check baby check baby one two Check baby check baby one It s called the rump shaker the beats is like sweeter than candy I m feelin manly and your shaker s comin in handy Slide off my clothes from New York down by your Virginia Ticklin you around Delware before I enter Turn to seduction from face hips to feet A wiggle and a jiggle can make the night complete Now since you got the body of the year come and get the award Here s a hint it s like a long sharp sword Flip tail so let me see you shake it up like dice The way you shake your rump is turnin mighty men to mice But A Plus got a surprise that s a back breaker Now let me see you shake your rump like a rump shaker All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump Check baby check baby one two three four Check baby check baby one two three Check baby check baby one two Check baby check baby one Yup yup it s Teddy Ready with the one two checker Wreckx N Effect is in effects but I m the wrecker Of the track bout the honey shakin rumps and they backs in Booties of the cuties steady shakin but relaxin The action is packed in a jam like a closet Beats bound to get you up cold flowin like a faucet Not mean to make you sit not mean to make you jump But yep make the hotties in the party shake your rump I like the way you comb your hair I like the stylish clothes you wear It s just the little things you do That makes me wanna get with you All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump Shake it shake it shake it now shake it She can spend every birthday butt naked Body is soft makin me wanna squish her More just than a game a rumper like a sub woofer Shake it to the left shake it to the right I don t mind stickin it to her every single night Come on pass the poom poom send it to poppa Shake it baby shake it baby shake it don t stoppa Let me see you do the booty hop And now make the booty stop Now drop and do the booty wop The way you shakin your reals will appeal Is makin my bills But I ain t into trickin just to treatin And I ain t into treatin every trick that I m meetin Yeah shake it baby shake it now shake it like that All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump All I wanna do is zoom a zoom zoom zoom And a poom poom just shake ya rump Break it down uh yeah Just shake ya rump Uh yeah W N E is in effect Peace'
10,Informer,Snow,1993,b' What s up man hey yo what s up Yeah what s going on here Sick and tired of 5 0 running up on the block here You know what I m saying Yo Snow they came around here looking for you the other day word bust it Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Police a them a they come and a they blow down me door One ee come crawl troo troo my window So dey put me in de back de car at de station From that point on me reach my destination Where the destination reachin outta east detention where dey Looked down me pants look up me bottom so Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down So bigger dem are they think dem have more power De pon di phone me say dat one hour Me for want to use a once an now me call me lover Lover who me callin an a one Tamei An mi love er in my heart down to my belly a Yes say daddy me Snow me I feel cool an deadly Yes the one MC Shan an the one Daddy Snow Together we a love em is a tor na do Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down So listen for me you better listen for me now Listen for me you better listen for me now When a me rock a the microphone me rock on steady a Yes a daddy me Snow me are de article don But the in an a out a dance an they say where you come from a People dem say ya come from Jamaica But me born an raised in the ghetto that I want ya to know a Pure black people man that s all I man know Yeah me shoes are a tear up an a me toes just a show a Where me a born in are de one Toronto so Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Come with a nice young lady Intelligent yes she gentle and irie Everywhere me go me never lef her at all ie Yes a Daddy Snow me are the roam dance man a Roam between a dancin in a in a nation a You never know say daddy me Snow me are the boom shakata Me never lay a down flat in a one cardboard box a Yes a daddy me Snow me a go reachin out da top so Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Why wo ee why wo ee an wo ee an wo ee Me sitting round cool with my dibbie dibbie girl Police knock my door lick up my pal Rough me up and I can t do a thing Pick up my line when my telephone ring Take me to the station black up my hands Trail me down cause I m hanging with the Snowman What I m gonna do I m backed and I m trapped Slap me in the face and took all of my gap They have no clues and they wanna get warmer But Shan won t turn informer Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Informer ya no say daddy me Snow me I go blame A licky boom boom down Tective man a say say daddy me Snow me stab someone down the lane A licky boom boom down Diggity dum diggity diggity dum an wo ee an wo an wo ee'
