Rank,Song,Artist,Year,Lyrics
1,Hold On,Wilson Phillips,1990,b'I know this pain Why do lock yourself up in these chains No one can change your life except for you Don t ever let anyone step all over you Just open your heart and your mind Is it really fair to feel this way inside Some day somebody s gonna make you want to Turn around and say goodbye Until then baby are you going to let them Hold you down and make you cry Don t you know Don t you know things can change Things ll go your way If you hold on for one more day Can you hold on for one more day Things ll go your way Hold on for one more day You could sustain Or are you comfortable with the pain You ve got no one to blame for your unhappiness You got yourself into your own mess Lettin your worries pass you by Don t you think it s worth your time To change your mind Some day somebody s gonna make you want to Turn around and say goodbye Until then baby are you going to let them Hold you down and make you cry Don t you know Don t you know things can change Things ll go your way If you hold on for one more day Can you hold on for one more day Things ll go your way Hold on for one more day I know that there is pain But you hold on for one more day and Break free the chains Yeah I know that there is pain But you hold on for one more day and you Break free break from the chains Some day somebody s gonna make you want to Turn around and say goodbye Until then baby are you going to let them Hold you down and make you cry Don t you know Don t you know things can change Things ll go your way If you hold on for one more day yeah If you hold on Don t you know things can change Things ll go your way If you hold on for one more day If you hold on Can you hold on Hold on baby Won t you tell me now Hold on for one more day Cause It s gonna go your way Don t you know things can change Things ll go your way If you hold on for one more day Can t you change it this time Make up your mind Hold on Hold on Baby hold on'
2,It Must Have Been Love,Roxette,1990,b' Lay a whisper on my pillow Leave the winter on the ground I wake up lonely This air of silence In the bedroom and all around Touch me now I close my eyes And dream away It must have been love But it s over now It must have been good But I lost it somehow It must have been love But it s over now From the moment we touched Till the time had run out Make believing we re together That I m sheltered by your heart But in and outside I turn to water Like a teardrop in your palm And it s a hard Winter s day I dream away It must have been love But it s over now It was all that I wanted Now I m living without It must have been love But it s over now It s where the water flows It s where the wind blows It must have been love But it s over now It must have been good But I lost it somehow It must have been love But it s over now From the moment we touched Till the time had run out Yeah it must have been love But it s over now It was all that I wanted Now I m living without It must have been love But it s over now It s where the water flows It s where the wind blows It must have been love But it s over now No no no'
3,Nothing Compares 2 U,Sinéad O'Connor,1990,b' It s been seven hours and fifteen days Since you took your love away I go out every night and sleep all day Since you took your love away Since you ve been gone I can do whatever I want I can see whomever I choose I can eat my dinner in a fancy restaurant But nothing I said nothing can take away these blues Cause nothing compares Nothing compares to you It s been so lonely without you here Like a bird without a song Nothing can stop these lonely tears from falling Tell me baby where did I go wrong I could put my arms around every boy I see But they d only remind me of you I went to the doctor and guess what he told me guess what he told me He said Girl you better try to have fun no matter what you do but he s a fool Cause nothing compares Nothing compares to you All the flowers that you planted mama in the back yard All died when you went away I know that living with you baby was sometimes hard But I m willing to give it another try Nothing compares Nothing compares to you Nothing compares Nothing compares to you Nothing compares Nothing compares to you'
4,Poison,Bell Biv DeVoe,1990,b' Yeah Spyderman and Freeze in full effect Uh huh You ready Ron I m ready You ready Biv I m ready Slick are you Oh yeah break it down Girl I must I sense something strange in my mind Situation is Let s cure it cause we re running out of time It s oh so Relationships they seem from the start It s all so When love is not together from the heart It s drivin me out of my mind That s why it s HARD for me to find Can t get it out of my head Miss her kiss her love her That girl is Never trust a big butt and smile That girl is Before I start to meet a fly girl you know Cause in some You ll think she s the best thing in the world She s so She ll drive you right out of your mind And steal your heart when you re blind Beware she s schemin she ll make you think you re dreamin YOU LL fall in love and you ll be screamin demon HOO Poison deadly movin in slow Lookin for a mellow fellow like DeVoe Gettin paid laid so better lay low Schemin on house money and the whole show The low pro ho she ll be cut like an aaa FRO See what you re sayin huh she s a winner to you But I know she s a loser Me and the crew used to do her POISON POISON POISON POISON POISON POISON POISON POISON POISON POISON POISON POISON POISON POISON POISON POISON I was at the park shake breakin and takin em all And that night I played the wall Checkin out the fellas the highs and lows Keepin one eye open still clockin the hoes There was one particular girl that stood out from the rest Poison as can be the high power chest Michael Biv here and I m runnin the show Bell Biv DeVoe now you know Yo Slick blow It s drivin me out of my mind That s why it s HARD for me to find Can t get it out of my head Miss her kiss her love her That girl is Never trust a big butt and smile That girl is Yo fellas that was my end of You know what I m sayin Mike Yeah B B D in full effect Yo wassup to Ralph T and Johnny G And I can t forget about my boy B Brown And the whole NE crew Poison '
5,Vogue,Madonna,1990,b' Strike a pose Strike a pose Look around everywhere you turn is heartache It s everywhere that you go You try everything you can to escape The pain of life that you know When all else fails and you long to be Something better than you are today I know a place where you can get away It s called a dance floor and here s what it s for so Come on vogue Let your body move to the music Hey hey hey Come on vogue Let your body go with the flow You know you can do it All you need is your own imagination So use it that s what it s for Go inside for your finest inspiration Your dreams will open the door It makes no difference if you re black or white If you re a boy or a girl If the music s pumping it will give you new life You re a superstar yes that s what you are you know it Come on vogue Let your body move to the music Hey hey hey Come on vogue Let your body go with the flow You know you can do it Beauty s where you find it Not just where you bump and grind it Soul is in the music oh That s where I feel so beautiful Magical life s a ball So get up on the dance floor Come on vogue Let your body move to the music Hey hey hey Come on vogue Let your body go with the flow You know you can do it Vogue Beauty s where you find it Vogue Beauty s where you find it Greta Garbo and Monroe Dietrich and DiMaggio Marlon Brando Jimmy Dean On the cover of a magazine Grace Kelly Harlow Jean Picture of a beauty queen Gene Kelly Fred Astaire Ginger Rogers dance on air They had style they had grace Rita Hayworth gave good face Lauren Katherine Lana too Bette Davis we love you Ladies with an attitude Fellas that were in the mood Don t just stand there let s get to it Strike a pose there s nothing to it Vogue vogue Vogue vogue Vogue vogue Vogue vogue Oooh you ve got to Let your body move to the music Oooh you ve got to just Let your body go with the flow Oooh you ve got to just Vogue'
6,Vision of Love,Mariah Carey,1990,b' Treated me kind Sweet destiny Carried me through desperation To the one that was waiting for me It took so long Still I believed Somehow the one that I needed Would find me eventually I had a vision of love And it was all that you ve given to me Prayed through the nights Felt so alone Suffered from alienation Carried the weight on my own Had to be strong So I believed And now I know I ve succeeded In finding the place I conceived I had a vision of love And it was all that you ve given to me I had a vision of love And it was all that you ve given me I ve realized the dream And I visualized The love that came to be Feel so alive I m so thankful that I ve received The answer that heaven has sent down to me You treated me kind Sweet destiny And I ll be eternally grateful Holding you so close to me Prayed through the nights So faithfully Knowing the one that I needed Would find me eventually I had a vision of love And it was all that you ve given to me I had a vision of love And it was all that you turned out to be'
7,Another Day in Paradise,Phil Collins,1990,b' She calls out to the man on the street Sir can you help me It s cold and I ve nowhere to sleep Is there somewhere you can tell me He walks on doesn t look back He pretends he can t hear her Starts to whistle as he crosses the street Seems embarrassed to be there Oh think twice it s another day for You and me in paradise Oh think twice it s just another day for you You and me in paradise She calls out to the man on the street He can see she s been crying She s got blisters on the soles of her feet She can t walk but she s trying Oh think twice cause it s another day for You and me in paradise Oh think twice it s just another day for you You and me in paradise Oh lord is there nothing more anybody can do Oh lord there must be something you can say You can tell from the lines on her face You can see that she s been there Probably been moved on from every place cos she didn t fit in there Oh think twice it s another day for You and me in paradise Oh think twice it s just another day for you You and me in paradise'
8,Hold On,En Vogue,1990,b' When I had you I treated you bad Wrong my dear But since since you went away Don t you know I sit around With my head hanging down And I wonder who s loving you Ooh my first mistake was I wanted too much time I had to have him morning noon and night If I would ve known then The things that I know now I might not have lost the time I complain about Don t waste your time Fighting blind minded thoughts of despair Hold on to your love You got to hold on Hold on to your love Ooh ooh baby hold on Hold on to your love Oh you got to hold on Hold on to your love ooh The art of playing games now Is not the hearts you break It s bout good love you make When his heart s on fire Give him love every day Remember he needs space Be patient and he ll give his heart to you Don t waste your time Fighting blind minded thoughts of despair Hold on to your love You got to hold on hey Hold on to your love You gotta hold on to your love yeah hey Hold on to your love Oh baby hold on Hold on to your love Baby hold on Trust and honesty too Must be the golden rule You ll feel the strength of passion in your soul Burn so deeply within Oh the magic that you share So sacrifice and show how much you care Don t waste your time Fighting blind minded thoughts of despair Hold on to your love You got to hold on Hold on to your love Don t let go Keep the ties Hold on to your love Hang on tight and don t let go Hold on to your love ooh Don t let go Hold on to your love Hold on to your love ooh If you love him if you need him really want him Just keep on just keep on hanging on Little trust honesty golden rule Feel the strength of passion in your soul It s burning so deep Have faith Just keep the fire burning at home Hey yeah He ll come home to you He ll be there for you He ll want to have you The time oh Have a little faith don t be so blinded '
9,Cradle of Love,Billy Idol,1990,b'Well rock the cradle of love Rock the cradle of love Yes the cradle of love don t rock easily It s true Well rock the cradle of love I rocked the cradle of love Yes the cradle of love don t rock easily It s true Well now It burned like a ball of fire When the rebel took a little child bride To tease yeah so go easy yeah Cause love cuts a million ways Shakes the devil when he misbehaves I ain t nobody s fool Come on shake it up Whatever I do Rock the cradle of love Rock the cradle of love Yes the cradle of love don t rock easily It s true Sent from heaven above that s right To rob the cradle of love Yes the pages of love don t talk decently It s true Yeah flesh for your Romeo Ah yeah baby I hear you moan It s easy y know how to please me yeah This love starts my rollin train You can t stop it It ain t in vain I ain t nobody s fool Come on shake it up Whatever you do These are the wages of love Rock the cradle of love These are the wages of love Ooh yeah Rock the cradle Yeah yeah yeah yeah yeah yeah Well it burned like a ball on fire When the rebel took a little child bride To tease yeah I know how to please you yeah Well my love starts a rollin train You can t stop it It ain t in vain I ain t nobody s fool Come on shake it up Whatever I do Rock the cradle of love Rock the cradle of love Sent from heaven above That s right To rock the cradle of love Rock the cradle of love Yeah cradle of love That s me mama I robbed the devil of love All right Cradle of love If you tease me tonight If you sleaze me all right If you appease me tonight And let me ease you Cradle of love'
10,Blaze of Glory,Jon Bon Jovi,1990,b' I wake up in the morning and I raise my weary head I ve got an old coat for a pillow and the earth was last night s bed I don t know where I m goin only God knows where I ve been I m a devil on the run a six gun lover a candle in the wind When you re brought into this world they say you re born in sin Well at least they gave me somethin I didn t have to steal or have to win Well they tell me that I m wanted yeah I m a wanted man I m colt in your stable I m what Cain was to Abel Mr Catch Me If You Can I m goin down in a blaze of glory Take me now but know the truth I m goin out in a blaze of glory And Lord I never drew first but I drew first blood I m no one s son call me young gun You ask about my conscience and I offer you my soul You ask If I ll grow to be a wise man well I ask if I ll grow old You ask me if I ve known love and what it s like to sing songs in the rain Well I ve seen love come I ve seen it shot down I ve seen it die in vain Shot down in a blaze of glory Take me now but know the truth Cause I m goin out in a blaze of glory Lord I never drew first but I drew first blood I m the devil s son call me young gun Each night I go to bed I pray the Lord my soul to keep No I ain t lookin for forgiveness but before I m six foot deep Lord I gotta ask a favor and I ll hope you ll understand Cause I ve lived life to the fullest let this boy die like a man Starin down a bullet let me make my final stand Shot down in a blaze of glory Take me now but know the truth I m goin out in a blaze of glory Lord I never drew first but I drew first blood And I m no one s son call me young gun I m a young gun Young gun Young gun'
