Rank,Song,Artist,Year,Lyrics
1,Physical,Olivia Newton-John,1982,"b""I'm saying all the things that I know you'll like\nMaking good conversation\nI gotta handle you just right\nYou know what I mean\nI took you to an intimate restaurant\nThen to a suggestive movie\nThere's nothing left to talk about\nUnless it's horizontally\nLet's get physical physical\nI wanna get physical\nLet's get into physical\nLet me hear your body talk your body talk\nLet me hear your body talk\nLet's get physical physical\nI wanna get physical\nLet's get into physical\nLet me hear your body talk your body talk\nLet me hear your body talk\nI've been patient I've been good\nTried to keep my hands on the table\nIt's gettin' hard this holdin' back\nIf you know what I mean\nI'm sure you'll understand my point of view\nWe know each other mentally\nYou gotta know that you're bringin' out\nThe animal in me\nLet's get physical physical\nI wanna get physical\nLet's get into physical\nLet me hear your body talk your body talk\nLet me hear your body talk\nLet's get physical physical\nI wanna get physical\nLet's get into physical\nLet me hear your body talk your body talk\nLet me hear your body talk\nLet's get physical physical\nI wanna get physical\nLet's get into physical\nLet me hear your body talk your body talk\nLet me hear your body talk\nLet's get animal animal\nI wanna get animal\nLet's get into animal\nLet me hear your body talk\nLet me hear your body talk"""
2,Eye of the Tiger,Survivor,1982,"b""Rising up back on the street\nDid my time took my chances\nWent the distance now I'm back on my feet\nJust a man and his will to survive\nSo many times it happens too fast\nYou trade your passion for glory\nDon't lose your grip on the dreams of the past\nYou must fight just to keep them alive\nIt's the eye of the tiger\nIt's the thrill of the fight\nRising up to the challenge of our rival\nAnd the last known survivor\nStalks his prey in the night\nAnd he's watching us all\nWith the eye of the tiger\nFace to face out in the heat\nHanging tough staying hungry\nThey stack the odds 'til we take to the street\nFor the kill with the skill to survive\nIt's the eye of the tiger\nIt's the thrill of the fight\nRising up to the challenge of our rival\nAnd the last known survivor\nStalks his prey in the night\nAnd he's watching us all\nWith the eye of the tiger\nRising up straight to the top\nHad the guts got the glory\nWent the distance now I'm not going to stop\nJust a man and his will to survive\nIt's the eye of the tiger\nIt's the thrill of the fight\nRising up to the challenge of our rival\nAnd the last known survivor\nStalks his prey in the night\nAnd he's watching us all\nWith the eye of the tiger\nThe eye of the tiger\nThe eye of the tiger\nThe eye of the tiger\nThe eye of the tiger"""
3,I Love Rock 'n Roll,Joan Jett,1982,"b""I saw him dancin' there by the record machine\nI knew he must a been about 17\nThe beat was goin' strong\nPlayin' my favorite song\nAn' I could tell it wouldn't be long\n'Til he was with me yeah me\nAnd I could tell it wouldn't be long\n'Til he was with me yeah me singin'\nI love rock n' roll\nSo put another dime in the jukebox baby!\nI love rock n' roll\nSo come and take your time and dance with me\nOoh!\nHe smiled so I got up and asked for his name\n\xe2\x80\x9cThat don't matter\xe2\x80\x9d he said\n\xe2\x80\x9c'Cause it's all the same\xe2\x80\x9d\nSaid \xe2\x80\x9cCan I take you home where we can be alone?\xe2\x80\x9d\nAn' next we were movin' on\nHe was with me yeah me\nNext we were movin' on\nHe was with me yeah me singin'\nI love rock n' roll\nSo put another dime in the jukebox baby!\nI love rock n' roll\nSo come and take your time and dance with me\nOoh!\nSaid \xe2\x80\x9cCan I take you home where we can be alone\xe2\x80\x9d\nNext we were movin' on\nHe was with me yeah me\nAn we'll be movin' on\nAn' singin' that same old song\nYeah with me singin'\nI love rock n' roll\nSo put another dime in the jukebox baby!\nI love rock n' roll\nSo come and take your time and dance with me\nI love rock n' roll\nSo put another dime in the jukebox baby!\nI love rock n' roll\nSo come and take your time and dance with me\nI love rock n' roll\nSo put another dime in the jukebox baby!\nI love rock n' roll\nSo come and take your time and dance with\nI love rock n' roll\nSo put another dime in the jukebox baby!\nI love rock n' roll\nSo come and take your time and dance with\nI love rock n' roll\nSo put another dime in the jukebox baby!\nI love rock n' roll\nSo come and take your time and dance with me"""
4,Ebony and Ivory,Paul McCartney,1982,"b""Ebony and ivory\nLive together in perfect harmony\nSide by side on my piano keyboard\nOh lord why don't we?\nWe all know that people are the same where ever you go\nThere is good and bad in everyone\nAnd we learn to live we learn to give each other\nWhat we need to survive together alive\nEbony and ivory\nLive together in perfect harmony\nSide by side on my piano keyboard\nOh lord why don't we?\nEbony ivory\nLiving in perfect harmony\nEbony ivory ooh\nWe all know that people are the same where ever you go\nThere is good and bad in everyone\nWe learn to live when we learn to give each other\nWhat we need to survive together alive\nEbony and ivory\nLive together in perfect harmony\nSide by side on my piano keyboard\nOh lord why don't we?\nSide by side on my piano keyboard\nOh lord why don't we?\nEbony ivory\nLiving in perfect harmony\nEbony ivory\nLiving in perfect harmony\nEbony ivory\nLiving in perfect harmony\nEbony ivory\nLiving in perfect harmony\nEbony ivory\nLiving in perfect harmony\nEbony ivory\nLiving in perfect harmony"""
5,Centerfold,The J. Geils Band,1982,"b""Does she walk? Does she talk?\nDoes she come complete?\nMy homeroom homeroom angel\nAlways pulled me from my seat\nShe was pure like snowflakes\nNo one could ever stain\nThe memory of my angel\nCould never cause me pain\nYears go by I'm lookin' through a girly magazine\nAnd there's my homeroom angel on the pages in-between\nMy blood runs cold\nMy memory has just been sold\nMy angel is the centerfold\nAngel is the centerfold\nMy blood runs cold\nMy memory has just been sold\nMy angel is the centerfold\nAngel is the centerfold\nSlipped me notes under the desk\nWhile I was thinkin' about her dress\nI was shy I turned away\nBefore she caught my eye\nI was shakin' in my shoes\nWhenever she flashed those baby-blues\nSomething had a hold on me\nWhen angel passed close by\nThose soft and fuzzy sweaters\nToo magical to touch\nTo see her in that negligee\nIs really just too much\nMy blood runs cold\nMy memory has just been sold\nMy angel is the centerfold\nAngel is the centerfold\nMy blood runs cold\nMy memory has just been sold\nMy angel is the centerfold\nAngel is the centerfold\nNah nah nah nah nah nah\nNah nah nah nah nah nah nah nah\nNah nah nah nah nah nah nah nah\nNah nah nah nah nah nah nah nah\nIt's okay I understand\nThis ain't no never-never land\nI hope that when this issue's gone\nI'll see you when your clothes are on\nTake you car Yes we will\nWe'll take your car and drive it\nWe'll take it to a motel room\nAnd take 'em off in private\nA part of me has just been ripped\nThe pages from my mind are stripped\nOh no I can't deny it\nOh yea I guess I gotta buy it!\nMy blood runs cold\nMy memory has just been sold\nMy angel is the centerfold\nAngel is the centerfold\nMy blood runs cold\nMy memory has just been sold\nMy angel is the centerfold\nAngel is the centerfold\nNah nah nah nah nah nah\nNah nah nah nah nah nah nah nah\nNah nah nah nah nah nah nah nah\nNah nah nah nah nah nah nah nah\n{Outro}\nMy blood runs cold\nMy memory has just been sold\nMy angel is the centerfold\nAngel is the centerfold"""
6,Don't You Want Me,The Human League,1982,"b""You were workin' as a waitress in a cocktail bar\nWhen I met you\nI picked you out I shook you up and turned you around\nTurned you into someone new\nNow five years later on you've got the world at your feet\nSuccess has been so easy for you\nBut don't forget it's me who put you where you are now\nAnd I can put you back down too\nDon't don't you want me?\nYou know I can't believe it when I hear that you won't see me\nDon't don't you want me?\nYou know I don't believe you when you say that you don't need me\nIt's much too late to find\nYou think you've changed your mind\nYou'd better change it back or we will both be sorry\nDon't you want me baby?\nDon't you want me ohh?\nDon't you want me baby?\nDon't you want me ohh?\nI was working as a waitress in a cocktail bar\nThat much is true\nBut even then I knew I'd find a much better place\nEither with or without you\nThe five years we have had have been such good times\nI still love you\nBut now I think it's time I live my life on my own\nI guess it's just what I must do\nDon't don't you want me?\nYou know I can't believe it when I hear that you won't see me\nDon't don't you want me?\nYou know I don't believe you when you say that you don't need me\nIt's much too late to find\nYou think you've changed your mind\nYou'd better change it back or we will both be sorry\nDon't you want me baby?\nDon't you want me ohh?\nDon't you want me baby?\nDon't you want me ohh?\nDon't you want me baby?\nDon't you want me ohh?\nDon't you want me baby?\nDon't you want me ohh?"""
7,Jack & Diane,John Cougar,1982,"b'Little ditty about Jack and Diane\nTwo American kids growin\' up in the heartland\nJack he\'s gonna be a football star\nDiane\'s debutante backseat of Jacky\'s car\nSuckin\' on a chili dog outside the Tastee Freez\nDiane\'s sittin\' on Jacky\'s lap\nHe\'s got his hand between her knees\nJacky say ""Hey Diane lets run off behind a shady tree\nDribble off those Bobby Brooks slacks\nLet me do what I please""\nAnd Jacky say\nOh yeah life goes on\nLong after the thrill of livin\' is gone\nOh yeah say life goes on\nLong after the thrill of livin\' is gone\nThey walk on\nJacky sits back collects his thoughts for the moment\nScratches his head and does his best James Dean\n""Well then there Diane we ought to run off to the city""\nDiane says ""Baby you ain\'t missin\' nothing""\nBut Jacky say\nOh yeah life goes on\nLong after the thrill of livin\' is gone\nOh yeah say life goes on\nLong after the thrill of livin\' is gone\nGonna let it rock\nLet it roll\nLet the Bible belt come and save my soul\nHold on to sixteen as long as you can\nChanges come around real soon\nMake us women and men\nOh yeah life goes on\nLong after the thrill of livin\' is gone\nOh yeah say life goes on\nLong after the thrill of livin\' is gone\nLittle ditty about Jack and Diane\nTwo American kids doing the best they can'"
8,Hurts So Good,John Cougar,1982,"b""When I was a young boy\nSaid put away those young boy ways\nNow that I'm getting' older so much older\nI long all those young boy days\nWith a girl like you\nWith a girl like you\nLord knows there are things we can do baby\nJust me and you\nCome on and make it a\nHurt so good\nCome on baby make it hurt so good\nSometimes love don't feel like it should\nYou make it hurt so good\nYou don't have to be so exciting\nJust trying to give myself a little bit of fun yeah\nYou always look so inviting\nYou ain't as green as you are young\nHey baby it's you\nCome on girl now it's you\nSink your teeth right through my bones baby\nLet's see what we can do\nCome on and make it a\nHurt so good\nCome on baby make it hurt so good\nSometimes love don't feel like it should\nYou make it hurt so good\nI ain't talking no big deals\nI ain't made no plans myself\nI ain't talking no high heels\nMaybe we could walk around all day long\nWalk around all day long\nUgh!\nHurt so good\nCome on baby make it hurt so good\nSometimes love don't feel like it should\nYou make it hurt so good\nHurt so good \nCome on baby make it hurt so good\nSometimes love don't feel like it should\nYou make it hurt so good\nHey hey"""
9,Abracadabra,Steve Miller Band,1982,"b""I heat up I can't cool down\nYou got me spinnin'\n'Round and 'round\n'Round and 'round and 'round it goes\nWhere it stops nobody knows\nEvery time you call my name\nI heat up like a burnin' flame\nBurnin' flame full of desire\nKiss me baby let the fire get higher\nAbra-abra-cadabra\nI wanna reach out and grab ya\nAbra-abra-cadabra\nAbracadabra\nYou make me hot you make me sigh\nYou make me laugh you make me cry\nKeep me burnin' for your love\nWith the touch of a velvet glove\nAbra-abra-cadabra\nI wanna reach out and grab ya\nAbra-abra-cadabra\nAbracadabra\nI feel the magic in your caress\nI feel magic when I touch your dress\nSilk and satin leather and lace\nBlack panties with an angel's face\nI see magic in your eyes\nI hear the magic in your sighs\nJust when I think I'm gonna get away\nI hear those words that you always say\nAbra-abra-cadabra\nI wanna reach out and grab ya\nAbra-abra-cadabra\nAbracadabra\nEvery time you call my name\nI heat up like a burnin' flame\nBurnin' flame full of desire\nKiss me baby let the fire get higher yeah yeah\nI heat up I can't cool down\nMy situation goes 'round and 'round\nI heat up I can't cool down\nMy situation goes 'round and 'round\nI heat up I can't cool down\nMy situation goes 'round and 'round\nI heat up  I can't cool down \nMy situation goes 'round and 'round \nI heat up  I can't cool down \nMy situation goes 'round and 'round \nI heat up  I can't cool down """
10,Hard to Say I'm Sorry,Chicago,1982,"b""Everybody needs a little time away\nI heard her say from each other\nEven lovers need a holiday\nFar away from each other\nHold me now\nIt's hard for me to say I'm sorry\nI just want you to stay\nAfter all that we've been through\nI will make it up to you I promise to\nAnd after all that's been said and done\nYou're just a part of me I can't let go\nCouldn't stand to be kept away\nJust for the day from your body\nWouldn't wanna be swept away\nFar away from the one that I love\nHold me now\nIt's hard for me to say I'm sorry\nI just want you to know\nHold me now\nI really wanna tell you I'm sorry\nI could never let you go\nAfter all that we've been through\nI will make it up to you I promise to\nAnd after all that's been said and done\nYou're just a part of me I can't let go\nAfter all that we've been through\nI will make it up to you I promise to\nYou're gonna be the lucky one\nWhen we get there gonna jump in the air\nNo one'll see us cause there's nobody there\nAfter all you know we really don't care\nHold on I'm gonna take you there"""
