Rank,Song,Artist,Year,Lyrics
1,"How You Remind Me",Nickelback,2002,b' Never made it as a wise man I couldn t cut it as a poor man stealing Tired of living like a blind man I m sick of sight without a sense of feeling And this is how you remind me This is how you remind me of what I really am This is how you remind me of what I really am It s not like you to say sorry I was waiting on a different story This time I m mistaken For handing you a heart worth breaking And I ve been wrong I ve been down Been to the bottom of every bottle These five words in my head Scream Are we having fun yet Yeah yeah yeah no no Yeah yeah yeah no no It s not like you didn t know that I said I love you and I swear I still do And it must have been so bad Cause living with me must have damn near killed you And this is how you remind me of what I really am This is how you remind me of what I really am It s not like you to say sorry I was waiting on a different story This time I m mistaken For handing you a heart worth breaking And I ve been wrong I ve been down Been to the bottom of every bottle These five words in my head Scream Are we having fun yet Yeah yeah yeah no no Yeah yeah yeah no no Yeah yeah yeah no no Yeah yeah yeah no no Never made it as a wise man I couldn t cut it as a poor man stealing And this is how you remind me This is how you remind me This is how you remind me of what I really am This is how you remind me of what I really am It s not like you to say sorry I was waiting on a different story This time I m mistaken For handing you a heart worth breaking And I ve been wrong I ve been down Been to the bottom of every bottle These five words in my head Scream Are we having fun yet Yeah yeah are we having fun yet Yeah yeah are we having fun yet Yeah yeah are we having fun yet Yeah yeah No no'
2,"Foolish",Ashanti,2002,b' Murder Inc Ashanti See my days are cold without you But I m hurting while I m with you And though my heart can t take no more I keep on running back to you See my days are cold without you But I m hurting while I m with you And though my heart can t take no more I keep on running back to you Baby I don t know why you re treating me so bad You said you love me no one above me and I was all you had And though my heart is beating for you I can t stop crying I don t know how I allow you to treat me this way and still I stay See my days are cold without you But I m hurting while I m with you And though my heart can t take no more I keep on running back to you See my days are cold without you But I m hurting while I m with you And though my heart can t take no more I keep on running back to you Baby I don t know why you wanna do me wrong See when I m home I m all alone and you are always gone And boy you know I really love you I can t deny I can t see how you could bring me to so many tears after all these years See my days are cold without you But I m hurting while I m with you And though my heart can t take no more I keep on running back to you See my days are cold without you But I m hurting while I m with you And though my heart can t take no more I keep on running back to you Ooh I trusted you I trusted you So sad so sad what love will make you do All the things that we accept Be the things that we regret To all of my ladies Feel me come on sing with me See when I get the strength to leave You always tell me that you need me And I m weak cause I believe you And I m mad because I love you So I stop and think that maybe You can learn to appreciate me Then it all remains the same That you ain t never gonna change See my days are cold without you But I m hurting while I m with you And though my heart can t take no more I keep on running back to you See my days are cold without you But I m hurting while I m with you And though my heart can t take no more I keep on running back to you Baby why you hurt me leave me and desert me Boy I gave you all my heart and all you did was tear it up Looking out my window knowing that I should go Even when I pack my bags this something always holds me back'
3,"Dilemma",Nelly,2002,b' I love you And I need you Nelly I love you I do need you No matter what I do All I think about is you Even when I m with my boo Boy you know I m crazy over you No matter what I do All I think about is you Even when I m with my boo You know I m crazy over you I met this chick and she just moved right up the block from me And uh she got the hots for me The finest thing my hood done seen But oh no oh no She got a man and a son though But that s okay cause I Wait for my cue and just listen play my position Like a shortstop pick up e rything mami hittin And in no time I plan to make this one here mine And that s for sure cause I I never been the type to break up a happy home but uh There s somethin bout baby girl I just can t leave alone So tell me Ma what s it gonna be She said No matter what I do All I think about is you Even when I m with my boo Boy you know I m crazy over you No matter what I do All I think about is you Even when I m with my boo You know I m crazy over you I see a lot and you look and I never say a word I know how niggas start actin trippin out here about they girls And there s no way Nelly gon fight over no dame As you can see but I I like your steez your style your whole demeanor The way you come through and holla And swoop me in his two seater Now that s gangsta And I got special ways to thank ya Don t you forget it But uh it ain t that easy for you to pack and leave him But uh you and dirty got ties for different reasons I respect that and right before I turn to leave She said she said No matter what I do All I think about is you Even when I m with my boo Boy you know I m crazy over you No matter what I do All I think about is you Even when I m with my boo You know I m crazy over you Sing it for me K I love you and I need you Nelly I love you I do And it s more than you ll ever know Boy it s for sure You can always count on my love Forever more yeah yeah East Coast I know you shakin right Down South I know you bouncin right West Coast I know you walkin right cause Midwest I see you swingin right No matter what I do All I think about is you Even when I m with my boo Boy you know I m crazy over you No matter what I do All I think about is you Even when I m with my boo You know I m crazy over you East Coast I know you shakin right Down South I know you bouncin right West Coast I know you walkin right cause Midwest I see you swingin right East Coast you still shakin right Down South I know you bouncin right West Coast I know you walkin right cause Midwest I see you swingin right No matter what I do All I think about is you Even when I m with my boo Boy you know I m crazy over you No matter what I do All I think about is you Even when I m with my boo Boy you know I m crazy over you No matter what I do All I think about is you Even when I m with my boo Boy you know I m crazy over you East Coast I know you shakin right Down South I know you bouncin right West Coast I know you walkin right cause Midwest I see you swingin right East Coast you still shakin right Down South I see you bouncin right West Coast I know you walkin right cause Midwest I see you swingin right'
4,"Hot in Herre",Nelly,2002,b' It s hot in so hot in herre So hot in hot OH With a little bit of uh uh and a little bit of uh uh Just a little bit of just a little bit of Just a little bit of just a little bit of I was like good gracious ass is bodacious Flirtacious tryin to show patience I m waitin for the right time to shoot my steez Waitin for the right time to flash them keys then uhh I m leavin please believe in ohhh Me and the rest of my heathens Check it got it locked at the top of the Fo Seasons Penthouse roof top birds I m feedin No deceivin nuttin up my sleeve and No teasin I need you to Get up up on the dance floor Give that man what he askin for Cause I feel like bustin loose And I feel like touchin you uh uh And can t nobody stop the juice So baby tell me what s the use I said It s gettin hot in herre so take off all your clothes I am gettin so hot I wanna take my clothes off It s gettin hot in herre so take off all your clothes I am gettin so hot I wanna take my clothes off Uh uh uh let it hang alll out Why you at the bar if you ain t poppin the bottles What good is all the fame if you ain t fuckin the models I see you drivin sports cars ain t hittin the throttle And I ll be down to do a hundred top down and goggles Got off the freeway exit 106 and parked it Ash tray flip gate time to spark it Gucci collar for dollar got out and walked it I spit game cause baby I can t talk it Warm sweatin it s hot up in this joint Vokal tanktop on at this point You with a winner so baby you can t lose I got secrets can t leave Cancun So take it off like you re home alone You know dance in front your mirror while you re on the phone Checkin your reflection and tellin your best friend Like Girl I think my butt gettin big It s gettin hot in herre so take off all your clothes I am gettin so hot I wanna take my clothes off It s gettin hot in herre so take off all your clothes I am gettin so hot I wanna take my clothes off Uh uh uh let it hang alll out Mix a little bit of ah ah With a little bit of ah ah Give a little bit of ah ah With a little bit of ah ah With a little bit of ah ah And a sprinkle of that ah ah I like it when ya ah ah Girl baby make it ah ah Stop pacin time wastin I got a friend with a pole in the basement I m just kidding like Jason Unless you gon do it Extra extra eh spread the news Nelly took a trip from the Lou to the Neptunes Came back with somethin thicker than fittin in Sasoons Say she got a thing about cuttin in restrooms ohhhhh It s gettin hot in here so take off all your clothes I am gettin so hot I wanna take my clothes off It s gettin hot in here so take off all your clothes I am gettin so hot I wanna take my clothes off Uh uh uh let it hang alll out It s gettin hot in herre so take off all your clothes I am gettin so hot I wanna take my clothes off It s gettin hot in herre so take off all your clothes I am gettin so hot I wanna take my clothes off Uh uh uh let it hang alll out Mix a little bit of ah ah With a little bit of ah ah Give a little bit of ah ah With a little bit of ah ah With a little bit of ah ah And a sprinkle of that ah ah I like it when ya ah ah Girl baby make it ah ah ohhh '
5,"Wherever You Will Go",The Calling,2002,b' So lately been wondering Who will be there to take my place When I m gone you ll need love To light the shadows on your face If a great wave shall fall It d fall upon us all Then between the sand and stone Could you make it on your own If I could then I would I ll go wherever you will go Way up high or down low I ll go wherever you will go And maybe I ll find out A way to make it back someday To watch you to guide you Through the darkest of your days If a great wave shall fall It d fall upon us all Then I hope there s someone out there Who can bring me back to you If I could then I would I ll go wherever you will go Way up high or down low I ll go wherever you will go Run away with my heart Run away with my hope Run away with my love I know now just quite how My life and love might still go on In your heart in your mind I ll stay with you for all of time If I could then I would I ll go wherever you will go Way up high or down low I ll go wherever you will go If I could turn back time I ll go wherever you will go If I could make you mine I ll go wherever you will go I ll go wherever you will go'
6,"A Thousand Miles",Vanessa Carlton,2002,b' Makin my way downtown Walkin fast faces pass And I m homebound Starin blankly ahead Just makin my way Makin a way through the crowd And I need you And I miss you And now I wonder If I could fall into the sky Do you think time would pass me by Cause you know I d walk a thousand miles If I could just see you Tonight It s always times like these when I think of you And I wonder if you ever think of me Cause everything s so wrong and I don t belong Livin in your precious memory Cause I ll need you And I ll miss you And now I wonder If I could fall into the sky Do you think time would pass me by Oh cause you know I d walk a thousand miles If I could just see you Tonight I I don t wanna let you know I I drown in your memory I I don t wanna let this go I I don t Makin my way downtown Walkin fast faces pass And I m homebound Starin blankly ahead Just makin my way Makin a way through the crowd And I still need you I still miss you And now I wonder If I could fall into the sky Do you think time would pass us by Cause you know I d walk a thousand miles If I could just see you If I could fall into the sky Do you think time would pass me by Cause you know I d walk a thousand miles If I could just see you If I could just hold you Tonight'
7,"In the End",Linkin Park,2002,b' It starts with one One thing I don t know why It doesn t even matter how hard you try Keep that in mind I designed this rhyme to explain in due time All I know Time is a valuable thing Watch it fly by as the pendulum swings Watch it count down to the end of the day The clock ticks life away It s so unreal You didn t look out below Watch the time go right out the window Tryin to hold on didn t even know I wasted it all just to watch you go I kept everything inside And even though I tried it all fell apart What it meant to me will eventually be a memory Of a time when I tried so hard I tried so hard and got so far But in the end it doesn t even matter I had to fall to lose it all But in the end it doesn t even matter One thing I don t know why It doesn t even matter how hard you try Keep that in mind I designed this rhyme To remind myself how I tried so hard In spite of the way you were mockin me Actin like I was part of your property Remembering all the times you fought with me I m surprised it got so far Things aren t the way they were before You wouldn t even recognize me anymore Not that you knew me back then But it all comes back to me in the end You kept everything inside And even though I tried it all fell apart What it meant to me will eventually Be a memory of a time when I tried so hard I tried so hard and got so far But in the end it doesn t even matter I had to fall to lose it all But in the end it doesn t even matter I ve put my trust in you Pushed as far as I can go For all this There s only one thing you should know I ve put my trust in you Pushed as far as I can go For all this There s only one thing you should know I tried so hard and got so far But in the end it doesn t even matter I had to fall to lose it all But in the end it doesn t even matter'
8,"What's Luv?",Fat Joe,2002,b' Put the fuckin mic on Mic is on Joe Crack the Don uh Uh Irv Gotti What s love Ashanti Terror Terror Squad It should be about us be about trust What s love What s love It s about us it s about trust babe What s love What s love It should be about us it should be about trust babe What s love Yeah uh uh uh Woo Yeah slow down baby Let you know from the gate I don t go down lady I wanna chick with thick hips that licks her lips She can be the office type or like to strip Girl you get me aroused how you look in my eye But you talk too much man you re ruinin my high Don t wanna lose the feelin cause the roof is chillin It s on fire and you lookin good for the gettin I ma rider whether in a hoodie or a linen A provider you should see the jewelery on my women And I m livin it up the Squad stay fillin the truck With chicks that s willin to triz with us uh You say you gotta man and you re in love But what s love gotta do with a little menage After the par tay me and you Could just slide for a few and she could come too That s love What s love What s love It s about us it s about trust babe What s love What s love It should be about us it should be about trust babe What s love Yeah uh yeah yo uh yo Mami I know you got issues you gotta man But you need to understand that you got somethin with you Ass is fat frame is little Tattoo on your chest with his name in the middle uh I m not a hater I just crush a lot And the way you shake your booty I don t want you to stop You need to come a little closer And let me put you under my arms like a Don is supposed ta Please believe you leave with me We be freakin all night like we was on E You need to trust the God and jump in the car For a little hard eight at the Taj Mahal What s love What s love What s love It s about us it s about trust babe What s love What s love It should be about us it should be about trust babe What s love Yeah uh yo Yo I stroll in the club with my hat down Michael Jack style hot steppin who the mack now Not my fault cause they love the kid Might be the chain or the whip I don t know what it is We just party and bullshit c mon mami Put your body in motion you got a nigga open You came here with the heart to cheat So you need to sing the song with me All my ladies come on When I look in your eyes there s no stoppin me I want the Don Joey Crack on top of me Don t want your stacks just break my back Gonna cut you no slack cause I m on it like that Come on And put it all on me On me What s love What s love It s about us it s about trust babe What s love What s love It should be about us it should be about trust babe What s love What s love It s about us it s about trust babe What s love What s love It should be about us it should be about trust babe What s love '
9,"U Got It Bad",Usher,2002,b' When you feel it in your body you found somebody who Makes you change your ways like hanging with your crew Said you act like you ready but you don t really know And everything in your past you wanna let it go I ve been there done it fucked around After all that this is what I found Nobody wants to be alone If you re touched by the words in this song Then maybe You got you got it bad When you re on the phone hang up and you call right back You got you got it bad If you miss a day without your friend your whole life s off track Know you know you got it bad when you re stuck in the house You don t wanna have fun it s all you think about You got it bad when you re out with someone But you keep on thinking bout somebody else You got it bad When you say that you love them and you really know Everything that used to matter don t matter no more Like my money all my cars Flowers cards and candy Said I m fortunate to have you girl I want you to know I really adore you All my people who know what s going on Look at your mate help me sing my song Tell her I m your man you re my girl I m gonna tell it to the whole wide world Ladies say I m your girl you re my man Promise to love you the best I can See I ve been there done it fucked around After all that this is what I found Everyone of y all are just like me It s too bad that you can t see That you got it bad You got you got it bad When you re on the phone hang up and you call right back You got you got it bad If you miss a day without your friend your whole life s off track Know you know you got it bad when you re stuck in the house You don t wanna have fun it s all you think about You got it bad when you re out with someone But you keep on thinking bout somebody else You got it bad You got you got it bad When you re on the phone hang up and you call right back You got you got it bad If you miss a day without your friend your whole life s off track Know you know you got it bad when you re stuck in the house You don t wanna have fun it s all you think about You got it bad when you re out with someone But you keep on thinking bout somebody else '
10,"Blurry",Puddle of Mudd,2002,b' Everything s so blurry and everyone s so fake And everybody s empty and everything is so messed up Preoccupied without you I cannot live at all My whole world surrounds you I stumble then I crawl You could be my someone you could be my scene You know that I ll protect you from all of the obscene I wonder what you re doing imagine where you are There s oceans in between us but that s not very far Can you take it all away Can you take it all away When you shoved it in my face This pain you gave to me Can you take it all away Can you take it all away When you shoved it in my face Everyone is changing there s no one left that s real So make up your own ending and let me know just how you feel Cause I am lost without you I cannot live at all My whole world surrounds you I stumble then I crawl And you could be my someone you could be my scene You know that I will save you from all of the unclean I wonder what you re doing I wonder where you are There s oceans in between us but that s not very far Can you take it all away Can you take it all away When you shoved it in my face This pain you gave to me Can you take it all away Can you take it all away When you shoved it in my face This pain you gave to me No nobody told me what you thought Nobody told me what to say Everyone showed you where to turn Told you when to run away Nobody told you where to hide Nobody told you what to say Everyone showed you where to turn Showed you when to run away Can you take it all away Can you take it all away When you shoved it in my face This pain you gave to me Can you take it all away Can you take it all away When you shoved it in my face This pain you gave to me No this pain you gave to me This pain you gave to me Can you take it all Can you take it all away The pain you gave to me This pain you gave to me This pain you gave to me Take it all away This pain you gave to me '
