Rank,Song,Artist,Year,Lyrics
1,Macarena (Bayside Boys Mix),Los del RÃ­o,1996,"""When I dance they call me Macarena And the boys they say que soy buena They all want me They can't have me So they all come and dance beside me Move with me Chant with me And if you're good, I'll take you home with me Move with me Chant with me And if you're good, I'll take you home with me Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría why cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena But don't you worry about my boyfriend He's a boy who's name is Victorino I don't want him Couldn't stand him He was no good so I Now come on, what was I supposed to do? He was out of town and his two friends were so fine Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Come and find me, my name is Macarena Always at the party con las chicas que son buena Come join me Dance with me And you fellows chant along with me Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena Dale a tu cuerpo alegría Macarena Que tu cuerpo es pa' darle alegría cosa buena Dale a tu cuerpo alegría, Macarena Hey Macarena"""
2,One Sweet Day,Mariah Carey,1996,b' Sorry I never told you All I wanted to say And now it s too late to hold you Cause you ve flown away so far away Never had I imagined Living without your smile Feeling and knowing you hear me It keeps me alive alive And I know you re shining down on me from Heaven Like so many friends we ve lost along the way And I know eventually we ll be together One sweet day Picture a little scene in Heaven Darling I never showed you Assumed you d always be there I thought you d always be there I I took your presence for granted But I always cared And I miss the love we shared And I know you re shining down on me from Heaven Like so many friends we ve lost along the way And I know eventually we ll be together One sweet day Picture a little scene in Heaven Yeah yeah Lord I know when I lay me down to sleep You will always listen as I pray And I know you re shining down on me from Heaven Like so many friends we ve lost along the way And I know eventually we ll be together One sweet day And I know you re shining down on me from Heaven Like so many friends we ve lost along the way And I know eventually we ll be together One sweet day Sorry I never told you All I wanted to say'
3,Because You Loved Me,Celine Dion,1996,b' For all those times you stood by me For all the truth that you made me see For all the joy you brought to my life For all the wrong that you made right For every dream you made come true For all the love I found in you I would be forever thankful baby You re the one who held me up Never let me fall You re the one who saw me through through it all You were my strength when I was weak You were my voice when I couldn t speak You were my eyes when I couldn t see You saw the best there was in me Lifted me up when I couldn t reach You gave me faith cause you believed I m everything I am Because you loved me You gave me wings and made me fly You touched my hand I could touch the sky I lost my faith you gave it back to me You said no star was out of reach You stood by me and I stood tall I had your love I had it all I m grateful for each day you gave me Maybe I don t know that much But I know this much is true I was blessed because I was loved by you You were my strength when I was weak You were my voice when I couldn t speak You were my eyes when I couldn t see You saw the best there was in me Lifted me up when I couldn t reach You gave me faith cause you believed I m everything I am Because you loved me You were always there for me The tender wind that carried me A light in the dark shining your love into my life You ve been my inspiration Through the lies you were the truth My world is a better place because of you You were my strength when I was weak You were my voice when I couldn t speak You were my eyes when I couldn t see You saw the best there was in me Lifted me up when I couldn t reach You gave me faith cause you believed I m everything I am Because you loved me You were my strength when I was weak You were my voice when I couldn t speak You were my eyes when I couldn t see You saw the best there was in me Lifted me up when I coldn t reach You gave me faith cause you believed I m everything I am Because you loved me Oh I m everything I am Because you loved me'
4,Nobody Knows,The Tony Rich Project,1996,b' Yeah wish I told her how I felt Maybe she d be here right now But instead I pretended I m glad you went away These four walls closin more every day And I m dying inside And nobody knows it but me Like a clown I put on a show The pain is real even if nobody knows And I m crying inside And nobody knows it but me Why didn t I say The things I needed to say How could I let my angel get away Now my world is just a tumblin down I can say it so clearly But you re nowhere around The nights are lonely the days are so sad And I just keep thinkin about The love that we had And I m missin you And nobody knows it but me I carry a smile when I m broken in two And I m nobody without someone like you I m tremblin inside And nobody knows it but me I lie awake it s a quarter past three I m screamin at night as if I thought you d hear me Yeah my heart is callin you And nobody knows it but me How blue can I get You could ask my heart But like a jigsaw puzzle it s been torn all apart A million words couldn t say just how I feel A million years from now you know I ll be lovin you still The nights are lonely the days are so sad And I just keep thinkin about The love that we had And I m missin you And nobody knows it but me Tomorrow mornin I m hitting the dusty road Gonna find you wherever ever you might go I m gonna unload my heart And hope you come back to me Said when the nights are lonely The nights are lonely the days are so sad And I just keep thinkin about The love that we had And I m missin you And nobody knows it but me'
5,Always Be My Baby,Mariah Carey,1996,b' We were as one babe For a moment in time And it seemed everlasting That you would always be mine Now you want to be free So I ll let you fly Cause I know in my heart babe Our love will never die no You ll always be a part of me I m part of you indefinitely Boy don t you know you can t escape me Ooh darling cause you ll always be my baby And we ll linger on Time can t erase a feeling this strong No way you re never gonna shake me Ooh darling cause you ll always be my baby I ain t gonna cry no And I won t beg you to stay If you re determined to leave boy I will not stand in your way But inevitably You ll be back again Cause you know in your heart babe Our love will never end no You ll always be a part of me I m part of you indefinitely Boy don t you know you can t escape me Ooh darling cause you ll always be my baby And we ll linger on Time can t erase a feeling this strong No way you re never gonna shake me Ooh darling cause you ll always be my baby I know that you ll be back boy When your days and your nights get a little bit colder oh I know that you ll be right back baby Oh baby believe me it s only a matter of time time You ll always be a part of me I m part of you indefinitely Boy don t you know you can t escape me Ooh darling cause you ll always be my baby And we ll linger on Time can t erase a feeling this strong No way you re never gonna shake me Ooh darling cause you ll always be my baby You ll always be a part of me I m part of you indefinitely Boy don t you know you can t escape me Ooh darling cause you ll always be my baby And we ll linger on Time can t erase a feeling this strong No way you re never going to shake me Ooh darling cause you ll always be my baby You and I will always be No way you re never gonna shake me No way you re never gonna shake me You and I we ll always be'
6,Give Me One Reason,Tracy Chapman,1996,b' Give me one reason to stay here And I ll turn right back around Give me one reason to stay here And I ll turn right back around Said I don t want leave you lonely You got to make me change my mind Baby I got your number and I know that you got mine But you know that I called you I called too many times You can call me baby you can call me anytime But you got to call me Give me one reason to stay here And I ll turn right back around Give me one reason to stay here And I ll turn right back around Because I don t want leave you lonely But you got to make me change my mind I don t want no one to squeeze me they might take away my life I don t want no one to squeeze me they might take away my life I just want someone to hold me and rock me through the night This youthful heart can love you and give you what you need This youthful heart can love you and give you what you need But I m too old to go chasing you around Wasting my precious energy Give me one reason to stay here And I ll turn right back around Give me one reason to stay here And I ll turn right back around Said I don t want leave you lonely You got to make me change my mind Baby just give me one reason Give me just one reason why Baby just give me one reason Give me just one reason why I should stay Because I told you that I loved you And there ain t no more to say'
7,Tha Crossroads,Bone Thugs-n-Harmony,1996,b' Bone Bone Bone Bone Bone Bone Bone Bone Bone Now tell me what ya gonna do When it ain t nowhere to run When judgment comes for you When judgment comes for you Now tell me what ya gonna do When it ain t nowhere to hide When judgment comes for you Cause it s gonna come for you Dead souls nigga this for Wally Eazy C s Uncle Charlie Little Boo but God s got him And I m gonna miss everybody I done rolled with blows like AIDS Looked at him while he laid and prayed But destiny played too deep for me to say Lil Layzie came to me Told me if he should decease well then please Bury me by my Gran Gran And when you can come follow me God bless you workin on a plan to Heaven Follow the Lord all 24 7 days God is who we praise Even though the Devil s all up in my face But He keepin me safe and in my place Say grace to the gates we race Without a chance to face the judge Then I guess my soul won t budge Grudge because there s no mercy for thugs Ooh what could I do It s all about a family and how we roll Can I get a witness Let it unfold We livin our lives to eternal our souls hey o ayo Pray and we pray and we pray And we pray and we pray Every day every day every day every day And we pray and we pray And we pray and we pray Still we lacin Now follow me roll stroll Whether it s Hell or it s Heaven Come let s go take a visit to the people that s long gone they rest Wally Eazy Terry Boo And still keepin up with they family Exactly how many days we got lastin While you laughin we re passin passin away God rest our souls Cause I know I might meet you up at the crossroads Y all know y all forever got love from them Bone Thugs baby Lil E Z long gone Really wish he could come home But when it s time to die gotta go bye bye All a lil thug could do was cry cry Why d they kill my dog Damn man I miss my Uncle Charles y all And he shouldn t be gone In front of his home what they did to Boo was wrong Oh so wrong was so wrong Gotta hold on gotta stay strong When the day comes Better believe Bone got a shoulder you can lean on lean on Pray and we pray and we pray And we pray and we pray Every day every day every day every day And we pray and we pray And we pray and we pray See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely And I m gonna miss everybody And I m gonna miss everybody when I m gone And I m gonna miss everybody And I m gonna miss everybody And I m gonna miss everybody when I m gone And I m gonna miss everybody Livin in a hateful world Sendin me That s how we roll Livin in a hateful world Sendin me That s how we roll Livin in a hateful world Sendin me That s how we roll And I asked the good Lord why He sighed he told me we live to die What s up with that murder y all See my little cousin was hung Somebody really wrong anybody wanna test us dawg And Ms Sleazy set up Eazy to fall You know while we sinnin He intendin on endin it when it ends He comin again and again and again Now tell me what ya gonna do Can somebody anybody tell me why hey Can somebody anybody tell me why We die we die I don t wanna die See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely See you at the crossroads So you won t be lonely'
8,I Love You Always Forever,Donna Lewis,1996,b' Feels like I m standing in a timeless dream Of light mists with pale amber rose Feels like I m lost in a deep cloud of heavenly scent Touching discovering you Those days of warm rains come rushing back to me Miles of windless summer night air Secret moments shared in the heat of the afternoon Out of the stillness soft spoken words Say say it again I love you always forever Near and far close and together Everywhere I will be with you Everything I will do for you I love you always forever Near and far close and together Everywhere I will be with you Everything I will do for you You ve got the most unbelievable blue eyes I ve ever seen You ve got me almost melting away As we lay there under a blue sky with pure white stars Exotic sweetness a magical time Say say it again I love you always forever Near and far close and together Everywhere I will be with you Everything I will do for you I love you always forever Near and far close and together Everywhere I will be with you Everything I will do for you Say you ll love love me forever Never stop never whatever Near and far and always and everywhere and every Say you ll love love me forever Never stop never whatever Near and far and always and everywhere and every Say you ll love love me forever Never stop never whatever Near and far and always and everywhere and every Say you ll love love me forever Never stop never whatever Near and far and always and everywhere and everything I love you always forever Near and far close and together Everywhere I will be with you Everything I will do for you I love you always forever Near and far close and together Everywhere I will be with you Everything I will do for you I love you always forever Near and far close and together Everywhere I will be with you Everything I will do for you I love you always forever Near and far close and together Everywhere I will be with you'
9,"You're Makin' Me High / ""Let It Flow""",Toni Braxton,1996,b'Often when discussing the elite pack of divas who ruled the 90s and early aughts Toni Braxton is cast aside This shouldn t be the case there s way more to her story than Un Break My Heart Known for her sultry low ranging contralto voice Braxton who turns 50 this Saturday Oct 7 provided the R B pop and adult contemporary hemispheres with a slew of signature classics The dramatic flare of these songs matched with her film noir aesthetic and style convincingly sold Braxton s extensive discography centered on the raging emotions of love and heartbreak The smoothness and mature sophistication in her sound offered a lighter shading to the early waves of hip hop soul and alternative R B that reigned supreme in the 90s Well into the early aughts Braxton would find herself pairing quiet storm vibes with hip hop undertones After an unfortunate dip in mainstream appeal maligned by label issues and personal matters in the mid 00 s Braxton regained her place in the spotlight with a Dancing With The Stars stint a successful reality TV show alongside her sisters and a critically acclaimed reunion album with her mentor Kenneth Babyface Edmonds Now the legend prepares to release her ninth studio album slated to be released next year including her current single Deadwood To celebrate the songstress milestone birthday Billboard ranks the 25 best Toni Braxton songs including singles and deep cuts 25 You Mean The World To Me After departing from her all sisters quintet The Braxtons the eldest of the girl group embarked on a successful solo career 1993 saw the arrival of Toni Braxton a self titled debut that topped both the Billboard 200 and R B Albums charts for multiple weeks As the fourth lead single on the LP You Mean The World reached the top 10 of the Billboard Hot 100 in 1994 thanks to the soulful swing of the hook dedicated to a cherished lover 24 Why Should I Care Following up her debut with Secrets Braxton reinvigorated the sound and format of quiet storm with arguably her best album to date Full of ballads centered on dealing with an unfaithful soulmate Secrets cemented the legacy of Braxton s signature blend of mature R B with breezy adult contemporary In this deep cut the crooner questions why she should care about said partner over a psychedelic guitar riff and synth reminiscent of The Isley Brothers 23 Spanish Guitar Most legends can t say that their international single became a soundtrack staple for a Brazilian soap opera La os de Fam lia would help Braxton s Latin pop ballad become a mass success in its home country and ultimately a primary example of Latin music s influence on mainstream culture 22 The Heat Spanish Guitar aptly oozed a sweltering mystique fitting enough for Braxton s third studio album The Heat Also incorporating that magic is the album s title track a subtle jaunt working in the sounds of a tropical summer and a light jazzy groove No wonder why the ending question is does anyone want some ice cream 21 Hit The Freeway feat Loon Entering the new millennium Braxton gained more artistic control from LaFace She also felt a need to strip away some of her balladry and embrace her love of hip hop la Mariah Carey s Butterfly Braxton s first LPs of the aughts The Heat and More Than A Woman also embraced a sexier borderline controversial side of the songstress As the lone single from More Than A Woman Freeway joins a list of notable bangers produced by Pharrell s launching pad The Neptunes And thanks to its Loon co sign it also has a Bad Boys Records stamp of approval 20 Trippin After leaving LaFace Records in 2003 Braxton signed to the record label abyss known as Blackground Records If you re familiar with the label s nightmare stories revolving around Aaliyah and JoJo it goes without saying that Braxton s first album under the label Libra didn t fare well commercially That being said the LP contains the singer s peak unreleased singles and barely existent promos The highlight of this particular cut A comparison of spousal conflict with 12 rounds up inside the Garden 19 Talking In His Sleep Can you keep a secret asks the diva throughout the epicenter track of Secrets Here she s confronted by her adulterous lover who accidentally spills his dirty laundry while snoozing Afflicted by a 70s noir jazz riff Talking takes a page from Madonna s Justify My Love balancing a scandalous spoken word narrative with a seductive hook 18 Yesterday feat Trey Songz It d take five years after Libra and a release from Blackground Records for Braxton to deliver her next studio album Serving as the first single from Pulse the singer gets over her ex by labeling him a day of the past Yesterday served as a testament to how Braxton manages to maintain her signature blend of genre formats years after her higher charting moments 17 Hurt You feat Babyface When Braxton started her singing career in 1989 Babyface became an integral component of her artistry After going through separate divorces the duo partnered up for the Grammy winning concept album Love Marriage and Divorce featuring this apology ballad that topped the Adult R B Songs chart 16 Midnite This cut from Libra perfectly captures Braxton s ability to cruise along with the stripped melodic structuring of her songs Her ad libs and riffs shine throughout Midnite making it a pleasant earworm in her deeper catalogue 15 Love Shoulda Brought You Home Although Give U My Heart a duet with Babyface is credited as Braxton s official single debut Love receives the honor of her first solo effort Both songs appeared on the Eddie Murphy rom com Boomerang but Love would be regarded as the favorite thanks to Braxton s powerhouse vocal control and dexterity 14 How Many Ways Released as a single in 1994 How Many Ways adequately reflects the finalization of new jack swing and the emerging popularity of its brethren hip hop soul The soulful declaration co written and produced by Tamar s future husband Vincent Hubert sees Braxton recounting various ways she loves her man The single served opposite to its double A side the Whitney Houston esque I Belong To You 13 Seven Whole Days Regarded as one of Braxton s iconic singles the songstress recalls not knowing her lover s whereabouts for more than a week Written and produced by her dream team of Babyface and Darryl Simmons Braxton s runs are what impressed listeners the most She would later revisit the song s idea slyly mentioning going seven whole days without hearing from you on Finally Libra s semi mash up of her most famous lyrics 12 Just Be A Man About It Since The Heat was meant to embrace the more progressive sounds of contemporary R B Braxton also incorporated a little electro hop on the album s second single With the support of a stormy atmosphere and womanizing voicemail delivered by Dr Dre the singer s hurt vocals shine in yet another convincing performance 11 There s No Me Without You This deep cut earnestly emotes despair and a feeling of defeat after a break up Helped by backing vocals of the songwriter Babyface this Toni Braxton song s hook glides with a country twang the singer adopting the vocal patterns of the genre with a pristine R B palette 10 Take This Ring Imma let you finish Beyonc but Toni Braxton had one of the best Single Ladies of all time Three years before we d receive an official dance and a Spandex driven anthem from Bey Braxton released a club banger echoing a similar sentiment Fortified by a rocking go go beat produced by Crazy In Love and 1 Thing hitmaker Rich Harrison this dose of playboy repellent serves as a faint reminder of a music moment somewhat ahead of its time 9 Sposed To Be On Libra Take This Ring was the upbeat single deserving more Sposed To Be was the slow jam that could have been more A great candidate for quiet storm or lovemaking playlists this deep cut radiates an intergalactic tranquility and infectious bridge highlighting the finesse of Braxton s later discography 8 Hands Tied The second single of Pulse came as another one of Braxton s sultrier career moments With an urgent vocal performance the allure of Hands Tied exists in its zephyrous keyboard chords The song also provided a glimpse into the softer side of Warren Oak Felder who d go on to produce for Rihanna and Demi Lovato 7 Another Sad Love Song From its opening oh s and woah s over a slinky melody the first official single from Toni Braxton played on R B s knack for providing radio with sad tunes With an addictive hook racking brains like crazy the song reached No 7 on the Hot 100 and earned a Grammy for Best R B Vocal Performance Female 6 I Love Me Some Him If R B radio is unanimously consistent with playing one Toni Braxton single since its release I Love Me Some Him would hold that title for sure Regarded as one of her signatures the song was released as a double A side single to the R Kelly penned I Don t Want To The best part exists at the end of this cosmopolitan ode Braxton s vocal harmonizing with the instrumental stealing the show 5 Find Me A Man Today Secrets remains without a skippable track It also contains the singer s best deep cut In terms of essential Toni Braxton Find Me A Man shows the singer s ability to draw listeners into her raw emotion over a cerebral melody Here heartbreak reigns as the songstress finds herself tired of being alone dreaming up the irresistible qualities of her Prince Charming 4 Un Break My Heart Standing as one of the greatest power ballads to ever exist this Hot 100 chart topper is the central song of Braxton s career Vibrant in grandiose theatrics and a heart wrenching chorus in the midst of vocal acrobatics Un Break My Heart would sit at the summit for 11 weeks 3 Breathe Again As these Toni Braxton songs age this single from her debut still finds its way on R B rotation today Sparkling in Sade centric balladry and Diane Warren lyrics the breathy chorus and stagnant verses displayed by Braxton execute the song s intended moodiness Breathe Again would become a No 3 hit and earn the singer s second Grammy win for Best R B Vocal Performance Female 2 He Wasn t Man Enough For Me The new millennium might have seen a new look and sound from the diva but her anthemic spirit remained fervent In the league of No Scrubs and Independent Women Pt 1 this song holds its own rightful spot Produced by Rodney Darkchild Jerkins this signature dance bop was blocked from the Hot 100 s top spot by the stronghold of Carlos Santana and The Product G B s Maria Maria Today it s revisited by those realizing a past flame couldn t handle it all 1 Let It Flow Paired alongside You re Makin Me High this double A side single peaked at No 1 on the Hot 100 Unlike its partnered uptempo jaunt Let It Flow drifts like a slow running stream guided by the presence of a hypnotizing guitar Staying in line with the anthems Braxton has provided prior to and after Let It Flow the song became a mainstay on radio the Waiting To Exhale Soundtrack and most importantly Braxton s performance catalogue Simply put Let It Flow could have been done by none other than the superstar herself particularly the mesmerizing ending '
10,Twisted,Keith Sweat,1996,b' Oh yeah baby You got to make your mind up Yeah Kut Klose help me out You know you want my lovin baby Girl you got me twisted over you I got what you need right here baby Baby baby I know Baby I love you so But you don t feel like I do Tell me what can I do But I gotta be strong Girl you did me wrong I thought we were down Now you say you want me girl Ooh make up your mind I m not gonna be here for long You know you want my lovin baby Girl you got me twisted over you I got what you need right here baby Baby baby in time Baby I know you ll find That what you needed was here Think about it my dear But I gotta be strong Girl you did me wrong I thought we were down Now you say you want me girl Ooh make up your mind I m not gonna be here for long You know you want my lovin baby Girl you got me twisted baby I got everything you need tonight Break it on down You got me twisted thinking about the way that things use to be When it was you and me girl I was so free see You had my heart from the start like Cupid And I was just downright foolish and stupid But now I know the reason for the pain and the headaches You left me all alone now I can t even concentrate I guess I ll wait for the day until you come back Because my heart is where your love is at You got me twisted You know you want my lovin baby Girl you got me twisted baby I got everything you need tonight What are you gonna do baby You know I can make you feel real good if you let me baby Girl you got me twisted baby I got everything you need tonight What are you gonna do baby You know you want my lovin baby'
