Rank,Song,Artist,Year,Lyrics
1,Look Away,Chicago,1989,b' When you called me up this morning Told me about the new love you found I said I m happy for you I m really happy for you Found someone else I guess I won t be coming around I guess it s over baby It s really over baby whoa And from what you said I know you ve gotten over me It ll never be the way it used to be So if it s got to be this way Don t worry baby I can take the news okay But if you see me walking by And the tears are in my eyes Look away baby look away If we meet on the streets someday And I don t know what to say Look away baby look away Don t look at me I don t want you to see me this way When we both agreed as lovers We were better off as friends That s how it had to be Yeah that s how it had to be I tell you I m fine But sometimes I just pretend Wish you were holding me Wish you were still holding me whoa I just never thought That I would be replaced so soon I wasn t prepared to hear those words from you I know I wanted to be free Yeah baby this is how we wanted it to be When you called me up this morning Told me about the new love you found I said I m happy for you I m really happy for you '
2,My Prerogative,Bobby Brown,1989,b'Get busy Everybody s talking all this stuff about me Why don t they just let me live I don t need permission Make my own decisions That s my prerogative They say I m crazy I really don t care That s my prerogative They say I m nasty but I don t give a damn Getting girls is how I live Some ask me questions Why am I so real But they don t understand me or really don t know the deal About a brother trying hard to make it right Not long ago before I win this fight Everybody s talking all this stuff about me Why don t they just let me live I don t need permission Make my own decisions That s my prerogative It s the way that I wanna live I can do just what I feel No one can tell me what to do Cause what I m doing I m doing for you now Don t get me wrong I m really not souped Ego trips is not my thing All these strange relationships really gets me down I see nothing wrong with spreading myself around Everybody s talking all this stuff about me Why don t they just let me live I don t need permission Make my own decisions That s my prerogative It s my prerogative I can do what I wanna do Can live my life I m doing it just for you Tell me tell me why can t I live my life Without all of the things that people say Yo Teddy kick it like this Oh no no I can do what I wanna do Me and you Together together together together together Everybody s talking all this stuff about me Why don t they just let me live I don t need permission Make my own decisions That s my prerogative Everybody s talking all this stuff about me Why don t they just let me live I don t need permission Make my own decisions That s my prerogative What is this a blizzard that I can t have money in my pocket And people not talk about me This world is a trip I don t know what s going on these days Got this person over here talking about me this person Ay listen let me tell you something it s my prerogative I can do what I wanna do I made this money you didn t right Ted We outta here It s my it s my it s my it s my It s my my my my my my my my my my my my my It s my WOO It s my prerogative it s my It s my it s my my my It s my prerogative can t you see baby doll Ha why you wanna talk about me Tell me tell me why '
3,Every Rose Has Its Thorn,Poison,1989,b' We both lie silently still in the dead of the night Although we both lie close together we feel miles apart inside Was it something I said or something I did Did my words not come out right Though I tried not to hurt you Though I tried But I guess that s why they say Every rose has its thorn Just like every night has its dawn Just like every cowboy sings a sad sad song Every rose has its thorn Yeah it does I listen to our favorite song playing on the radio Hear the DJ say love s a game of easy come and easy go But I wonder does he know Has he ever felt like this And I know that you d be here right now If I could have let you know somehow I guess Every rose has its thorn Just like every night has its dawn Just like every cowboy sings a sad sad song Every rose has its thorn Though it s been a while now I can still feel so much pain Like a knife that cuts you the wound heals But the scar that scar remains I know I could have saved a love that night If I d known what to say Instead of makin love We both made our separate ways And now I hear you found somebody new And that I never meant that much to you To hear that tears me up inside And to see you cuts me like a knife I guess Every rose has its thorn Just like every night has its dawn Just like every cowboy sings a sad sad song Every rose has its thorn'
4,Straight Up,Paula Abdul,1989,b' Lost in a dream I don t know which way to go If you are all that you seem Then baby I m movin way too slow I ve been a fool before Wouldn t like to get my love caught in the slammin door How about some information please Straight up now tell me Do you really wanna love me forever Or am I caught in a hit and run Straight up now tell me Is it gonna be you and me together Or are you just havin fun Time s standing still Waiting for some small clue I keep getting chills When I think your love is true I ve been a fool before Wouldn t like to get my love caught in the slammin door How about some information please Straight up now tell me Do you really wanna love me forever Or am I caught in a hit and run Straight up now tell me Is it gonna be you and me together Or are you just havin fun You are so hard to read You play hide and seek With your true intentions If you re only playin games I ll just have to say Abb b b bye b b b bye Do do you love me Do do you love me Do do you love me C mon now do do you love me Ah tell me baby I ve been a fool before Wouldn t like to get my love caught in the slammin door Are you more than hot for me Or am I a page in your history book I don t mean to make demands But the word and the deed go hand in hand How about some information please Straight up now tell me Straight up now tell me Straight up now tell me Straight up now tell me Straight up now tell me Straight up now tell me Do you really wanna love me forever Or am I caught in a hit and run Straight up now tell me Is it gonna be you and me together Or are you just havin fun Straight up now tell me Do you really wanna love me forever Or am I caught in a hit and run Now tell me Is it gonna be you and me together Or are you just havin fun '
5,Miss You Much,Janet Jackson,1989,b' Shot like an arrow going through my heart That s the pain I feel I feel whenever we re apart Not to say that I m in love with you But who s to say that I m not I just know that it feels wrong When I m away too long It makes my body hot So let me tell ya baby I ll tell your mama I ll tell your friends I ll tell anyone whose heart can comprehend Send it in a letter baby Tell you on the phone I m not the kinda girl Who likes to be alone I miss ya much Boy oh I miss you much I really miss you much M I S S you much I miss ya much Boy oh I miss you much Baby I really miss you much M I S S you much I m rushing home Just as soon as I can I m rushing home to see Your smiling face And feel your warm embrace It makes f feel so g g g good So I ll tell you baby I ll tell your mama I ll tell your friends I ll tell anyone whose heart can comprehend Send it in a letter baby Tell you on the phone I m not the kinda girl Who likes to be alone I miss ya much Boy oh I miss you much I really miss you much M I S S you much I miss ya much Boy oh I miss you much Baby I really miss you much M I S S you much I miss ya much Boy oh I miss you much I really miss you much M I S S you much I miss ya much Boy oh I miss you much Baby I really miss you much M I S S you much Miss you much I miss you much I really really miss you much Miss you much I miss you much I m not ashamed to tell the world I miss you I ll tell your mama I ll tell your friends I ll tell anyone whose heart can comprehend Send it in a letter baby Tell you on the phone I m not the kinda girl Who likes to be alone I miss ya much Boy oh I miss you much I really miss you much M I S S you much I miss ya much Boy oh I miss you much Baby I really miss you much M I S S you much I miss ya much Boy oh I miss you much I really miss you much M I S S you much I miss ya much Boy oh I miss you much Baby I really miss you much M I S S you much That s the end '
6,Cold Hearted,Paula Abdul,1989,b' He s a cold hearted snake Look into his eyes uh oh He s been tellin lies He s a lover boy at play He don t play by rules uh oh Girl don t play the fool no You re the one givin up the love Anytime he needs it But you turn your back and then he s off and runnin with the crowd You re the one to sacrifice Anything to please him Do you really think he thinks about you when he s out He s a cold hearted snake Look into his eyes uh oh He s been tellin lies He s a lover boy at play He don t play by rules uh oh Girl don t play the fool no It was only late last night He was out there sneakin Then he called you up to check that you were waiting by the phone All the world s a candy store He s been trick or treatin When it comes to true love girl with him there s no one home He s a cold hearted snake Look into his eyes uh oh He s been tellin lies He s a lover boy at play He don t play by rules uh oh Girl don t play the fool no You could find somebody better girl He could only make you cry You deserve somebody better girl He s c cold as ice He s cold as ice He s cold as ice Stay away from him girl C c c cold hearted ooh ah ah C c c cold hearted snnnnnake C c c cold hearted ooh ah ah C c c cold hearted snnnnnake He s a cold hearted snake Look into his eyes uh oh He s been tellin lies He s a lover boy at play He don t play by the rules uh oh Girl don t play the fool Ooh ahh look into his eyes Ooh ahh he s been tellin lies Ooh ahh he don t play by rules Ooh ahh girl don t play the fool He s a cold hearted snake Look into his eyes uh oh He s been tellin lies He s a lover boy at play He don t play by the rules uh oh Girl don t play the fool He s a cold hearted snake Look into his eyes uh oh He s been tellin lies'
7,Wind Beneath My Wings,Bette Midler,1989,b' Oh oh oh oh It must have been cold there in my shadow To never have sunlight on your face You were content to let me shine that s your way You always walked a step behind So I was the one with all the glory While you were the one with all the strength A beautiful face without a name for so long A beautiful smile to hide the pain Did you ever know that you re my hero And everything I would like to be I can fly higher than an eagle For you are the wind beneath my wings It might have appeared to go unnoticed But I ve got it all here in my heart I want you to know I know the truth of course I know it I would be nothing without you Did you ever know that you re my hero You re everything I wish I could be I could fly higher than an eagle For you are the wind beneath my wings Did I ever tell you you re my hero You re everything everything I wish I could be Oh and I I could fly higher than an eagle For you are the wind beneath my wings Cause you are the wind beneath my wings Oh the wind beneath my wings You you you you are the wind beneath my wings Fly fly fly away you let me fly so high Oh you you you the wind beneath my wings Oh you you you the wind beneath my wings Fly fly so high against the sky So high I almost touch the sky Thank you thank you Thank God for you the wind beneath my wings'
8,Girl You Know It's True,Milli Vanilli,1989,b' I m in love with you girl cause you re on my mind You re the one I think about most every time And when you crack a smile in everything you do Don t you understand girl this love is true You re soft silky hand long sweet and thin That candlelight complexion upon your skin It lightens up my day and that s oh so true Together we re one separated we re two To make you all mine all mine is my desire Cause you contain a quality that I admire You re pretty plain and simple you rule my world so try to understand I m in love girl I m in so love girl I m just in love girl and this is true Girl you know it s true Ooh Ooh Ooh I love you Yes you know it s true Ooh Ooh Ooh I love you Girl you know it s true My love is for you This is some sort of thing girl I can t explain My emotions starts up when I hear your name Maybe your sweet sweet voice would ring in my ear Then delay my system when you are near Come with your positive emotion love making enjoyin That s for me to bust it s like a girl and a boy These feelings I get I often wonder why So I thought I might discuss this girl just you and I Now what you re wearing I don t care as I ve said before No reason that I like you girl just for what you are If I said I d think about it you rule my world so try to understand I m in love girl I m in so love girl I m just in love girl and this is true'
9,Baby I Love Your Way/Freebird Medley,Will to Power,1989,b'Shadows grow so long before my eyes And they re moving across the page Suddenly the day turns into night Far away from the city But don t hesitate Cause your love Your love won t wait oh no no Baby I love your way every day Wanna tell you I love your way every day Wanna be with you night and day Hey I love your way If I leave here tomorrow Would you still remember me For I must be traveling on now There s so many places I ve gotta see But if I stayed here with you girl Things just wouldn t be the same Cause I m as free as a bird now And this bird will never change And this bird will never change Shadows grow so long before my eyes With the help of some fireflies I wonder how they have the power to shine I can see them under the pines But don t hesitate Cause your love Your love won t wait Ooh baby I love your way Wanna tell you I love your way Oh baby I love your way Every day now Ooh wanna tell you I love your way I love your way Ooh baby I love your way Give me you way Wanna tell you I love your way Ooh baby I love your ways Ooh baby I love your way Ooh wanna tell you I love your way Ooh baby I love your way Ooh wanna tell you I love your way Ooh baby I love your way '
10,Giving You the Best That I Got,Anita Baker,1989,b' Ain t there something I can give you In exchange for everything you give to me Read my mind And make me feel just fine When I think my peace of mind is out of reach The scales are sometimes unbalanced And you bear the weight of all that has to be I hope you see that you can lean on me And together We can calm a stormy sea We love so strong and so unselfishly And I tell you now that I made a vow I m giving you the best that I got baby Yes I tell you now That I made a vow I m giving you the best that I got honey Everybody s got opinions Bout the way they think our story s gonna end Some folks feel it s just a superficial thrill Everybody s gonna have to think again We love so strong and so unselfishly They don t bother me so I m gonna keep on Giving you the best that I got baby They don t bother me Said I m gonna keep on Giving you the best that I got Listen baby Somebody understands me Somebody gave his heart to me I stumbled my whole life long Always on my own Now I m home My weary mind is rested And I feel as if my home is in your arms Fears are all gone I like the sound of your song And I think I want to sing it forever We love so strong and so unselfishly And I made a vow so I tell you now I m giving you the best that I got Listen baby I bet everything on my wedding ring I m giving you the best that I got Giving it to you baby Giving you the best that I got'
