Rank,Song,Artist,Year,Lyrics
1,Tonight's the Night (Gonna Be Alright),Rod Stewart,1977,"b""Stay away from my window\nStay away from my back door too\nDisconnect the telephone line\nRelax baby and draw that blind\nKick off your shoes and sit right down\nLoosen off that pretty French gown\nLet me pour you a good long drink\nOoh baby don't you hesitate 'cause\nTonight's the night\nIt's gonna be alright\n'Cause I love you girl\nAin't nobody gonna stop us now\nC'mon angel my hearts on fire\nDon't deny your man's desire\nYou'd be a fool to stop this tide\nSpread your wings and let me come inside 'cause\nTonight's the night\nIt's gonna be alright\n'Cause I love you girl\nAin't nobody gonna stop us now\nDon't say a word my virgin child\nJust let your inhibitions run wild\nThe secret is about to unfold\nUpstairs before the night's too old\nTonight's the night\nIt's gonna be alright\n'Cause I love you woman\nAin't nobody gonna stop us now"""
2,I Just Want to Be Your Everything,Andy Gibb,1977,"b""For so long\nYou and me been finding each other for so long\nAnd the feeling that I feel for you\nIs more than strong girl\nTake it from me\nIf you give a little more than you're asking for\nYour love will turn the key\nDarling mine\nI would wait forever for those lips of wine\nBuild my world around you darling\nThis love will shine girl\nWatch it and see\nIf you give a little more than you're asking for\nYour love will turn the key\nI I I just wanna be your everything\nOpen up the Heaven in your heart and let me be\nThe things you are to me\nAnd not some puppet on a string\nOh if I if I stay here without you darling I will die\nI want you laying in the love I have to bring\nI'd do anything\nTo be your everything\nDarling for so long\nYou and me been finding each other for so long\nAnd the feeling that I feel for you is more than strong girl\nTake it from me\nIf you give a little more than you're asking for\nYour love will turn the key\nI I I just wanna be your everything\nOpen up the Heaven in your heart and let me be\nThe things you are to me\nAnd not some puppet on a string\nOh I if I stay here without you darling I will die\nI want you laying in the love I have to bring\nI'd do anything\nTo be your everything\nI I I just wanna be your everything \nOpen up the Heaven in your heart and let me be\nThe things you are to me\nAnd not some puppet on a string\nI I if I stay here without you darling I will die \nI want you laying in the love I have to bring\nI'd do anything\nTo be your everything """
3,Best of My Love,The Emotions,1977,"b""Doesn't take much to make me happy\nAnd make me smile with glee\nNever never will I feel discouraged\nCause our love's no mystery\nDemonstrating love and affection\nThat you give so openly yeah\nI like the way you make me feel about you baby\nWant the whole wide world to see\nWhoa whoa you got the best of my love\nWhoa whoa you got the best of my love\nWhoa whoa you got the best of my love\nWhoa whoa you got the best of my love\nGoin' in and out of changes\nThe kind that come around each day\nMy life has a better meaning\nLove has kissed me in a beautiful way\nAnd oh yea \nOh yea \nOh you got the best of my love\nWhoa whoa you got the best of my love\nWhoa whoa you got the best of my love\nWhoa whoa you got the best of my love\nDemonstrating sweet love and affection\nThat you give so openly yeah\nThe way I feel about you baby can't explain it\nWant the whole wide world to see\nOh but in my heart\nYou're all I need\nYou for me and me for you \nOh it's growin' every day oh \nOh oh oh oh oh oh\nYou've got the best of my love\nOh oh oh oh oh oh\nYou've got the best of my love\nOh givin' you the best of my love\nMy love my love my love\nOh givin' you the best of my love\nMy love my love oh yeah\nOh oh oh oh oh oh\nYou've got the best of my love\nOh oh oh oh oh oh\nYou've got the best of my love\nOh givin' you the best of my love\nOh givin' you the best of my love"""
4,Evergreen (Love Theme from A Star Is Born),Barbra Streisand,1977,"b""Love soft as an easy chair\nLove fresh as the morning air\nOne love that is shared by two\nI have found with you\nLike a rose under the April snow\nI was always certain love would grow\nLove ageless and evergreen\nSeldom seen by two\nYou and I will make each night a first\nEveryday a beginning\nSpirits rise and their dance is unrehearsed\nThey warm and excite us\n'Cause we have the brightest love\nTwo lights that shine as one\nMorning glory and midnight sun\nTime we've learned to sail above\nTime won't change the meaning of one love\nAgeless and ever evergreen"""
5,Angel in Your Arms,Hot,1977,"b""ANGEL IN YOUR ARMS\nDo you think I'm such a fool to believe everything you say is true\nThat just goes to show\nThat you really don't know\nWhile you're out paintin' the town\nDo you think I'm home just sittin' around waitin' on you\nNow who's really the fool\nWhen I first found out I hurt all over\nI felt so left out 'til I got to know her\nSo I tried the way that she got over\nAnd I became just like her\nSo don't be surprised to find\nThat the angel in your arms this morning\nIs gonna be the devil in someone else's arms tonight\nYes The angel in your arms this morning\nIs gonna be the devil in someone else's arms tonight\nWhy'd you slip around secretly\nIf you were tired of loving me\nWhy'd you keep holdin' on when love was already gone\nThe times you said you weren't feelin' well\nDid you think I couldn't tell you'd been with someone else\nYou were only kiddin' yourself\nWhen I first found out I hurt all over\nI felt so left out 'til I got to know her\nSo I tried the way that she got over\nAnd I became just like her\nSo don't be surprised to find\nThat the angel in your arms this morning\nIs gonna be the devil in someone else's arms tonight\nYes the angel in your arms this morning\nIs gonna be the devil in someone else's arms tonight\nYes the angel in your arms this morning\nIs gonna be the devil in someone else's arms tonight\nThe angel in your arms this morning\nIs gonna be the devil in someone else's arms tonight"""
6,I Like Dreamin',Kenny Nolan,1977,"b""I like dreamin' cause dreamin' can make you mine\nI like dreamin' closing my eyes and feeling fine\nWhen the lights go down I'm holding you so tight\nGot you in my arms and it's paradise 'til the morning light\nI see us on the shore beneath the bright sunshine\nWe've walked along St. Thomas beach a million times\nHand in hand two barefoot lovers kissing in the sand\nSide by side the tide rolls in\nI'm touching you you're touching me\nIf only it could be\nI like dreamin' cause dreamin' can make you mine\nI like dreamin' closing my eyes and feeling fine\nWhen the lights go down I'm holding you so tight\nGot you in my arms and it's paradise 'til the morning light\nThrough each dream how our love has grown\nI see us with our children and our happy home\nLittle smiles so warm and tender looking up at us\nBlessed by love the one we shared\nTill I wake and reach for you\nAnd you're just not there\nI like dreamin' 'cause dreaming can make you mine\nI like holding you close and touching your skin\nEven if it's in my mind\nOh sweet dream baby I love you\nOh my sweet dream baby you're in my dreams every night\nOh sweet dreams I like feelin you\nOh sweet dreams baby Don't keep me waiting all my life"""
7,Don't Leave Me This Way,Thelma Houston,1977,"b""Don't leave me this way\nI can't survive I can't stay alive\nWithout your love oh baby\nDon't leave me this way 'cause I can't exist\nAnd I will surely miss your tender kiss\nDon't leave me this way\nOh baby my heart is full of love and desire for you\nNow come on down and do what you've got to do\nYou started this fire down in my soul\nNow can't you see it's burning out of control?\nCome on satisfy the need in me\n'Cause only your good loving can set me free\nDon't don't you leave me this way no\nDon't you understand I'm at your command?\nOh baby please please don't leave me this way no baby\nDon't leave me this way no\nI can't survive I sure can't stay alive\nWithout your love baby\nDon't leave me this way\nOh baby my heart is full of love and desire for you\nSo come on down and do what you've got to do\nYou started this fire down in my soul\nNow can't you see it's burning out of control?\nSo come on satisfy the need in me\n'Cause only your good loving is gonna set me free\nSet me free set me free \nI need your loving baby I need I need\nSatisfy the need in me\nSatisfy the need in me\nHey hey baby\nCome and satisfy the need in me\nOh woah baby\nCome and satisfy the need in me\nOh baby don't leave me this way\nDon't leave me this way\nNo don't leave me this way\nNo don't leave me this way baby\nDon't leave me"""
8,(Your Love Has Lifted Me) Higher and Higher,Rita Coolidge,1977,"b""Your love is liftin' me higher\nThan I've ever been lifted before\nYour love is liftin' me higher\nThan I've ever been lifted before\nSo keep it up quench my desire\nAnd I'll be at your side forevermore\nNow once I was downhearted\nDisappointment was my closest friend\nBut you came he soon departed\nAnd he never showed his face again\nOhh I'm so glad I finally found you\nYou're that one in a million man\nWhen you wrap your lovin' arms around me\nI can stand up and face the world again\nYour love is liftin' me higher\nThan I've ever been lifted before\nSo keep it up quench my desire\nAnd I'll be at your side forevermore\nOh your love is liftin' me higher\nThan I've ever been lifted before\nSo keep it up quench my desire\nAnd I'll be at your side forevermore\nYour love is liftin' me higher\nThan I've ever been lifted before\nSo keep it up quench my desire\nAnd I'll be at your side forevermore"""
9,Undercover Angel,Alan O'Day,1977,"b""Crying on my pillow lonely in my bed\nThen I heard a voice beside me and she softly said\nWonder is your night light magic is your dream\nAnd as I held her she said see what I mean\nI said what?\nShe said oo-oo-oo wee\nI said all right\nShe said love me love me love me\nUndercover angel midnight fantasy\nI've never had a dream that made sweet love to me\nUndercover angel answer to my prayer\nYou made me know that there's a love for me out there\n Yeah somewhere\nHeavenly surrender sweet afterglow \nI'm givin' up my heart to you now angel don't go\nShe said go find the right one love her and then \nWhen you look into her eyes you'll see me again\nI said what?\nShe said oo-oo-oo wee\nI said all right\nShe said love me love me love me\nUndercover angel midnight fantasy\nI've never had a dream that made sweet love to me\nUndercover angel answer to my prayer\nYou made me know that there's a love for me out there\n Woah somewhere\nNow you know my story and girl if it's right\nI'm gonna take you in my arms and love you tonight\nUnderneath the covers the answer lies\nI'm lookin' for my angel in your sweet lovin' eyes\nShe said what?\nI said oo-oo-oo wee\nShe said all right\nI said lay next to me\nShe said what?\nI said oo-oo-oo wee\nShe said all right\nShe said love me love me love me\nUndercover angel midnight fantasy\nI've never had a dream that made sweet love to me \nUndercover angel answer to my prayer\nYou made me know that there's a love for me\nLove me love me love me\nUndercover angel midnight fantasy\nI've never had a dream that made sweet love to me\nUndercover angel answer to my prayer\nYou made me know that there's a love for me out there\nOut there somewhere"""
10,Torn Between Two Lovers,Mary MacGregor,1977,"b""There are times when a woman has to say what's on her mind\nEven though she knows how much it's gonna hurt\nBefore I say another word let me tell you I love you\nLet me hold you close and say these words as gently as I can\nThere's been another man that I've needed and I've loved\nBut that doesn't mean I love you less\nAnd he knows he can't possess me and he knows he never will\nThere's just this empty place inside of me that only he can fill\nTorn between two lovers feelin' like a fool\nLovin' both of you is breakin' all the rules\nTorn between two lovers feelin' like a fool\nLovin' you both is breakin' all the rules\nYou mustn't think you've failed me\nJust because there's someone else\nYou were the first real love I ever had\nAnd all the things I ever said\nI swear they still are true\nFor no one else can have the part of me I gave to you\nTorn between two lovers feelin' like a fool\nLovin' both of you is breakin' all the rules\nTorn between two lovers feelin' like a fool\nLovin' you both is breakin' all the rules\nI couldn't really blame you if you turned and walked away\nBut with everything I feel inside I'm asking you to stay\nTorn between two lovers feelin' like a fool\nLovin' both of you is breakin' all the rules\nTorn between two lovers feelin' like a fool\nLovin' you both is breakin' all the rules\nTorn between two lovers\nFeelin' like a fool\nLovin' both of you is breakin' all the rules"""
