Rank,Song,Artist,Year,Lyrics
1,"End of the Road",Boyz II Men,1992,b' Girl you know we belong together I have no time for you to be playing With my heart like this You ll be mine forever baby you just see We belong together And you know that I m right Why do you play with my heart Why do you play with my mind Said we d be forever Said it d never die How could you love me and leave me And never say good bye When I can t sleep at night without holding you tight Girl each time I try I just break down and cry Pain in my head oh I d rather be dead Spinnin around and around Although we ve come to the end of the road Still I can t let go It s unnatural you belong to me I belong to you Come to the end of the road Still I can t let go It s unnatural you belong to me I belong to you Girl I know you really love me You just don t realize You ve never been there before It s only your first time Maybe I ll forgive you hmm Maybe you ll try We should be happy together Forever you and I Can you love me again like you loved me before This time I want you to love me much more This time instead just come to my bed And baby just don t let me don t let me down Although we ve come to the end of the road Still I can t let go It s unnatural you belong to me I belong to you Come to the end of the road Still I can t let go It s unnatural you belong to me I belong to you Girl I m here for you All those times of night when you just hurt me And just ran out with that other fella Baby I knew about it I just didn t care You just don t understand how much I love you do you I m here for you I m not out to go out and cheat on you all night Just like you did baby but that s all right Hey I love you anyway And I m still gonna be here for you till my dying day baby Right now I m just in so much pain baby Cause you just won t come back to me Will you Just come back to me Yes baby my heart is lonely My heart hurts baby Yes I feel pain too Baby please This time instead just come to my bed And baby just don t let me go Although we ve come to the end of the road Still I can t let go It s unnatural you belong to me I belong to you Come to the end of the road Still I can t let go It s unnatural you belong to me I belong to you Although we ve come to the end of the road Still I can t let go It s unnatural you belong to me I belong to you Come to the end of the road Still I can t let go It s unnatural you belong to me I belong to you'
2,"Baby Got Back",Sir Mix-a-Lot,1992,b' Oh my god Becky look at her butt It is so big She looks like one of those rap guys girlfriends Who understands those rap guys They only talk to her because she looks like a total prostitute okay I mean her butt it s just so big Ugh I can t believe it s just so round it s like out there I mean ugh gross Look She s just so black I like big butts and I cannot lie You other brothers can t deny That when a girl walks in with an itty bitty waist And a round thing in your face you get sprung Wanna pull up tough cause you notice that butt was stuffed Deep in the jeans she s wearin I m hooked and I can t stop starin Oh baby I wanna get wit cha And take your picture My homeboys tried to warn me But that butt you got makes Oh Rump o smooth skin You say you wanna get in my Benz Well use me use me Cause you ain t that average groupie I ve seen em dancin To hell with romancin She s wet wet Got it goin like a turbo Vette I m tired of magazines Sayin flat butts are the thing Take the average black man and ask him that She gotta pack much back So fellas Fellas Has your girlfriend got the butt Tell em to shake it Shake it Shake that healthy butt Baby got back Baby got back I like em round and big And when I m throwin a gig I just can t help myself I m actin like an animal Now here s my scandal I wanna get you home And ugh double up ugh ugh I ain t talkin bout Playboy Cause silicone parts are made for toys I want em real thick and juicy So find that juicy double Mix a Lot s in trouble Beggin for a piece of that bubble So I m lookin at rock videos Knock kneed bimbos walkin like hoes You can have them bimbos I ll keep my women like Flo Jo A word to the thick soul sistas I wanna get wit cha I won t cuss or hit ya But I gotta be straight when I say I wanna moan Til the break of dawn Baby got it goin on A lot of simps won t like this song Cause them punks like to hit it and quit it And I d rather stay and play Cause I m long and I m strong And I m down to get the friction on So ladies Ladies If you wanna roll in my Mercedes Then turn around Stick it out Even white boys got to shout Baby got back Baby got back Yeah baby When it comes to females Cosmo ain t got nothin to do with my selection 36 24 36 Ha ha only if she s 5 3 So your girlfriend rolls a Honda Playin workout tapes by Fonda But Fonda ain t got a motor in the back of her Honda My anaconda don t want none Unless you ve got buns hun You can do side bends or sit ups But please don t lose that butt Some brothers wanna play that hard role And tell you that the butt ain t gold So they toss it and leave it And I pull up quick to retrieve it So Cosmo says you re fat Well I ain t down with that Cause your waist is small and your curves are kickin And I m thinkin bout stickin To the beanpole dames in the magazines You ain t it Miss Thing Give me a sista I can t resist her Red beans and rice didn t miss her Some knucklehead tried to diss Cause his girls are on my list He had game but he chose to hit em And I pull up quick to get wit em So ladies if the butt is round And you want a triple X throwdown Dial 1 900 MIX A LOT And kick them nasty thoughts Baby got back Baby got back Little in the middle but she got much back '
3,"Jump",Kris Kross,1992,b' You should know you should know that ahh Kris Kross is not having anything today As we stand there totally crossed out We commence to make ya The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya Don t try to compare us to another bad little fad I m the Mac and I m bad give ya something that you never had I ll make ya bump hump wiggle and shake your rump Cause I ll be kicking the flavor that makes you wanna jump How high Real high Cause I m just so fly A young lovable hugable type of guy And everything is to the back with a little slack Cause inside out it s wiggida wiggida wiggida wack I come stompin with somethin pumpin to keep you jumpin R B rap is bullcrap is what I m dumpin Ain t nuthin soft about Kris Kross we all that So when they ask Do they rock say Believe that The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya Uh huh uh huh The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya I like my stuff knockin I love it when the girlies be like jockin The D A double D Y M A C Yeah you know me I got you jumpin an bumpin an pumpin movin all around G In the mix I made MC s step back They tried to step to the Mac then they got jacked To the back you ll be sportin the gear is that coincidental Act like you know and don t be claiming that it s mental Two lil kids with a flow you ain t ever heard And nuthin fake and you can understand every word As you listen to my cool smooth melody The Daddy makes you J U M P The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya Uh huh uh huh The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya Now the formalities of this and that Is that Kris Kross ain t comin off wack And for all y all suckas that don t know Check it out Some of them try to rhyme but they can t rhyme like this Some of them try to rhyme but they can t rhyme like this Some of them try to rhyme but they can t rhyme like this Some of them try to rhyme but they can t Cause I m the miggida miggida miggida miggida Mac Daddy The miggida miggida miggida miggida Mac Cause I m the miggida miggida miggida miggida Mac Daddy The miggida miggida miggida miggida Mac I make you wanna The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya Uh huh uh huh The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya Uh huh uh huh The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya Uh huh uh huh The Mac Dad ll make ya The Daddy Mac ll make ya Kris Kross ll make ya Believe that '
4,"Save the Best for Last",Vanessa Williams,1992,b' Sometimes the snow comes down in June Sometimes the sun goes round the moon I see the passion in your eyes Sometimes it s all a big surprise Cause there was a time when all I did was wish You d tell me this was love It s not the way I hoped or how I planned But somehow it s enough And now we re standing face to face Isn t this world a crazy place Just when I thought our chance had passed You go and save the best for last All of the nights you came to me When some silly girl had set you free You wondered how you d make it through I wondered what was wrong with you Cause how could you give your love to someone else And share your dreams with me Sometimes the very thing you re looking for Is the one thing you can t see But now we re standing face to face Isn t this world a crazy place Just when I thought our chance had passed You go and save the best for last Sometimes the very thing You re looking for Is the one thing you can t see Sometimes the snow comes down in June Sometimes the sun goes round the moon Just when I thought our chance had passed You go and save the best for last You went and saved the best for last'
5,"Baby-Baby-Baby",TLC,1992,b' Now you want my love well that s alright Well it will be there for you morning noon and night But you gotta be good and do it right Ain t got no time for part time lovin in my life Well you wanna be loved huh hey that s okay Cause it falls in line right with my sexuality But you gotta be down a nigga gotta be true Cause otherwise this B ain t got no time for you oh Baby baby baby I got so much love in me Oh baby baby Baby baby baby Cause if you gonna get me off You got to love me deep Well you want my heart and all my time But it won t be there if you can t deal with my mind Cause a girl like me won t settle for less I require plenty conversation with my sex Long as you know that I can have any man I want to baby That s actual and factual but still I choose you To be with me and work on it so you better not flake it up Baby long as you know that I can have any man I want to Baby that s actual and it s factual But still I choose you to be with me And work on that so you better not flake it up Well you want my heart and all my time But it won t be there if you can t deal with my mind Cause a girl like me I won t settle for less I require plenty conversation with my sex I can have any man that I want to Time and place that I choose to But I m thinking that I would rather be here with you yea That s actual and factual You re the one I seem to run back to just to get me off You got to love me got to love me got to love me I said any man that I want to Time and place that I choose to But I m thinkin that I would rather be here with you yeah'
6,"Tears in Heaven",Eric Clapton,1992,b' Would you know my name If I saw you in heaven Would it be the same If I saw you in heaven I must be strong and carry on Cause I know I don t belong here in heaven Would you hold my hand If I saw you in heaven Would you help me stand If I saw you in heaven I ll find my way through night and day Cause I know I just can t stay here in heaven Time can bring you down time can bend your knees Time can break your heart have you begging please begging please Beyond the door there s peace I m sure And I know there ll be no more tears in heaven Would you know my name If I saw you in heaven Would you feel the same If I saw you in heaven I must be strong and carry on Because I know I don t belong here in heaven'
7,"My Lovin' (You're Never Gonna Get It)",En Vogue,1992,b' Ooooh bop No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never never gonna get it Ooooh bop I remember how it used to be You never was this nice you can t fool me Now you talking like you made a change The more you talk the more things sound the same What makes you think you can just walk back into her life Without a good fight I just sit back and watch you make a fool of yourself Cause you re just wasting your time oh No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it Ooooh bop Now you promise me the moon and stars Save your breath you won t get very far Gave you many chances to make change The only thing you changed was love to hate It doesn t matter what you do or what you say She doesn t love you no way Maybe next time you ll give your woman a little respect So you won t be hearing her say no way No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it Ooooh bop Yes sir I give to the needy and not the greedy Mmhmm that s right Cause you see baby When you re locking you re losing And I m out the door It doesn t matter what you do or what you say She doesn t love you no way Maybe next time you ll give your woman a little respect So you won t be hearing her say no way Never gonna get it never gonna get it Never gonna get it never gonna get it Never gonna get it never gonna get it Never gonna get it Never gonna get it never gonna get it Never gonna get it never gonna get it Never gonna get it never gonna get it Never gonna get it never get it BOP BOP BOP BOP No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it No you re never gonna get it Never ever gonna get it '
8,"Under the Bridge",Red Hot Chili Peppers,1992,b' Sometimes I feel like I don t have a partner Sometimes I feel like my only friend Is the city I live in the city of angels Lonely as I am together we cry I drive on her streets cause she s my companion I walk through her hills cause she knows who I am She sees my good deeds and she kisses me windy Well I never worry now that is a lie I don t ever wanna feel like I did that day But take me to the place I love take me all the way I don t ever wanna feel like I did that day But take me to the place I love take me all the way Yeah yeah yeah It s hard to believe that there s nobody out there It s hard to believe that I m all alone At least I have her love the city she loves me Lonely as I am together we cry I don t ever wanna feel like I did that day But take me to the place I love take me all the way I don t ever wanna feel like I did that day But take me to the place I love take me all the way Yeah yeah yeah Oh no no no yeah yeah Love me I say yeah yeah One time Is where I drew some blood I could not get enough Forgot about my love I gave my life away Yeah yeah yeah Oh no no no yeah yeah Here I stay yeah yeah Here I stay'
9,"All 4 Love",Color Me Badd,1992,b'I m so glad you re my girl I ll do anything 4 U Call U every night And give U flowers 2 I thank the Lord 4 U And think about U all the time I ask him everyday That you ll 4 ever B mine I wanna hold your hand 2 show U I ll be there I like 2 do the things That let U know I care I sing this lullabye Cause girl U fill me full I look into your eyes You re so beautiful Oh girl I think I love ya I m always thinkin of ya I want ya to know I do it all 4 love I love it when we re 2 gether Girl I need you 4 ever I want U 2 know I do it all 4 love I will never leave U sugar This I guarantee I look in 2 the future I see U and me Knight in shining armor I will B your fairy tale I wanna take care of U girl I ll serve you well I will B there 4 ya 2 catch U when U fall I ll hold U in my arms That s were U belong I sing this lullabye Cause girl U fill me full I look in 2 your eyes You re so beautiful beautiful yeah Oh girl I think I love ya I m always thinkin of ya I want ya to know I do it all 4 love I love it when we re 2 gether Girl I need you 4 ever And I want U 2 know I do it all 4 love Now come here sweetheart I want U 2 know something alright Everyday N my life without U Would be like a hundred years The distance B tween us An ocean of tears See all the things I do 4 U Are 4 love dig it All 4 lovin All 4 U All 4 lovin U U U Oh girl I think I love ya I m always thinkin of ya I want ya to know I do it all 4 love I love it when we re 2 gether Girl I need you 4 ever I want U 2 know I do it all 4 love Oh girl I think I love ya I m always thinkin of ya I want ya to know I do it all 4 love I love it when we re 2 gether Girl I need you 4 ever I want U 2 know I do it all 4 love Oh girl I think I love ya I m always thinkin of ya All 4 love I love it when we re 2 gether Girl I need you 4 ever'
10,"Just Another Day",Jon Secada,1992,b'Mornings alone When you come home I breathe a little faster Every time we re together It d never be the same If you re not here How can you stay away Away so long Why can t we stay together Give me a reason give me a reason Cause I I don t want to say it I don t want to find another way Make it through the day without you I I can t resist Trying to find exactly what I miss It s just another day without you It s just another day oh Making the time to make you stay forever What do I have to tell you I m just trying to hold on to something Oh give us a chance to make it To make it Oh no no Don t wanna hold on to never I m not that strong I m not that strong I I don t want to say it I don t want to find another way Make it through the day without you I I can t resist Trying to find exactly what I miss It s just another day without you No Why can t you stay forever Just give me a reason give me a reason Cause I I don t want to say it I don t want to find another way Make it through the day without you I I can t resist Trying to find exactly what I miss It s just another day without you I I don t want to say it I don t want to find another way Make it through the day without you I I can t resist Trying to find exactly what I miss It s just another day without you '
