Rank,Song,Artist,Year,Lyrics
1,Thrift Shop,Macklemore,2013,b' Hey Macklemore can we go thrift shopping What what what what What what what what What what what what What what what what What what what what Bada bada bada doo da What what what what Bada bada bada doo da What what what what Bada bada bada doo da Bada bada bada doo da Bada bada bada doo da Bada bada bada doo da Bada bada bada doo da I m gonna pop some tags Only got 20 dollars in my pocket I m I m I m huntin Lookin for a come up This is fucking awesome Now walk into the club like What up I got a big cock Nah I m just pumped I bought some shit from a thrift shop Ice on the fringe is so damn frosty The people like Damn that s a cold ass honkey Rollin in hella deep headed to the mezzanine Dressed in all pink except my gator shoes those are green Draped in a leopard mink girl standin next to me Probably should ve washed this smells like R Kelly sheets But shit it was 99 cents Fuck it coppin it washin it Bout to go and get some compliments Passin up on those moccasins Someone else has been walkin in Bummy and grungy fuck it man I am stunting and flossin and saving my money And I m hella happy that s a bargain bitch I ma take your grandpa s style I ma take your grandpa s style No for real ask your grandpa Can I have his hand me downs Velour jumpsuit and some house slippers Dookie brown leather jacket that I found diggin They had a broken keyboard I bought a broken keyboard I bought a skeet blanket then I bought a knee board Hello hello my ace man my mellow John Wayne ain t got nothing on my fringe game hell no I could take some Pro Wings make em cool sell those The sneaker heads would be like Ah he got the Velcros I m gonna pop some tags Only got 20 dollars in my pocket I m I m I m huntin Lookin for a come up This is fucking awesome I m gonna pop some tags Only got 20 dollars in my pocket I m I m I m huntin Lookin for a come up This is fucking awesome What you know about rockin a wolf on your noggin What you knowin about wearin a fur fox skin I m diggin I m diggin I m searchin right through that luggage One man s trash that s another man s come up Thank your granddad for donatin that plaid button up shirt cause right now I m up in hurr stuntin I m at the Goodwill you can find me in the bins I m not I m not stuck on searchin in that section Your grammy your auntie your mama your mammy I ll take those flannel zebra jammies Second hand and I ll rock that motherfucker The built in onesie with the socks on the motherfucker I hit the party and they stop in that motherfucker They be like Oh that Gucci That s hella tight I m like Yo that s 50 dollars for a t shirt Limited edition let s do some simple addition 50 dollars for a t shirt that s just some ignorant bitch shit I call that getting swindled and pimped shit I call that getting tricked by business That shirt s hella dough And having the same one as six other people in this club is a hella don t Peep game come take a look through my telescope Tryna get girls from a brand Man you hella won t Man you hella won t Goodwill poppin tags yeah I m gonna pop some tags Only got 20 dollars in my pocket I m I m I m huntin Lookin for a come up This is fucking awesome I ll wear your granddad s clothes I look incredible I m in this big ass coat From that thrift shop down the road I ll wear your granddad s clothes I look incredible I m in this big ass coat From that thrift shop down the road I m gonna pop some tags Only got 20 dollars in my pocket I m I m I m huntin Lookin for a come up This is fucking awesome Is that your grandma s coat '
2,Blurred Lines,Robin Thicke,2013,b' Everybody get up WOO Hey hey hey Hey hey hey Hey hey hey If you can t hear what I m trying to say If you can t read from the same page Maybe I m going deaf Maybe I m going blind Maybe I m out of my mind Ok now he was close Tried to domesticate you But you re an animal Baby it s in your nature Just let me liberate you You don t need no papers That man is not your maker And that s why I m gon take a Good girl I know you want it I know you want it I know you want it You re a good girl Can t let it get past me You re far from plastic Talk about getting blasted I hate these blurred lines I know you want it I know you want it I know you want it But you re a good girl The way you grab me Must wanna get nasty Go ahead get at me What do they make dreams for When you got them jeans on What do we need steam for You the hottest bitch in this place I feel so lucky you wanna hug me What rhymes with hug me Hey Ok now he was close Tried to domesticate you But you re an animal Baby it s in your nature Just let me liberate you You don t need no papers That man is not your maker And that s why I m gon take a Good girl I know you want it I know you want it I know you want it You re a good girl Can t let it get past me You re far from plastic Talk about getting blasted I hate these blurred lines I know you want it I know you want it I know you want it But you re a good girl The way you grab me Must wanna get nasty Go ahead get at me Hustle Gang Homie One thing I ask of you Lemme be the one you back that ass up to From Malibu to Paris boo Had a bitch but she ain t bad as you So hit me up when you pass through I ll give you something big enough to tear your ass in two Swag on em even when you dress casual I mean it s almost unbearable In a hundred years not dare would I Pull a Pharcyde let you pass me by Nothin like your last guy he too square for you He don t smack that ass and pull your hair like that So I m just watching and waitin For you to salute the true big pimpin Not many women can refuse this pimping I m a nice guy but don t get confused this pimpin Shake your rump Get down get up a Do it like it hurt like it hurt What you don t like work Hey Baby can you breathe I got this from Jamaica It always works for me Dakota to Decatur No more pretending Cause now you re winning Here s our beginning I always wanted a Good girl I know you want it I know you want it I know you want it You re a good girl Can t let it get past me You re far from plastic Talk about getting blasted I hate these blurred lines I know you want it I know you want it I know you want it But you re a good girl The way you grab me Must wanna get nasty Go ahead get at me Everybody get up Everybody get up Everybody get up Hey Hey Hey Hey Hey Hey Hey Hey Hey Everybody get up WOO Hey hey hey Hey hey hey Hey hey hey'
3,Radioactive,Imagine Dragons,2013,b' Whoah oh Whoah oh Whoah oh Whoah I m waking up to ash and dust I wipe my brow and I sweat my rust I m breathing in the chemicals Yeah ah I m breaking in shaping up then Checking out on the prison bus This is it the apocalypse Whoa I m waking up I feel it in my bones Enough to make my system blow Welcome to the new age to the new age Welcome to the new age to the new age Whoa oh whoa I m radioactive radioactive Whoa oh whoa I m radioactive radioactive I raise my flags don my clothes It s a revolution I suppose We re painted red to fit right in Whoa I m breaking in shaping up then Checking out on the prison bus This is it the apocalypse Whoa I m waking up I feel it in my bones Enough to make my system blow Welcome to the new age to the new age Welcome to the new age to the new age Whoa oh whoa I m radioactive radioactive Whoa oh whoa I m radioactive radioactive All systems go the sun hasn t died Deep in my bones straight from inside I m waking up I feel it in my bones Enough to make my system blow Welcome to the new age to the new age Welcome to the new age to the new age Whoa oh whoa I m radioactive radioactive Whoa oh whoa I m radioactive radioactive'
4,Harlem Shake,Baauer,2013,b' Con los terroristas tas tas tas tas tas tas tas tas tas tas tas tas Then do the Harlem Shake Ey con los terroristas Ey ey Ey ey Ey ey tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas tas Then do the Harlem Shake Ey con los terroristas Ey ey Shake shake Shake ey Ey ey Ey '
5,Can't Hold Us,Macklemore,2013,b' Ay ay ay Good to see you come on let s go Yeah Let s go Alright alright okay Alright okay Alright okay Return of the Mack Get em what it is what it does what it is what it isn t Looking for a better way to get up outta bed Instead of getting on the Internet And checking a new hit me get up Thrift shop pimp strut walkin Little bit of humble little bit of cautious Somewhere between like Rocky and Cosby Sweater game nope nope y all can t copy Yup Bad moonwalking this here is our party My posse s been on Broadway and we did it our way Grown music I shed my skin and put my bones Into everything I record to it and yet I m on Let that stage light go and shine on down Got that Bob Barker suit game and plinko in my style Money stay on my craft and stick around for those pounds But I do that to pass the torch and put on for my town Trust me on my I N D E P E N D E N T shit hustlin Chasing dreams since I was fourteen With the four track bussin Halfway cross that city with the backpack fat cat crushin Labels out here nah they can t tell me nothin We give that to the people spread it across the country Labels out here nah they can t tell me nothin We give it to the people spread it across the country Can we go back This is the moment Tonight is the night we ll fight til it s over So we put our hands up Like the ceiling can t hold us Like the ceiling can t hold us Can we go back This is the moment Tonight is the night we ll fight til it s over So we put our hands up Like the ceiling can t hold us Like the ceiling can t hold us Now can I kick it Thank you Yeah I m so damn grateful I grew up really wanting gold fronts But that s what you get when Wu Tang raised you Y all can t stop me Go hard like I got a 808 in my heartbeat And I m eating at the beat like you gave a little speed To a great white shark on Shark Week raw Tell me go up gone Deuces goodbye I got a world to see And my girl she wanna see Rome Caesar ll make you a believer Nah I never ever did it for a throne That validation comes from giving it back to the people Now sing a song and it goes like Raise those hands this is our party We came here to live life like nobody was watching I got my city right behind me if I fall they got me Learn from that failure gain humility And then we keep marching I said Can we go back This is the moment Tonight is the night we ll fight til it s over So we put our hands up Like the ceiling can t hold us Like the ceiling can t hold us Can we go back This is the moment Tonight is the night we ll fight til it s over So we put our hands up Like the ceiling can t hold us Like the ceiling can t hold us And so we put our hands up And so we put our hands up Oh oh oh oh Na na na na na na na na Hey ee ay ee ay ee ay ay ee ay ee hey And all my people say Na na na na na na na na Hey ee ay ee ay ee ay ay ee ay ee hey And all my people say Na na na na na na na na Oh oh oh oh oh oh oh oh oh oh oh oh And all my people say Na na na na na na na na Mack le eh eh eh eh more Can we go back This is the moment Tonight is the night we ll fight til it s over So we put our hands up Like the ceiling can t hold us Like the ceiling can t hold us Can we go back This is the moment Tonight is the night we ll fight til it s over So we put our hands up Like the ceiling can t hold us Like the ceiling can t hold us '
6,Mirrors,Justin Timberlake,2013,b' Aren t you somethin to admire Cause your shine is somethin like a mirror And I can t help but notice You reflect in this heart of mine If you ever feel alone and The glare makes me hard to find Just know that I m always Parallel on the other side Cause with your hand in my hand and a pocket full of soul I can tell you there s no place we couldn t go Just put your hand on the past I m here tryna pull you through You just gotta be strong I don t wanna lose you now I m lookin right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I ll tell you baby it was easy Comin back here to you once I figured it out You were right here all along It s like you re my mirror My mirror staring back at me I couldn t get any bigger With anyone else beside me And now it s clear as this promise That we re making Two reflections into one Cause it s like you re my mirror My mirror staring back at me staring back at me staring back at me Aren t you somethin an original Cause it doesn t seem merely assembled And I can t help but stare cause I see truth somewhere in your eyes I can t ever change without you You reflect me I love that about you And if I could I Would look at us all the time Cause with your hand in my hand and a pocket full of soul I can tell you there s no place we couldn t go Just put your hand on the past I m here tryna pull you through You just gotta be strong I don t wanna lose you now I m lookin right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I ll tell you baby it was easy Comin back here to you once I figured it out You were right here all along It s like you re my mirror My mirror staring back at me I couldn t get any bigger With anyone else beside me And now it s clear as this promise That we re making Two reflections into one Cause it s like you re my mirror My mirror staring back at me staring back at me Yesterday is history oh Tomorrow s a mystery oh I can see you lookin back at me Keep your eyes on me Baby keep your eyes on me Cause I don t wanna lose you now I m lookin right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I ll tell you baby it was easy Comin back here to you once I figured it out You were right here all along It s like you re my mirror My mirror staring back at me I couldn t get any bigger With anyone else beside me And now it s clear as this promise That we re making Two reflections into one Cause it s like you re my mirror My mirror staring back at me staring back at me Ohh Ohh Ohh ohh Uhh Ohh You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life Now you re the inspiration of this precious song And I just wanna see your face light up since you put me on So now I say goodbye to the old me it s already gone And I can t wait wait wait wait wait to get you home Just to let you know you are You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life Girl you re my reflection all I see is you My reflection in everything I do You re my reflection and all I see is you My reflection in everything I do You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life You are you are the love of my life'
7,Just Give Me a Reason,Pink,2013,b' Right from the start You were a thief you stole my heart And I your willing victim I let you see the parts of me That weren t all that pretty And with every touch you fixed them Now you ve been talking in your sleep Oh oh Things you never say to me Oh oh Tell me that you ve had enough Of our love our love Just give me a reason Just a little bit s enough Just a second we re not broken just bent And we can learn to love again It s in the stars It s been written in the scars on our hearts We re not broken just bent And we can learn to love again I m sorry I don t understand where all of this is coming from I thought that we were fine Your head is running wild again My dear we still have everything And it s all in your mind Now you ve been having real bad dreams Oh oh You used to lie so close to me Oh oh There s nothing more than empty sheets Between our love our love Oh our love our love love Just give me a reason Just a little bit s enough Just a second we re not broken just bent And we can learn to love again I ve never stopped You re still written in the scars on my heart You re not broken just bent And we can learn to love again Oh tears ducts and rust I ll fix it for us We re collecting dust but our love s enough You re holding it in You re pouring a drink No nothing is as bad as it seems We ll come clean Just give me a reason Just a little bit s enough Just a second we re not broken just bent And we can learn to love again It s in the stars It s been written in the scars on our hearts That we re not broken just bent And we can learn to love again Just give me a reason Just a little bit s enough Just a second we re not broken just bent And we can learn to love again It s in the stars It s still written in the scars on our hearts That we re not broken just bent And we can learn to love again Oh can learn to love again Oh can learn to love again Oh That we re not broken just bent And we can learn to love again'
8,When I Was Your Man,Bruno Mars,2013,b' Same bed but it feels just a little bit bigger now Our song on the radio but it don t sound the same When our friends talk about you all it does is just tear me down Cause my heart breaks a little when I hear your name It all just sounds like oooooh ooh Mmm too young too dumb to realize That I should have bought you flowers And held your hand Should have gave you all my hours When I had the chance Take you to every party Cause all you wanted to do was dance Now my baby s dancing But she s dancing with another man My pride my ego my needs and my selfish ways Caused a good strong woman like you to walk out my life Now I ll never never get to clean up the mess I made And it haunts me every time I close my eyes It all just sounds like oooooh ooh Mmm too young too dumb to realize That I should have bought you flowers And held your hand Should have gave you all my hours When I had the chance Take you to every party Cause all you wanted to do was dance Now my baby s dancing But she s dancing with another man Although it hurts I ll be the first to say that I was wrong Oh I know I m probably much too late To try and apologize for my mistakes But I just want you to know I hope he buys you flowers I hope he holds your hand Give you all his hours When he has the chance Take you to every party Cause I remember how much you loved to dance Do all the things I should have done When I was your man Do all the things I should have done When I was your man'
9,Cruise,Florida Georgia Line,2013,b' Baby you a song You make me wanna roll my windows down and cruise Hey baby Yeah when I first saw that bikini top on her She s popping right out of the South Georgia water Thought Oh good lord she had them long tanned legs Couldn t help myself so I walked up and said Baby you a song You make me wanna roll my windows down and cruise Down a back road blowing stop signs through the middle Every little farm town with you In this brand new Chevy with a lift kit Would look a hell of a lot better with you up in it So baby you a song You make me wanna roll my windows down and cruise She was sipping on Southern and singing Marshall Tucker We were falling in love in the sweet heart of summer She hopped right up into the cab of my truck and said Fire it up let s go get this thing stuck Baby you a song You make me wanna roll my windows down and cruise Down a back road blowing stop signs through the middle Every little farm town with you In this brand new Chevy with a lift kit Would look a hell of a lot better with you up in it So baby you a song You make me wanna roll my windows down and cruise When that summer sun fell to its knees I looked at her and she looked at me And I turned on those KC lights and drove all night Because it felt so right her and I man we felt so right I put it in park and grabbed my guitar And strummed a couple chords And sang from the heart Girl you sure got the beat in my chest bumping Hell I can t get you out of my head Baby you a song You make me wanna roll my windows down and cruise Down a back road blowing stop signs through the middle Every little farm town with you Baby you a song You make me wanna roll my windows down and cruise Down a back road blowing stop signs through the middle Every little farm town with you In this brand new Chevy with a lift kit Would look a hell of a lot better with you up in it Come on So baby you a song You make me wanna roll my windows down and cruise Come on girl Get those windows down and cruise Aww yeah'
10,Roar,Katy Perry,2013,b' I used to bite my tongue and hold my breath Scared to rock the boat and make a mess So I sat quietly agreed politely I guess that I forgot I had a choice I let you push me past the breaking point I stood for nothing so I fell for everything You held me down but I got up Already brushing off the dust You hear my voice your hear that sound Like thunder gonna shake the ground You held me down but I got up Get ready cause I had enough I see it all I see it now I got the eye of the tiger a fighter Dancing through the fire Cause I am a champion and you re gonna hear me roar Louder louder than a lion Cause I am a champion and you re gonna hear me roar Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh You re gonna hear me roar Now I m floating like a butterfly Stinging like a bee I earned my stripes I went from zero to my own hero You held me down but I got up Already brushing off the dust You hear my voice your hear that sound Like thunder gonna shake the ground You held me down but I got up Get ready cause I had enough I see it all I see it now I got the eye of the tiger a fighter Dancing through the fire Cause I am a champion and you re gonna hear me roar Louder louder than a lion Cause I am a champion and you re gonna hear me roar Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh You re gonna hear me roar Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh You re gonna hear me roar Roar roar roar roar roar I got the eye of the tiger a fighter Dancing through the fire Cause I am a champion and you re gonna hear me roar Louder louder than a lion Cause I am a champion and you re gonna hear me roar Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh You re gonna hear me roar Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh You re gonna hear me roar '
