Rank,Song,Artist,Year,Lyrics
1,Believe,Cher,1999,b' After love after love After love after love After love after love After love after love After love after love No matter how hard I try You keep pushing me aside And I can t break through There s no talking to you It s so sad that you re leaving It takes time to believe it But after all is said and done You re gonna be the lonely one oh Do you believe in life after love I can feel something inside me say I really don t think you re strong enough no Do you believe in life after love I can feel something inside me say I really don t think you re strong enough no What am I supposed to do Sit around and wait for you Well I can t do that And there s no turning back I need time to move on I need love to feel strong Cause I ve had time to think it through And maybe I m too good for you oh Do you believe in life after love I can feel something inside me say I really don t think you re strong enough no Do you believe in life after love I can feel something inside me say I really don t think you re strong enough no Well I know that I ll get through this Cause I know that I am strong I don t need you anymore Oh I don t need you anymore I don t need you anymore No I don t need you anymore Do you believe in life after love I can feel something inside me say I really don t think you re strong enough no Do you believe in life after love I can feel something inside me say I really don t think you re strong enough no Do you believe in life after love I can feel something inside me say I really don t think you re strong enough no Do you believe in life after love I can feel something inside me say I really don t think you re strong enough no'
2,No Scrubs,TLC,1999,b' A scrub is a guy that thinks he s fly He s also known as a busta Always talkin about what he wants And just sits on his broke ass So no I don t want your number No I don t want to give you mine and No I don t want to meet you nowhere No I don t want none of your time and No I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me Well a scrub checkin me but his game is kinda weak And I know that he cannot approach me Cause I m looking like class and he s looking like trash Can t get wit a deadbeat ass So no I don t want your number No I don t want to give you mine and No I don t want to meet you nowhere No I don t want none of your time and No I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me If you don t have a car and you re walking Oh yes son I m talking to you If you live at home with your momma Oh yes son I m talking to you If you have a shorty that you don t show love Oh yes son I m talking to you Wanna get me with no money Oh no I don t want no No scrub love No scrub love No I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me See if you can t spatially expand my horizons Then that leaves you in the class with scrubs never rising I don t find it surprising and if you don t have the G s To please me and bounce me here to the coast of overseas So let me give you something to think about Inundate your mind with intentions to turn you out Can t forget the focus on the picture in front of me You as clear as DVD on digital TV screens Satisfy my appetite with something spectacular Check your vernacular and then I get back to ya With diamond like precision insatiable is what I envision Can t detect acquisition from your friend s Expedition Mr Big Willy if you really wanna know Ask Chilli could I be a silly ho Not really T Boz and all my se oritas Are steppin on your FILA s but you don t hear me though No I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me I don t want no scrubs A scrub is a guy that can t get no love from me Hangin out the passenger side of his best friend s ride Trying to holla at me'
3,Angel of Mine,Monica,1999,b' When I first saw you I already knew There was something inside of you Something I thought that I would never find angel of mine I look at you looking at me Now I know why they say The best things are free I m gonna love you boy You are so fine angel of mine How you changed my world You ll never know I m different now You helped me grow You came into my life Sent from above When I lost all hope You showed me love I m checking for you boy You re right on time angel of mine Nothing means more to me than what we share No one in this whole world can ever compare Last night the way you moved is still on my mind Angel of mine What you mean to me You ll never know Deep inside I need to show You came into my life Sent from above When I lost all hope You showed me love I m checking for you boy You re right on time Angel of mine I never knew I could feel each moment As if it were new Every breath that I take The love that we make I only share it with you When I first saw you I already knew There was something inside of you Something I thought that I would never find angel of mine You came into my life Sent from above When I lost all hope You showed me love I m checking for you boy You re right on time Angel of mine How you changed my world You ll never know I m different now You helped me grow I look at you looking at me Now I know why they say The best things are free I m checking for you boy You re right on time angel of mine'
4,Heartbreak Hotel,Whitney Houston,1999,b' This is the Heartbreak Hotel This is the Heartbreak Hotel This is the Heartbreak Hotel This is the Heartbreak Hotel You said you d be here by 9 Instead you took your time You didn t think to call me boy Here I sit tryin not to cry Askin myself why you do this to me Since you re not around for me To tell you baby face to face I m writing you this letter And this is what I have to say All I really wanted was some of your time Instead you told me lies when someone else was on your mind What d you do to me Look what you did to me I thought that you were someone who would do me right Until you played with my emotions and you made me cry What d you do to me Can t take what you did to me Now I see that you ve been doing wrong Played me all along and made a fool of me baby You got it all wrong to think that I wouldn t find out That you were cheating on me baby how could u do it to me Since you re not around for me To tell you baby face to face I m writing you this letter And this is what I have to say All I really wanted was some of your time Instead you told me lies when someone else was on your mind What d you do to me Look what you did to me I thought that you were someone who would do me right Until you played with my emotions and you made me cry What d you do to me Can t take what you did to me You didn t have to do it to me baby Heartbreak Hotel This is the Heartbreak Hotel This is the Heartbreak Hotel This is the Heartbreak Hotel All I really wanted was some of your time Instead you told me lies when someone else was on your mind What d you do to me Look what you did to me I thought that you were someone who would do me right Until you played with my emotions and you made me cry What d you do to me Can t take what you did to me I wanted your love All I really wanted was some of your time Instead you told me lies when someone else was on your mind What d you do to me Look what you did to me I thought that you were someone who would do me right Until you played with my emotions and you made me cry What d you do to me Can t take what you did to me I ain t going to take it I ain t going to take it no more I ain t going to take it boy I ain t going to take it no more Everything that you said was a lie Don t lie to me'
5,...Baby One More Time,Britney Spears,1999,b' Oh baby baby Oh baby baby Oh baby baby how was I supposed to know That something wasn t right here Oh baby baby I shouldn t have let you go And now you re out of sight yeah Show me how you want it to be Tell me baby cause I need to know now oh because My loneliness is killing me I must confess I still believe When I m not with you I lose my mind Give me a sign Hit me baby one more time Oh baby baby the reason I breathe is you Boy you got me blinded Oh pretty baby there s nothing that I wouldn t do It s not the way I planned it Show me how you want it to be Tell me baby cause I need to know now oh because My loneliness is killing me I must confess I still believe When I m not with you I lose my mind Give me a sign Hit me baby one more time Oh baby baby Oh baby baby Oh baby baby how was I supposed to know Oh pretty baby I shouldn t have let you go I must confess that my loneliness is killing me now Don t you know I still believe That you will be here and give me a sign Hit me baby one more time My loneliness is killing me I must confess I still believe When I m not with you I lose my mind Give me a sign Hit me baby one more time I must confess that my loneliness is killing me now Don t you know I still believe That you will be here and give me a sign Hit me baby one more time'
6,Kiss Me,Sixpence None the Richer,1999,b' Kiss me out of the bearded barley Nightly beside the green green grass Swing swing swing the spinning step You wear those shoes And I will wear that dress Oh kiss me beneath the milky twilight Lead me out on the moonlit floor Lift your open hand Strike up the band and make the fireflies dance Silver moon s sparkling So kiss me Kiss me down by the broken tree house Swing me upon its hanging tire Bring bring bring your flowered hat We ll take the trail marked on your father s map Oh kiss me beneath the milky twilight Lead me out on the moonlit floor Lift your open hand Strike up the band and make the fireflies dance Silver moon s sparkling So kiss me Kiss me beneath the milky twilight Lead me out on the moonlit floor Lift your open hand Strike up the band and make the fireflies dance Silver moon s sparkling So kiss me So kiss me So kiss me So kiss me'
7,Genie in a Bottle,Christina Aguilera,1999,b' Come on come on Uh yeah Come on come on uh I feel like I ve been locked up tight For a century of lonely nights Waiting for someone to release me You re lickin your lips and blowing kisses my way But that don t mean I m gonna give it away Baby baby baby Oh oh oh oh oh Oh oh oh oh oh If you wanna be with me baby there s a price to pay I m a genie in a bottle you gotta rub me the right way If you wanna be with me I can make your wish come true You gotta make a big impression I gotta like what you do I m a genie in a bottle baby You gotta rub me the right way honey I m a genie in a bottle baby Come come come on and let me out The music s banging and the lights down low Just one more dance and then we re good to go Waiting for someone who needs me Hormones racing at the speed of light But that don t mean it s gotta be tonight Baby baby baby Oh oh oh oh oh Oh oh oh oh oh But my heart is sayin But my heart is sayin No If you wanna be with me baby there s a price to pay I m a genie in a bottle you gotta rub me the right way If you wanna be with me I can make your wish come true Just come and set me free baby and I ll be with you I m a genie in a bottle baby You gotta rub me the right way honey I m a genie in a bottle baby Come come come on and let me out I m a genie in a bottle baby Gotta rub me the right way honey I m a genie in a bottle baby Come come come on and let me out Oh oh oh oh oh Oh oh oh oh oh If you wanna be with me baby there s a price to pay I m a genie in a bottle you gotta rub me the right way If you wanna be with me I can make your wish come true You gotta make a big impression I gotta like what you do Oh yeah If you wanna be with me baby there s a price to pay I m a genie in a bottle you gotta rub me the right way If you wanna be with me I can make your wish come true Just come and set me free baby and I ll be with you I m a genie in a bottle baby Come come come on and let me out'
8,Every Morning,Sugar Ray,1999,b' Every morning there s a halo hanging From the corner of my girlfriend s four post bed I know it s not mine but I ll see if I can use it for The weekend or a one night stand Couldn t understand How to work it out Once again as predicted left my broken heart open And you ripped it out Something s got me reeling Stopped me from believing Turn me around again Said that we can do it You know I wanna do it again Ohh Ohh Ohh Every morning there s a heartache hanging From the corner of my girlfriend s four post bed I know it s not mine and I know she thinks she loves me But I never can believe what she said Something so deceiving when you stop believing Turn me around again Said we couldn t do it You know I wanna do it again Ohh Ohh Ohh She always rights the wrong For me Baby She always rights the wrong For me Every morning there s a halo hanging From the corner of my girlfriend s four post bed I know it s not mine but I ll see if I can use it for The weekend or a one night stand Every morning Every morning when I wake up Every morning Every morning Every morning Every morning Every morning when I wake up Every morning'
9,Nobody's Supposed to Be Here,Deborah Cox,1999,b' How did you get here Nobody s supposed to be here I tried that love thing for the last time My heart says No no Nobody s supposed to be here But you came along and changed my mind I ve spent all my life on a search to find The love who ll stay for eternity The heaven sent to fulfill my needs But when I turn around again love has knocked me down My heart got broken oh it hurts so bad I m sad to say love wins again So I placed my heart under lock and key To take some time to take care of me But I turn around and you re standing here This time I swear I m through But if only you knew how many times I ve said those words Then fall again when will I ever learn Knowing these tears I cry this lovely black butterfly Must take a chance and spread my wings Love can make you do some crazy things '
10,Livin' la Vida Loca,Ricky Martin,1999,b' She s into superstitions Black cats and voodoo dolls I feel a premonition That girl s gonna make me fall She s into new sensations New kicks in the candlelight She s got a new addiction For every day and night She ll make you take your clothes off And go dancing in the rain She ll make you live her crazy life But she ll take away your pain Like a bullet to your brain Come on Upside inside out She s livin la vida loca She ll push and pull you down Livin la vida loca Her lips are devil red And her skin s the color mocha She will wear you out Livin la vida loca Come on Livin la vida loca Come on She s livin la vida loca Woke up in new york city in a funky cheap hotel She took my heart And she took my money She must ve slipped me a sleeping pill She never drinks the water And makes you order French champagne Once you ve had a taste of her You ll never be the same Yeah she ll make you go insane Come on Upside inside out She s livin la vida loca She ll push and pull you down Livin la vida loca Her lips are devil red And her skin s the color mocha She will wear you out Livin la vida loca Come on Livin la vida loca Come on She s livin la vida loca She ll make you take your clothes off And go dancing in the rain She ll make you live her crazy life But she ll take away your pain Like a bullet to your brain Come on Upside inside out She s livin la vida loca She ll push and pull you down Livin la vida loca Her lips are devil red And her skin s the color mocha She will wear you out Livin la vida loca Come on Livin la vida loca Come on She s livin la vida loca Upside inside out She s livin la vida loca She ll push and pull you down Livin la vida loca Her lips are devil red And her skin s the color mocha She will wear you out Livin la vida loca Come on Livin la vida loca Come on She s livin la vida loca'
