Rank,Song,Artist,Year,Lyrics
1,My Sharona,The Knack,1979,b'Ooh my little pretty one pretty one\nWhen you gonna give me some time Sharona?\nOoh you make my motor run my motor run\nGun it coming off of the line Sharona\nNever gonna stop give it up such a dirty mind\nI always get it up for the touch of the younger kind\nMy my my I yi woo!\nM-m-m-my Sharona\nCome a little closer huh ah will ya huh?\nClose enough to look in my eyes Sharona\nKeeping it a mystery gets to me\nRunning down the length of my thighs Sharona\nNever gonna stop give it up such a dirty mind\nI always get it up for the touch of the younger kind\nMy my my I yi woo!\nM-m-m-my Sharona\nM-m-m-my Sharona\nWhen you gonna give to me give to me?\nIs it just a matter of time Sharona?\nIs it just destiny destiny\nOr is it just a game in my mind Sharona?\nNever gonna stop give it up such a dirty mind\nI always get it up for the touch of the younger kind\nMy my my I yi woo!\nM-m-m-my my my I yi woo!\nM-m-m-my Sharona\nM-m-m-my Sharona\nM-m-m-my Sharona\nM-m-m-my Sharona\nOooooh my Sharona\nOooooh my Sharona\nOooooh my Sharona'
2,Bad Girls,Donna Summer,1979,b'Toot toot hey beep beep\nToot toot hey beep beep\nToot toot hey beep beep\nToot toot hey beep beep\nBad girls talking \xe2\x80\x99bout the sad girls\nSad girls talking \xe2\x80\x99bout bad girls yeah\nSee them out on the street at night\nPicking up all kinds of strangers\nIf the price is right\nYou can score if your pocket\xe2\x80\x99s nice\nBut you want a good time\nYou ask yourself\nWho they are\nLike everybody else\nThey come from near and far\nBad girls yeah\nBad girls talking \xe2\x80\x99bout the sad girls\nSad girls talking \xe2\x80\x99bout bad girls yeah\nFriday night and the strip is hot \nSun\xe2\x80\x99s gone down and they\xe2\x80\x99re about to trot\nSpirit\xe2\x80\x99s high and they look hot\nDo you wanna get down?\nNow don\xe2\x80\x99t you ask yourself\nWho they are?\nLike everybody else\nThey wanna be a star\nYeah yeah there comes\nBad girl sad girl\nYou\xe2\x80\x99re such a naughty bad girl\nBeep beep uh-huh\nYou bad girl you sad girl\nYou\xe2\x80\x99re such a naughty bad girl\nBeep beep uh-huh\nNow you and me we are both the same\nBut you call yourself by different names\nNow your Mama won\xe2\x80\x99t like it when she finds out\nGirl is out at night\nToot toot hey beep beep\nToot toot hey beep beep\nToot toot hey beep beep\nToot toot hey beep beep\nHey mister have you got a dime?\nMister do you want to spend some time oh yeah\nI got what you want you got what I need\nI\xe2\x80\x99ll be your baby come and spend it on me\nHey mister I\xe2\x80\x99ll spend some time with you\nWith you you\xe2\x80\x99re fine with you\nBad girls they\xe2\x80\x99re just bad girls\nTalkin\xe2\x80\x99 about sad girls yeah\nSad girls yeah\nHey hey mister got a dime?\nToot toot hey beep beep\nToot toot hey beep beep\nToot toot hey beep beep\nToot toot hey beep beep'
3,Le Freak,Chic,1979,"b""Ah freak out\nLe freak c'est chic\nFreak out\nAh freak out\nLe freak c'est chic\nFreak out\nHave you heard about the new dance craze\nListen to us I'm sure you'll be amazed\nBig fun to be had by everyone\nIt's up to you it surely can be done\nYoung and old are doing it I'm told\nJust one try and you too will be sold\nIt's called Le Freak they're doing it night and day\nAllow us we'll show you the way\nAh freak out\nLe freak c'est chic\nFreak out\nAh freak out\nLe freak c'est chic\nFreak out\nAll that pressure got you down\nHas your head spinning all around\nFeel the rhythm check the ride\nCome on along and have a real good time\nLike the days of \xe2\x80\x9cStompin' at the Savoy\xe2\x80\x9d\nNow we freak oh what a joy\nJust come on down to the 54\nAnd find a spot out on the floor\nAh freak out\nLe freak c'est chic\nFreak out\nNow freak\nI said freak\nNow freak\nAll that pressure got you down\nHas your head spinning all around\nFeel the rhythm check the ride\nCome on along and have a real good time\nLike the days of \xe2\x80\x9cStompin' at the Savoy\xe2\x80\x9d\nNow we freak oh what a joy\nJust come on down to the 54\nAnd find a spot out on the floor\nAh freak out\nLe freak c'est chic\nFreak out\nAh freak out\nLe freak c'est chic\nFreak out"""
4,Da Ya Think I'm Sexy?,Rod Stewart,1979,"b""Sugar sugar\nShe sits alone waiting for suggestions\nHe's so nervous avoiding all the questions\nHis lips are dry her heart is gently pounding\nDon't you just know exactly what they're thinking\nIf you want my body and you think I'm sexy\nCome on sugar let me know\nIf you really need me just reach out and touch me\nCome on honey tell me so\nTell me so baby\n{Bridge}\nHe's acting shy looking for an answer\nCome on honey let's spend the night together\nNow hold on a minute before we go much further\nGive me a dime so I can phone my mother\nThey catch a cab to his high rise apartment\nAt last he can tell her exactly what his heart meant\nIf you want my body and you think I'm sexy\nCome on honey tell me so\nIf you really need me just reach out and touch me\nCome on sugar let me know\nHis heart's beating like a drum\n'cos at last he's got this girl home\nRelax baby now we are all alone\n{Instrumental}\nThey wake at dawn 'cos all the birds are singing\nTwo total strangers but that ain't what they're thinking\nOutside it's cold misty and it's raining\nThey got each other neither one's complaining\nHe say's I'm sorry but I'm out of milk and coffee\nNever mind my sugar we can watch the early movie\nIf you want my body and you think I'm sexy\nCome on sugar let me know\nIf you really need me just reach out and touch me\nCome on honey tell me so\n{Bridge}\nIf you really need me just reach out and touch me\nCome on sugar let me know\nIf you really really really really need me\nJust let me know\nJust reach out and touch me\nIf you really want me\nJust reach out and touch me\nCome on sugar let me know\nIf you really need me just reach out and touch me\nCome on sugar let me know\nIf you if you if you really need me\nJust come on and tell me so"""
5,Reunited,Peaches,1979,"b""I was a fool to ever leave your side\nMe minus you is such a lonely ride\nThe breakup we had\nHas made me lonesome and sad\nI realize I love you cause\nI want you back hey hey\nI spent the evening with the radio\nRegret the moment that I let you go\nOur quarrel was such\nA way of learning so much\nI know now that I love you\nCause I need your touch hey hey\nReunited\nAnd it feels so good\nReunited\nCause we understood\nThere`s one perfect fit\nAnd sugar this one is it\nWe both are so excited\nCause we`re reunited\nHey hey\nI sat here staring\nAt the same old wall\nCame back to life just when I got your call\nI wished I could climb right\nThrough the telephone line\nAnd give you what you want\nSo you will still be mine\nHey hey\nI can't go cheating\nHoney I can't play\nI found it very hard to stay away\nAs we reminisce on\nPrecious moments like this\nI`m glad we`re back together\nCause I missed your kiss\nHey hey\nReunited\nAnd it feels so good\nReunited\nCause we understood\nThere`s one perfect fit\nAnd sugar this one is it\nWe both are so excited\nCause we`re reunited\nHey hey\nYeah yeah yeah baby\nOh lover lover\nThis is solid love\nAnd you`re exactly what I`m dreaming of\nAll through the day\nAnd all through the night\nI`ll give you all the love I have\nWith all my might\nHey hey\nReunited\nAnd it feels so good\nReunited\nCause we understood\nThere`s one perfect fit\nAnd sugar this one is it..."""
6,I Will Survive,Gloria Gaynor,1979,"b""At first I was afraid I was petrified\nKept thinkin' I could never live without you by my side\nBut then I spent so many nights thinkin' how you did me wrong\nAnd I grew strong and I learned how to get along\nAnd so you're back from outer space\nI just walked in to find you here with that sad look upon your face\nI should have changed that stupid lock\nI should have made you leave your key\nIf I'd have known for just one second you'd be back to bother me\nGo on now go walk out the door\nJust turn around now 'cause you're not welcome anymore\nWeren't you the one who tried to hurt me with goodbye?\nDid you think I'd crumble? Did you think I'd lay down and die?\nOh no not I I will survive\nOh as long as I know how to love I know I'll stay alive\nI've got all my life to live and I've got all my love to give\nAnd I'll survive I will survive hey hey\nIt took all the strength I had not to fall apart\nJust tryin' hard to mend the pieces of my broken heart\nAnd I spent oh so many nights just feeling sorry for myself\nI used to cry but now I hold my head up high\nAnd you see me somebody new\nI'm not that chained up little person still in love with you\nAnd so you felt like droppin' in and just expect me to be free\nWell now I'm saving all my lovin' for someone who's lovin' me\nGo on now go walk out the door\nJust turn around now 'cause you're not welcome anymore\nWeren't you the one who tried to break me with goodbye?\nDid you think I'd crumble? Did you think I'd lay down and die?\nOh no not I I will survive\nOh as long as I know how to love I know I'll stay alive\nI've got all my life to live and I've got all my love to give\nAnd I'll survive I will survive oh\nGo on now go walk out the door\nJust turn around now 'cause you're not welcome anymore\nWeren't you the one who tried to break me with goodbye?\nDid you think I'd crumble? Did you think I'd lay down and die?\nOh no not I I will survive\nOh as long as I know how to love I know I'll stay alive\nI've got all my life to live and all my love to give\nAnd I'll survive I will survive I will survive"""
7,Hot Stuff,Donna Summer,1979,"b""Sittin' here eatin' my heart out waitin'\nWaitin' for some lover to call\nDialed about a thousand numbers lately\nAlmost rang the phone off the wall\nLookin' for some hot stuff baby this evenin'\nI need some hot stuff baby tonight\nI want some hot stuff baby this evenin'\nGotta have some hot stuff\nGotta have some love tonight \nI need hot stuff\nI want some hot stuff\nI need hot stuff\nLookin' for a lover who needs another\nDon't want another night on my own\nWanna share my love with a warm blooded lover\nWanna bring a wild man back home\nGotta have some hot love baby this evenin'\nI need some hot stuff baby tonight\nI want some hot stuff baby this evenin'\nGotta have some lovin'\nGotta have love tonight \nI need hot stuff\nHot love\nLookin' for hot love\nHot hot hot hot stuff\nHot hot hot\nHot hot hot hot stuff\nHot hot hot\nHow's about some hot stuff baby this evenin'?\nI need some hot stuff baby tonight\nGimme a little hot stuff baby this evenin'\nHot love baby\nGonna need your love tonight \nI need hot love\nLookin' for hot love\nWanna have hot love\nSittin' here eatin' my heart out no reason\nWon't spend another night on my own\nI dialled about a hundred numbers lately\nI'm bound to find somebody home\nGonna have some hot stuff baby this evenin'\nI need some hot stuff baby tonight\nLookin' for my hot stuff baby this evenin'\nNeed some lovin' baby gonna need your love tonight\nHot stuff Hot stuff\nHot stuff Hot stuff\nHot hot hot hot stuff\nHot hot hot\nHot hot hot hot stuff\nHot hot hot\nGonna have some hot stuff baby this evenin'\nI need some hot stuff baby tonight\nLookin' for my hot stuff baby this evenin'\nNeed some lovin' baby gonna need your love tonight\nI want some hot stuff baby this evenin'\nI want some hot stuff baby tonight\nI want some hot stuff baby this evenin'\nI want some hot stuff baby this evenin'\nI want some hot stuff baby this evenin'\nHot stuff baby gonna need your love tonight"""
8,Y.M.C.A.,Village People,1979,"b""Young man there's no need to feel down\nI said young man pick yourself off the ground\nI said young man cause you're in a new town\nThere's no need to be unhappy\nYoung man there's a place you can go\nI said young man when you're short on your dough\nYou can stay there and I'm sure you will find\nMany ways to have a good time\nIt's fun to stay at the Y.M.C.A\nIt's fun to stay at the Y.M.C.A\nThey have everything for young men to enjoy\nYou can hang out with all the boys\nIt's fun to stay at the Y.M.C.A\nIt's fun to stay at the Y.M.C.A\nYou can get yourself clean you can have a good meal\nYou can do whatever you feel\nYoung man are you listening to me?\nI said young man what do you want to be?\nI said young man you can make real your dreams\nBut you got to know this one thing\nNo man does it all by himself\nI said young man put your pride on the shelf\nAnd just go there to the Y.M.C.A\nI'm sure they can help you today\nIt's fun to stay at the Y.M.C.A\nIt's fun to stay at the Y.M.C.A\nThey have everything for young men to enjoy\nYou can hang out with all the boys\nIt's fun to stay at the Y.M.C.A\nIt's fun to stay at the Y.M.C.A\nYou can get yourself clean you can have a good meal\nYou can do whatever you feel\nYoung man I was once in your shoes\nI said I was down and out with the blues\nI felt no man cared if I were alive\nI felt the whole world was so jive\nThat's when someone came up to me\nAnd said young man take a walk up the street\nThere's a place there called the Y.M.C.A\nThey can start you back on your way\nIt's fun to stay at the Y.M.C.A\nIt's fun to stay at the Y.M.C.A\nThey have everything for young men to enjoy\nYou can hang out with all the boys\nY.M.C.A....It's fun to stay at the Y.M.C.A\nYoung man young man there's no need to feel down\nYoung man young man get yourself off the ground\nY.M.C.A....you'll find it at the Y.M.C.A\nNo man no man does it all by himself\nYoung man young man put your pride on the shelf\nY.M.C.A....just go to the Y.M.C.A\nYoung man young man are you listening to me?\nYoung man young man what do you wanna be?\nY.M.C.A....you find in the Y.M.C.A....\nNo man no man does it all by himself\nYoung man young man put your pride on the shelf\nY.M.C.A....just go to the Y.M.C.A\nYoung man young man I was watching your shoes\nYoung man young I was down with the blues"""
9,Ring My Bell,Anita Ward,1979,"b""I'm glad you're home\nNow did you really miss me\nI guess you did by the look in your eyes\nWell lay back and relax while I put away the dishes \nThen you and me can rock-a-bye\nYou can ring my bell ring my bell\nThe night is young and full of possibilities\nWell come on and let yourself be free\nMy love for you so long I've been saving\nTonight was made for me and you\nYou can ring my bell you can ring my bell\nDing dong ding dong ring it\nYou can ring my bell anytime anyway\nRing it ring it ring it owww"""
10,Sad Eyes,Robert John,1979,"b""Looks like it's over you knew I couldn't stay\nShe's coming home today\nWe had a good thing I'll miss your sweet love\nWhy must you look at me that way it's over\nSad eyes turn the other way\nI don't want to see you cry\nSad eyes you knew there'd come a day\nWhen we would have to say goodbye\nTry to remember the magic that we shared\nIn time your broken heart will mend\nI never used you you knew I really cared\nI hate to sit and defend but it's over\nSad eyes turn the other way\nI don't want to see you cry\nSad eyes you knew there'd come a day\nWhen we would have to say goodbye\nSad eyes turn the other way\nI don't want to see you cry\nSad eyes you knew there'd come a day\nWhen we would have to say goodbye\nSad eyes turn the other way\nI don't want to see you cry \nSad eyes you knew there'd come a day\nWhen we would have to say goodbye\nSad eyes turn the other way"""
