Rank,Song,Artist,Year,Lyrics
1,(Everything I Do) I Do It for You,Bryan Adams,1991,b' Look into my eyes you will see What you mean to me Search your heart search your soul And when you find me there you ll search no more Don t tell me it s not worth tryin for You can t tell me it s not worth dyin for You know it s true Everything I do I do it for you Look into your heart you will find There s nothin there to hide Take me as I am take my life I would give it all I would sacrifice Don t tell me it s not worth fightin for I can t help it there s nothin I want more You know it s true Everything I do I do it for you There s no love like your love And no other could give more love There s nowhere unless you re there All the time all the way yeah Oh you can t tell me it s not worth tryin for I can t help it there s nothin I want more Yeah I would fight for you I d lie for you Walk the wire for you Yeah I d die for you You know it s true Everything I do Oh I do it for you'
2,I Wanna Sex You Up,Color Me Badd,1991,b' A tick tock ya don t stop To the tick tock ya don t stop To the tick tock ya don t stop To the tick tock ya don t stop Come inside take off your coat I ll make you feel at home Now lets pour a glass of wine Cause now we re all alone I ve been waiting all nite So just let me hold you close to me Cause I ve been dying for you girl To make love to me Girl you make me feel real good We can do it till we both wake up Girl you know I m hooked on you And this is what I ll do All nite I want to Let me take off all your clothes Disconnect the phone so nobody knows Let me light a candle So we can make it better Makin love until we drown dig Girl you make me feel real good We can do it till we both wake up Girl you know I m hooked on you And this is what I ll do All nite I want to Girl you just make me feel so good I just wanna I just wanna look at you Don t say anything at all Just lay back and enjoy the ride yeah All I want to do is All nite I want to Make sweet lovin all night long Feels so right it can t be wrong Don t be shy girl rescue me Open up your heart and I ll set you free Oh I wanna touch you in all the right places baby I wanna make love to you yeah All night all night yeah'
3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1991,b' Everybody dance now Everybody dance now Give me the music Give me the music Everybody dance now Give me the music Everybody dance now Everybody dance now Yeah Yeah Everybody dance now Yeah Yeah Yeah Everybody Here is the dome back with the bass The jam is live in effect and I don t waste time On the mike with a dope rhyme Jump to the rhythm jump jump to the rhythm jump And I m here to combine Beats and lyrics to make your shake your pants Take a chance come on and dance Guys grab a girl don t wait make her twirl It s your world and I m just a squirrel Tryin to get a nut to move your butt To the dance floor so yo what s up Hands in the air come on say yeah Everybody over here everybody over there The crowd is live and I pursue this groove Party people in the house Move move Come on let s sweat baby Let the music take control Let the rhythm move you Sweat sweat Let the music take control Let the rhythm move you Everybody dance now Everybody dance now Everybody dance now Pause take a breath and go for yours On my command now hit the dance floor It s gonna make you sweat til you bleed Is that dope enough indeed I paid the price I control the dice I m more precise to the point I m nice The music takes control your heart and soul Unfold your body is free and a whole Dance till you can t dance Till you can t dance no more Get on the floor and get raw Then come back and upside down Easy now let me see ya Move move The music is my life Everybody dance now Everybody dance now Everybody dance now Everybody dance now Come on let s sweat baby Let the music take control Let the rhythm move you Sweat sweat Let the music take control Let the rhythm move you '
4,Rush Rush,Paula Abdul,1991,b' You re the whisper of a summer breeze You re the kiss that puts my soul at ease What I m saying is I m into you Here s my story and the story goes You give love you get love And more than heaven knows You re gonna see I m gonna run I m gonna try I m gonna take this love right to ya All my heart all the joy Oh baby baby please Hurry hurry lover come to me I wanna see ya I wanna see ya get free with me I can feel it I can feel you all through me Ooh what you do to me And all I want from you is what you are And even if you re right next to me You re still too far away If I m not inside your arms I get dramatic baby yes I know But I need you I want you oh man I love you so You re gonna see I m gonna run I m gonna try I m gonna take this love right to ya All my heart all the joy Oh baby baby please Hurry hurry lover come to me I wanna see ya I wanna see ya get free with me I can feel it I can feel you all through me Ooh what you do to me Hurry hurry lover come to me I wanna see ya I wanna see ya get free with me I can feel it I can feel you all through me Ooh what you do to me When you kiss me up and down You turn my senses all around Oh baby oh baby I don t know just how or why But no one else has touched me So deep so deep so deep inside You re gonna see I m gonna run I m gonna try I m gonna take this love right to ya All my heart all the joy Oh baby baby please Hurry hurry lover come to me I wanna see ya I wanna see ya get free with me I can feel it I can feel you all through me Ooh what you do to me Hurry hurry lover come to me I wanna see ya I wanna see ya get free with me I can feel it I can feel you all through me Ooh what you do to me No no no no no No no no no no No no no no no No no no no no Hurry hurry lover come to me'
5,One More Try,Timmy T,1991,b'It s been a long time since you left me I didn t mean to make you cry I didn t mean to disappiont you I didn t mean to tell you lies And after all that we have been through Won t you let me tell you why One more try I didn t know how much I loved you One more try Let me put my arms around you Living all these lonely nights without you Oh baby can we give it one more try It s been a long time since I ve kissed you It always used to feel so good And if you knew how much I missed you You d forgive me if you could And now that we have found each other Can t we give it one more try One more try I didn t know how much I loved you One more try Let me put my arms around you Living all these lonely nights without you Oh baby can we give it one more try And after all that we have been through Won t you let me tell you why And now that we have found each other Can t we give it one more try One more try I didn t know how much I loved you One more try Let me put my arms around you Living all these lonely nights without you Oh baby can we give it one more try Oh girl you know I love you I just want you to know Our love I ll always treasure So please just don t let me go'
6,Unbelievable,EMF,1991,b' You burden me with your questions You d have me tell no lies You re always asking what it s all about But don t listen to my replies You say to me I don t talk enough But when I do I m a fool These times I ve spent I ve realized I m going to shoot through And leave you The things you say Your purple prose just gives you away The things you say You re unbelievable You burden me with your problems By telling me more than mine I m always so concerned With the way you say You re always upset To think of us being one Is more than I ever know But this time I realize I m going to shoot through And leave you The things you say Your purple prose just gives you away The things you say You re unbelievable Seemingly lastless don t mean You can ask us Pushing down the relative Bringing out your higher self Think of the fine times pushing Down the better few instead of Bringing out the clues to what the World and everything anger to brace Yourself with the grace of ease I know this world ain t what it seems It s unbelievable You burden me with your questions You d have me tell no lies You re always asking what it s all about But don t listen to my replies You say to me I don t talk enough But when I do I m a fool These times I ve spent I ve realized I m going to shoot through And leave you The things you say Your purple prose just gives you away The things you say Before I love you more The things you say Your purple prose just gives you away You re unbelievable You re so unbelievable You re unbelievable It s unbelievable You re unbelievable'
7,More Than Words,Extreme,1991,b' Saying I love you Is not the words I want to hear from you It s not that I want you Not to say but if you only knew How easy it would be to show me how you feel More than words is all you have to do to make it real Then you wouldn t have to say that you love me Cause I d already know What would you do if my heart was torn in two More than words to show you feel That your love for me is real What would you say if I took those words away Then you couldn t make things new Just by saying I love you More than words Now that I ve tried to talk to you and make you understand All you have to do is close your eyes And just reach out your hands and touch me Hold me close don t ever let me go More than words is all I ever needed you to show Then you wouldn t have to say that you love me Cause I d already know What would you do if my heart was torn in two More than words to show you feel That your love for me is real What would you say if I took those words away Then you couldn t make things new Just by saying I love you More than words More than words More than words More than words More than words'
8,I Like the Way (The Kissing Game),Hi-Five,1991,b' All summer long We ve been together And I never felt so good Cause when I m with you You re such a good time And when you get next to me You make my heartbeat fast You throw me bad when you smile And when we re alone I know we re in love Cause I can t get enough Cause You kiss me when we re playing the kissing game You keep me looking forward to another day We ve got it good We have it all it seems We re living dream yeah This is our time This wasn t meant to be Just you and me This is still new We re still young in heart And breaking too But I know our love will always be there You kiss me when we re playing the kissing game You keep me looking forward to another day baby Yeah Keep me looking forward to another day Another day Oh I like The way you make me feel baby I like the way the way you love me baby You kiss me when we re playing the kissing game You keep me looking forward to another day You kiss me when we re playing the kissing game You keep me looking forward to another day I like the way I like the way Love the way you hold me in your arms I like the way I like the way Love the way you kiss me baby I like the way I like the way I like the way I like the way I like the way I like the way I like the way I like the way I like the way we kiss I like the way I like the way Let me touch you and squeeze you I like the way I like the way That s all I gotta say'
9,The First Time,Surface,1991,b' You know I won t forget the times We shared together holding hands And walking in the park Sometimes we ll have to do it all again We were so happy then I ve no regrets Can t you tell from The look on my face That I love you more today The first time I looked into your eyes I cried Do you remember the first time We fell in love You looked into my eyes Wiped the tears away The first time When we fell in love Although some time has passed I still remember Just like it was yesterday The time is moving fast The love I have for you Time won t ever change I always feel the same Now until the end Memories we share Will live forever Deep inside my heart I know I ll never forget Oh when we fell in love'
10,Baby Baby,Amy Grant,1991,b' Baby baby I m taken with the notion To love you with the sweetest of devotion Baby baby My tender love will flow from The bluest sky to the deepest ocean Stop for a minute Baby I m so glad you re mine yeah You re mine Baby baby The stars are shining for you And just like me I m sure that they adore you Baby baby Go walking through the forest The birds above are singing you a chorus Stop for a minute Baby they re so glad you re mine yeah And ever since the day you put my heart in motion Baby I realize that there s just no getting over you Baby baby In any kind of weather I m here for you always and forever Baby baby No muscle man could sever My love for you is true and it will never Stop for a minute Baby I m so glad you re mine yeah And ever since the day you put my heart in motion Baby I realize that there s just no getting over you'
