Rank,Song,Artist,Year,Lyrics
1,The Sign,Ace of Base,1994,b' Whoa oh yeah I gotta new life You would hardly recognize me I m so glad How could a person like me care for you Why do I bother When you re not the one for me Ooh is enough enough I saw the sign and it opened up my eyes I saw the sign Life is demanding without understanding I saw the sign and it opened up my eyes I saw the sign No one s gonna drag you up to get into the light where you belong But where do you belong Under the pale moon For so many years I ve wondered who you are How could a person like you bring me joy Under the pale moon Where I see a lot of stars Ooh is enough enough I saw the sign and it opened up my eyes I saw the sign Life is demanding without understanding I saw the sign and it opened up my eyes I saw the sign No one s gonna drag you up to get into the light where you belong But where do you belong Oh oh oh I saw the sign and it opened up my mind And I am happy now living without you I ve left you oh oh OH I saw the sign and it opened up my eyes I saw the sign No one s gonna drag you up to get into the light where you belong I saw the sign i saw the sign And it opened up my eyes I saw the sign '
2,I Swear,All-4-One,1994,b' I swear by the moon And the stars in the sky And I swear like the shadow that s by your side I see the questions in your eyes I know what s weighing on your mind You can be sure I know my part Cause I stand beside you through the years You ll only cry those happy tears And though I make mistakes I ll never break your heart And I swear by the moon And the stars in the sky I ll be there I swear like the shadow that s by your side I ll be there for better or worse Till death do us part I ll love you with every beat of my heart And I swear Oooh I ll give you everything I can I ll build your dreams with these two hands We ll hang some memories on the walls And when just the two of us are there You won t have to ask if I still care Cause as the time turns the page My love won t age at all And I swear by the moon And the stars in the sky I ll be there I swear like the shadow that s by your side I ll be there for better or worse Til death do us part I ll love you With every beat of my heart and I swear Oh yeah I swear by the moon And the stars in the sky I ll be there I swear like the shadow that s by your side I ll be there For better or worse Till death do us part I ll love you With every single beat of my heart I swear I swear Oh I swear'
3,I'll Make Love to You,Boyz II Men,1994,b' Close your eyes make a wish And blow out the candlelight For tonight is just your night We re gonna celebrate all through the night Pour the wine light the fire Girl your wish is my command I submit to your demands I will do anything girl you need only ask I ll make love to you Like you want me to And I ll hold you tight Baby all through the night I ll make love to you When you want me to And I will not let go Til you tell me to Girl relax let s go slow I ain t got nowhere to go I m just gonna concentrate on you Girl are you ready It s gonna be a long night Throw your clothes On the floor I m gonna take my clothes off too I made plans to be with you Girl whatever you ask me you know I could do I ll make love to you Like you want me to And I ll hold you tight Baby all through the night I ll make love to you When you want me to And I will not let go Til you tell me to Baby tonight is your night And I will do you right Just make a wish on your night Anything that you ask I will give you the love of your life your life your life I ll make love to you Like you want me to And I ll hold you tight Baby all through the night I ll make love to you When you want me to And I will not let go Til you tell me to I ll make love to you Like you want me to And I ll hold you tight Baby all through the night I ll make love to you When you want me to And I will not let go Til you tell me to '
4,The Power of Love,Céline Dion,1994,b' The whispers in the morning Of lovers sleeping tight Are rolling by like thunder now As I look in your eyes I hold on to your whole body And feel each move you make Your voice is warm and tender A love that I could not forsake Cause I m your lady And you are my man Whenever you reach for me I ll do all that I can Lost is how I m feeling Lying in your arms When the world outside s too much to take That all ends when I m with you Even though there may be times It seems I m far away Never wonder where I am Cause I am always by your side Cause I m your lady And you are my man Whenever you reach for me I ll do all that I can We re heading for something Somewhere I ve never been Sometimes I am frightened but I m ready to learn Of the power of love The sound of your heart beating Made it clear suddenly The feeling that I can t go on Is light years away Cause I m your lady And you are my man Whenever you reach for me I m gonna do all that I can We re heading for something Somewhere I ve never been Sometimes I am frightened but I m ready to learn Of the power of love The power of love The power of love Sometimes I am frightened but I m ready to learn Of the power of love The power of love'
5,Hero,Mariah Carey,1994,b' There s a hero If you look inside your heart You don t have to be afraid Of what you are There s an answer If you reach into your soul And the sorrow that you know Will melt away And then a hero comes along With the strength to carry on And you cast your fears aside And you know you can survive So when you feel like hope is gone Look inside you and be strong And you ll finally see the truth That a hero lies in you It s a long road When you face the world alone No one reaches out a hand for you to hold You can find love If you search within yourself And the emptiness you felt Will disappear And then a hero comes along With the strength to carry on And you cast your fears aside And you know you can survive So when you feel like hope is gone Look inside you and be strong And you ll finally see the truth That a hero lies in you Lord knows Dreams are hard to follow But don t let anyone Tear them away Hold on There will be tomorrow In time You ll find the way And then a hero comes along With the strength to carry on And you cast your fears aside And you know you can survive So when you feel like hope is gone Look inside you and be strong And you ll finally see the truth That a hero lies in you That a hero lies in you That a hero lies in you'
6,Stay (I Missed You),Lisa Loeb,1994,b'You say I only hear what I want to You say I talk so all the time So And I thought what I felt was simple And I thought that I don t belong And now that I am leaving Now I know that I did something wrong cause I missed you Yeah I missed you And you say I only hear what I want to I don t listen hard I don t pay attention to the distance that you re running Or to anyone anywhere I don t understand if you really care I m only hearing negative no no no And so I I turned the radio on I turned the radio up And this woman was singin my song The lover s in love and the other s run away The lover is crying cause the other won t stay Some of us hover when we weep for the other who was Dying since the day they were born Well Well this is not that I think that I m throwing but I m thrown And I thought I d live forever but now I m not so sure You try to tell me that I m clever But that won t take my anyhow or anywhere with you You said that I was naive And I thought that I was strong I thought hey I can leave I can leave Oh but now I know that I was wrong cause I missed you Yeah I missed you You said you caught me cause you want me And one day you d let me go You try to give away a keeper but keep me cause you know you re just so scared to lose And you say Stay And you say I only hear what I want to'
7,Breathe Again,Toni Braxton,1994,b' If I never feel you in my arms again If I never feel your tender kiss again If I never hear I love you now and then Will I never make love to you once again Please understand if love ends Then I promise you I promise you That that I shall never breathe again Breathe again Breathe again That I shall never breathe again Breathe again And I can t stop thinking about About the way things used to be And I can t stop thinking about About the love that you make to me And I can t get you outta my head How in the world will I begin To let you walk right out my life And blow my heart away And I can t stop caring about About the apple of my eye And I can t stop doing without Without the center of my life And I can t get you outta my head And I know I can t pretend That I won t die if you decide You won t see me again If I never feel you in my arms again If I never feel your tender kiss again If I never hear I love you now and then Will I never make love to you once again Please understand if love ends Then I promise you I promise you That that I shall never breathe again Breathe again Breathe again That I shall never breathe again Breathe again And I can t stop thinking about About the way my life would be No I can t stop thinking about How could your love be leavin me And I can t get you outta my mind God knows how hard I tried And if you walk right out my life God knows I d surely die And I can t stop doing without Without the rhythm of my heart No I can t stop doing without For I would surely fall apart And I can t get you outta my mind Cause I know I can t deny it And I would die if you decide You won t see me again If I never feel you in my arms again If I never feel your tender kiss again If I never hear I love you now and then Will I never make love to you once again Please understand if love ends Then I promise you I promise you That that I shall never breathe again Breathe again Breathe again That I shall never breathe again Breathe again'
8,All for Love,Bryan Adams Rod Stewart,1994,b'ENGL All For Love Recorded by Bryan Adams Rod Stewart and Sting Kar made by Cowon MacLeod This song May be used for non commercial purposes only When it s love you give I ll be a man of good faith Then in love you live I ll make a stand I won t break I ll be the rock you can build on Be there when you re old To have and to hold When there s love inside I swear I ll always be strong Then there s a reason why I ll prove to you we belong I ll be the wal that protects you From the wind and the rain From the hurt and the pain Let s make it all for one and all for love Let the one you hold be the one you want The one you need cause when it s all for one it s one for all When there s someone that should know Then just let your feelings show And make it all for one and all for love When it s love you make I ll be the fire in your night Then it s love you take I will defend I will fight I ll be there when you need me When honor s at stake This vow I will make That it s all for one and all for love Let the one be the one you want The one you need cause when it s all for one it s one for all When there s someone that should know Then just let your feelings show And make it all for one and all for love Don t lay our love to rest cause we could stand up to you test We got everything and more than we had planned More than the rivers that run the land We ve got it all in our hands Now it s all for one and all for love Let the one you hold be the one you want The one you need cause when it s all for one it s one for all When there s someone that should know Then just let your feelings show When there s someone that you want When there s someone that you need Let s make it all all for one and all for love'
9,All That She Wants,Ace of Base,1994,b' She leads a lonely life She leads a lonely life When she woke up late in the morning light And the day had just begun She opened up her eyes and thought Oh what a morning It s not a day for work It s a day for catching tan Just lying on the beach and having fun She s going to get you All that she wants is another baby She s gone tomorrow boy All that she wants is another baby yeah All that she wants is another baby She s gone tomorrow boy All that she wants is another baby yeah So if you are in sight and the day is right She s the hunter you re the fox The gentle voice that talks to you won t talk forever It is a night for passion But the morning means goodbye Beware of what is flashing in her eyes She s going to get you All that she wants is another baby She s gone tomorrow boy All that she wants is another baby yeah All that she wants is another baby She s gone tomorrow boy All that she wants is another baby Ahhh ahh All that she wants is another baby She s gone tomorrow boy All that she wants is another baby All that she wants is another baby She s gone tomorrow boy All that she wants is another baby All that she wants All that she wants'
10,Don't Turn Around,Ace of Base,1994,b' I will survive Without you Don t tell me that you wanna leave Whoa whoa whoa whoa Whoa whoa whoa whoa If you wanna leave I won t beg you to stay And if you gotta go darling Maybe it s better that way I m gonna be strong I m gonna gonna be fine Don t worry about this heart of mine Walk out that door see if I care Go on and go but Don t turn around Cause you re gonna see my heart breaking Don t turn around I don t want you seeing me cry Just walk away It s tearing me apart that you re leaving I m letting you go But I won t let you know I won t let you know Whoa whoa whoa whoa Whoa whoa whoa whoa I won t miss your arms around me Holding me tight And if you ever think about me Just know that I ll be alright I m gonna be strong I m gonna gonna be fine Don t worry about this heart of mine I know I ll survive I ll make it through And I ll even learn to live without you Don t turn around Cause you re gonna see my heart breaking Don t turn around I don t want you seeing me cry Just walk away It s tearing me apart that you re leaving I m letting you go But I won t let you know I wish I could scream out loud that I love you I wish I could say to you Don t go As he walks away he feels the pain getting strong People in your life they don t know what s going on Too proud to turn around He s gone Don t turn around Cause you re gonna see my heart breaking Don t turn around I don t want you seeing me cry Just walk away It s tearing me apart that you re leaving I m letting you go Baby don t turn around Whoa whoa whoa whoa Don t turn around Whoa whoa whoa whoa Just walk away Whoa whoa whoa whoa It s tearing me apart that you re leaving I m letting you go Don t turn around Whoa whoa whoa whoa Don t turn around Whoa whoa whoa whoa Just walk away Whoa whoa whoa whoa'
