Rank,Song,Artist,Year,Lyrics
1,Too Close,Next,1998,b' I wonder if she could tell I m hard right now Yeah come on dance for me baby yeah You feel that All right come on don t stop now You done did it come on yeah all right hold on Baby when we re grindin I get so excited Ooh how I like it I try but I can t fight it Oh you re dancin real close plus it s real real slow You re makin it hard for me Oh the songs on you requested You re dancin like you re naked It s almost like we re sexin Yeah boo I like it no I can t deny it But I know you can tell I m excited oh girl Now girl I know you felt it But boo you know I can t help it You know what I wanna do Baby when we re grindin I get so excited Ooh how I like it I try but I can t fight it Oh you re dancin real close plus it s real real slow You know you re makin it hard for me Baby us dancin so close ain t a good idea Cuz I mma want you now and here The way that you shake it on me Makes me want you so bad sexually oh girl Now girl I know you felt it But boo you know I can t help it You know what I wanna do oh yes Baby when we re grindin I get so excited Ooh how I like it I try but I can t fight it Oh you re dancin real close plus it s real real slow You know you re makin it hard for me Baby don t stop Baby when we re grindin I get so excited Ooh how I like it I try but I can t fight it Oh you re dancin real close plus it s real real slow You re makin it hard for me I love when you shake it like that I love when you shake it like that Baby i like it Baby when we re grindin I get so excited Ooh how I like it I try but I can t fight it Oh you re dancin real close plus it s real real slow You re makin it hard for me I like the way you move You re making me want you oh the way you move I like those things you do cause you re a little too close yeah I get so excited Ooh how I like it I try but I can t fight it Oh you re dancin real close plus it s real real slow You re makin it hard for me'
2,The Boy Is Mine,Brandy,1998,b' The boy is mine The boy is mine The boy is mine The boy is mine The boy is mine Excuse me Can I please talk to you for a minute Uh huh Sure You know you look kinda familiar Yeah you do too But I just wanted to know do you know somebody named You know his name Oh yeah definitely I know his name Well I just want to let you that he s mine Huh No no He s mine You need to give it up Had about enough It s not hard to see The boy is mine I m sorry that you Seem to be confused He belongs to me The boy is mine Think its time we got this straight Sit and talk face to face There is no way you could mistake Him for your man are you insane But see I know that you may be Just a bit jealous of me But you re blind if you can t see That his love is all in me See I tried to hesitate I didn t want to say what he told me He said without me he couldn t make it Through the day ain t that a shame But maybe you misunderstood Cause I can t see how he could Wanna change something that s so good All my love was all it took You need to give it up Had about enough It s not hard to see The boy is mine I m sorry that you Seem to be confused He belongs to me The boy is mine Must you do the things you do You keep on acting like a fool You need to know it s me not you And if you didn t know it girl it s true I think that you should realize And try to understand why He is a part of my life I know it s killing you inside You can say what you wanna say What we have you can t take From the truth you can t escape I can tell the real from the fake When will you get the picture You re the past I m the future Get away it s my time to shine If you didn t know the boy is mine You need to give it up Had about enough It s not hard to see The boy is mine I m sorry that you Seem to be confused He belongs to me The boy is mine You need to give it up Had about enough It s not hard to see The boy is mine I m sorry that you Seem to be confused He belongs to me The boy is mine You can t destroy this love I ve found Your silly games I won t allow The boy is mine without a doubt You might as well throw in the towel What makes you think that he wants you When I m the one that brought him to The special place that s in my heart He was my love right from the start You need to give it up Had about enough It s not hard to see The boy is mine I m sorry that you Seem to be confused He belongs to me The boy is mine You need to give it up Had about enough It s not hard to see The boy is mine I m sorry that you Seem to be confused He belongs to me The boy is mine You need to give it up Had about enough It s not hard to see The boy is mine I m sorry that you Seem to be confused He belongs to me The boy is mine'
3,You're Still the One,Shania Twain,1998,b' When I first saw you I saw love And the first time you touched me I felt love And after all this time You re still the one I love Mmm yeah Looks like we made it Look how far we ve come my baby We mighta took the long way We knew we d get there someday They said I bet they ll never make it But just look at us holding on We re still together still going strong You re still the one I run to The one that I belong to You re still the one I want for life You re still the one that I love The only one I dream of You re still the one I kiss goodnight Ain t nothing better We beat the odds together I m glad we didn t listen Look at what we would be missing They said I bet they ll never make it But just look at us holding on We re still together still going strong You re still the one I run to The one that I belong to You re still the one I want for life You re still the one that I love The only one I dream of You re still the one I kiss goodnight You re still the one You re still the one I run to The one that I belong to You re still the one I want for life You re still the one that I love The only one I dream of You re still the one I kiss goodnight I m so glad we made it Look how far we ve come my baby'
4,Truly Madly Deeply,Savage Garden,1998,b' I ll be your dream I ll be your wish I ll be your fantasy I ll be your hope I ll be your love Be everything that you need I ll love you more with every breath Truly madly deeply do I will be strong I will be faithful Cause I m counting on A new beginning a reason for living A deeper meaning yeah I wanna stand with you on a mountain I wanna bathe with you in the sea I wanna lay like this forever Until the sky falls down on me And when the stars are shining Brightly in the velvet sky I ll make a wish send it to heaven Then make you want to cry The tears of joy for all the Pleasure and the certainty That we re surrounded by the Comfort and protection of The highest powers in lonely hours The tears devour you I wanna stand with you on a mountain I wanna bathe with you in the sea I wanna lay like this forever Until the sky falls down on me Oh can you see it baby You don t have to close your eyes Cause it s standing right before you All that you need will surely come I ll be your dream I ll be your wish I ll be your fantasy I ll be your hope I ll be your love Be everything that you need I ll love you more with every breath Truly madly deeply do I wanna stand with you on a mountain I wanna bathe with you in the sea I wanna lay like this forever Until the sky falls down on me'
5,How Do I Live,LeAnn Rimes,1998,b' How do I get through one night without you If I had to live without you What kind of life would that be Oh I I need you in my arms need you to hold You re my world my heart my soul and if you ever leave Baby you would take away everything good in my life And tell me now How do I live without you I want to know How do I breathe without you if you ever go How do I ever ever survive How do I how do I oh how do I live Without you there d be no sun in my sky There would be no love in my life There d be no world left for me And I baby I don t know what I would do I d be lost if I lost you if you ever leave Baby you would take away everything real in my life And tell me now How do I live without you I want to know How do I breathe without you if you ever go How do I ever ever survive How do I how do I oh how do I live Please tell me baby How do I go on if you ever leave Baby you would take away everything I need you with me Baby don t you know that you re everything good in my life And tell me now How do I live without you I want to know How do I breathe without you if you ever go How do I ever ever survive How do I how do I oh how do I live How do I live without you How do I live without you baby How do I live '
6,Together Again,Janet,1998,b' There are times when I look above and beyond There are times when I feel your love around me baby I ll never forget my baby I ll never forget you There are times when I look above and beyond There are times when I feel your love around me baby I ll never forget my baby When I feel that I don t belong Draw my strength from the words when you said Hey it s about you baby Look deeper inside you baby Dream about us together again What I want us together again baby I know we ll be together again cause Everywhere I go every smile I see I know you are there smilin back at me Dancin in moonlight I know you are free Cause I can see your star shinin down on me Good times we ll share again Makes me wanna dance Say it loud and proud All my love s for you Always been a true angel to me now above I can t wait for you to wrap your wings around me baby Oooh wrap them around me baby Sometimes hear you whisperin No more pain No worries will you ever see now baby I m so happy for my baby Dream about us together again What I want us together again baby I know we ll be together again cause Everywhere I go every smile I see I know you are there smilin back at me Dancin in moonlight I know you are free Cause I can see your star shinin down on me Good times we ll share again Makes me wanna dance Say it loud and proud All my love s for you There are times when I look above and beyond There are times when I feel you smile upon me baby I ll never forget my baby What I d give just to hold you close as on earth In heaven we will be together baby Together again my baby Everywhere I go every smile I see I know you are there smilin back at me Dancin in moonlight I know you are free Cause I can see your star shinin down on me Everywhere I go every smile I see I know you are there smilin back at me Dancin in moonlight I know you are free Cause I can see your star shinin down on me'
7,All My Life,K-Ci,1998,b' Baby baby baby baby baby baby baby baby baby baby baby I will never find another lover sweeter than you Sweeter than you And I will never find another lover more precious than you More precious than you Girl you are close to me you re like my mother Close to me you re like my father Close to me you re like my sister Close to me you re like my brother And you are the only one my everything And for you this song I sing And all my life I prayed for someone like you And I thank God that I that I finally found you All my life I prayed for someone like you And I hope that you feel the same way too Yes I pray that you do love me too I said you re all that I m thinking of baby Said I promise to never fall in love with a stranger You re all I m thinking of I praise the Lord above For sending me your love I cherish every hug I really love you And all my life I prayed for someone like you And I thank God that I that I finally found you All my life I prayed for someone like you And I hope that you feel the same way too Yes I pray that you do love me You re all that I ever know When you smile on my face all I see is a glow You turned my life around You picked me up when I was down You re all that I ever know When you smile our face glows You picked me up when I was down Said you re all that I ever know When you smile our face glows You picked me up when I was down And I hope that you feel the same way too Yes I pray that you do love me too And all my life I prayed for someone like you And I thank God that I that I finally found you All my life I prayed for someone like you Yes I pray that you do love me too And all my life I prayed for someone like you And I thank God that I that I finally found you All my life I prayed for someone like you Yes I pray that you do love me too'
8,Candle in the Wind 1997,Elton John,1998,b' Goodbye England s rose May you ever grow in our hearts You were the grace that placed itself Where lives were torn apart You called out to our country And you whispered to those in pain Now you belong to heaven And the stars spell out your name And it seems to me you lived your life Like a candle in the wind Never fading with the sunset When the rain set in And your footsteps will always fall here Along England s greenest hills Your candle s burned out long before Your legend ever will Loveliness we ve lost These empty days without your smile This torch we ll always carry For our nation s golden child And even though we try The truth brings us to tears All our words cannot express The joy you brought us through the years And it seems to me you lived your life Like a candle in the wind Never fading with the sunset When the rain set in And your footsteps will always fall here Along England s greenest hills Your candle s burned out long before Your legend ever will Goodbye England s rose May you ever grow in our hearts You were the grace that placed yourselves Where lives were torn apart Goodbye England s rose From a country lost without your soul Who ll miss the wings of your compassion More than you will ever know And it seems to me you lived your life Like a candle in the wind Never fading with the sunset When the rain set in And your footsteps will always fall here Along England s greenest hills Your candle s burned out long before Your legend ever will And your footsteps will always fall here Along England s greenest hills Your candle s burned out long before Your legend ever will'
9,Nice & Slow,Usher,1998,b' What you doing Really You know I m coming over right Now you got it hot for me already baby Okay Be there in about Uh give me ten minutes Be ready Hey wear that little thing I like yeah It s seven o clock on the dot I m in my drop top cruising the streets I got a real pretty pretty little thing that s waiting for me I pull up anticipating Good love don t keep me waiting I got plans to put my hands in places I never seen girl you know what I mean Let me take you to a place nice and quiet There ain t no one there to interrupt ain t gotta rush I just wanna take it nice and slow See I ve been waiting for this for so long We ll be making love until the sun comes up baby I just wanna take it nice and slow Now here we are driving round town Contemplating where I m gonna lay you down Girl you got me saying my my my I wish that I could pull over And get this thing started right now I wanna do something freaky to you baby I don t think they heard me I I wanna do something freaky to you baby So call out my name They call me U S H E R R A Y M O N D Now baby tell me what you wanna do with me Got a nigga feenin like Jodeci Every time that you roll with me holding me Trying to get control of me nice and slowly You know never letting go never messing up the flow This is how the hook go come on Let me take you to a place nice and quiet There ain t no one there to interrupt ain t gotta rush I just wanna take it nice and slow See I ve been waiting for this for so long We ll be making love until the sun comes up baby I just wanna take it nice and slow Now tell me do you wanna get freaky Cause I ll freak you right I will I ll freak you right I will I ll freak you like no one has ever ever made you feel I ll freak you right I will I ll freak you right I will I ll freak you freak you like no one has ever made you feel yeah Now baby tell me what you wanna do with me Now baby tell me what you wanna do with me '
10,I Don't Want to Wait,Paula Cole,1998,b' So open up your morning light And say a little prayer for I You know that if we are to stay alive Then see the peace in every eye Doo doo doo doooo Doo doo doo doooo Doo doo doo doo doooo Doo doo doo doooo Doo doo doo doooo Doo doo doo doo doooo She had two babies one was six months one was three In the war of 44 Every telephone ring every heartbeat stinging When she thought it was God calling her Oh would her son grow to know his father I don t want to wait for our lives to be over I want to know right now what will it be I don t want to wait for our lives to be over Will it be yes or will it be sorry Doo doo doo doooo Doo doo doo doooo Doo doo doo doo doooo He showed up all wet on the rainy front step Wearing shrapnel in his skin And the war he saw lives inside him still It s so hard to be gentle and warm The years pass by and now he has granddaughters I don t want to wait for our lives to be over I want to know right now what will it be I don t want to wait for our lives to be over Will it be yes or will it be Ohhh so look at me from across the room You re wearing your anguish again Believe me I know the feeling It sucks you into the jaws of anger Ohhh so breathe a little more deeply All we have is this very moment And I don t want to do what his father And his father and his father did I want to be here now So open up your morning light And say a little prayer for I You know that if we are to stay alive Then see the peace in every eye I don t want to wait for our lives to be over I want to know right now what will it be I don t want to wait for our lives to be over Will it be yes or will it be I don t want to wait for our lives to be over I want to know right now what will it be I don t want to wait for our lives to be over Will it be yes or will it be sorry Doo doo doo doooo Doo doo doo doooo Doo doo doo doo doooo Doo doo doo doooo Doo doo doo doooo Doo doo doo doo doooo So open up your morning light And say a little prayer for I You know that if we are to stay alive Then see the love in every eye'
