Rank,Song,Artist,Year,Lyrics
1,Silly Love Songs,Wings,1976,"b""You'd think that people would've had enough of silly love songs\nBut I look around me and I see it isn't so\nSome people want to fill the world with silly love songs\nAnd what's wrong with that?\nI'd like to know 'cause here I go again\nI love you\nI love you\nI love you\nI love you\nI can't explain the feeling's plain to me \nNow can't you see?\nAh she gave me more she gave it all to me \nNow can't you see?\nWhat's wrong with that?\nI need to know 'cause here I go again\nI love you\nI love you\nLove doesn't come in a minute\nSometimes it doesn't come at all\nI only know that when I'm in it\nIt isn't silly\nLove isn't silly\nLove isn't silly at all\nHow can I tell you about my loved one?\nHow can I tell you about my loved one?\nHow can I tell you about my loved one? \nHow can I tell you about my loved one? \nI love you\nI love you\nI love you\n(I can't explain the feeling's plain to me\nSay can't you see?)\nI love you\n(Ah he gave me more he gave it all to me\nSay can't you see?)\nI love you\n(I can't explain the feeling's plain to me\nSay can't you see?)\n{How can I tell you about my loved one?}\nI love you\n(Ah he gave me more he gave it all to me\nSay can't you see?)\n{How can I tell you about my loved one?}\nI love you\n(I can't explain the feeling's plain to me\nSay can't you see?)\n{How can I tell you about my loved one?}\nI love you\n(Ah he gave me more he gave it all to me\nSay can't you see?)\n{How can I tell you about my loved one?}\nYou'd think that people would've had enough of silly love songs\nBut I look around me and I see it isn't so oh no\nSome people want to fill the world with silly love songs\nAnd what's wrong with that?"""
2,Don't Go Breaking My Heart,Elton John,1976,"b""Don't go breaking my heart\nI couldn't if I tried\nOh honey if I get restless\nBaby you're not that kind\nDon't go breaking my heart\nYou take the weight off of me\nOh honey when you knock on my door\nOoh I gave you my key\nOoh nobody knows it\nWhen I was down\nI was your clown\nOoh nobody knows it \nRight from the start\nI gave you my heart\nOh I gave you my heart\nSo don't go breaking my heart\nI won't go breaking your heart\nDon't go breaking my heart\nAnd nobody told us\nBecause nobody showed us\nAnd now it's up to us babe\nOh I think we can make it\nSo don't misunderstand me\nYou put the light in my life\nOh you put the spark to the flame\nI've got your heart in my sights\nOoh nobody knows it\nWhen I was down\nI was your clown\nOoh nobody knows it \nRight from the start\nI gave you my heart\nOh I gave you my heart\nDon't go breaking my heart\nI won't go breaking your heart\nDon't go breaking my heart\nOoh nobody knows it\nWhen I was down\nI was your clown\nRight from the start\nI gave you my heart\nOh I gave you my heart\nDon't go breaking my heart\nI won't go breaking your heart\nDon't go breaking my\nDon't go breaking my\nDon't go breaking my heart\nDon't go breaking my\nDon't go breaking my\nI won't go breaking your heart\nDon't go breaking my heart\nDon't go breaking my\nI won't go breaking your heart\nDon't go breaking my heart\nDon't go breaking my\nI won't go breaking your heart\nDon't go breaking my heart\nDon't go breaking my\nI won't go breaking your heart\nDon't go breaking my heart\nDon't go breaking my\nI won't go breaking your heart\nDon't go breaking my heart\nDon't go breaking my\nI won't go breaking your heart\nDon't go breaking my heart"""
3,Disco Lady,Johnnie Taylor,1976,"b""Shake it up shake it down\nMove it in move it round disco lady\nMove it in move it out\nMove it in and about disco lady\nShake it up shake it down\nMove it in move it around disco lady\nHey sexy lady\nSaid I like the way\nYou move your thang\nLord have mercy girl\nYou dance so fine\nAnd you're right on time\nGirl you ought to be on TV on Soul Train\nWhen you get the groove\nIt ain't no stopping\nJust can't help it\nBut I'm I'm finger pop-ping\nShake it up shake it down\nMove it in move it round disco lady\nMove it in move it out\nMove it in and about disco lady\nShake it baby shake it\nBaby shake your thang\nShake it baby shake it\nBaby shake your thang\nYou got me grooving\nI feel like moving\nYou got me loving\nCan't sit still\nI'm grooving\nI like that funky stuff\nShake it up shake it down\nMove it in move it round disco lady\nShove it in move it out\nMove it in and about disco lady\nHey sexy lady\nGirl you drive me crazy\nYou dance so fine\nAnd you're right on time\nGirl you're driving me out of my mind\nIf it wasn't for the girl\nSitting next to me\nI'd jump right up and out-ta my safety seat\nYou got me hypnotized\nSoul mesmo-ized\nGirl you're moving me\nGirl you're groovin' me\nShake it baby shake it\nShake it baby shake it\nShake it baby shake it\nShake it baby shake it\nShake it baby shake it\nShake it baby shake it\nShake it baby shake it\nShake it baby shake it\nShake it up shake it down\nMove it in move it round disco lady\nMove it in move it out\nShove it in and about disco lady\nShake it up shake it down\nMove it in move it round disco lady\nMove it in move it out\nShove it in and about disco lady\nShake it up shake it down\nMove it in move it round disco lady"""
4,December 1963 (Oh What a Night),The Four Seasons,1976,"b""Oh what a night\nLate December back in '63\nWhat a very special time for me\nAs I remember what a night\nOh what a night\nYou know I didn't even know her name\nBut I was never gonna be the same\nWhat a lady what a night\nOh I\nI got a funny feeling when she walked in the room\nAnd I\nAs I recall it ended much too soon\nOh what a night\nHypnotizing mesmerizing me\nShe was everything I dreamed she'd be\nSweet surrender what a night\nAnd I felt a rush like a rolling bolt of thunder\nSpinning my head around and taking my body under\nOh what a night\nOh I\nI got a funny feeling when she walked in the room\nAnd I\nAs I recall it ended much too soon\nOh what a night\nWhy'd it take so long to see the light?\nSeemed so wrong but now it seems so right\nWhat a lady what a night\nAnd I felt a rush like a rolling bolt of thunder\nSpinning my head around and taking my body under\nOh what a night\n Oh what a night\n Oh what a night\n Oh what a night\n Oh what a night\n Oh what a night\n Oh what a night\n Oh what a night"""
5,Play That Funky Music,Wild Cherry,1976,"b""Hey do it now\nYeah hey\nHey once I was a boogie singer\nPlayin' in a Rock and Roll Band\nI never had no problems yeah\nBurnin' down the one night stands\nAnd everything around me yeah\nGot to stop to feelin' so low\nAnd I decided quickly \nTo disco down and check out the show\nYeah they was dancin' and singin' and movin' to the groove\nAnd just when it hit me somebody turned around and shouted:\nPlay that funky music white boy\nPlay that funky music right\nPlay that funky music white boy\nLay down the boogie and play that funky music till you die\n'Til you die\nOh ya ya\nI tried to understand this\nI thought that they were out of their minds\nHow could I be so foolish \nTo not see I was the one behind\nSo still I kept on fighting\nWell losing every step of the way\nI said I must go back there \nAnd check to see if things still the same\nYeah they was dancin' and singin' and movin' to the groovin'\nAnd just when it hit me somebody turned around and shouted\nPlay that funky music white boy\nPlay that funky music right\nPlay that funky music white boy\nLay down the boogie and play that funky music till you die\n'Til you die ya\n'Til you die\nNow first it wasn't easy\nChangin' Rock and Roll and minds\nAnd things were getting shaky\nI thought I'd have to leave it behind\nBut now it's so much better \nI'm funking out in every way\nBut I'll never lose that feelin' \nOf how I learned my lesson that day\nWhen they were dancin' and singin' and movin' to the groovin'\nAnd just when it hit me somebody turned around and shouted\nPlay that funky music white boy\nPlay that funky music right\nPlay that funky music white boy\nLay down the boogie and play that funky music till you die\n'Til you die\nOh' till you die\nThey shouted play that funky music\nPlay that funky music\nPlay that funky music\nPlay that funky music\nPlay that funky music white boy\nPlay that funky music right yeah\nPlay that funky music white boy\nPlay that funky music right\nPlay that funky music white boy\nPlay that funky music right"""
6,Kiss and Say Goodbye,The Manhattans,1976,"b"":\nThis has got to be the saddest day of my life\nI called you here today for a bit of bad news\nI won't be able to see you anymore\nBecause of my obligations and the ties that you have\nWe've been meeting here everyday\nAnd since this is our last day together\nI wanna hold you just one more time\nWhen you turn and walk away don't look back\nI wanna remember you just like this\nLet's just kiss and say goodbye}\n:\nI had to meet you here today\nThere's just so many things to say\nPlease don't stop me 'till I'm through\nThis is somethin' I hate to do\nWe've been meeting here so long\nI guess what we done oh was wrong\nPlease darlin' don't you cry\nLet's just kiss and say goodbye\nMany months have passed us by\nI'm gonna miss you I can't lie\nI've got ties and so do you\nI just think this is the thing to do\nIt's gonna hurt me I can't lie\nMaybe you'll meet you'll meet another guy\nUnderstand me oh won't you try try try try try try try?\nLet's just kiss an' say goodbye\nI'm gonna miss you I can't lie\nUnderstand me oh won't you try?\nIt's gonna hurt me I can't lie\nTake my handkerchief an' wipe your eyes\nMaybe you'll find you'll find another guy\nWell let's kiss and say goodbye pretty baby\nPlease don't you cry\nUnderstand me oh won't you try?\nLet's just kiss and say goodbye"""
7,Love Machine,The Miracles,1976,"b""Oh yeah\nI'm just a love machine\nAnd I won't work for nobody but you\nI'm just a love machine\nA hugging kissing fiend\nI think it's high time you knew\nWhenever I think of you\nMy mind blows a fuse\nWhen I look in your eyes\nMy meter starts to rise\nAnd I become confused\nMy motor cranked electric goes\nWhen I'm sitting next to you\nElectricity starts to flow\nAnd my indicator starts to glow\nI'm just a love machine\nAnd I won't work for nobody but you\nI'm just a love machine\nA hugging kissing fiend\nLa la la la la\nLa la la la la la\nLa la la la la\nLa la la la la la\nI'm just a love machine\nAnd I won't work for nobody but you\nI'm just a love machine\nA hugging kissing fiend\nI'm gentle as a lamb\nI'm not that hard to program\nThere's no way that you can lose\nChassis fits like a glove\nI've got a button for love\nThat you've got to use\nIf you look into my power\nI am sure you can find out how\nTo turn me on just set my dial\nAnd let me love you for a little while ooh\nI'm just a love machine\nAnd I won't work for nobody but you\nI'm just a love machine\nA hugging kissing fiend\nLa la la la la\nLa la la la la la\nLa la la la la\nLa la la la la la\nPush it push it bab\nYeah ah ah\nI'm just a love machine\nAnd I won't work for nobody but you\nI'm just a love machine\nA hugging kissing fiend\nI'm just a love machine\nAnd I won't work for nobody but you\nI'm just a love machine\nA hugging kissing fiend\nOh yeah\nLove machine\nEarth quacking\nSole shaking\nLove machine\nAnd I won't work for nobody but you\nLove machine\nEarth quacking sole shaking\nLove machine\nAnd I won't work for nobody but you\nOh yeah\nLove machine\nEarth quacking sole shaking\nLove machine\nAnd I won't work for nobody but you\nLove machine\nEarth quacking\nSole shaking\nLove machine\nAnd I won't work for nobody but you"""
8,50 Ways to Leave Your Lover,Paul Simon,1976,"b'The problem is all inside your head\nShe said to me\nThe answer is easy if you\nTake it logically\nI\'d like to help you in your struggle\nTo be free\nThere must be fifty ways\nTo leave your lover\nShe said it\'s really not my habit\nTo intrude\nFurthermore I hope my meaning\nWon\'t be lost or misconstrued\nBut I\'ll repeat myself\nAt the risk of being crude\nThere must be fifty ways\nTo leave your lover\nFifty ways to leave your lover\nYou Just slip out the back Jack\nMake a new plan Stan\nYou don\'t need to be coy Roy\nJust get yourself free\nHop on the bus Gus\nYou don\'t need to discuss much\nJust drop off the key Lee\nAnd get yourself free\nOoh just slip out the back Jack\nMake a new plan Stan\nYou don\'t need to be coy Roy\nJust listen to me\nHop on the bus Gus\nYou don\'t need to discuss much\nJust drop off the key Lee\nAnd get yourself free\nShe said it grieves me so\nTo see you in such pain\nI wish there was something I could do\nTo make you smile again\nI said: ""I appreciate that\nAnd would you please explain\nAbout the 50 ways""\nShe said why don\'t we both\nJust sleep on it tonight\nAnd I believe in the morning\nYou\'ll begin to see the light\nAnd then she kissed me\nAnd I realized she probably was right\nThere must be fifty ways\nTo leave your lover\nFifty ways to leave your lover\nJust slip out the back Jack\nMake a new plan Stan\nYou don\'t need to be coy Roy\nJust get yourself free\nOh you hop on the bus Gus\nYou don\'t need to discuss much\nJust drop off the key Lee\nAnd get yourself free\nSlip out the back Jack\nMake a new plan Stan\nYou don\'t need to be coy Roy\nJust listen to me\nHop on the bus Gus\nYou don\'t need to discuss much\nJust drop off the key Lee\nAnd get yourself free'"
9,Love Is Alive,Gary Wright,1976,"b""Well I think it's time to get ready\nTo realize just what I have found\nI have lived only half of what I am\nIt's all clear to me now\nMy heart is on fire\nMy soul's like a wheel that's turnin'\nMy love is alive\nMy love is alive yeah girl yeah\nThere's something inside that's making me crazy\nI'll try to keep it together\n'Cause what I say may not happen the same way\nNow could be forever\nMy heart is on fire\nMy soul's like a wheel that's turnin'\nMy love is alive\nMy love is alive yeah girl yeah\nMy love is alive\nWoo hoo my love is alive\nThere's a mirror moving inside my mind\nReflecting the love that you shine on me\nHold on now to that feeling\nLet it flow let it grow yeah yeah\nMy heart is on fire\nMy soul's like a wheel that's turnin'\nMy love is alive\nMy love is alive yeah girl yeah\nMy love is alive\nWoo hoo my love is alive\nWoo hoo my love is alive\nMy love is alive\nWoo hoo my love is alive\nWoo hoo my love is alive\nWoo hoo my love is alive\nWoo hoo"""
10,A Fifth of Beethoven,Walter Murphy,1976,b''
