Rank,Song,Artist,Year,Lyrics
1,Shadow Dancing,Andy Gibb,1978,"b""You got me looking at that heaven in your eyes\nI was chasing your direction I was telling you no lies\nAnd I was loving you\nWhen the words are said baby I lose my head\nAnd in a world of people there's only you and I\nThere ain't nothing come between us in the end\nHow can I hold you when you ain't even mine?\nOnly you can see me through\nI leave it up to you\nDo it light taking me through the night\nShadow dancing baby you do it right uh-huh\nGive me more drag me across the floor\nShadow dancing all this and nothing more\nAll that I need is just one moment in your arms\nI was chasing your affection I was doing you no harm\nAnd I was loving you\nMake it shine make it rain baby I know my way\nI need that sweet sensation of living in your love\nI can't breath when you're away it pulls me down\nYou are the question and the answer am I\nOnly you can see me through\nI leave it up to you\nDo it light taking me through the night\nShadow dancing baby you do it right\nGive me more drag me across the floor\nShadow dancing all this and nothing more\nAnd in this world of people there's only you and I\nThere ain't nothing come between us in the end\nHow can I hold you when you ain't even mine?\nOnly you can see me through\nI leave it up to you oh\nDo it light taking me through the night\nShadow dancing baby you do it right\nGive me more drag me across the floor\nShadow dancing all this and nothing more\nDo it light taking me through the night\nShadow dancing baby you do it right\nGive me more drag me across the floor\nShadow dancing all this and nothing more\nDo it light taking me through the night\nShadow dancing baby you do it right\nGive me more drag me across the floor\nShadow dancing all this and nothing more\nDo it light taking me through the night\nShadow dancing baby you do it right\nGive me more drag me across the floor\nShadow dancing all this and nothing more"""
2,Night Fever,Bee Gees,1978,"b""Listen to the ground\nThere is movement all around\nThere is something goin' down\nAnd I can feel it\nOn the waves of the air\nThere is dancin' out there\nIf it's somethin' we can share\nWe can steal it\nAnd that sweet city woman\nShe moves through the light\nControlling my mind and my soul\nWhen you reach out for me\nYeah and the feelin' is right\nThen I get night fever night fever\nWe know how to do it\nGimme that night fever night fever\nWe know how to show it\nHere I am\nPrayin' for this moment to last\nLivin' on the music so fine\nBorne on the wind\nMakin' it mine\nNight fever night fever\nWe know how to do it\nGimme that night fever night fever\nWe know how to show it\nIn the heat of our love\nDon't need no help for us to make it\nGimme just enough to take us to the mornin'\nI got fire in my mind\nI got higher in my walkin'\nAnd I'm glowin' in the dark\nI give you warnin'\nAnd that sweet city woman\nShe moves through the light\nControlling my mind and my soul\nWhen you reach out for me\nYeah and the feelin' is right\nThen I get night fever night fever\nWe know how to do it\nGimme that night fever night fever\nWe know how to show it\nHere I am\nPrayin' for this moment to last\nLivin' on the music so fine\nBorne on the wind\nMakin' it mine\nNight fever night fever\nWe know how to do it\nGimme that night fever night fever\nWe know how to show it\nNight fever night fever\nWe know how to do it\nGimme that night fever night fever\nWe know how to show it\nNight fever night fever\nWe know how to do it"""
3,You Light Up My Life,Debby Boone,1978,"b'So many nights\nI\'d sit by my window\nWaiting for someone\nTo sing me his song\nSo many dreams\nI\'ve kept deep inside me\nAlone in the dark\nBut now you\'ve come along\nAnd you\nLight up my life\nYou give me hope\nTo carry on\nYou light up my days\nAnd fill my nights\nWith song\nRolling at sea\nAdrift on the waters\nCould it be finally\nI\'m turning for home?\nFinally a chance\nTo say ""Hey I love you""\nNever again\nTo be all alone\n x2\nIt can\'t be wrong\nWhen it feels so right\n\'Cause you\nYou light up my life'"
4,Stayin' Alive,Bee Gees,1978,"b""Well you can tell by the way I use my walk\nI'm a woman's man: no time to talk\nMusic loud and women warm\nI've been kicked around since I was born\nAnd now it's all right it's okay\nAnd you may look the other way\nWe can try to understand\nThe New York Times' effect on man\nWhether you're a brother or whether you're a mother\nYou're stayin' alive stayin' alive\nFeel the city breaking and everybody shaking people\nStayin' alive stayin' alive\nAh ha ha ha stayin' alive stayin' alive\nAh ha ha ha stayin' alive\nWe will get low\nWell now I get low and I get high\nAnd if I can't get either I really try\nGot the wings of heaven on my shoes\nI'm a dancing man and I just can't lose\nYou know it's alright it's  OK\nI'll live to see another day\nWe can try to understand\nThe New York Times' effect on man\nWhether you're a brother or whether you're a mother\nYou're stayin' alive stayin' alive\nFeel the city breaking and everybody shaking people\nStayin' alive stayin' alive\nAh ha ha ha stayin' alive stayin' alive\nAh ha ha ha stayin' alive\nLife\xe2\x80\x99s goin' nowhere somebody help me\nSomebody help me yeah\nLife goin' nowhere somebody help me yeah\nI'm stayin' alive\nWell you can tell by the way I use my walk\nI'm a woman's man: no time to talk\nMusic loud and women warm\nI've been kicked around since I was born\nAnd now it's all right it's okay\nAnd you may look the other way\nWe can try to understand\nThe New York Times' effect on man\nWhether you're a brother or whether you're a mother\nYou're stayin' alive stayin' alive\nFeel the city breaking and everybody shaking people\nStayin' alive stayin' alive\nAh ha ha ha stayin' alive stayin' alive\nAh ha ha ha stayin' alive\nLife\xe2\x80\x99s goin' nowhere somebody help me\nSomebody help me yeah\nLife goin' nowhere somebody help me yeah\nI'm stayin' alive\nLife\xe2\x80\x99s goin' nowhere somebody help me\nI'm goin' nowhere\nSomebody help me yeah\nLife goin' nowhere somebody help me yeah\nI'm stayin' alive\nLife goin' nowhere somebody help me\nSomebody help me yeah\nLife goin' nowhere somebody help me yeah\nI'm stayin' alive\nLife goin' nowhere somebody help me\nSomebody help me yeah\nLife goin' nowhere somebody help me yeah\nI'm stayin' alive"""
5,Kiss You All Over,Exile,1978,"b""When I get home babe\nGonna light your fire\nAll day I've been thinkin' about you babe\nYou're my one desire\nGonna wrap my arms around you\nHold you close to me\nOh babe I wanna taste your lips\nI wanna be your fantasy yeah\nDon't know what I'd do without you babe\nDon't know where I'd be\nYou're not just another lover\nNo you're everything to me\nEvery time I'm with you baby\nI can't believe it's true\nWhen you're layin' in my arms\nAnd you do the things you do\nYou can see it in my eyes\nI can feel it in your touch\nYou don't have to say a thing\nJust let me show how much\nI love you\nI need you yeah\nI wanna kiss you all over\nAnd over again\nI wanna kiss you all over\nTill the night closes in\nTill the night closes in\nStay with me lay with me holding me loving me baby\nHere with me near with me feeling you close to me baby\nSo show me show me everything you do\nCause baby no one does it quite like you\nI love you\nI need you yeah\nI wanna kiss you all over\nAnd over again\nI wanna kiss you all over\nTill the night closes in\nTill the night closes in\nTill the night closes in\nTill the night closes in\nTill the night closes in\nTill the night closes in\nTill the night closes in"""
6,How Deep Is Your Love,Bee Gees,1978,"b""I know your eyes in the morning sun\nI feel you touch me in the pouring rain\nAnd the moment that you wander far from me\nI wanna feel you in my arms again\nAnd you come to me on a summer breeze\nKeep me warm in your love\nThen you softly leave\nAnd it's me you need to show\nHow deep is your love?\nHow deep is your love\nHow deep is your love\nI really need to learn\n'Cause we're living in a world of fools\nBreakin\xe2\x80\x99 us down\nWhen they all should let us be\nWe belong to you and me\nI believe in you\nYou know the door to my very soul\nYou're the light in my deepest darkest hour\nYou're my savior when I fall\nAnd you may not think I care for you\nWhen you know down inside\nThat I really do\nAnd it's me you need to show\nHow deep is your love?\nHow deep is your love\nHow deep is your love\nI really need to learn\n'Cause we're living in a world of fools\nBreakin\xe2\x80\x99 us down\nWhen they all should let us be\nWe belong to you and me\nAnd you come to me on a summer breeze\nKeep me warm in your love\nThen you softly leave\nAnd it's me you need to show\nHow deep is your love?\nHow deep is your love\nHow deep is your love\nI really need to learn\n'Cause we're living in a world of fools\nBreakin\xe2\x80\x99 us down\nWhen they all should let us be\nWe belong to you and me\nHow deep is your love\nHow deep is your love\nI really need to learn\n'Cause we're living in a world of fools\nBreakin\xe2\x80\x99 us down\nWhen they all should let us be\nWe belong to you and me\nHow deep is your love\nHow deep is your love\nI really need to learn\n'Cause we're living in a world of fools\nBreakin\xe2\x80\x99 us down\nWhen they all should let us be\nWe belong to you and me"""
7,Baby Come Back,Player,1978,"b""Spendin' all my nights all my money goin' out on the town\nDoin' anythin' just to get you off of my mind\nBut when the mornin' comes I'm right back where I started again\nAnd tryin' to forget you is just a waste of time\nBaby come back any kind of fool could see\nThere was somethin' in everything about you\nBaby come back you can blame it all on me\nI was wrong and I just can't live without you\nAll day long I'm wearin' a mask of false bravado\nTryin' to keep up a smile that hides a tear\nBut as the sun goes down I get that empty feelin' again\nHow I wish to God that you were here\nBaby come back oh baby any kind of fool could see\nThere was somethin' in everything about you\nBaby come back you can blame it all on me\nI was wrong and I just can't live without you oh\nNow that I put it all together oh-oh\nGive me the chance to make you see\nHave you used up all the love in your heart?\nNothing left for me? Ain't there nothing left for me?\nBaby come back oh darling any kind of fool could see\nThere was somethin' in everything about you\nBaby come back listen baby you can blame it all on me\nI was wrong and I just can't live without you\nI was wrong and I just can't live"""
8,(Love Is) Thicker Than Water,Andy Gibb,1978,"b""Love is higher than a mountain\nLove is thicker than water\nYou are this dreamer's only dream\nHeaven's angel devil's daughter\nSay my mind\nShould I go with her on silent nights\nShe'll drive me crazy in the end\nAnd I should leave this paradise\nBut I can't leave her\nWhile I need her more\nThan she needs you\nThat's what I'm living for\nSay my thought\nShould I find out she don't care at all\nShe'll leave me crying in the end\nWandering through the afterglow\nBut I can't leave her\nWhile I need her more\nThan she needs you\nThat's what I'm praying for\nLa la la\nLa la la la la..."""
9,Boogie Oogie Oogie,A Taste of Honey,1978,"b""If you're thinkin' you're too cool to boogie\nBoy oh boy have I got news for you\nEverybody here tonight must boogie\nLet me tell ya you are no exception to the rule\nGet on up on the floor\n'Cause we're gonna boogie oogie oogie\nTill you just can't boogie no more \nBoogie no more\nYou can't boogie no more \nBoogie no more listen to the music\nThere's no time to waste let's get this show on the road\nListen to the music and let your body flow\nThe sooner we begin the longer we've got to groove\nListen to the music and let your body move\nNow get on up on the floor\n'Cause we're gonna boogie oogie oogie\nTill you just can't boogie no more \nBoogie no more\nYou can't boogie no more \nBoogie no more listen to my bass here\nGet down boogie oogie oogie\nGet down boogie oogie oogie\nGet down boogie oogie oogie\nGet down\nBoogie!"""
10,Three Times a Lady,Commodores,1978,"b""Thanks for the times that you've given me\nThe memories are all in my mind\nAnd now that we've come to the end of our rainbow\nThere's something I must say out loud\nYou're once\nTwice\nThree times a lady\nAnd I love you\nYes you're once\nTwice\nThree times a lady\nAnd I love you\nI love you\nYou shared my dreams\nMy joys\nMy pains\nYou made my life worth living for\nAnd if I had to live my life over again dear\nI'd spend each and every moment with you\nYou're once\nTwice\nThree times a lady\nAnd I love you\nYes you're once\nTwice\nThree times a lady\nAnd I love you\nI love you\nWhen we are together\nThe moments I cherish\nWith every beat of my heart\nTo touch you\nTo hold you\nTo feel you\nTo need you\nThere's nothing to keep us apart\nYou're once\nTwice\nThree times a lady\nAnd I love you\nYou're once\nTwice\nThree times a lady\nAnd I love you\nYes you're once\nTwice\nThree times a lady\nAnd I love you\nI love you"""
