Rank,Song,Artist,Year,Lyrics
1,"Something About the Way You Look Tonight / ""Candle in the Wind 1997""",Elton John,1997,b'There was a time I was everything and nothing all in one When you found me I was feeling like a cloud across the sun I need to tell you How you light up every second of the day But in the moonlight You just shine like a beacon on the bay And I can t explain But it s something about the way you look tonight Takes my breath away It s that feeling I get about you deep inside And I can t describe But it s something about the way you look tonight Takes my breath away The way you look tonight With your smile You pull the deepest secrets from my heart In all honesty I m speechless and I don t know where to start And I can t explain But it s something about the way you look tonight Oh it takes my breath away It s that feeling I get about you deep inside And I can t describe But it s something about the way you look tonight Takes my breath away The way you look tonight The way you look tonight The way you look tonight The way you look tonight The way you look tonight The way you look tonight The way you look tonight the way you look tonight The way you look tonight'
2,"Foolish Games / ""You Were Meant for Me""",Jewel,1997,b'You took your coat off and stood in the rain You re always crazy like that And I watched from my window Always felt I was outside looking in on you You re always the mysterious one with Dark eyes and careless hair You were fashionably sensitive But too cool to care You stood in my doorway with nothing to say Besides some comment on the weather Well in case you failed to notice In case you failed to see This is my heart bleeding before you This is me down on my knees and These foolish games are tearing me apart And your thoughtless words are breaking my heart You re breaking my heart You re always brilliant in the morning Smoking your cigarettes and talking over coffee Your philosophies on art Baroque moved you You loved Mozart and you d talk of your loved ones As I clumsily strummed my guitar You d teach me of honest things Things that were daring things that were clean Things that knew what an honest dollar did bring I hid my soiled hands behind my back Somewhere along the line I must ve got Off track with you Well excuse me guess I ve mistaken you for somebody else Somebody who gave a damn Somebody more like myself You took your coat off You stood in the rain You re always crazy like that '
3,I'll Be Missing You,Puff Daddy,1997,b' Every day I wake up I hope I m dreamin I can t believe this shit Can t believe you ain t here Sometimes it s just hard for a nigga to wake up It s just hard to just keep goin It s like I feel empty inside without you bein here I would do anything man to bring you back I d give all this shit shit don t mean nothing I saw your son today he look just like you You was the greatest you ll always be the greatest I miss you B I G Can t wait til that day when I see your face again I can t wait til that day when I see your face again Yeah this right here Goes out to everyone that has lost someone That they truly loved Seems like yesterday we used to rock the show I laced the track you locked the flow So far from hangin on the block for dough Notorious they got to know that Life ain t always what it seem to be Words can t express what you mean to me Even though you re gone we still a team Through your family I ll fulfill your dream In the future can t wait to see If you open up the gates for me Reminisce some time the night they took my friend Try to black it out but it plays again When it s real feelings hard to conceal Can t imagine all the pain I feel Give anythin to hear half your breath I know you still livin your life after death Every step I take every move I make Every single day every time I pray I ll be missin you Thinkin of the day when you went away What a life to take what a bond to break I ll be missin you It s kinda hard with you not around Know you in heaven smilin down Watchin us while we pray for you Every day we pray for you Til the day we meet again In my heart is where I ll keep you friend Memories give me the strength I need to proceed Strength I need to believe My thoughts Big I just can t define Wish I could turn back the hands of time Us in the six shop for new clothes and kicks You and me takin flicks Makin hits stages they receive you on Still can t believe you re gone Give anything to hear half your breath I know you still livin your life after death Every step I take every move I make Every single day every time I pray I ll be missin you Thinkin of the day when you went away What a life to take what a bond to break I ll be missin you Somebody tell me why One glad morning When this life is over I know I ll see your face Every night I pray every step I take Every move I make every single day Every night I pray every step I take Every day that passes Is a day that I get closer Every move I make every single day To seeing you again We miss you B I G Every night I pray every step I take And we won t stop Cause we can t stop Every move I make every single day That s right Every night I pray every step I take Every move I make every single day We miss you B I G Every step I take every move I make Every single day every time I pray I ll be missin you Thinkin of the day when you went away What a life to take what a bond to break I ll be missin you Every step I take every move I make Every single day every time I pray I ll be missin you Thinkin of the day when you went away What a life to take what a bond to break I ll be missin you '
4,Un-Break My Heart,Toni Braxton,1997,b' Don t leave me in all this pain Don t leave me out in the rain Come back and bring back my smile Come and take these tears away I need your arms to hold me now The nights are so unkind Bring back those nights when I held you beside me Un break my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked out of my life Un cry these tears I cried so many nights Un break my heart My heart Take back that sad word goodbye Bring back the joy to my life Don t leave me here with these tears Come and kiss this pain away I can t forget the day you left Time is so unkind And life is so cruel without you here beside me Un break my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked out of my life Un cry these tears I cried so many nights Un break my heart My heart Don t leave me in all this pain Don t leave me out in the rain Bring back the nights when I held you beside me Un break my heart Say you ll love me again Undo this hurt you caused When you walked out the door And walked out of my life Un cry these tears I cried so many many nights Oh un break my Un break my heart oh baby Come back and say you love me Un break my heart sweet darlin Without you I just can t go on Say that you love me say that you love me Tell me you love me un break my heart Say that you love me say that you love me Tell me you love me un break my heart Say that you love me say that you love me Tell me you love me un break my heart Say that you love me say that you love me Tell me you love me un break my heart'
5,Can't Nobody Hold Me Down,Puff Daddy,1997,b' Bad Boy We ain t gon stop Now it s Sean on the hot track melt like it s hot wax Put it out all the stores bet you could shop that Leave a nigga with a hot hat fronting like Bad boy ain t got tracks There s no guy slicker than this young fly nigga Nickel nine nigga floss you die quicker Did fed time outta town pie flipper Turn Cristal into a crooked I sipper Everbody want to be fast see the cash Fuck around they weak staff get a heat rash Anything in bad boy way we smash Hundred G stash push a bulletproof E Class I m through with bein a player and a baller Just want me one bad bitch so I can spoil her Mase wanna be the one you respect even when you re vexed Rock Versace silks over a steel V neck Got green never seen so you suck my jewels Clutch my uz anything I touch I bruise Puff make his own laws nigga fuck your rules Goodfellas you know you can t touch us dudes Don t push us cause we re close to the edge We re tryin not to lose our heads a hah hah hah hah Broken glass everywhere If it ain t about the money Puff I just don t care I m that goodfella fly guy sometimes wiseguys Spend time in H A W A I I Puff why try I m a thug I mma die high I be out in Jersey puffin Hershey Brothers ain t worthy to rock my derby Though I m never drug free when I m the club G Though I know the thug be wantin to slug me Could it be I move as smoove as Bugsy Or be at the bar with too much bubbly Yo I think it must be the girls want to lust me Or is it simply the girls just love me Brothers wanna rock the rolls rock my clothes Rock my ice pull out Glocks stop my life I m like Damn how these niggas got that trife Used to be my man how he gonna plot on my wife Do you think he snake me cause he hate me Or he got his Ph D Player Hatin Degree Can t nobody take my pride Uh uh uh uh Can t nobody hold me down ohh no I got to keep on movin Quit that You a big cat Where your chicks at Where your whips at Wherever you get stacks I mma fix that Everything that s big dreams I did that Don t knock me cause you re boring I m record sales soaring straight touring Simply a lot of men be wantin to hear me Cause their words just don t offend me We spend cheese in the West Indies Then come home to plenty cream Bentleys You name it I could claim it Young black and famous with money hangin out the anus And when you need a hit who you go and get Bet against us We make hits that ll rearrange your whole set And got a Benz that I ain t even drove yet Don t push us cause we re close to the edge We re tryin not to lose our heads a hah hah hah hah I get the feeling sometime it make me wonder Why you wanna take us under I get the feeling sometime it make me wonder Why you wanna take us under Can t nobody take my pride Uh uh uh uh Can t nobody hold me down ohh no I got to keep on movin '
6,I Believe I Can Fly,R. Kelly,1997,b' I used to think that I could not go on And life was nothing but an awful song But now I know the meaning of true love I m leaning on the everlasting arms If I can see it then I can do it If I just believe it there s nothing to it I believe I can fly I believe I can touch the sky I think about it every night and day Spread my wings and fly away I believe I can soar I see me running through that open door I believe I can fly I believe I can fly I believe I can fly See I was on the verge of breaking down Sometimes silence can seem so loud There are miracles in life I must achieve But first I know it starts inside of me ho oh If I can see it then I can be it If I just believe it there s nothing to it I believe I can fly I believe I can touch the sky I think about it every night and day Spread my wings and fly away I believe I can soar I see me running through that open door I believe I can fly I believe I can fly Oh I believe I can fly Hey cause I believe in me Ohhh If I can see it then I can do it If I just believe it there s nothing to it I believe I can fly I believe I can touch the sky I think about it every night and day Spread my wings and fly away I believe I can soar I see me running through that open door I believe I can fly I believe I can fly I believe I can fly Hey if I just spread my wings I can fly I can fly I can fly hey If I just spread my wings I can fly Fly eye eye'
7,Don't Let Go (Love),En Vogue,1997,b' Huhhh uhh yeah yeahh yeahh Oohhh oohh oohh oohh oohh Huhhh uhh uhhhhh Hehhhh ehhhhh ehhhhhhhh ehhhhhh ehhhhh What s it gonna be cause I can t pretend Don t you wanna be more than friends Hold me tight and don t let go You have the right to lose control I often tell myself that we could be More than just friends I know you think that if we move too soon It would all end I live in misery when you re not around And I won t be satisfied till we re taking those vows There ll be some lovemaking heartbreaking soul shaking Oh lovemaking heartbreaking soul shaking What s it gonna be cause I can t pretend Don t you wanna be more than friends Hold me tight and don t let go You have the right to lose control I often fantasize the stars above Are watching you They know my heart and speak to yours like only lovers do If I could wear your clothes I d pretend I was you And lose control There ll be some lovemaking heartbreaking soul shaking Oh lovemaking heartbreaking soul shaking What s it gonna be cause I can t pretend Don t you wanna be more than friends Hold me tight and don t let go You have the right to lose control Running in and out my life Has got me so confused You gotta make the sacrifice Somebody s got to choose We can make it if we try for the sake of you and I Together we can make it right What s it gonna be cause I can t pretend Don t you wanna be more than friends Hold me tight and don t let go You have the right to lose control You ve got the right to lose control Don t let go Don t let go cause I can t pretend What s it gonna be cause I can t pretend Don t you wanna be more than friends Hold me tight and don t let go You have the right to lose control What s it gonna be Don t let go Don t let go Don t you wanna be Don t let go Hold me tight and don t let go'
8,Return of the Mack,Mark Morrison,1997,b' Ooooh oh oh oh Come on Oh yeah Well I tried to tell you so But I guess you didn t know As the saddest story goes Baby now I got the flow Cause I knew it from the start Baby when you broke my heart That I had to come again And show you that I d win You lied to me All those times I said that I loved you You lied to me Yes I tried yes I tried You lied to me Even though you knew I d die for you You lied to me Yes I cried yes I cried Return of the Mack Return of the Mack Return of the Mack You know that I ll be back Return of the Mack Return of the Mack Return of the Mack You know that I ll be back So I m back up in the game Running things to keep my swing Letting all the people know That I m back to run the show Cause what you did you know was wrong And all the nasty things you ve done So baby listen carefully While I sing my comeback song You lied to me Cause she said she d never turn on me You lied to me But you did but you did You lied to me All this pain you said I d never feel You lied to me But I do but I do do do Return of the Mack Return of the Mack Return of the Mack You know that I ll be back Return of the Mack Return of the Mack Return of the Mack You know that I ll be back Ahh Mark stop lying about your big break You lied to me Cause she said she d never turn on me You lied to me But you did but you did You lied to me All this pain you said I d never feel You lied to me But I do but I do do do Return of the Mack Return of the Mack Return of the Mack You know that I ll be back Return of the Mack Return of the Mack Return of the Mack You know that I ll be back Return of the Mack Return of the Mack Return of the Mack You know that I ll be back Return of the Mack Return of the Mack Return of the Mack You know that I ll be back '
9,How Do I Live,LeAnn Rimes,1997,b' How do I get through one night without you If I had to live without you What kind of life would that be Oh I I need you in my arms need you to hold You re my world my heart my soul and if you ever leave Baby you would take away everything good in my life And tell me now How do I live without you I want to know How do I breathe without you if you ever go How do I ever ever survive How do I how do I oh how do I live Without you there d be no sun in my sky There would be no love in my life There d be no world left for me And I baby I don t know what I would do I d be lost if I lost you if you ever leave Baby you would take away everything real in my life And tell me now How do I live without you I want to know How do I breathe without you if you ever go How do I ever ever survive How do I how do I oh how do I live Please tell me baby How do I go on if you ever leave Baby you would take away everything I need you with me Baby don t you know that you re everything good in my life And tell me now How do I live without you I want to know How do I breathe without you if you ever go How do I ever ever survive How do I how do I oh how do I live How do I live without you How do I live without you baby How do I live '
10,Wannabe,Spice Girls,1997,b' Ha ha ha Yo I ll tell you what I want what I really really want So tell me what you want what you really really want I ll tell you what I want what I really really want So tell me what you want what you really really want I wanna I wanna I wanna I wanna I wanna really really really wanna zig a zig ah If you want my future forget my past If you wanna get with me better make it fast Now don t go wasting my precious time Get your act together we could be just fine I ll tell you what I want what I really really want So tell me what you want what you really really want I wanna I wanna I wanna I wanna I wanna really really really wanna zig a zig ah If you wanna be my lover you gotta get with my friends Make it last forever friendship never ends If you wanna be my lover you have got to give Taking is too easy but that s the way it is Whatcha you think about that Now you know how I feel Say you could handle my love are you for real I won t be hasty I ll give you a try If you really bug me then I ll say goodbye Yo I ll tell you what I want what I really really want So tell me what you want what you really really want I wanna I wanna I wanna I wanna I wanna really really really wanna zig a zig ah If you wanna be my lover you gotta get with my friends Make it last forever friendship never ends If you wanna be my lover you have got to give Taking is too easy but that s the way it is So here s a story from A to Z you wanna get with me you gotta listen carefully We got Em in the place who likes it in your face We got G like MC who likes it on a Easy V doesn t come for free she s a real lady And as for me ha you ll see Slam your body down and wind it all around Slam your body down and wind it all around If you wanna be my lover you gotta get with my friends Make it last forever friendship never ends If you wanna be my lover you have got to give Taking is too easy but that s the way it is If you wanna be my lover You gotta you gotta you gotta you gotta you gotta slam slam slam slam Make it last forever Slam your body down and wind it all around Slam your body down and wind it all around Slam your body down and wind it all around Slam your body down and zig a zig ah If you wanna be my lover'
