Rank,Song,Artist,Year,Lyrics
1,"Hanging by a Moment",Lifehouse,2001,b' Desperate for changing Starving for truth I m closer to where I started I m chasing after you I m falling even more in love with you Letting go of all I ve held onto I m standing here until you make me move I m hanging by a moment here with you Forgetting all I m lacking Completely incomplete I ll take your invitation You take all of me now I m falling even more in love with you Letting go of all I ve held onto I m standing here until you make me move I m hanging by a moment here with you I m living for the only thing I know I m running and not quite sure where to go And I don t know what I m diving into Just hanging by a moment here with you There s nothing else to lose There s nothing else to find There s nothing in the world That can change my mind There is nothing else There is nothing else There is nothing else Desperate for changing Starving for truth I m closer to where I started I m chasing after you I m falling even more in love with you Letting go of all I ve held onto I m standing here until you make me move I m hanging by a moment here with you I m living for the only thing I know I m running and not quite sure where to go And I don t know what I m diving into Just hanging by a moment here with you Just hanging by a moment Hanging by a moment Hanging by a moment Hanging by a moment here with you'
2,"Fallin'",Alicia Keys,2001,b' I keep on fallin in and outta love with you Sometimes I love ya sometimes you make me blue Sometimes I feel good at times I feel used Lovin you darlin makes me so confused I keep on fallin in and out Of love with you I never loved someone The way that I love you Oh oh I never felt this way How do you give me so much pleasure And cause me so much pain Just when I think I ve taken more than would a fool I start fallin back in love with you I keep on fallin in and out Of love with you I never loved someone The way that I love you Oh baby I I I I m fallin I I I I m fallin Fall fall fall Fall I keep on fallin in and out Of love with you I never loved someone The way that I love you I m fallin in and out Of love with you I never loved someone The way that I love you I m fallin in and out Of love with you I never loved someone The way that I love you What '
3,"All for You",Janet Jackson,2001,b' All my girls at the party Look at that body Shakin that thing Like you never did see Got a nice package alright Guess I m gonna have to ride it tonight All my girls at the party Look at that body Shakin that thing Like you never did see Got a nice package all right Edit 4 3 2 1 It s all for you If you really want it It s all for you If you say you need it It s all for you If you gotta have it It s all for you if you make a move It s all for you I see you staring out the corner of my eye You seem uneasy want to approach me Throw me a line But then something inside you grabs you says who am I I know exactly cause it happens with all the guys So you do what you gonna do Come on and talk to me Promise you won t even have an attitude I ll let you sit right next to me Don t join the list with these other fools That ain t the way to be Yes it s cool Yes I m in the mood Intimidations got that mind It s all for you If you really want it It s all for you If you say you need it It s all for you If you gotta have it It s all for you if you make a move It s all for you Tell me I m the only one It s all for you Soon we ll be having fun It s all for you Come over here and get some It s all for you if you make a move It s all for you Can t be afraid or keep me waiting for too long Before you know it I ll be outta here I ll be gone Don t try to be all clever cute or even sly Don t have to work that hard Just be yourself and let that be your guide So you do what you gonna do Come on and talk to me by Promise you won t even have an attitude I ll let you sit right next to me Don t join the list with these other fools That ain t the way to be boy Yes it s cool Yes I m in the mood Intimidations got that mind It s all for you If you really want it It s all for you If you say you need it It s all for you If you gotta have it It s all for you if you make a move It s all for you It s all for you Tell me you re the only one It s all for you Soon we ll be having fun It s all for you Come over here and get some It s all for you if you make a move It s all for you All my girls at the party Look at that body Shaking that thing like you never did see Got a nice package alright Guess I m gonna have to ride it tonight All my girls at the party Look at that body Shaking that thing like you never did see Got a nice package alright Guess I m gonna have to ride it tonight It s all for you If you really want it It s all for you If you say you need it It s all for you If you gotta have it It s all for you if you make a move It s all for you All my girls at the party Look at that body Shaking that thing like you never did see Gotta nice package alright Guess I m gonna have to ride tonight All my girls at the party Look at that body Shaking that thing like you never did see Gotta nice package alright Guess I m gonna have to ride tonight It s all for you Tell me you re the only one Soon we ll be having fun Come over here and get some Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Come over here and get some Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Soon You ll be fine Soon we ll be having fun Soon we ll be having fun Soon we ll be having fun Guess I m gonna have to ride Guess I m gonna have to ride tonight Guess I m gonna have to ride Guess I m gonna have to ride Guess I m gonna have to ride tonight Guess I m gonna have to ride'
4,"Drops of Jupiter (Tell Me)",Train,2001,b'2000 1 Breathe by Faith Hill vs 4 I Wanna Know by Joe 2 Smooth by Santana vs 3 Maria Maria by Santana 2001 1 Hanging By A Moment by Lifehouse vs 4 Drops Of Jupiter by Train 2 Fallin by Alicia Keys vs 3 All For You by Janet Jackson 2002 1 How You Remind Me by Nickelback vs 4 Dilemma by Nelly 2 Foolish by Ashanti vs 3 Hot In Herre by Nelly 2003 1 In Da Club by 50 Cent vs 4 Crazy In Love by Beyonc Jay Z 2 Ignition by R Kelly vs 3 Get Busy by Sean Paul 2004 1 Yeah by Usher Lil Jon Ludacris vs 4 This Love by Maroon 5 2 Burn by Usher vs 3 If I Ain t Got You by Alicia Keys 2005 1 We Belong Together by Mariah Carey vs 4 Since U Been Gone by Kelly Clarkson 2 Hollaback Girl by Gwen Stefani vs 3 Let Me Love You by Mario 2006 1 Bad Day by Daniel Powter vs 4 You re Beautiful by James Blunt 2 Temperature by Sean Paul vs 3 Promiscuous by Nelly Furtado Timbaland 2007 1 Irreplaceable by Beyonc vs 4 Big Girls Don t Cry by Fergie 2 Umbrella by Rihanna Jay Z vs 3 The Sweet Escape by Gwen Stefani 2008 1 Low by Flo Rida vs 4 Lollipop by Lil Wayne 2 Bleeding Love by Leona Lewis vs 3 No One by Alicia Keys 2009 1 Boom Boom Pow by The Black Eyed Peas vs 4 I Gotta Feeling by The Black Eyed Peas 2 Poker Face by Lady Gaga vs 3 Just Dance by Lady Gaga 2010 1 Tik Tok by Ke ha vs 4 California Gurls by Katy Perry Snoop Dogg 2 Need You Now by Lady Antebellum vs 3 Hey Soul Sister by Train 2011 1 Rolling In The Deep by Adele vs 4 E T by Katy Perry Kanye West 2 Party Rock Anthem by LMFAO vs 3 Firework by Katy Perry 2012 1 Somebody That I Used To Know by Gotye Kimbra vs 4 Payphone by Maroon 5 2 Call Me Maybe by Carly Rae Jepsen vs 3 We Are Young by fun 2013 1 Thrift Shop by Macklemore Ryan Lewis vs 4 Harlem Shake by Bauuer 2 Blurred Lines by Robin Thicke vs 3 Radioactive by Imagine Dragons 2014 1 Happy by Pharrell Williams vs 4 Fancy by Iggy Azalea Charli XCX 2 Dark Horse by Katy Perry Juicy J vs 3 All Of Me by John Legend 2015 1 Uptown Funk by Mark Ronson Bruno Mars vs 4 Trap Queen by Fetty Wap 2 Thinking Out Loud by Ed Sheeran vs 3 See You Again by Wiz Khalifa Charlie Puth'
5,"I'm Real (Murder Remix)",Jennifer Lopez,2001,b' What s my motherfucking name R U L E Blowin back on this Mary Jane I m analyzin the game And the game done chose me To bring pain to pussy niggas and pussy hoes it s one in the same Ever since you told me There s only room for two I ve been makin less room for you Now only God can hold me Hug me love me judge me The only man that hovers above me holla I met so many men and it s like they re all the same My appetite for loving is now my hunger pain And when I m feeling sexy who s gonna comfort me My only problem is their insecurity Tired of being alone yeah yeah Sick of arguing on the phone yeah yeah Are you telling all your friends yeah yeah That your nigga don t understand my love Cause I m real The way you walk the way you move the way you talk Cause I m real The way you stare the way you look your style your hair Cause I m real The way you smile the way you smell it drives me wild Cause I m real And I can t go on without you Girl I ve been thinkin bout this relationship And I wanna know is this as good as it gets Cause we ve been through the worst times and the best times But it was our time even if it was part time Now they been lookin at me smilin at me laughin like we wasn t happy But not knowin that we re growin and we re gettin married Hard lovin straight thuggin Bitch I ain t doin this shit for nothing I m here to get it poppin hoppin let s ride up in the Benz Hair blowin in the wind sun glistenin off my skin hey I m nasty heh you know me But you still don t fuck with your baby Cause I m real The way you walk the way you move the way you talk Cause I m real The way you stare the way you look your style your hair Cause I m real The way you smile the way you smell it drives me wild Cause I m real And I can t go on without you Now people loving me and hating me treating me ungratefully But not knowing that they ain t making or breaking me My life I live it to the limit and I love it Now I can breathe again baby now I can breathe again Now people screaming what the deal with you and so and so I tell them niggas mind their biz but they don t hear me though Cause I live my life to the limit and I love it Now I could breathe again baby now I could breathe again Tired of being alone yeah yeah Sick of arguing on the phone yeah yeah Are you telling all your friends yeah yeah That your nigga don t understand my love Cause I m real The way you walk the way you move the way you talk Cause I m real The way you stare the way you look your style your hair Cause I m real The way you smile the way you smell it drives me wild Cause I m real And I can t go on without you Cause I m real The way you walk the way you move the way you talk Cause I m real The way you stare the way you look your style your hair Cause I m real The way you smile the way you smell it drives me wild Cause I m real And I can t go on without you'
6,"If You're Gone",Matchbox Twenty,2001,b' I think I ve already lost you I think you re already gone I think I m finally scared now You think I m weak I think you re wrong I think you re already leavin Feels like your hand is on the door I thought this place was an empire Now I m relaxed I can t be sure And I think you re so mean I think we should try I think I could need this in my life and I think I m scared I think too much I know it s wrong it s a problem I m dealin If you re gone Maybe it s time to come home There s an awful lot of breathing room But I can hardly move If you re gone Baby you need to come home There s a little bit of something me In everything in you I bet you re hard to get over I bet the room just won t shine I bet my hands I can stay here And I bet you need more than you mind And I think you re so mean I think we should try I think I could need this in my life I think I m just scared that I know too much I know it s wrong it s a problem I m dealin If you re gone Maybe it s time to come home There s an awful lot of breathing room But I can hardly move If you re gone Baby you need to come home There s a little bit of something me In everything in you I think you re so mean I think we should try I think I could need this in my life and I think I m scared do I talk too much I know it s wrong it s a problem I m dealin If you re gone Then maybe it s time to come home Well there s an awful lot of breathing room But I can hardly move Yeah well if you re gone Hell baby you need to come home There s a little bit of something me In everything in you Something me Everything in Something me In you'
7,"Let Me Blow Ya Mind",Eve,2001,b' Uh uh uh huh Yo yo Drop your glasses shake your asses Face screwed up like you having hot flashes Which one Pick one this one classic Red from blonde yeah bitch I m drastic Why this why that lips stop askin Listen to me baby relax and start passin Expressway hair back weaving through the traffic This one strong should be labeled as a hazard Some of y all niggas hot psych I m gassin Clowns I spot em and I can t stop laughin Easy come easy go E V gon be lastin Jealousy let it go results could be tragic Some of y all ain t writing well too concerned with fashion None of you ain t Giselle cat walk and imagine A lot of y all Hollywood drama casted Cut bitch camera off real shit blast it If I had to give you more it s only been a year Now I ve got my foot through the door and I ain t going nowhere It took a while to get me here and I m gonna take my time Don t fight that good shit in your ear now let me blow ya mind They wanna bank up crank up makes me dizzy Shank up haters wanna come after me You ain t a gangster prankster too much to eat Snakes in my path wanna smile up at me Now why you gritting your teeth Frustration baby you got to breathe Take a lot more than you to get rid of me You see I do what they can t do I just do me Ain t no stress when it comes to stage get what you see Meet me in the lab pen and pad don t believe Huh 16 s mine create my own lines Love for my wordplay that s hard to find Sophomore I ain t scared one of a kind All I do is contemplate ways to make your fans mine Eyes bloodshot stressing chills up your spine Huh sick to your stomach wishing I wrote your rhymes If I had to give you more it s only been a year Now I ve got my foot through the door and I ain t going nowhere It took a while to get me here and I m gonna take my time Don t fight that good shit in your ear now let me blow ya mind Let your bones crack Your back pop I can t stop Excitement Glock shots from your stash spot Fuck it thugged out I respect the cash route Glocked down blasters sets while I mash out Yeah nigga mash out D R E huh Backtrack make that E V E Do you like that You got to I know you Had you in a trance first glance from the floor too Don t believe I ll show you take you with me Turn you on tension gone give you relief Put your trust in a bomb when you listen to me Damn she much thinner know now I m complete Still stallion brick house pile it on Ryde or Die bitch double R came strong Beware cause I crush anything I land on Me here ain t no mistake nigga it was planned on If I had to give you more it s only been a year Now I ve got my foot through the door and I ain t going nowhere It took a while to get me here and I m gonna take my time Don t fight that good shit in your ear now let me blow ya mind'
8,"Thank You",Dido,2001,b' My tea s gone cold I m wondering why I got out of bed at all The morning rain clouds up my window And I can t see at all And even if I could it d all be grey But your picture on my wall It reminds me that it s not so bad It s not so bad I drank too much last night got bills to pay My head just feels in pain I missed the bus and there ll be hell today I m late for work again And even if I m there they ll all imply That I might not last the day And then you call me And it s not so bad it s not so bad And I want to thank you For giving me the best day of my life Oh just to be with you Is having the best day of my life Push the door I m home at last And I m soaking through and through Then you handed me a towel And all I see is you And even if my house falls down now I wouldn t have a clue Because you re near me And I want to thank you For giving me the best day of my life Oh just to be with you Is having the best day of my life And I want to thank you For giving me the best day of my life Oh just to be with you Is having the best day of my life'
9,"Again",Lenny Kravitz,2001,b' I ve been searching for you I heard a cry within my soul I ve never had a yearning quite like this before Know that you are walking right through my door All of my life Where have you been I wonder if I ll ever see you again And if that day comes I know we could win I wonder if I ll ever see you again A sacred gift of heaven For better worse wherever And I would never let somebody break you down Until you cried never All of my life Where have you been I wonder if I ll ever see you again And if that day comes I know we could win I wonder if I ll ever see you again At every time I ve always known That you were there Upon your throne A lonely queen without her king I longed for you My love forever All of my life Where have you been I wonder if I ll ever see you again And if that day comes I know we could win I wonder if I ll ever see you again All of my life Where have you been I wonder if I ll ever see you again And if that day comes I know we could win I wonder if I ll ever see you again All of my life Where have you been I wonder if I ll ever see you again And if that day comes I know we could win I wonder if I ll ever see you again I wonder if I ll ever see you again I wonder if I ll ever see you again I wonder if I ll ever see you again I wonder if I ll ever see you again I wonder if I ll ever see you again I wonder if I ll ever see you again I wonder if I ll ever see you again'
10,"Independent Women",Destiny's Child,2001,b' Lucy Liu With my girl Drew Cameron D and Destiny Charlie s Angels come on Uh uh uh Question tell me what you think about me I buy my own diamonds and I buy my own rings Only ring your celly when I m feelin lonely When it s all over please get up and leave Question tell me how you feel about this Try to control me boy you get dismissed Pay my own car note and I pay my own bills Always 50 50 in relationships The shoes on my feet I bought it The clothes I m wearing I bought it The rock I m rocking I bought it Cause I depend on me If I want it The watch I m wearing I bought it The house I live in I bought it The car I m driving I ve bought it I depend on me All the women who are independent Throw your hands up at me All the honeys who making money Throw your hands up at me All the mommas who profit dollars Throw your hands up at me All the ladies who truly feel me Throw your hands up at me Girl I didn t know you could get down like that Charlie how your Angels get down like that Girl I didn t know you could get down like that Charlie how your Angels get down like that Tell me how you feel about this Do what I want live how I wanna live I worked hard and sacrificed to get what I get Ladies it ain t easy being independent Question how d you like this knowledge that I brought Bragging on that cash that he gave you is to front If you re gonna brag make sure it s your money you flaunt Depend on no one else to give you what you want The shoes on my feet I bought it The clothes I m wearing I bought it The rock I m rocking I bought it Cause I depend on me If I want it The watch I m wearing I bought it The house I live in I bought it The car I m driving I ve bought it I depend on me All the women who are independent Throw your hands up at me All the honeys who making money Throw your hands up at me All the mommas who profit dollars Throw your hands up at me All the ladies who truly feel me Throw your hands up at me Girl I didn t know you could get down like that Charlie how your Angels get down like that Girl I didn t know you could get down like that Charlie how your Angels get down like that Destiny s Child Wassup You in the house Sure nuff We ll break these people off Angel style Child of Destiny Independent beauty Noone else can scare me Charlie s Angels Woah All the women who are independent Throw your hands up at me All the honeys who making money Throw your hands up at me All the mommas who profit dollars Throw your hands up at me All the ladies who truly feel me Throw your hands up at me Girl I didn t know you could get down like that Charlie how your Angels get down like that Girl I didn t know you could get down like that Charlie how your Angels get down like that Girl I didn t know you could get down like that Charlie how your Angels get down like that Girl I didn t know you could get down like that Charlie how your Angels get down like that'
