Year,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral
1965,5.590323913086061,15.301908462867202,4.5142343164082295,4.40533248701912,25.157416272051496,6.213245844096227,7.4355348397059915,11.894234867113111,19.487768997652562
1966,5.5610401384953745,16.727411214896172,4.7158082467360805,5.581685736236445,20.756977324158672,8.725008621827373,7.44232979072796,14.663838115352657,15.82590081156926
1967,3.336023563882649,15.476952541053302,4.882017841605982,6.012428764211293,25.50402693368731,6.769578460754928,6.648100316948235,14.627762202112516,16.74310937574377
1968,6.0164886018210755,12.6700709228812,5.922209589849985,7.396698390541294,23.021785211767035,7.293367318675782,6.1558073338532076,14.663671488948216,16.859901141662185
1969,5.073191665631017,13.722245204075607,5.370772077251489,6.327325034522934,25.00898425175395,6.412576687391326,7.8035449256357685,15.72212243028617,14.559237723451734
1970,6.071551501922345,15.386754726480797,5.045720796679876,8.304595560360132,22.02022500707889,8.971166475236672,6.292541881773271,12.826757342506433,15.08068670796157
1971,6.223933232493052,14.348309064577613,6.91268348006683,7.035536449355961,20.70982764237495,8.150597109386784,6.980746156626307,13.854299086446238,15.784067778672254
1972,6.367579781071793,12.914822079995924,5.643825390037989,8.868340958803081,20.278011477866514,9.771726542399108,5.229109239228489,14.529837969573746,16.396746561023335
1973,4.825830196706806,17.7606455937136,5.223534816350201,6.923801456038263,20.316252299034538,7.444094868542908,8.059185303071985,15.75398400177224,13.692671464769427
1974,5.091129457671562,14.079656197522421,3.95173387191162,6.966881735180561,24.333800969190925,6.765305368934757,6.794773418042493,15.294105909737373,16.722613071808247
1975,4.7284342460901865,14.445888486030485,3.9163688503098175,6.086200046382995,23.88991024574465,7.77629986683173,7.656294641857098,14.274496913473959,17.226106703279058
1976,4.846524914132283,17.913248303723154,3.8485796668014434,5.485082670640312,23.64567775288751,5.802611541678488,7.3504331473033115,15.084132667691735,16.023709335141753
1977,5.762352414111056,13.899458987031993,4.353765044335085,6.624310829730381,24.101718333868597,9.040167579274215,7.027898315161727,14.025758339058264,15.164570157428667
1978,5.2787257470771385,13.563452977191366,3.919034196797355,6.4709993068507,23.275021655331248,10.353977381407722,8.520553947256731,14.584467970969516,14.033766817118213
1979,6.951446650036912,15.574842401036062,4.228829964388435,6.636824677806246,24.651323982775608,8.352630802603244,6.954322956075976,13.87164787885287,12.778130686424625
1980,6.07287987621478,13.998847692144228,3.3586854176469196,7.078163162124663,23.005709205692376,8.568814468573857,5.923475774535808,14.08153189820305,17.911892504864305
1981,7.413668268227797,15.364075473959138,4.9897441531272095,8.413178594832598,20.815918965135594,8.169537863810309,8.000115409464314,13.888285815882211,12.945475455560826
1982,7.0606083685523595,14.8116219657171,3.744068766326952,8.873360371425386,23.404982486111106,9.335362078443042,7.3139341664648905,13.069319582336751,12.386742214622405
1983,8.212768565240655,15.909020818510447,4.314523948495239,7.252869878069237,20.846336441631497,6.889869566903057,7.786244236005001,14.828831322850457,13.95953522229439
1984,5.436436277791,15.716795319290862,4.19241292146818,8.77934210108898,20.332651223471185,9.034499846888435,7.638570101582579,14.302175856097424,14.56711635232134
1985,5.891198235402663,14.622179629743659,3.660142935579186,7.488553890244949,23.306289817454097,7.752502904193963,7.954539878852667,15.064433556318344,14.260159152210466
1986,6.5748632996665695,14.09669136505049,4.1463451217137415,9.930158554807022,21.21894394458535,8.781745273901484,6.908985653597982,12.943898742744816,15.398368043932534
1987,6.291439508540781,15.393637256887711,3.260990576029994,7.840482238602311,21.115522338991102,7.538762194614225,6.3219063128098885,16.059958503863896,16.177301069660075
1988,6.196756292048332,15.524002912896988,4.507228575568282,7.968076912130432,22.88285642190969,7.1548863113367425,8.328001742990278,14.3355113452333,13.102679485885952
1989,4.875412286126572,15.495902906617191,2.709879406307978,6.689857761286334,27.90700371057514,5.324675324675325,7.180220573077716,18.9676097711812,10.849438260152546
1990,7.971275591901854,15.889011531161886,4.674547381582985,7.684021136690743,22.198773298910606,7.7751461064921825,6.106776838161613,15.151292377250781,12.549155737847347
