Year,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral
1965,6.38232061596399,14.843363530500556,5.217522004613658,4.775092786322369,24.929022044199,6.619364095271536,6.856569433792664,12.004005666142685,18.37273982319354
1966,5.457200302561127,16.10862219109642,4.544679261174105,6.186980259145208,20.76686915604441,8.942761133482783,8.292709581369374,15.342195032916681,14.357983082209888
1967,3.8088187425601814,15.22962001583354,4.260861088541922,5.825826645790992,25.70348428261928,6.711738284822063,6.994197145243208,14.880607768425573,16.584846026163216
1968,5.713323208071106,12.805706310776756,5.83234960650927,7.1325528046716515,21.965558164482463,6.99997661402223,6.767646703247261,14.544120940697983,18.238765647521255
1969,5.695368187539781,12.939303106596439,5.473019335822599,6.757119903316265,24.824527991437627,6.511380051156254,8.126337182071675,14.48236620943226,15.190578032627094
1970,6.449924722904262,14.780334759017618,5.10996447783532,7.77911475566207,22.756144341591913,8.992032321188331,6.48441926218141,13.55330589629183,14.094759463327232
1971,6.004796061484224,15.255575076490853,5.491631335330475,7.210880762400807,21.42197975419135,7.846178628075536,7.260363852654709,14.361181398533988,15.147413130838038
1972,6.336086469358528,13.677459943665438,5.260935364336099,8.301550432210263,21.357023810705115,9.266266969077533,5.6534273877782,16.038301846036948,14.108947776831867
1973,4.741534985814183,17.4544942666309,3.885294021229881,8.039579281353129,19.79543477584511,7.402195261159463,7.867973815308008,15.14145947470448,15.67203411795484
1974,4.944494487484862,14.5221925414344,3.964170822200615,7.485008269941465,24.64231015614796,6.595178972462856,7.265533149010916,15.789124644100285,14.79198695721661
1975,4.824906081342864,15.220283247112398,3.7706457655358263,6.187954819249443,24.767428284795756,6.974118713156434,8.08499680316828,14.316707519422815,15.852958766216174
1976,5.392290801772035,16.985516026127982,4.6309564437203665,5.999914850117732,22.925381911734494,6.575946687591218,7.86764143433916,12.358150883387387,17.264200961209614
1977,5.8369952325220265,13.73414215359892,4.74186857493327,6.493542293708262,23.2412913688647,9.445306979538252,7.544365648040923,13.88145703891291,15.081030709880725
1978,5.699011964128062,13.94775671181244,4.169282118809983,6.9770512451085205,23.21435683425621,9.58281466469547,8.349373357121033,14.439910245413344,13.620442858654936
1979,6.823820052496524,15.683787372757957,4.4057343799990845,6.635342108871521,23.993422753716864,7.966721024073965,6.560944284473695,13.351673408291052,14.578554615319314
1980,6.297951489514958,15.10561149806506,3.5909826843263377,7.39098370240011,22.661642408159434,8.500864159919887,5.981373240622466,14.00923679433741,16.461354022654334
1981,7.81454046382745,16.35551514796754,4.756332002321306,8.20762702670011,20.818174317681777,8.254272443807105,7.186450920384681,13.054373990320139,13.552713686989886
