Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
46,I'm Henry the Eighth I Am,Herman's Hermits,1965,sadness,0,0,0,0,0,75,0,0,25,0
47,A Walk in the Black Forest,Horst Jankowski,1965,joy,2.777777778,13.88888889,0,0,41.66666667,5.555555556,8.333333333,25,2.777777778,0
48,For Your Love,The Yardbirds,1965,joy,4,14,0,8,60,0,10,2,2,0
49,California Girls,The Beach Boys,1965,anticipation,7.692307692,23.07692308,7.692307692,0,23.07692308,0,15.38461538,15.38461538,7.692307692,0
50,Go Now,The Moody Blues,1965,joy,0,4.347826087,0,0,43.47826087,8.695652174,0,39.13043478,4.347826087,0
51,Goldfinger,Shirley Bassey,1965,anger,21.21212121,18.18181818,9.090909091,21.21212121,6.060606061,9.090909091,12.12121212,0,3.03030303,0
52,Down in the Boondocks,Billy Joe Royal,1965,joy,7.894736842,7.894736842,13.15789474,10.52631579,26.31578947,10.52631579,7.894736842,13.15789474,2.631578947,0
53,Baby the Rain Must Fall,Glenn Yarbrough,1965,joy,5.263157895,10.52631579,5.263157895,10.52631579,42.10526316,21.05263158,0,0,5.263157895,0
54,Catch Us If You Can,The Dave Clark Five,1965,anger,26.66666667,13.33333333,6.666666667,20,6.666666667,0,20,0,6.666666667,0
55,Eight Days a Week,The Beatles,1965,joy,0,7.407407407,0,0,74.07407407,0,0,14.81481481,3.703703704,0
56,Just a Little,The Beau Brummels,1965,joy,4.545454545,9.090909091,4.545454545,13.63636364,22.72727273,22.72727273,9.090909091,9.090909091,4.545454545,0
57,You Turn Me On,Ian Whitcomb,1965,anger,28.57142857,0,0,0,28.57142857,0,28.57142857,0,14.28571429,0
58,I'll Be Doggone,Marvin Gaye,1965,joy,2.941176471,29.41176471,0,0,35.29411765,0,5.882352941,23.52941176,2.941176471,0
59,Save Your Heart for Me,Gary Lewis,1965,joy,0,20,0,6.666666667,33.33333333,6.666666667,6.666666667,20,6.666666667,0
60,Tired of Waiting for You,The Kinks,1965,anger,18.18181818,18.18181818,18.18181818,18.18181818,0,18.18181818,0,0,9.090909091,0
61,Count Me In,Gary Lewis,1965,trust,0,4.761904762,0,4.761904762,14.28571429,19.04761905,0,52.38095238,4.761904762,0
62,All Day and All of the Night,The Kinks,1965,anticipation,0,50,0,0,7.142857143,14.28571429,14.28571429,7.142857143,7.142857143,0
63,What the World Needs Now Is Love,Jackie DeShannon,1965,joy,1.587301587,19.04761905,0,1.587301587,44.44444444,1.587301587,14.28571429,15.87301587,1.587301587,0
