Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
41,Like a Rolling Stone,Bob Dylan,1965,anticipation,8.333333333333334,25.0,0.0,0.0,25.0,0.0,16.666666666666668,16.666666666666668,8.333333333333334,0.0
42,I'm Telling You Now,Freddie,1965,joy,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
43,Ferry Cross the Mersey,Gerry,1965,disgust,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
44,Just Once in My Life,The Righteous Brothers,1965,joy,0.0,10.0,0.0,0.0,50.0,0.0,10.0,20.0,10.0,0.0
45,The Seventh Son,Johnny Rivers,1965,joy,0.0,16.666666666666668,16.666666666666668,0.0,25.0,16.666666666666668,8.333333333333334,8.333333333333334,8.333333333333334,0.0
46,I'm Henry the Eighth I Am,Herman's Hermits,1965,sadness,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0
47,A Walk in the Black Forest,Horst Jankowski,1965,joy,0.0,25.0,0.0,0.0,50.0,0.0,0.0,12.5,12.5,0.0
48,For Your Love,The Yardbirds,1965,joy,0.0,25.0,0.0,0.0,37.5,0.0,12.5,12.5,12.5,0.0
49,California Girls,The Beach Boys,1965,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
50,Go Now,The Moody Blues,1965,joy,0.0,0.0,0.0,0.0,50.0,0.0,0.0,25.0,25.0,0.0
51,Goldfinger,Shirley Bassey,1965,disgust,12.5,12.5,18.75,18.75,6.25,12.5,12.5,0.0,6.25,0.0
52,Down in the Boondocks,Billy Joe Royal,1965,disgust,14.285714285714286,0.0,28.571428571428573,14.285714285714286,0.0,14.285714285714286,0.0,14.285714285714286,14.285714285714286,0.0
53,Baby the Rain Must Fall,Glenn Yarbrough,1965,anticipation,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336,0.0
54,Catch Us If You Can,The Dave Clark Five,1965,anticipation,16.666666666666668,33.333333333333336,16.666666666666668,0.0,16.666666666666668,0.0,0.0,0.0,16.666666666666668,0.0
55,Eight Days a Week,The Beatles,1965,joy,0.0,16.666666666666668,0.0,0.0,33.333333333333336,0.0,16.666666666666668,16.666666666666668,16.666666666666668,0.0
56,Just a Little,The Beau Brummels,1965,joy,0.0,16.666666666666668,0.0,0.0,33.333333333333336,0.0,16.666666666666668,16.666666666666668,16.666666666666668,0.0
57,You Turn Me On,Ian Whitcomb,1965,anger,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0
58,I'll Be Doggone,Marvin Gaye,1965,joy,4.545454545454546,18.181818181818183,0.0,0.0,36.36363636363637,0.0,9.090909090909092,27.272727272727273,4.545454545454546,0.0
59,Save Your Heart for Me,Gary Lewis,1965,fear,0.0,0.0,0.0,33.333333333333336,33.333333333333336,0.0,0.0,0.0,33.333333333333336,0.0
60,Tired of Waiting for You,The Kinks,1965,anger,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0.0,16.666666666666668,0.0,0.0,16.666666666666668,0.0
61,Count Me In,Gary Lewis,1965,joy,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0
62,All Day and All of the Night,The Kinks,1965,anticipation,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0
63,What the World Needs Now Is Love,Jackie DeShannon,1965,anticipation,0.0,33.333333333333336,16.666666666666668,0.0,16.666666666666668,0.0,0.0,16.666666666666668,16.666666666666668,0.0
64,It's Not Unusual,Tom Jones,1965,anger,21.428571428571427,21.428571428571427,7.142857142857143,14.285714285714286,14.285714285714286,14.285714285714286,0.0,0.0,7.142857142857143,0.0
65,She's About a Mover,Sir Douglas Quintet,1965,joy,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
66,Shake,Sam Cooke,1965,joy,12.5,12.5,0.0,0.0,25.0,0.0,12.5,25.0,12.5,0.0
67,Wonderful World,Herman's Hermits,1965,joy,0.0,0.0,0.0,0.0,40.0,0.0,20.0,20.0,20.0,0.0
68,Nowhere to Run,Martha,1965,joy,0.0,18.181818181818183,0.0,0.0,45.45454545454545,0.0,9.090909090909092,18.181818181818183,9.090909090909092,0.0
69,Heart Full of Soul,The Yardbirds,1965,sadness,8.333333333333334,16.666666666666668,16.666666666666668,16.666666666666668,0.0,33.333333333333336,0.0,0.0,8.333333333333334,0.0
70,Love Potion No. 9,The Searchers,1965,joy,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,25.0,0.0
71,Laurie (Strange Things Happen),Dickey Lee,1965,joy,0.0,17.647058823529413,0.0,5.882352941176471,29.41176470588235,11.764705882352942,17.647058823529413,11.764705882352942,5.882352941176471,0.0
72,Baby Don't Go,Sonny,1965,joy,7.142857142857143,21.428571428571427,0.0,0.0,28.571428571428573,7.142857142857143,7.142857142857143,21.428571428571427,7.142857142857143,0.0
73,It Ain't Me Babe,The Turtles,1965,trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
74,Tell Her No,The Zombies,1965,joy,0.0,0.0,0.0,0.0,50.0,0.0,0.0,25.0,25.0,0.0
75,I Go to Pieces,Peter,1965,joy,14.285714285714286,7.142857142857143,7.142857142857143,14.285714285714286,28.571428571428573,7.142857142857143,0.0,14.285714285714286,7.142857142857143,0.0
76,Red Roses for a Blue Lady,Vic Dana,1965,sadness,0.0,9.090909090909092,0.0,9.090909090909092,18.181818181818183,36.36363636363637,9.090909090909092,9.090909090909092,9.090909090909092,0.0
77,Don't Just Stand There,Patty Duke,1965,anger,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0.0
78,The Tracks of My Tears,The Miracles,1965,joy,0.0,18.181818181818183,0.0,0.0,27.272727272727273,9.090909090909092,18.181818181818183,18.181818181818183,9.090909090909092,0.0
79,Too Many Rivers,Brenda Lee,1965,joy,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
80,I Like It Like That,The Dave Clark Five,1965,sadness,14.285714285714286,14.285714285714286,0.0,14.285714285714286,0.0,28.571428571428573,14.285714285714286,0.0,14.285714285714286,0.0
81,Little Things,Bobby Goldsboro,1965,joy,0.0,16.666666666666668,0.0,0.0,50.0,0.0,0.0,16.666666666666668,16.666666666666668,0.0
