Year,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral
1965,7.547664497536036,16.37156784306309,4.234505887143386,8.249537429786598,26.420782717511138,10.95611163221876,8.229081986526582,12.928344835080338,5.062403171134047
1966,6.2388395895963304,16.962350302579182,4.654722250171803,7.3451350858486055,23.230027915440736,10.736675969523633,10.183819391678101,15.276222581818173,5.372206913343441
1967,5.424011280068518,16.08206476048845,4.725561332493042,7.7724753217645395,29.647515046099137,8.777460611461105,7.622788117350457,14.715831883792035,5.232291646482733
1968,6.6719766877979385,14.921331759487073,5.265725154599884,8.176313138842515,26.296567022570983,9.761285545641844,8.18418489628126,15.887262877891096,4.835352916887444
1969,5.8860292450648934,17.034442860451005,4.2374960137003335,7.919360748286003,27.93457291673344,9.370941443897538,8.255078139080577,14.942198478095742,4.419880154690433
1970,6.1017764416309515,18.376574869297066,4.568697645031277,8.405943825757749,25.302039527899712,11.289764828805144,7.764352963473365,13.729763654386813,4.461086243717883
1971,7.659156279955039,14.98107580066875,5.739489394547105,8.478572501427138,25.139974785767215,10.945897424005029,7.563974253419996,14.346554535115237,5.14530502509448
1972,6.965055530509069,15.763807603237632,5.45222338236626,8.975845759074407,23.802528541801003,12.338830875145236,6.949662949935968,14.768725008142587,4.9833203497878245
1973,6.851869496877139,18.18537320673484,4.628013673991029,9.826158789263483,24.231857246892975,9.452880819357114,7.914450729200385,14.905522904265066,4.003873133417917
1974,5.912496197051075,15.811042939241712,4.26869886686455,8.246794367932672,26.445762863147934,10.613398625446985,8.257330904677593,15.384080841016486,5.060394394621025
1975,5.896774030254028,17.859981835111316,4.605207856471468,6.975570105202681,28.614888404776412,9.026091084046183,8.486712417956069,13.222623718428968,5.312150547752892
1976,6.677861532706006,18.483894875961308,4.141041053266807,6.9971221608653185,26.15073181133128,10.089726358560075,8.9002540146973,12.665719618639022,5.893648573972873
1977,7.2819970252915684,15.233136443404469,4.9345787396385035,7.808950890276383,25.990961548917436,11.38554504691119,7.746447572471616,14.996208881247385,4.622173851841467
1978,6.252970004002479,14.31046870872413,3.8595703255168403,7.847876485682911,26.006687125073952,13.097633181171409,9.74278477611154,14.971423618950169,3.910585774766534
1979,6.180102148133881,16.847426100119606,4.1959912177297936,8.137758155857776,30.39840554524583,10.207729811322476,7.169545327110904,13.13375387063325,3.7292878238464793
1980,7.488843813709254,19.102184086628096,3.9410499880596066,8.649903900589138,25.279911136457464,11.70392020142883,6.1028862581993915,12.512972309968745,5.218328304959476
1981,8.090422655243248,18.063110937618,4.863381940606557,8.897012669101914,22.905598557790213,11.740436954526443,8.367194099718027,13.370178603789242,3.7026635816064366
1982,8.016271744770021,16.683762174829884,4.139170151707622,10.516545768333911,24.084891318784653,10.848880331635364,7.35982633707617,13.690890385803685,4.6597617870586845
1983,8.321632542344851,18.25408151932999,4.583965294297759,9.313387293637344,22.061851504197968,11.126801866370196,7.591325368685651,14.432881931881854,4.314072679254355
1984,6.259890939908088,18.37749059021568,4.333528269434833,10.111803905864605,22.715647796920493,11.564200883839522,8.948203574428682,13.572777006282495,4.116457033105592
1985,8.292052230529139,16.804737426625643,4.402319247872624,10.262202711685875,23.729108752295662,10.067513258310626,8.821983306351445,14.411051723728244,3.2090313426007167
1986,8.871758307105567,15.975541878402018,5.044638361327481,11.321992549004344,22.027437703269,11.692087471734158,7.336844074576333,13.544828382353236,4.18487127222791
1987,7.362697839646639,16.93033004768313,3.7758955510556396,9.89649841616146,26.35341140734794,9.913384839584207,6.561997745839462,14.425333124426157,4.780451028255347
1988,7.738799701583209,16.207448642408615,5.51451176693654,10.136815824200408,25.162063152325473,11.11292895370333,8.5342416456156,12.346118645207035,3.2470716680197396
1989,7.603169244943621,13.932752571438204,4.914415224757552,7.855080690340528,22.859474513867386,11.63465767929413,7.851571130304755,20.38056971279183,2.968309232261991
1990,7.766718757016401,15.556821217353132,4.894579115547057,9.662357297172377,24.331677670413338,9.536463085160653,6.3422617548868905,18.891109964718815,3.018011137731347
1991,6.3879442558006545,16.115019465017337,3.6599650680475637,8.454004615420569,25.9242712786044,9.368088800614961,6.372474928770584,20.446132451868127,3.272099135855702
1992,7.084113436583242,15.089757053530391,4.924967049437493,8.783081486892032,24.15925041689054,9.823369316915162,7.234398248922248,20.060132798887597,2.8409301919412497
1993,9.76740490968983,14.322088060176048,5.5866127436986615,9.51870711646753,23.040436896168583,9.769077898528211,7.450352591295183,18.240377213056036,2.3049425709198914
1994,7.97208535746029,12.17268382008625,4.916242157488682,9.384258825225661,25.988771886638755,11.063413773712034,6.2129025577936074,19.169950129752834,3.119691491841855
1995,7.98564002233712,14.53041134677437,5.257704947241668,8.809379361909647,25.638822785952375,9.401872952594108,6.682815758457845,19.034979829810958,2.658372994921893
1996,7.292622215337376,14.40769458490869,5.330795340512643,8.449918902281114,23.186432373895293,9.859040795072868,8.541863974016202,18.27855820830283,4.653073605673003
1997,8.136307806692248,14.255449665804983,5.690553727018881,8.815432075020148,23.26073151307895,9.687680504965531,8.199699322389653,19.18859039442473,2.7655549906048544
1998,10.629496795671933,14.531713350775302,6.761195721568505,10.820860516311607,20.867561497164523,10.508288423882137,6.810058589808422,16.300794122372285,2.7700309824452907
1999,8.552480048567432,15.014953520205493,5.5254395992383385,8.388249632687481,21.95229750395341,10.635466996366805,7.736099901467676,19.63206210088411,2.5629506966292306
2000,8.551464113477836,14.000349767684593,4.7547828725009955,8.36563227173897,22.097486851455205,11.013998674252813,7.268474958485658,20.219161506356656,3.7286489840472563
2001,9.072979186768313,15.57716580536409,6.066089577948754,8.960271918449079,21.34477087917487,10.420887813299144,7.4057108118396435,18.30874497189551,2.843379035260667
2002,9.152135569581933,16.007244515303505,6.641274358604323,9.392956915198825,19.46984279457883,10.837547807880192,8.510376520590214,17.531426386383842,2.457195131878302
2003,9.506419058189584,13.932889095185422,7.542210759625867,9.685201223049011,19.82369907169657,11.279400614923912,7.347345557366489,18.57244708161058,2.3103875383526074
2004,12.622937718956695,13.12384689335855,8.735857636562319,10.006437201247017,16.836828595062286,10.931672601890439,8.656818565642025,16.906831137732546,2.178769649548062
2005,12.534633661603957,13.921654482802134,7.001850385201312,9.5420284946263,16.13050616605517,10.632679887982732,8.086114507037708,19.793090090036777,2.3574423246539093
2006,11.182615578764478,13.96108375893559,7.914513850733165,9.224113882013688,16.429781971766577,10.39994885296416,8.2529707955533,20.354272844938155,2.280698464330913
2007,11.956618551017835,14.601154265618412,6.81112131857725,10.78998757198317,16.371880448585497,11.042658148144175,7.818667910431275,18.54101972203417,2.066892063608269
2008,11.059381888365435,15.93373849830665,6.776218869545584,11.120703319335577,17.325350369199853,10.703316840814614,8.381134767379274,16.451694696487845,2.248460750565171
2009,10.341388713014148,13.7989142074155,7.046127195722384,10.164380784734592,18.335220215864155,11.596105968571004,7.854369777620365,18.597319350523495,2.2661737865343348
2010,9.928073720775595,13.84683663488754,7.156380062580075,9.26396831007188,21.277262026819148,10.280715841177571,8.565751686557968,17.12202514804588,2.5589865690843308
2011,10.629386113898692,14.00630668503781,6.778898964228299,10.621303249398675,19.08552781982153,10.936733986639522,8.173206891582064,17.47996587462719,2.28867041476618
2012,9.011600709946569,13.750425561534254,5.44683911584584,9.535452241165208,21.195593452694894,11.820821099419266,9.027522369616529,17.48601306296454,2.7257323868129135
2013,9.492604921629821,14.56106280736167,5.480846996657933,10.549583411709785,20.035041170329674,11.5152234112406,7.983598836694162,17.030930295988206,3.351108148388166
2014,10.850939105790312,12.054261505385421,7.064813152338443,10.788134943497429,17.333839189704925,12.264041342122646,7.393094764691745,18.125723255724566,4.125152740744557
2015,11.949621738494084,14.551049745440213,6.238453522568676,10.79724730694694,18.850486188586867,9.97987146504187,7.498355176936484,17.83096610097055,2.303948755014284
2016,10.840441729575906,16.605030968958417,7.116701121080749,12.331333694233967,19.08051027336519,10.807927177885945,7.706633712809978,12.998586793423096,2.5128345286667333
2017,11.994043156552749,14.817540384459289,8.116498767556294,11.674156025339741,17.14395193564115,12.265305814065298,7.8434160266437285,13.57801498898764,2.5670729007541304
2018,14.328742228770055,14.194681759849873,8.326046308231653,11.999795150216796,16.433405085803006,11.46068935668604,7.553833146200574,12.92218402092809,2.780622943313893
