Rank,Song,Artist,Year,Topic Rank,Single Rank,Position Rank,Multipartite Rank
18,Never Be the Same,Camila Cabello,2018,sucker;way;babe;useless;hit;feelin;nicotine;thinkin;straight;fiend;red;veins;head;blood;brain;bullet;chemicals;wheel;low;pain,nicotine;highs;same;bullet;l;babe;straight;feelin;same;sucker;lines;way;safe;thinkin;red;lights;pain;control;brain;hit,highs;somethin';brain;feelin;chemicals;pain;bullet;nicotine;wheel;straight;thinkin;same;lines;sucker;way;hit;fiend;l;control;lights,sucker;way;babe;useless;hit;feelin;nicotine;thinkin;straight;fiend;red;veins;head;chemicals;brain;blood;pain;bullet;wheel;low
19,Love Lies,Khalid,2018,love;night;waste;day;sunrise;underneath;baby;hard;afraid;independent;focused;someone;easy;shit;eye;whole;whole;waitin;ride;feelin,whole;whole;love;hard;vibe;company;afraid;night;day;waste;waitin;sunrise;lover;someone;bad;good;independent;focused;underneath;ride,vibe;whole;lover;whole;love;ride;side;someone;night;waitin;day;waste;eye;sunrise;underneath;company;synergy;baby;mystery;history,love;night;waste;day;sunrise;underneath;baby;hard;afraid;independent;focused;someone;easy;shit;eye;whole;whole;waitin;ride;feelin
20,No Tears Left to Cry,Ariana Grande,2018,pickin;tears;mind;mouth;state;time;comin;rainin;mentality;vibin;hate;body;colors,pickin;tears;lovin';comin;mind;time;vibin;rainin;state;mentality;hate;mouth;body;colors,pickin;tears;lovin';mind;time;state;comin;mentality;vibin;mouth;body;hate;colors,pickin;tears;mind;mouth;state;time;comin;rainin;mentality;vibin;hate;body;colors
21,Mine,Bazzi,2018,mine;time;feels;waste;night;body;tonight;much;bit;mariah;star;alive;hennessy;incredible;fire;lil;god;bride;mind;fucking,eye;right;fine;wild;mine;alive;fucking;mariah;mine;body;tonight;mind;fire;god;hennessy;much;bit;lil;star;incredible,lil;bit;hennessy;wild;right;mine;back;body;tonight;fine;alive;waste;night;time;feels;mariah;bride;god;mind;fire,mine;time;feels;body;waste;night;tonight;much;bit;mariah;star;mine;bride;alive;incredible;hennessy;fire;lil;god;mind
22,Thunder,Imagine Dragons,2018,thunder;lightning;thunder;thunder;thunder;uptight;fit;follower;box;mold;seat;foyer;bigger;loose;number;nosebleeds;sir;quick;kids;classes,thunder;thunder;thunder;thunder;thunder;thunder;thunder;uptight;bigger;lightning;quick;wanna;big;own;young;basic;loose;box;seat;mold,thunder;thunder;thunder;thunder;thunder;uptight;young;quick;wanna;bigger;lightning;own;sir;box;follower;fit;mold;seat;number;foyer,thunder;lightning;thunder;thunder;thunder;thunder;uptight;nosebleeds;fit;follower;box;loose;mold;seat;foyer;bigger;quick;number;sir;wanna
23,Look Alive,BlocBoy JB,2018,niggas;man;shit;alive;capo;expectin;fourth;shelby;slide;side;game;ayy;god;dawg;racks;guys;sugar;shot;industry;fuckin,alive;ni;other;pu;middle;same;fault;downtown;man;other;sugar;pu;dr;ayy;god;july;alive;shelby;niggas;floor,tay;god;other;alive;shelby;niggas;side;fault;downtown;same;middle;ayy;man;shit;stat;pu;high;guys;'cause;game,niggas;man;shit;alive;fourth;capo;expectin;slide;ayy;side;shelby;game;god;dawg;fuckin;racks;industry;july;guys;cutthroat
24,Delicate,Taylor Swift,2018,delicate;cool;reputation;best;drink;worse;east;head;promises;view;girls;footsteps;hair;mansion;stairs;hands;touch;long;third;handsome,west;'cause;east;back;drink;delicate;hair;long;fun;color;third;damn;cool;best;nikes;mansion;handsome;phone;drink;touch,reputation;'cause;east;west;back;dive;fun;color;drink;third;damn;phone;head;hair;nikes;long;nightstand;mansion;stairs;promises,delicate;cool;reputation;best;drink;east;worse;promises;head;nightstand;phone;black;drink;girls;view;footsteps;hair;back;stairs;hands
25,Yes Indeed,Lil Baby,2018,tailor;keys;crazy;clothes;brand;years;starch;cousins;yellow;lil;shit;wheezy;money;gettin;bank;niggas;favors;goodie;shorty;boogie,brand;crazy;mercedes;crazy;real;new;years;street;crazy;evisu;yellow;drake;k;shit;man;got;tennis;yellow;lil;',crazy;crazy;wheezy;wheezy;cousins;lil;boogie;shit;new;head;dash;goodie;weezy;shorty;schedule;hoodie;shit;years;baby;street,wheezy;crazy;cousins;tailor;keys;years;brand;clothes;shit;lil;yellow;starch;goodie;shorty;niggas;hoodie;boogie;head;booked;schedule
26,Friends,Marshmello,2018,obvious;clear;eye;friends;look;shit;fight;times;polite;insane;ooooh;shame;crazy;morning;rain;door;lover;spell;brother;head,i;e;f;e;i;e;f;f;ooooh;eye;nothing;friends;ooooh;obvious;fight;look;door;shame;lover;rain,ooooh;ooooh;f;f;friends;nothing;lover;eye;brother;look;fight;shit;spell;shame;head;door;times;morning;rain,obvious;ooooh;clear;friends;eye;look;shit;fight;times;polite;crazy;insane;shame;morning;rain;lover;brother;door;spell;ooooh
27,Bad at Love,Halsey,2018,love;bad;time;girl;feeling;history;lookin;one;jealousy;little;lyin;best;afraid;worth;wait;california;attitude;music;kitchen;mine,jealousy;little;love;way;london;bad;feeling;garden;same;dinner;guy;kitchen;time;girl;one;wait;worth;best;jack;michigan,boy;michigan;jack;garden;love;same;guy;feeling;dinner;london;kitchen;time;wait;bitch;girl;history;music;lookin;california;one,love;bad;time;feeling;girl;history;lookin;one;jealousy;little;lyin;best;california;afraid;worth;london;wait;music;attitude;kitchen
28,Taste,Tyga,2018,taste;ayy;name;bitch;cool;black;fuckin;way;mary;park;whole;rich;icy;maybach;grapes;bae;aw;spray;shit;diamonds,pinky;ayy;baggage;bitches;popcorn;taste;diamond;ayy;ayy;rain;name;lotta;a;nawfside;whole;bitches;whole;nigga;ice;bitch,pimp;whole;lotta;d;bitches;slide;hahhh;bitches;icy;ayy;baggage;taste;name;false;ayy;whole;ayy;a;whole;rain,taste;ayy;name;bitch;nigga;black;cool;fuckin;mary;way;rich;icy;park;aw;whole;spray;city;kind;maybach;car
29,Let You Down,NF,2018,sorry;head;time;loud;wrong;voices;proud;feels;edge;everything;work;nothing;loyal;embarrassed;lookin;ground;shoulda;paranoia;parents;hands,disappointment;happy;figured;wrong;everything;good;time;first;head;fake;feels;awful;work;voices;apology;hurt;friends;edge;parents;knife,happy;feels;edge;reaction;le;disappointment;head;voices;everything;joke;wrong;first;time;ignore;lookin;ground;thought;paranoia;parents;figured,sorry;head;feels;time;wrong;loud;voices;proud;edge;everything;nothing;work;loyal;embarrassed;shoulda;ground;lookin;paranoia;parents;hands
30,No Limit,G-Eazy,2018,money;safe;ayy;time;bitch;man;nigga;face;white;nightclub;hunnit;shit;black;fucking;hoes;night;wife;pipe;rocks;fam,dick;free;ayy;saint;money;boulder;money;ayy;safe;cardi;nigga;pot;white;apple;album;fire;lace;ace;bopper;hunnit,nigga;money;dick;free;ayy;pipe;money;hunnit;white;saint;boulder;ayy;plans;nigga;white;time;hunnit;man;times;girls,safe;money;ayy;money;time;bitch;nigga;shit;face;man;nightclub;hunnit;white;black;fucking;wife;hoes;night;pipe;ayy
31,Fefe,6ix9ine,2018,friends;pussy;bitches;right;nicki;fuckin;face;new;eeny;toe;draco;nice;name;keke;door;versace;pretty;days;ass;fefe,mmm;eeny;close;nigga;new;pussy;friends;drip;wet;trace;new;pussy;nicki;small;benz;chit;right;free;tinashe;face,new;new;fuckin;right;nicki;wet;drip;l;king;miny;queen;eeny;friends;benz;bitches;pussy;b;pussy;hmm;toe,friends;pussy;bitches;right;fuckin;nicki;new;face;eeny;nice;toe;name;draco;keke;door;versace;fefe;wet;king;nigga
32,Tequila,Dan + Shay,2018,tequila;bible;colorado;lips;bottle;sky;bad;fine;cuttin;red;floor;night;little;drunk;whiskey;love;rocks;anybody;memory;thinkin,tequila;sorority;bible;car;same;red;same;same;tequila;little;somebody;sky;whiskey;bottle;lips;floor;cuttin;night;fine;rocks,red;tequila;sorority;little;bible;car;same;whiskey;same;same;tequila;anybody;night;rocks;party;sky;lips;bottle;floor;cuttin,tequila;tequila;bible;colorado;lips;bottle;sky;fine;cuttin;bad;floor;red;night;little;drunk;love;whiskey;rocks;memory;hard
33,Feel It Still,Portugal. The Man,2018,rebel;kicks;ooh;little;left;hopes;goodbye;dreams;easy;case;peace;war;kids;shelf;love;enemies;time;abyss;walls;grave,little;baby;left;rebel;grave;little;kicks;ooh;need;goodbye;easy;shelf;dreams;hopes;leaves;case;peace;war;enemies;kids,little;baby;dust;left;shelf;rebel;hands;kicks;ooh;need;grave;case;leaves;kids;time;love;abyss;walls;mouth;middle,rebel;kicks;ooh;little;left;case;shelf;goodbye;hopes;easy;need;dreams;peace;war;love;kids;abyss;grave;little;enemies
34,MotorSport,Migos Nicki Minaj,2018,sport;nigga;bitch;air;thing;shawty;motorsport;gears;mama;jumpin;woo;court;dork;fears;cork;right;serious;mills;hit;shiftin,m;couple;bum;shawty;porn;straw;nigga;chest;mama;same;same;other;motorsport;laced;left;saudi;right;nigga;air;nick,dame;motorsport;motorsport;sport;thing;bad;shawty;cotton;trap;cork;woo;air;mama;jumpin;bill;skrrt;dork;xans;court;gasolina,air;sport;bitch;nigga;thing;shawty;gears;mama;motorsport;jumpin;woo;court;fears;nigga;dork;cork;mills;shiftin;mouth;serious
35,I Like Me Better,Lauv,2018,new;damn;love;first;morning;something;hours;drunk;ceiling;room;young;day;bed;good;lay;better,new;new;long;first;morning;love;ceiling;room;damn;hours;day;bed;drunk;young;something;better;lay;good,new;morning;love;first;long;hours;damn;room;ceiling;something;bed;day;lay,love;new;damn;first;new;morning;something;hours;young;drunk;ceiling;room;long;good;day;bed;lay;better
36,Youngblood,5 Seconds of Summer,2018,dead;tonight;youngblood;time;life;baby;face;give;nobody;god;strangers;place;name;one;drunk;last;conversations;day;everything;words,own;dead;youngblood;last;baby;tonight;strangers;time;life;everything;day;drunk;times;nobody;place;conversations;face;god;one;name,dead;day;everything;own;words;youngblood;tonight;life;baby;time;last;name;one;strangers;'cause;nobody;place;times;god;face,dead;tonight;youngblood;time;life;baby;face;give;nobody;god;strangers;place;name;one;drunk;last;conversations;day;everything;words
37,Whatever It Takes,Imagine Dragons,2018,dangerous;adrenaline;veins;lip;ready;top;world;body;slip;chains;part;working;parenthetical;rip;racehorse;times;whip;ripcord;epoxy;box,vulturous;dangerous;man;martyrdom;everybody;slip;lip;'cause;parenthetical;whip;veins;adrenaline;hypocritical;body;racehorse;part;prodigal;lip;world;fall,dangerous;man;martyrdom;everybody;slip;whip;world;lip;fall;racehorse;'cause;tripping;lip;end;times;adrenaline;veins;part;one;top,dangerous;adrenaline;veins;lip;world;ready;top;slip;vulturous;body;chains;rip;part;working;racehorse;parenthetical;times;whip;ripcord;lip
38,Ric Flair Drip,Offset,2018,nigga;hop;coupe;multi;chopper;wrist;dollar;hits;fool;fifty;tits;bitch;roof;lamb;water;slide;jet;jeweler;scope;bestie,nigga;raffle;nigga;jeweler;posture;ric;car;round;round;boominati;north;bentley;hula;jet;ap;chopper;first;water;slide;hop,metro;nigga;raffle;nigga;jeweler;jet;ap;slide;water;ric;north;bentley;first;car;hop;coupe;roof;boominati;tits;chopper,nigga;hop;coupe;multi;wrist;chopper;dollar;hits;fool;fifty;bitch;tits;roof;lamb;water;slide;jet;jeweler;bestie;scope
39,I Fall Apart,Post Malone,2018,oooh;core;ice;damn;guard;tears;surprised;shorty;drink;foreign;flowin;whippin;form;scars;whore;feelin;rollin;droppin;pourin;blowin,oooh;whore;damn;soul;broken;core;ice;shorty;whippin;tears;foreign;many;surprised;feelin;drink;whore;form;brain;enough;guard,oooh;core;surprised;damn;broken;guard;novocaine;foreign;tears;takin;shots;brain;many;shorty;whore;whippin;ice;soul;blowin;drink,oooh;core;ice;damn;guard;tears;surprised;shorty;form;drink;foreign;flowin;whippin;whore;scars;feelin;rollin;droppin;pourin;blowin
40,Pray for Me,The Weeknd,2018,soul;hero;blood;pain;ground;life;hell;alone;hurricanes;mass;sufferin;today;smoke;livin;streets;men;poor;relief;needle;body,needle;building;mass;own;hell;hero;doorsteps;men;streets;relief;greater;tears;poor;deaf;many;hard;hero;smoke;ground;blood,doorsteps;road;life;war;hell;tears;building;own;streets;hell;blood;soul;livin;many;needle;pain;hero;relief;'cause;mass,soul;hero;pain;blood;ground;life;alone;hell;ready;mass;hurricanes;sufferin;smoke;men;today;needle;poor;deaf;rapture;relief
41,Back to You,Selena Gomez,2018,close;someone;lyin;single;shot;head;playin;right;true;runnin;hidin;heart;loose;point;everybody;old;couple;time;feelin;unfinished,old;couple;cold;single;unfinished;word;shot;someone;close;everybody;hidin;thing;loose;runnin;thoughts;feelin;playin;right;point;head,couple;cold;shot;single;feelin;old;word;time;someone;moment;head;playin;unfinished;hidin;everybody;point;heart;thoughts;thing;d,close;someone;lyin;single;shot;head;time;couple;true;heart;feelin;playin;cold;right;hidin;moment;point;runnin;everybody;old
42,Sicko Mode,Travis Scott,2018,light;shit;someone;man;ayy;keeps;deep;hour;weak;duffels;block;bout;ice;fbo;jamba;xan;hands;shot;astro;book,ayy;deep;shit;shit;light;double;night;flight;jamba;shit;pl;baby;ayy;valley;blue;jamba;young;suit;motherfucker;man,ayy;astro;light;night;flight;freezin;sun;ayy;winter;louis;double;shit;dawg;pl;love;shit;light;motherfucker;blue;high,shit;light;someone;man;keeps;ayy;deep;weak;hour;shit;boys;ice;jamba;retreat;bout;block;duffels;astro;xan;fbo
